iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6550155e-310,-7.5482462e-193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971016,9.7001411e+15,7.9112713e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.036361e+16,1.3591407e+18,1.8424339e+18,6.235428e+20,0,437118.19,0,437118.19,0,1.35e+21,53.600145,2.2726056e-08,53.600145,0,0,1.8712053e+08,-2.0950113e+12,8.7174673e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422223e+10,6.7960387e+08,9.2111117e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220934,1.950329e+16,1.8179626e+16,1.8270175e+21,0,6.9176239e+18,3.240661e+18,4.32e+12,3.1286671e+16,1.2315018e+18,2.2544448e+18,6.3947308e+20,0,1181419.4,0,1181419.4,0,1.35e+21,126.75112,1.6901183e-08,126.75112,0,0,1.7506546e+08,-1.4698533e+12,8.6049956e+09,-6.9168552e+10,-3.24078e+10,-1.2315626e+10,-2.2542447e+10,6.1578128e+08,1.1271223e+09,2.0579497e+10,2.0579497e+10,2.3848026e+11,1.4905016e+10,3068630.2
6000,30,0,84702296,2.9506624e+16,3.045141e+16,1.8145451e+21,0,8.3684504e+18,3.013314e+18,4.32e+12,3.1934787e+16,1.1158972e+18,2.6420165e+18,6.5042875e+20,0,2275058.8,0,2275058.8,0,1.35e+21,220.45732,-7.7899358e-09,220.45732,0,0,1.6378786e+08,-1.0521478e+12,8.4227806e+09,-8.3677678e+10,-3.0134225e+10,-1.1159522e+10,-2.6418292e+10,5.5797611e+08,1.3209146e+09,2.2917916e+10,2.2917916e+10,2.3261075e+11,1.4538172e+10,4444887.3
8000,40,0,1.0308156e+08,3.9796851e+16,4.4597497e+16,1.8055347e+21,0,9.6501189e+18,2.8056466e+18,4.32e+12,3.2380074e+16,1.011189e+18,3.0029874e+18,6.5808556e+20,0,3765561.8,0,3765561.8,0,1.35e+21,336.03472,9.2221057e-09,336.03472,0,0,1.5323758e+08,-7.6779901e+11,8.1982903e+09,-9.6495189e+10,-2.8057459e+10,-1.0112389e+10,-3.0028137e+10,5.0561943e+08,1.5014069e+09,2.49873e+10,2.49873e+10,2.2592594e+11,1.4120371e+10,6113071.9
10000,50,0,1.2206729e+08,5.0444175e+16,6.0481102e+16,1.7989015e+21,0,1.0771728e+19,2.6154747e+18,4.32e+12,3.2670539e+16,9.1634728e+17,3.3365221e+18,6.6352333e+20,0,5694711.3,0,5694711.3,0,1.35e+21,474.98111,1.2635763e-07,474.98111,0,0,1.4336773e+08,-5.7064804e+11,7.9490753e+09,-1.0771205e+11,-2.6155658e+10,-9.1639239e+09,-3.3363623e+10,4.581962e+08,1.6681811e+09,2.6797627e+10,2.6797627e+10,2.189044e+11,1.3681525e+10,8072299.8
12000,60,0,1.4140895e+08,6.150447e+16,7.7963088e+16,1.7939305e+21,0,1.1744668e+19,2.4409576e+18,4.32e+12,3.2839377e+16,8.3043948e+17,3.6426244e+18,6.6744836e+20,0,8098726.8,0,8098726.8,0,1.35e+21,638.91834,-2.8740828e-08,638.91834,0,0,1.3413441e+08,-4.31461e+11,7.6866493e+09,-1.1744217e+11,-2.4410412e+10,-8.3048034e+09,-3.6424781e+10,4.1524017e+08,1.821239e+09,2.836425e+10,2.836425e+10,2.1183489e+11,1.323968e+10,10316714
14000,70,0,1.6089406e+08,7.3021213e+16,9.6905362e+16,1.7901431e+21,0,1.2581238e+19,2.2805194e+18,4.32e+12,3.2910456e+16,7.526215e+17,3.9218322e+18,6.7032907e+20,0,11008536,0,11008536,0,1.35e+21,829.54476,0,829.54476,0,9.765625e-08,1.2549658e+08,-3.3142849e+11,7.4187374e+09,-1.2580852e+11,-2.2805964e+10,-7.5265851e+09,-3.9216992e+10,3.7632926e+08,1.9608496e+09,2.9705102e+10,2.9705102e+10,2.0489036e+11,1.2805647e+10,12836651
16000,80,0,1.8034454e+08,8.5027223e+16,1.1717304e+17,1.7872133e+21,0,1.3293829e+19,2.1327953e+18,4.32e+12,3.2901605e+16,6.8212912e+17,4.1750246e+18,6.7248023e+20,0,14450092,0,14450092,0,1.35e+21,1048.5963,4.284243e-08,1048.5963,0,0,1.1741582e+08,-2.5826354e+11,7.1506145e+09,-1.3293501e+11,-2.1328662e+10,-6.8216266e+09,-4.1749043e+10,3.4108133e+08,2.0874521e+09,3.0839039e+10,3.0839039e+10,1.9817227e+11,1.2385767e+10,15619627
18000,90,0,1.9961305e+08,9.7546202e+16,1.3863583e+17,1.784916e+21,0,1.389446e+19,1.9965919e+18,4.32e+12,3.2826629e+16,6.182705e+17,4.4032946e+18,6.7411591e+20,0,18444716,0,18444716,0,1.35e+21,1297.8153,-3.0595857e-08,1297.8153,0,0,1.0985622e+08,-2.0382186e+11,6.8859212e+09,-1.3894186e+11,-1.9966573e+10,-6.1830088e+09,-4.4031865e+10,3.0915044e+08,2.2015933e+09,3.1784846e+10,3.1784846e+10,1.9173754e+11,1.1983597e+10,18651162
20000,100,0,2.1857932e+08,1.1059411e+17,1.6116894e+17,1.7830931e+21,0,1.4394526e+19,1.8708585e+18,4.32e+12,3.2696556e+16,5.6041926e+17,4.6078658e+18,6.7538335e+20,0,23009443,0,23009443,0,1.35e+21,1578.9256,-1.6074637e-08,1578.9256,0,0,1.0278416e+08,-1.6262838e+11,6.6271776e+09,-1.4394299e+11,-1.8709189e+10,-5.6044678e+09,-4.6077692e+10,2.8022339e+08,2.3038846e+09,3.2560676e+10,3.2560676e+10,1.856152e+11,1.160095e+10,21915474
22000,110,0,2.3714683e+08,1.241804e+17,1.8465356e+17,1.781632e+21,0,1.4804664e+19,1.7546642e+18,4.32e+12,3.2520436e+16,5.0800832e+17,4.790035e+18,6.7638485e+20,0,28157374,0,28157374,0,1.35e+21,1893.6138,2.5077725e-08,1893.6138,0,0,96168198,-1.3095168e+11,6.3761145e+09,-1.480448e+11,-1.7547201e+10,-5.0803325e+09,-4.7899493e+10,2.5401663e+08,2.3949747e+09,3.3183724e+10,3.3183724e+10,1.7981669e+11,1.1238543e+10,25396035
24000,120,0,2.5523974e+08,1.3830904e+17,2.0897719e+17,1.7804512e+21,0,1.5134706e+19,1.6471804e+18,4.32e+12,3.2305852e+16,4.6052426e+17,4.951133e+18,6.7719221e+20,0,33898009,0,33898009,0,1.35e+21,2243.5148,-2.3316261e-08,2243.5148,0,0,89978920,-1.0621446e+11,6.133895e+09,-1.513456e+11,-1.6472321e+10,-4.6054685e+09,-4.9510575e+10,2.3027342e+08,2.4755287e+09,3.367007e+10,3.367007e+10,1.743425e+11,1.0896406e+10,29076039
26000,130,0,2.728001e+08,1.5297953e+17,2.3403378e+17,1.7794908e+21,0,1.539367e+19,1.5476661e+18,4.32e+12,3.205927e+16,4.1750222e+17,5.092497e+18,6.7785621e+20,0,40237582,0,40237582,0,1.35e+21,2630.2013,0,2630.2013,0,9.765625e-08,84188806,-8.6613138e+10,5.9012662e+09,-1.5393557e+11,-1.547714e+10,-4.1752269e+09,-5.0924311e+10,2.0876135e+08,2.5462155e+09,3.4034617e+10,3.4034617e+10,1.6918629e+11,1.0574143e+10,32938772
28000,140,0,2.8978542e+08,1.6818765e+17,2.5972371e+17,1.7787062e+21,0,1.5589783e+19,1.4554566e+18,4.32e+12,3.1786266e+16,3.7852135e+17,5.2154512e+18,6.7841311e+20,0,47179373,0,47179373,0,1.35e+21,3055.1772,0,3055.1772,0,9.765625e-08,78772115,-7.0869228e+10,5.6786661e+09,-1.5589699e+11,-1.455501e+10,-3.7853989e+09,-5.2153941e+10,1.8926995e+08,2.6076971e+09,3.4291078e+10,3.4291078e+10,1.6433759e+11,1.02711e+10,36967903
30000,150,0,3.0616642e+08,1.8392624e+17,2.8595374e+17,1.7780637e+21,0,1.573052e+19,1.3699533e+18,4.32e+12,3.1491691e+16,3.4320055e+17,5.3212927e+18,6.7888894e+20,0,54724010,0,54724010,0,1.35e+21,3519.8734,0,3519.8734,0,9.765625e-08,73704762,-5.8064862e+10,5.4663019e+09,-1.5730462e+11,-1.3699944e+10,-3.4321736e+09,-5.3212438e+10,1.7160868e+08,2.6606219e+09,3.4452015e+10,3.4452015e+10,1.5978356e+11,9.9864727e+09,41147722
