iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6857168e-310,-8.3931227e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971097,9.7001373e+15,7.8751444e+15,1.844626e+21,0,5.2931979e+18,3.4903371e+18,4.32e+12,3.0367027e+16,1.3591407e+18,1.8424617e+18,6.235428e+20,0,8689075.6,0,8689075.6,0,1.35e+21,1070.3532,-1.4355464e-08,1070.3532,0,0,1.8712053e+08,-2.0950113e+12,8.7184475e+09,-5.2923425e+10,-3.490468e+10,-1.3592077e+10,-1.8422502e+10,6.7960387e+08,9.2112509e+08,1.7972163e+10,1.7972163e+10,2.4274053e+11,1.5171283e+10,1978863.8
4000,20,0,67221430,1.9503279e+16,1.7996656e+16,1.8270175e+21,0,6.9176249e+18,3.2406814e+18,4.32e+12,3.129617e+16,1.2315019e+18,2.2545896e+18,6.3947308e+20,0,23354662,0,23354662,0,1.35e+21,2531.121,-3.1535819e-08,2531.121,0,0,1.7506546e+08,-1.4698531e+12,8.6076071e+09,-6.9168562e+10,-3.2408004e+10,-1.2315626e+10,-2.2543893e+10,6.1578129e+08,1.1271947e+09,2.0579671e+10,2.0579671e+10,2.3848026e+11,1.4905016e+10,3068652.9
6000,30,0,84703844,2.9506619e+16,2.9952324e+16,1.8145451e+21,0,8.3684542e+18,3.0133677e+18,4.32e+12,3.195327e+16,1.1158973e+18,2.6424102e+18,6.5042878e+20,0,44686730,0,44686730,0,1.35e+21,4402.3623,-2.921297e-09,4402.3623,0,0,1.6378786e+08,-1.0521472e+12,8.4276542e+09,-8.3677717e+10,-3.0134762e+10,-1.1159523e+10,-2.6422228e+10,5.5797613e+08,1.3211114e+09,2.2918388e+10,2.2918388e+10,2.3261076e+11,1.4538173e+10,4444968.6
8000,40,0,1.030852e+08,3.9796893e+16,4.3547028e+16,1.8055348e+21,0,9.6501291e+18,2.8057552e+18,4.32e+12,3.2410813e+16,1.0111891e+18,3.0038085e+18,6.5808563e+20,0,73424474,0,73424474,0,1.35e+21,6710.3621,-1.9176696e-08,6710.3621,0,0,1.5323758e+08,-7.6779766e+11,8.2060714e+09,-9.6495292e+10,-2.8058544e+10,-1.0112389e+10,-3.0036346e+10,5.0561947e+08,1.5018173e+09,2.4988282e+10,2.4988282e+10,2.2592596e+11,1.4120373e+10,6113287.8
10000,50,0,1.2207456e+08,5.0444355e+16,5.8572159e+16,1.7989015e+21,0,1.077175e+19,2.6156637e+18,4.32e+12,3.2717102e+16,9.1634744e+17,3.3379974e+18,6.6352348e+20,0,1.1013021e+08,0,1.1013021e+08,0,1.35e+21,9485.0411,9.2662958e-08,9485.0411,0,0,1.4336773e+08,-5.7064531e+11,7.9604026e+09,-1.0771227e+11,-2.6157547e+10,-9.1639255e+09,-3.3378371e+10,4.5819628e+08,1.6689185e+09,2.6799387e+10,2.6799387e+10,2.1890444e+11,1.3681528e+10,8072781.1
12000,60,0,1.4142201e+08,6.1504944e+16,7.481265e+16,1.7939306e+21,0,1.174471e+19,2.441256e+18,4.32e+12,3.2905552e+16,8.3043972e+17,3.6450289e+18,6.6744862e+20,0,1.5519088e+08,0,1.5519088e+08,0,1.35e+21,12758.806,-2.4494511e-08,12758.806,0,0,1.3413441e+08,-4.3145614e+11,7.7021363e+09,-1.1744259e+11,-2.4413396e+10,-8.3048059e+09,-3.6448821e+10,4.1524029e+08,1.8224411e+09,2.8367112e+10,2.8367112e+10,2.1183497e+11,1.3239686e+10,10317667
14000,70,0,1.6091573e+08,7.3022235e+16,9.205204e+16,1.7901432e+21,0,1.2581311e+19,2.2809593e+18,4.32e+12,3.3000174e+16,7.5262185e+17,3.9254888e+18,6.7032953e+20,0,2.0882323e+08,0,2.0882323e+08,0,1.35e+21,16565.602,0,16565.602,0,9.765625e-08,1.2549658e+08,-3.3142056e+11,7.4389591e+09,-1.2580925e+11,-2.2810362e+10,-7.5265887e+09,-3.9253551e+10,3.7632943e+08,1.9626775e+09,2.9709446e+10,2.9709446e+10,2.048905e+11,1.2805656e+10,12838380
16000,80,0,1.8037842e+08,8.5029168e+16,1.1007625e+17,1.7872135e+21,0,1.3293945e+19,2.1334108e+18,4.32e+12,3.3018867e+16,6.8212961e+17,4.1803008e+18,6.7248097e+20,0,2.7108182e+08,0,2.7108182e+08,0,1.35e+21,20940.141,-4.4121407e-08,20940.141,0,0,1.1741582e+08,-2.5825143e+11,7.1760962e+09,-1.3293618e+11,-2.1334816e+10,-6.8216314e+09,-4.1801796e+10,3.4108157e+08,2.0900898e+09,3.0845294e+10,3.0845294e+10,1.9817248e+11,1.238578e+10,15622561
18000,90,0,1.9966355e+08,9.7549601e+16,1.2867646e+17,1.7849164e+21,0,1.3894636e+19,1.9974187e+18,4.32e+12,3.2975431e+16,6.1827115e+17,4.4105993e+18,6.7411703e+20,0,3.4186895e+08,0,3.4186895e+08,0,1.35e+21,25917.276,4.2702595e-08,25917.276,0,0,1.0985622e+08,-2.0380429e+11,6.9171312e+09,-1.3894362e+11,-1.997484e+10,-6.1830153e+09,-4.4104901e+10,3.0915077e+08,2.205245e+09,3.179349e+10,3.179349e+10,1.9173786e+11,1.1983616e+10,18655881
