iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6679744e-310,-5.5096124e-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971038,9.7001401e+15,7.9013164e+15,1.844626e+21,0,5.2931978e+18,3.4903342e+18,4.32e+12,3.0364552e+16,1.3591407e+18,1.8424415e+18,6.235428e+20,0,2713441,0,2713441,0,1.35e+21,333.14548,6.9950772e-08,333.14548,0,0,1.8712053e+08,-2.0950113e+12,8.7177376e+09,-5.2923424e+10,-3.4904651e+10,-1.3592077e+10,-1.84223e+10,6.7960387e+08,9.2111501e+08,1.7972139e+10,1.7972139e+10,2.4274053e+11,1.5171283e+10,1978861.5
4000,20,0,67221071,1.9503287e+16,1.8129072e+16,1.8270175e+21,0,6.9176242e+18,3.2406666e+18,4.32e+12,3.1289301e+16,1.2315019e+18,2.2544848e+18,6.3947308e+20,0,7322562.5,0,7322562.5,0,1.35e+21,787.80683,4.1931571e-08,787.80683,0,0,1.7506546e+08,-1.4698532e+12,8.6057188e+09,-6.9168555e+10,-3.2407857e+10,-1.2315626e+10,-2.2542846e+10,6.1578128e+08,1.1271423e+09,2.0579545e+10,2.0579545e+10,2.3848026e+11,1.4905016e+10,3068636.5
6000,30,0,84702725,2.9506623e+16,3.0313082e+16,1.8145451e+21,0,8.3684514e+18,3.0133289e+18,4.32e+12,3.1939929e+16,1.1158972e+18,2.6421256e+18,6.5042876e+20,0,14076145,0,14076145,0,1.35e+21,1370.227,0,1370.227,0,9.765625e-08,1.6378786e+08,-1.0521476e+12,8.4241364e+09,-8.3677689e+10,-3.0134374e+10,-1.1159522e+10,-2.6419383e+10,5.5797612e+08,1.3209692e+09,2.2918047e+10,2.2918047e+10,2.3261076e+11,1.4538172e+10,4444909.9
8000,40,0,1.0308257e+08,3.9796863e+16,4.430531e+16,1.8055347e+21,0,9.6501217e+18,2.8056768e+18,4.32e+12,3.238867e+16,1.0111891e+18,3.0032158e+18,6.5808558e+20,0,23251103,0,23251103,0,1.35e+21,2088.5857,2.2700988e-09,2088.5857,0,0,1.5323758e+08,-7.6779863e+11,8.2004662e+09,-9.6495217e+10,-2.8057761e+10,-1.0112389e+10,-3.0030421e+10,5.0561944e+08,1.501521e+09,2.4987573e+10,2.4987573e+10,2.2592595e+11,1.4120372e+10,6113132
10000,50,0,1.2206932e+08,5.0444226e+16,5.9948013e+16,1.7989015e+21,0,1.0771734e+19,2.6155275e+18,4.32e+12,3.2683637e+16,9.1634732e+17,3.3369342e+18,6.6352337e+20,0,35082889,0,35082889,0,1.35e+21,2952.1932,7.403105e-08,2952.1932,0,0,1.4336773e+08,-5.7064728e+11,7.9522616e+09,-1.0771211e+11,-2.6156185e+10,-9.1639244e+09,-3.3367742e+10,4.5819622e+08,1.6683871e+09,2.6798119e+10,2.6798119e+10,2.1890441e+11,1.3681526e+10,8072434.2
12000,60,0,1.4141261e+08,6.1504604e+16,7.7079411e+16,1.7939306e+21,0,1.174468e+19,2.4410413e+18,4.32e+12,3.2858113e+16,8.3043954e+17,3.6432992e+18,6.6744843e+20,0,49766225,0,49766225,0,1.35e+21,3971.1318,0,3971.1318,0,9.765625e-08,1.3413441e+08,-4.3145964e+11,7.6910342e+09,-1.1744229e+11,-2.4411249e+10,-8.3048041e+09,-3.6431528e+10,4.152402e+08,1.8215764e+09,2.8365053e+10,2.8365053e+10,2.1183491e+11,1.3239682e+10,10316982
14000,70,0,1.6090017e+08,7.3021502e+16,9.5537425e+16,1.7901431e+21,0,1.2581259e+19,2.2806435e+18,4.32e+12,3.2936043e+16,7.5262159e+17,3.9228637e+18,6.703292e+20,0,67456521,0,67456521,0,1.35e+21,5155.9601,0,5155.9601,0,9.765625e-08,1.2549658e+08,-3.3142626e+11,7.4245044e+09,-1.2580872e+11,-2.2807204e+10,-7.5265861e+09,-3.9227305e+10,3.7632931e+08,1.9613652e+09,2.9706327e+10,2.9706327e+10,2.048904e+11,1.280565e+10,12837139
16000,80,0,1.8035415e+08,8.5027774e+16,1.1516218e+17,1.7872134e+21,0,1.3293861e+19,2.1329698e+18,4.32e+12,3.2935313e+16,6.8212926e+17,4.1765214e+18,6.7248044e+20,0,88271705,0,88271705,0,1.35e+21,6517.4716,-1.6630111e-08,6517.4716,0,0,1.1741582e+08,-2.5826012e+11,7.1579392e+09,-1.3293534e+11,-2.1330407e+10,-6.8216279e+09,-4.1764008e+10,3.410814e+08,2.0882004e+09,3.0840813e+10,3.0840813e+10,1.9817233e+11,1.2385771e+10,15620459
18000,90,0,1.9962746e+08,9.7547169e+16,1.3579771e+17,1.7849161e+21,0,1.389451e+19,1.9968277e+18,4.32e+12,3.2869772e+16,6.1827068e+17,4.4053797e+18,6.7411623e+20,0,1.1229429e+08,0,1.1229429e+08,0,1.35e+21,8066.501,2.0241714e-08,8066.501,0,0,1.0985622e+08,-2.0381688e+11,6.89497e+09,-1.3894236e+11,-1.9968931e+10,-6.1830106e+09,-4.4052712e+10,3.0915053e+08,2.2026356e+09,3.1787312e+10,3.1787312e+10,1.9173763e+11,1.1983602e+10,18652508
