iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6752561e-310,-2.830232e+69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971068,9.7001386e+15,7.8879523e+15,1.844626e+21,0,5.2931979e+18,3.4903357e+18,4.32e+12,3.0365816e+16,1.3591407e+18,1.8424518e+18,6.235428e+20,0,5766372.5,0,5766372.5,0,1.35e+21,709.17097,-4.5732349e-08,709.17097,0,0,1.8712053e+08,-2.0950113e+12,8.7181002e+09,-5.2923424e+10,-3.4904666e+10,-1.3592077e+10,-1.8422403e+10,6.7960387e+08,9.2112015e+08,1.7972151e+10,1.7972151e+10,2.4274053e+11,1.5171283e+10,1978862.7
4000,20,0,67221254,1.9503283e+16,1.8061368e+16,1.8270175e+21,0,6.9176246e+18,3.2406742e+18,4.32e+12,3.1292817e+16,1.2315019e+18,2.2545384e+18,6.3947308e+20,0,15529437,0,15529437,0,1.35e+21,1677.0142,-4.7450612e-08,1677.0142,0,0,1.7506546e+08,-1.4698532e+12,8.6066853e+09,-6.9168558e+10,-3.2407932e+10,-1.2315626e+10,-2.2543382e+10,6.1578129e+08,1.1271691e+09,2.0579609e+10,2.0579609e+10,2.3848026e+11,1.4905016e+10,3068644.9
6000,30,0,84703298,2.9506621e+16,3.0128344e+16,1.8145451e+21,0,8.3684529e+18,3.0133487e+18,4.32e+12,3.1946773e+16,1.1158973e+18,2.6422714e+18,6.5042877e+20,0,29781498,0,29781498,0,1.35e+21,2916.8196,3.0443061e-08,2916.8196,0,0,1.6378786e+08,-1.0521474e+12,8.425941e+09,-8.3677703e+10,-3.0134573e+10,-1.1159523e+10,-2.642084e+10,5.5797613e+08,1.321042e+09,2.2918221e+10,2.2918221e+10,2.3261076e+11,1.4538172e+10,4444939.9
8000,40,0,1.0308392e+08,3.9796879e+16,4.3916331e+16,1.8055348e+21,0,9.6501255e+18,2.805717e+18,4.32e+12,3.2400059e+16,1.0111891e+18,3.0035199e+18,6.580856e+20,0,49060451,0,49060451,0,1.35e+21,4446.001,-4.6104105e-08,4446.001,0,0,1.5323758e+08,-7.6779814e+11,8.2033491e+09,-9.6495255e+10,-2.8058163e+10,-1.0112389e+10,-3.003346e+10,5.0561946e+08,1.501673e+09,2.4987937e+10,2.4987937e+10,2.2592596e+11,1.4120372e+10,6113211.9
10000,50,0,1.2207201e+08,5.0444292e+16,5.9240858e+16,1.7989015e+21,0,1.0771742e+19,2.6155975e+18,4.32e+12,3.2700898e+16,9.1634738e+17,3.3374807e+18,6.6352343e+20,0,73800564,0,73800564,0,1.35e+21,6284.38,1.4628677e-07,6284.38,0,0,1.4336773e+08,-5.7064627e+11,7.9564608e+09,-1.0771219e+11,-2.6156885e+10,-9.163925e+09,-3.3373206e+10,4.5819625e+08,1.6686603e+09,2.6798771e+10,2.6798771e+10,2.1890443e+11,1.3681527e+10,8072612.5
12000,60,0,1.4141745e+08,6.1504779e+16,7.5911834e+16,1.7939306e+21,0,1.1744696e+19,2.4411519e+18,4.32e+12,3.2882662e+16,8.3043963e+17,3.6441904e+18,6.6744853e+20,0,1.0433347e+08,0,1.0433347e+08,0,1.35e+21,8453.4236,0,8453.4236,0,9.765625e-08,1.3413441e+08,-4.3145784e+11,7.6967792e+09,-1.1744244e+11,-2.4412355e+10,-8.304805e+09,-3.6440438e+10,4.1524025e+08,1.8220219e+09,2.8366114e+10,2.8366114e+10,2.1183494e+11,1.3239684e+10,10317335
14000,70,0,1.6090821e+08,7.302188e+16,9.3737891e+16,1.7901432e+21,0,1.2581286e+19,2.2808066e+18,4.32e+12,3.2969347e+16,7.5262172e+17,3.9242196e+18,6.7032937e+20,0,1.4089109e+08,0,1.4089109e+08,0,1.35e+21,10975.616,0,10975.616,0,9.765625e-08,1.2549658e+08,-3.3142332e+11,7.4320109e+09,-1.2580899e+11,-2.2808834e+10,-7.5265874e+09,-3.9240861e+10,3.7632937e+08,1.9620431e+09,2.9707938e+10,2.9707938e+10,2.0489045e+11,1.2805653e+10,12837780
16000,80,0,1.8036672e+08,8.5028495e+16,1.1252948e+17,1.7872134e+21,0,1.3293904e+19,2.1331982e+18,4.32e+12,3.2978872e+16,6.8212944e+17,4.1784789e+18,6.7248071e+20,0,1.8360985e+08,0,1.8360985e+08,0,1.35e+21,13873.943,0,13873.943,0,9.765625e-08,1.1741582e+08,-2.5825564e+11,7.167405e+09,-1.3293577e+11,-2.133269e+10,-6.8216297e+09,-4.1783581e+10,3.4108149e+08,2.089179e+09,3.0843133e+10,3.0843133e+10,1.9817241e+11,1.2385776e+10,15621547
18000,90,0,1.9964621e+08,9.754843e+16,1.3210114e+17,1.7849162e+21,0,1.3894575e+19,1.9971347e+18,4.32e+12,3.2925089e+16,6.1827092e+17,4.4080913e+18,6.7411665e+20,0,2.3253585e+08,0,2.3253585e+08,0,1.35e+21,17171.486,4.0956365e-08,17171.486,0,0,1.0985622e+08,-2.0381037e+11,6.9065722e+09,-1.3894301e+11,-1.9972e+10,-6.183013e+09,-4.4079825e+10,3.0915065e+08,2.2039912e+09,3.1790521e+10,3.1790521e+10,1.9173775e+11,1.198361e+10,18654260
