iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6398266e-310,-7.3001275e-257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971014,9.7001412e+15,7.912106e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363531e+16,1.3591407e+18,1.8424332e+18,6.235428e+20,0,246157.12,0,246157.12,0,1.35e+21,30.181005,2.9520155e-08,30.181005,0,0,1.8712053e+08,-2.0950113e+12,8.7174446e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422217e+10,6.7960387e+08,9.2111085e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220922,1.950329e+16,1.818387e+16,1.8270175e+21,0,6.9176239e+18,3.2406605e+18,4.32e+12,3.128645e+16,1.2315018e+18,2.2544415e+18,6.3947308e+20,0,665385.25,0,665385.25,0,1.35e+21,71.370631,4.1018836e-08,71.37063,0,0,1.7506546e+08,-1.4698533e+12,8.6049349e+09,-6.9168552e+10,-3.2407795e+10,-1.2315626e+10,-2.2542413e+10,6.1578128e+08,1.1271207e+09,2.0579493e+10,2.0579493e+10,2.3848026e+11,1.4905016e+10,3068629.7
6000,30,0,84702260,2.9506624e+16,3.0463037e+16,1.8145451e+21,0,8.3684503e+18,3.0133127e+18,4.32e+12,3.1934354e+16,1.1158972e+18,2.6420073e+18,6.5042875e+20,0,1281522.1,0,1281522.1,0,1.35e+21,124.13443,0,124.13443,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4226665e+09,-8.3677678e+10,-3.0134213e+10,-1.1159522e+10,-2.6418201e+10,5.5797611e+08,1.32091e+09,2.2917905e+10,2.2917905e+10,2.3261075e+11,1.4538172e+10,4444885.5
8000,40,0,1.0308148e+08,3.979685e+16,4.4622093e+16,1.8055347e+21,0,9.6501186e+18,2.8056441e+18,4.32e+12,3.2379349e+16,1.011189e+18,3.0029681e+18,6.5808556e+20,0,2121470.1,0,2121470.1,0,1.35e+21,189.21339,-3.2175933e-09,189.21339,0,0,1.5323758e+08,-7.6779904e+11,8.1981067e+09,-9.6495187e+10,-2.8057433e+10,-1.0112389e+10,-3.0027945e+10,5.0561943e+08,1.5013972e+09,2.4987277e+10,2.4987277e+10,2.2592594e+11,1.4120371e+10,6113066.8
10000,50,0,1.2206711e+08,5.0444171e+16,6.052605e+16,1.7989015e+21,0,1.0771727e+19,2.6154703e+18,4.32e+12,3.2669431e+16,9.1634728e+17,3.3364874e+18,6.6352333e+20,0,3208943.2,0,3208943.2,0,1.35e+21,267.45088,9.6924794e-08,267.45088,0,0,1.4336773e+08,-5.706481e+11,7.9488059e+09,-1.0771204e+11,-2.6155613e+10,-9.1639239e+09,-3.3363275e+10,4.581962e+08,1.6681638e+09,2.6797586e+10,2.6797586e+10,2.189044e+11,1.3681525e+10,8072288.5
12000,60,0,1.4140864e+08,6.1504459e+16,7.8037734e+16,1.7939305e+21,0,1.1744667e+19,2.4409505e+18,4.32e+12,3.2837788e+16,8.3043947e+17,3.6425673e+18,6.6744835e+20,0,4564571.9,0,4564571.9,0,1.35e+21,359.76011,-1.330136e-10,359.76011,0,0,1.3413441e+08,-4.3146111e+11,7.6862774e+09,-1.1744216e+11,-2.4410341e+10,-8.3048034e+09,-3.6424211e+10,4.1524017e+08,1.8212105e+09,2.8364182e+10,2.8364182e+10,2.1183489e+11,1.323968e+10,10316692
14000,70,0,1.6089354e+08,7.3021189e+16,9.7021148e+16,1.7901431e+21,0,1.2581237e+19,2.2805089e+18,4.32e+12,3.2908279e+16,7.5262149e+17,3.9217449e+18,6.7032906e+20,0,6206058.2,0,6206058.2,0,1.35e+21,467.09736,0,467.09736,0,9.765625e-08,1.2549658e+08,-3.3142868e+11,7.4182469e+09,-1.258085e+11,-2.2805859e+10,-7.526585e+09,-3.9216119e+10,3.7632925e+08,1.9608059e+09,2.9704998e+10,2.9704998e+10,2.0489035e+11,1.2805647e+10,12836610
16000,80,0,1.8034373e+08,8.5027176e+16,1.1734362e+17,1.7872133e+21,0,1.3293826e+19,2.1327805e+18,4.32e+12,3.2898729e+16,6.8212911e+17,4.1748975e+18,6.7248021e+20,0,8148357.7,0,8148357.7,0,1.35e+21,590.44006,4.5157662e-08,590.44006,0,0,1.1741582e+08,-2.5826382e+11,7.1499894e+09,-1.3293499e+11,-2.1328514e+10,-6.8216264e+09,-4.1747773e+10,3.4108132e+08,2.0873886e+09,3.0838888e+10,3.0838888e+10,1.9817226e+11,1.2385766e+10,15619556
18000,90,0,1.9961182e+08,9.754612e+16,1.3887717e+17,1.784916e+21,0,1.3894456e+19,1.9965719e+18,4.32e+12,3.2822934e+16,6.1827048e+17,4.4031172e+18,6.7411589e+20,0,10403872,0,10403872,0,1.35e+21,730.76921,-3.9384076e-08,730.76921,0,0,1.0985622e+08,-2.0382228e+11,6.8851462e+09,-1.3894182e+11,-1.9966373e+10,-6.1830086e+09,-4.4030091e+10,3.0915043e+08,2.2015046e+09,3.1784636e+10,3.1784636e+10,1.9173754e+11,1.1983596e+10,18651048
