iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6769738e-310,0.052279119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971019,9.7001409e+15,7.9097079e+15,1.844626e+21,0,5.2931978e+18,3.4903332e+18,4.32e+12,3.0363758e+16,1.3591407e+18,1.8424351e+18,6.235428e+20,0,794725.63,0,794725.63,0,1.35e+21,97.4698,-1.5332375e-09,97.4698,0,0,1.8712053e+08,-2.0950113e+12,8.7175097e+09,-5.2923424e+10,-3.4904642e+10,-1.3592077e+10,-1.8422236e+10,6.7960387e+08,9.2111178e+08,1.7972131e+10,1.7972131e+10,2.4274053e+11,1.5171283e+10,1978860.8
4000,20,0,67220955,1.9503289e+16,1.817168e+16,1.8270175e+21,0,6.917624e+18,3.2406619e+18,4.32e+12,3.1287085e+16,1.2315018e+18,2.2544511e+18,6.3947308e+20,0,2147427,0,2147427,0,1.35e+21,230.49203,-3.1441061e-08,230.49203,0,0,1.7506546e+08,-1.4698533e+12,8.6051094e+09,-6.9168552e+10,-3.2407809e+10,-1.2315626e+10,-2.2542509e+10,6.1578128e+08,1.1271255e+09,2.0579504e+10,2.0579504e+10,2.3848026e+11,1.4905016e+10,3068631.2
6000,30,0,84702363,2.9506624e+16,3.0429645e+16,1.8145451e+21,0,8.3684505e+18,3.0133163e+18,4.32e+12,3.1935597e+16,1.1158972e+18,2.6420336e+18,6.5042875e+20,0,4134150.7,0,4134150.7,0,1.35e+21,400.89315,4.2411727e-08,400.89315,0,0,1.6378786e+08,-1.0521478e+12,8.4229942e+09,-8.367768e+10,-3.0134249e+10,-1.1159522e+10,-2.6418464e+10,5.5797611e+08,1.3209232e+09,2.2917937e+10,2.2917937e+10,2.3261075e+11,1.4538172e+10,4444890.9
8000,40,0,1.0308172e+08,3.9796852e+16,4.4551473e+16,1.8055347e+21,0,9.6501193e+18,2.8056514e+18,4.32e+12,3.238143e+16,1.0111891e+18,3.0030233e+18,6.5808556e+20,0,6840463.9,0,6840463.9,0,1.35e+21,611.06625,5.003244e-09,611.06625,0,0,1.5323758e+08,-7.6779895e+11,8.1986336e+09,-9.6495193e+10,-2.8057506e+10,-1.0112389e+10,-3.0028497e+10,5.0561943e+08,1.5014248e+09,2.4987343e+10,2.4987343e+10,2.2592594e+11,1.4120371e+10,6113081.4
10000,50,0,1.2206761e+08,5.0444183e+16,6.0397023e+16,1.7989015e+21,0,1.0771729e+19,2.6154831e+18,4.32e+12,3.2672609e+16,9.1634729e+17,3.3365871e+18,6.6352334e+20,0,10341219,0,10341219,0,1.35e+21,863.73501,1.0374447e-07,863.73501,0,0,1.4336773e+08,-5.7064792e+11,7.949579e+09,-1.0771206e+11,-2.6155741e+10,-9.163924e+09,-3.3364272e+10,4.581962e+08,1.6682136e+09,2.6797705e+10,2.6797705e+10,2.189044e+11,1.3681525e+10,8072321
12000,60,0,1.4140953e+08,6.1504491e+16,7.7823515e+16,1.7939305e+21,0,1.174467e+19,2.4409708e+18,4.32e+12,3.2842345e+16,8.3043949e+17,3.642731e+18,6.6744837e+20,0,14700861,0,14700861,0,1.35e+21,1161.8488,1.0516942e-08,1161.8488,0,0,1.3413441e+08,-4.3146079e+11,7.687344e+09,-1.1744219e+11,-2.4410544e+10,-8.3048035e+09,-3.6425847e+10,4.1524018e+08,1.8212923e+09,2.8364376e+10,2.8364376e+10,2.1183489e+11,1.3239681e+10,10316757
14000,70,0,1.6089503e+08,7.3021259e+16,9.6688962e+16,1.7901431e+21,0,1.2581242e+19,2.280539e+18,4.32e+12,3.2914519e+16,7.5262151e+17,3.9219954e+18,6.7032909e+20,0,19973900,0,19973900,0,1.35e+21,1508.4962,0,1508.4962,0,9.765625e-08,1.2549658e+08,-3.3142814e+11,7.4196532e+09,-1.2580855e+11,-2.280616e+10,-7.5265853e+09,-3.9218624e+10,3.7632926e+08,1.9609312e+09,2.9705296e+10,2.9705296e+10,2.0489036e+11,1.2805648e+10,12836729
16000,80,0,1.8034607e+08,8.502731e+16,1.1685438e+17,1.7872133e+21,0,1.3293834e+19,2.1328229e+18,4.32e+12,3.2906972e+16,6.8212914e+17,4.1752619e+18,6.7248026e+20,0,26205483,0,26205483,0,1.35e+21,1906.834,2.2325821e-08,1906.834,0,0,1.1741582e+08,-2.58263e+11,7.1517806e+09,-1.3293507e+11,-2.1328938e+10,-6.8216268e+09,-4.1751415e+10,3.4108134e+08,2.0875708e+09,3.083932e+10,3.083932e+10,1.9817228e+11,1.2385767e+10,15619758
18000,90,0,1.9961534e+08,9.7546355e+16,1.3818525e+17,1.784916e+21,0,1.3894468e+19,1.9966294e+18,4.32e+12,3.2833517e+16,6.1827053e+17,4.4036258e+18,6.7411596e+20,0,33432003,0,33432003,0,1.35e+21,2360.0309,-3.9331098e-09,2360.0309,0,0,1.0985622e+08,-2.0382107e+11,6.8873659e+09,-1.3894194e+11,-1.9966948e+10,-6.1830091e+09,-4.4035177e+10,3.0915045e+08,2.2017588e+09,3.1785238e+10,3.1785238e+10,1.9173756e+11,1.1983597e+10,18651376
20000,100,0,2.1858263e+08,1.1059437e+17,1.6055237e+17,1.7830931e+21,0,1.4394537e+19,1.8709076e+18,4.32e+12,3.2705191e+16,5.604193e+17,4.6083131e+18,6.7538342e+20,0,41681729,0,41681729,0,1.35e+21,2871.222,4.5497472e-09,2871.222,0,0,1.0278416e+08,-1.6262728e+11,6.6289276e+09,-1.4394311e+11,-1.870968e+10,-5.6044682e+09,-4.6082165e+10,2.8022341e+08,2.3041082e+09,3.2561204e+10,3.2561204e+10,1.8561522e+11,1.1600951e+10,21915805
22000,110,0,2.3715147e+08,1.241808e+17,1.8383249e+17,1.7816321e+21,0,1.4804681e+19,1.7547269e+18,4.32e+12,3.253105e+16,5.0800837e+17,4.7906229e+18,6.7638496e+20,0,50975441,0,50975441,0,1.35e+21,3443.4749,1.5187652e-08,3443.4749,0,0,96168198,-1.3095018e+11,6.3781953e+09,-1.4804496e+11,-1.7547827e+10,-5.080333e+09,-4.7905371e+10,2.5401665e+08,2.3952685e+09,3.3184416e+10,3.3184416e+10,1.7981672e+11,1.1238545e+10,25396532
