iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6588051e-310,1.3717045e+113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971016,9.7001411e+15,7.9112184e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363615e+16,1.3591407e+18,1.8424339e+18,6.235428e+20,0,449220,0,449220,0,1.35e+21,55.084457,7.3223774e-08,55.084456,0,0,1.8712053e+08,-2.0950113e+12,8.7174687e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422224e+10,6.7960387e+08,9.2111119e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220934,1.950329e+16,1.8179358e+16,1.8270175e+21,0,6.9176239e+18,3.240661e+18,4.32e+12,3.1286685e+16,1.2315018e+18,2.254445e+18,6.3947308e+20,0,1214117.7,0,1214117.7,0,1.35e+21,130.26115,1.9816952e-08,130.26115,0,0,1.7506546e+08,-1.4698533e+12,8.6049995e+09,-6.9168552e+10,-3.24078e+10,-1.2315626e+10,-2.2542449e+10,6.1578128e+08,1.1271224e+09,2.0579497e+10,2.0579497e+10,2.3848026e+11,1.4905016e+10,3068630.3
6000,30,0,84702298,2.9506624e+16,3.0450673e+16,1.8145451e+21,0,8.3684504e+18,3.013314e+18,4.32e+12,3.1934815e+16,1.1158972e+18,2.6420171e+18,6.5042875e+20,0,2338003.9,0,2338003.9,0,1.35e+21,226.56229,9.1282857e-09,226.56229,0,0,1.6378786e+08,-1.0521478e+12,8.4227879e+09,-8.3677678e+10,-3.0134226e+10,-1.1159522e+10,-2.6418298e+10,5.5797611e+08,1.3209149e+09,2.2917917e+10,2.2917917e+10,2.3261075e+11,1.4538172e+10,4444887.5
8000,40,0,1.0308157e+08,3.9796851e+16,4.4595939e+16,1.8055347e+21,0,9.6501189e+18,2.8056468e+18,4.32e+12,3.238012e+16,1.011189e+18,3.0029886e+18,6.5808556e+20,0,3869703.7,0,3869703.7,0,1.35e+21,345.3403,1.4676004e-08,345.3403,0,0,1.5323758e+08,-7.67799e+11,8.1983019e+09,-9.6495189e+10,-2.8057461e+10,-1.0112389e+10,-3.0028149e+10,5.0561943e+08,1.5014075e+09,2.4987302e+10,2.4987302e+10,2.2592594e+11,1.4120371e+10,6113072.2
10000,50,0,1.220673e+08,5.0444176e+16,6.0478254e+16,1.7989015e+21,0,1.0771728e+19,2.615475e+18,4.32e+12,3.2670609e+16,9.1634728e+17,3.3365243e+18,6.6352333e+20,0,5852135.5,0,5852135.5,0,1.35e+21,488.13443,5.4886129e-08,488.13443,0,0,1.4336773e+08,-5.7064804e+11,7.9490924e+09,-1.0771205e+11,-2.6155661e+10,-9.1639239e+09,-3.3363645e+10,4.581962e+08,1.6681822e+09,2.679763e+10,2.679763e+10,2.189044e+11,1.3681525e+10,8072300.5
12000,60,0,1.4140897e+08,6.1504471e+16,7.795836e+16,1.7939305e+21,0,1.1744668e+19,2.440958e+18,4.32e+12,3.2839477e+16,8.3043948e+17,3.642628e+18,6.6744836e+20,0,8322494.6,0,8322494.6,0,1.35e+21,656.61147,-4.550111e-08,656.61147,0,0,1.3413441e+08,-4.3146099e+11,7.6866728e+09,-1.1744217e+11,-2.4410417e+10,-8.3048034e+09,-3.6424817e+10,4.1524017e+08,1.8212408e+09,2.8364254e+10,2.8364254e+10,2.1183489e+11,1.323968e+10,10316716
14000,70,0,1.6089409e+08,7.3021215e+16,9.6898029e+16,1.7901431e+21,0,1.2581238e+19,2.2805201e+18,4.32e+12,3.2910593e+16,7.526215e+17,3.9218377e+18,6.7032907e+20,0,11312532,0,11312532,0,1.35e+21,852.51679,0,852.51679,0,9.765625e-08,1.2549658e+08,-3.3142848e+11,7.4187685e+09,-1.2580852e+11,-2.280597e+10,-7.5265851e+09,-3.9217047e+10,3.7632926e+08,1.9608524e+09,2.9705109e+10,2.9705109e+10,2.0489036e+11,1.2805647e+10,12836654
16000,80,0,1.803446e+08,8.5027226e+16,1.1716224e+17,1.7872133e+21,0,1.3293829e+19,2.1327962e+18,4.32e+12,3.2901787e+16,6.8212912e+17,4.1750326e+18,6.7248023e+20,0,14848880,0,14848880,0,1.35e+21,1077.6344,-4.0517762e-08,1077.6344,0,0,1.1741582e+08,-2.5826352e+11,7.150654e+09,-1.3293502e+11,-2.1328671e+10,-6.8216266e+09,-4.1749123e+10,3.4108133e+08,2.0874562e+09,3.0839048e+10,3.0839048e+10,1.9817227e+11,1.2385767e+10,15619631
18000,90,0,1.9961313e+08,9.7546207e+16,1.3862056e+17,1.784916e+21,0,1.389446e+19,1.9965932e+18,4.32e+12,3.2826863e+16,6.182705e+17,4.4033058e+18,6.7411592e+20,0,18953404,0,18953404,0,1.35e+21,1333.7548,-2.6902853e-08,1333.7548,0,0,1.0985622e+08,-2.0382183e+11,6.8859703e+09,-1.3894186e+11,-1.9966586e+10,-6.1830088e+09,-4.4031977e+10,3.0915044e+08,2.2015989e+09,3.1784859e+10,3.1784859e+10,1.9173755e+11,1.1983597e+10,18651169
