iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6839509e-310,-2.0331442e+147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.700141e+15,7.9106776e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363666e+16,1.3591407e+18,1.8424343e+18,6.235428e+20,0,572918.11,0,572918.11,0,1.35e+21,70.25742,-4.0756447e-08,70.25742,0,0,1.8712053e+08,-2.0950113e+12,8.7174834e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.8422228e+10,6.7960387e+08,9.211114e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220942,1.950329e+16,1.8176609e+16,1.8270175e+21,0,6.917624e+18,3.2406613e+18,4.32e+12,3.1286828e+16,1.2315018e+18,2.2544472e+18,6.3947308e+20,0,1548311.2,0,1548311.2,0,1.35e+21,166.14146,4.6657419e-08,166.14146,0,0,1.7506546e+08,-1.4698533e+12,8.6050388e+09,-6.9168552e+10,-3.2407804e+10,-1.2315626e+10,-2.254247e+10,6.1578128e+08,1.1271235e+09,2.05795e+10,2.05795e+10,2.3848026e+11,1.4905016e+10,3068630.6
6000,30,0,84702322,2.9506624e+16,3.0443143e+16,1.8145451e+21,0,8.3684504e+18,3.0133148e+18,4.32e+12,3.1935095e+16,1.1158972e+18,2.642023e+18,6.5042875e+20,0,2981267.7,0,2981267.7,0,1.35e+21,288.96867,0,288.96867,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4228618e+09,-8.3677679e+10,-3.0134234e+10,-1.1159522e+10,-2.6418357e+10,5.5797611e+08,1.3209179e+09,2.2917924e+10,2.2917924e+10,2.3261075e+11,1.4538172e+10,4444888.7
8000,40,0,1.0308162e+08,3.9796851e+16,4.4580014e+16,1.8055347e+21,0,9.650119e+18,2.8056484e+18,4.32e+12,3.2380589e+16,1.011189e+18,3.003001e+18,6.5808556e+20,0,4933848,0,4933848,0,1.35e+21,440.46399,1.6037859e-08,440.46399,0,0,1.5323758e+08,-7.6779898e+11,8.1984207e+09,-9.6495191e+10,-2.8057477e+10,-1.0112389e+10,-3.0028274e+10,5.0561943e+08,1.5014137e+09,2.4987316e+10,2.4987316e+10,2.2592594e+11,1.4120371e+10,6113075.5
10000,50,0,1.2206741e+08,5.0444178e+16,6.0449158e+16,1.7989015e+21,0,1.0771728e+19,2.6154779e+18,4.32e+12,3.2671326e+16,9.1634728e+17,3.3365468e+18,6.6352333e+20,0,7460510.5,0,7460510.5,0,1.35e+21,622.59066,9.7660859e-08,622.59066,0,0,1.4336773e+08,-5.70648e+11,7.9492668e+09,-1.0771205e+11,-2.6155689e+10,-9.163924e+09,-3.3363869e+10,4.581962e+08,1.6681935e+09,2.6797657e+10,2.6797657e+10,2.189044e+11,1.3681525e+10,8072307.8
12000,60,0,1.4140917e+08,6.1504478e+16,7.7910053e+16,1.7939305e+21,0,1.1744669e+19,2.4409626e+18,4.32e+12,3.2840505e+16,8.3043948e+17,3.6426649e+18,6.6744836e+20,0,10608341,0,10608341,0,1.35e+21,837.47461,3.3707465e-08,837.47461,0,0,1.3413441e+08,-4.3146092e+11,7.6869133e+09,-1.1744218e+11,-2.4410462e+10,-8.3048035e+09,-3.6425186e+10,4.1524017e+08,1.8212593e+09,2.8364298e+10,2.8364298e+10,2.1183489e+11,1.3239681e+10,10316730
14000,70,0,1.6089443e+08,7.3021231e+16,9.6823119e+16,1.7901431e+21,0,1.258124e+19,2.2805269e+18,4.32e+12,3.2912e+16,7.526215e+17,3.9218942e+18,6.7032908e+20,0,14417405,0,14417405,0,1.35e+21,1087.342,0,1087.342,0,9.765625e-08,1.2549658e+08,-3.3142835e+11,7.4190856e+09,-1.2580853e+11,-2.2806038e+10,-7.5265852e+09,-3.9217612e+10,3.7632926e+08,1.9608806e+09,2.9705176e+10,2.9705176e+10,2.0489036e+11,1.2805648e+10,12836681
16000,80,0,1.8034512e+08,8.5027256e+16,1.1705191e+17,1.7872133e+21,0,1.3293831e+19,2.1328058e+18,4.32e+12,3.2903646e+16,6.8212913e+17,4.1751148e+18,6.7248024e+20,0,18921158,0,18921158,0,1.35e+21,1374.4683,0,1374.4683,0,9.765625e-08,1.1741582e+08,-2.5826333e+11,7.151058e+09,-1.3293503e+11,-2.1328767e+10,-6.8216266e+09,-4.1749945e+10,3.4108133e+08,2.0874972e+09,3.0839145e+10,3.0839145e+10,1.9817227e+11,1.2385767e+10,15619677
18000,90,0,1.9961392e+08,9.754626e+16,1.3846451e+17,1.784916e+21,0,1.3894463e+19,1.9966062e+18,4.32e+12,3.282925e+16,6.1827051e+17,4.4034205e+18,6.7411593e+20,0,24146893,0,24146893,0,1.35e+21,1701.1373,-2.7030183e-09,1701.1373,0,0,1.0985622e+08,-2.0382156e+11,6.8864708e+09,-1.3894189e+11,-1.9966716e+10,-6.1830089e+09,-4.4033124e+10,3.0915044e+08,2.2016562e+09,3.1784995e+10,3.1784995e+10,1.9173755e+11,1.1983597e+10,18651243
