iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6793433e-310,1.3306172e-185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001412e+15,7.9124588e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363498e+16,1.3591407e+18,1.842433e+18,6.235428e+20,0,165457.24,0,165457.24,0,1.35e+21,20.285594,-1.0798633e-08,20.285594,0,0,1.8712053e+08,-2.0950113e+12,8.717435e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422214e+10,6.7960387e+08,9.2111072e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220917,1.950329e+16,1.8185664e+16,1.8270175e+21,0,6.9176239e+18,3.2406603e+18,4.32e+12,3.1286357e+16,1.2315018e+18,2.25444e+18,6.3947308e+20,0,447270.25,0,447270.25,0,1.35e+21,47.970424,1.3928592e-08,47.970424,0,0,1.7506546e+08,-1.4698533e+12,8.6049092e+09,-6.9168552e+10,-3.2407793e+10,-1.2315626e+10,-2.2542399e+10,6.1578128e+08,1.1271199e+09,2.0579491e+10,2.0579491e+10,2.3848026e+11,1.4905016e+10,3068629.5
6000,30,0,84702245,2.9506624e+16,3.0467951e+16,1.8145451e+21,0,8.3684502e+18,3.0133122e+18,4.32e+12,3.1934171e+16,1.1158972e+18,2.6420034e+18,6.5042875e+20,0,861489.88,0,861489.88,0,1.35e+21,83.434616,-1.0897452e-08,83.434616,0,0,1.6378786e+08,-1.0521478e+12,8.4226183e+09,-8.3677677e+10,-3.0134207e+10,-1.1159522e+10,-2.6418162e+10,5.5797611e+08,1.3209081e+09,2.29179e+10,2.29179e+10,2.3261075e+11,1.4538172e+10,4444884.7
8000,40,0,1.0308144e+08,3.9796849e+16,4.4632491e+16,1.8055347e+21,0,9.6501185e+18,2.805643e+18,4.32e+12,3.2379042e+16,1.011189e+18,3.00296e+18,6.5808556e+20,0,1426238.4,0,1426238.4,0,1.35e+21,127.17621,2.0727086e-08,127.17621,0,0,1.5323758e+08,-7.6779905e+11,8.1980291e+09,-9.6495186e+10,-2.8057423e+10,-1.0112389e+10,-3.0027864e+10,5.0561943e+08,1.5013932e+09,2.4987267e+10,2.4987267e+10,2.2592594e+11,1.4120371e+10,6113064.7
10000,50,0,1.2206704e+08,5.0444169e+16,6.0545056e+16,1.7989015e+21,0,1.0771727e+19,2.6154684e+18,4.32e+12,3.2668962e+16,9.1634727e+17,3.3364727e+18,6.6352333e+20,0,2157507.9,0,2157507.9,0,1.35e+21,179.76206,1.4429281e-07,179.76206,0,0,1.4336773e+08,-5.7064813e+11,7.9486919e+09,-1.0771204e+11,-2.6155594e+10,-9.1639239e+09,-3.3363128e+10,4.5819619e+08,1.6681564e+09,2.6797568e+10,2.6797568e+10,2.189044e+11,1.3681525e+10,8072283.7
12000,60,0,1.4140851e+08,6.1504454e+16,7.8069304e+16,1.7939305e+21,0,1.1744667e+19,2.4409475e+18,4.32e+12,3.2837116e+16,8.3043947e+17,3.6425432e+18,6.6744835e+20,0,3069231.9,0,3069231.9,0,1.35e+21,241.80596,-4.8602885e-08,241.80596,0,0,1.3413441e+08,-4.3146116e+11,7.6861201e+09,-1.1744216e+11,-2.4410312e+10,-8.3048033e+09,-3.642397e+10,4.1524017e+08,1.8211985e+09,2.8364153e+10,2.8364153e+10,2.1183489e+11,1.323968e+10,10316682
14000,70,0,1.6089332e+08,7.3021178e+16,9.7070128e+16,1.7901431e+21,0,1.2581236e+19,2.2805045e+18,4.32e+12,3.2907358e+16,7.5262148e+17,3.9217079e+18,6.7032905e+20,0,4173390.6,0,4173390.6,0,1.35e+21,313.95064,1.1955308e-08,313.95064,0,0,1.2549658e+08,-3.3142876e+11,7.4180393e+09,-1.258085e+11,-2.2805814e+10,-7.526585e+09,-3.9215749e+10,3.7632925e+08,1.9607875e+09,2.9704955e+10,2.9704955e+10,2.0489035e+11,1.2805647e+10,12836593
16000,80,0,1.8034338e+08,8.5027156e+16,1.174158e+17,1.7872133e+21,0,1.3293825e+19,2.1327742e+18,4.32e+12,3.2897511e+16,6.8212911e+17,4.1748438e+18,6.7248021e+20,0,5480133.4,0,5480133.4,0,1.35e+21,396.85306,4.1769681e-09,396.85306,0,0,1.1741582e+08,-2.5826395e+11,7.1497247e+09,-1.3293497e+11,-2.1328451e+10,-6.8216264e+09,-4.1747235e+10,3.4108132e+08,2.0873618e+09,3.0838824e+10,3.0838824e+10,1.9817226e+11,1.2385766e+10,15619526
18000,90,0,1.9961131e+08,9.7546085e+16,1.3897931e+17,1.784916e+21,0,1.3894454e+19,1.9965634e+18,4.32e+12,3.2821369e+16,6.1827048e+17,4.4030421e+18,6.7411588e+20,0,6997909.2,0,6997909.2,0,1.35e+21,491.17257,1.1362658e-08,491.17257,0,0,1.0985622e+08,-2.0382246e+11,6.884818e+09,-1.389418e+11,-1.9966288e+10,-6.1830086e+09,-4.402934e+10,3.0915043e+08,2.201467e+09,3.1784548e+10,3.1784548e+10,1.9173753e+11,1.1983596e+10,18650999
