iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6614317e-310,3.8231925e-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971052,9.7001394e+15,7.8952168e+15,1.844626e+21,0,5.2931978e+18,3.4903349e+18,4.32e+12,3.0365129e+16,1.3591407e+18,1.8424462e+18,6.235428e+20,0,4107288.6,0,4107288.6,0,1.35e+21,504.66589,1.4586874e-08,504.66589,0,0,1.8712053e+08,-2.0950113e+12,8.7179032e+09,-5.2923424e+10,-3.4904658e+10,-1.3592077e+10,-1.8422347e+10,6.7960387e+08,9.2111736e+08,1.7972144e+10,1.7972144e+10,2.4274053e+11,1.5171283e+10,1978862
4000,20,0,67221155,1.9503285e+16,1.8098147e+16,1.8270175e+21,0,6.9176244e+18,3.2406701e+18,4.32e+12,3.1290908e+16,1.2315019e+18,2.2545093e+18,6.3947308e+20,0,11073678,0,11073678,0,1.35e+21,1193.4102,-4.7848971e-08,1193.4102,0,0,1.7506546e+08,-1.4698532e+12,8.6061605e+09,-6.9168556e+10,-3.2407891e+10,-1.2315626e+10,-2.2543091e+10,6.1578128e+08,1.1271545e+09,2.0579574e+10,2.0579574e+10,2.3848026e+11,1.4905016e+10,3068640.3
6000,30,0,84702987,2.9506622e+16,3.0228627e+16,1.8145451e+21,0,8.3684521e+18,3.0133379e+18,4.32e+12,3.1943061e+16,1.1158973e+18,2.6421922e+18,6.5042876e+20,0,21263873,0,21263873,0,1.35e+21,2075.6903,0,2075.6903,0,9.765625e-08,1.6378786e+08,-1.0521475e+12,8.4249622e+09,-8.3677696e+10,-3.0134465e+10,-1.1159522e+10,-2.6420049e+10,5.5797612e+08,1.3210025e+09,2.2918127e+10,2.2918127e+10,2.3261076e+11,1.4538172e+10,4444923.6
8000,40,0,1.0308319e+08,3.979687e+16,4.4127308e+16,1.8055347e+21,0,9.6501234e+18,2.8056952e+18,4.32e+12,3.2393889e+16,1.0111891e+18,3.0033549e+18,6.5808559e+20,0,35080482,0,35080482,0,1.35e+21,3163.8977,3.3877768e-08,3163.8977,0,0,1.5323758e+08,-7.6779841e+11,8.2017874e+09,-9.6495235e+10,-2.8057945e+10,-1.0112389e+10,-3.0031812e+10,5.0561945e+08,1.5015906e+09,2.498774e+10,2.498774e+10,2.2592595e+11,1.4120372e+10,6113168.5
10000,50,0,1.2207055e+08,5.0444256e+16,5.962405e+16,1.7989015e+21,0,1.0771738e+19,2.6155596e+18,4.32e+12,3.2691561e+16,9.1634735e+17,3.3371846e+18,6.635234e+20,0,52858204,0,52858204,0,1.35e+21,4472.137,8.762072e-08,4472.137,0,0,1.4336773e+08,-5.7064682e+11,7.9541892e+09,-1.0771215e+11,-2.6156506e+10,-9.1639246e+09,-3.3370246e+10,4.5819623e+08,1.6685123e+09,2.6798417e+10,2.6798417e+10,2.1890442e+11,1.3681526e+10,8072515.9
12000,60,0,1.4141483e+08,6.1504684e+16,7.654386e+16,1.7939306e+21,0,1.1744687e+19,2.4410921e+18,4.32e+12,3.2869403e+16,8.3043959e+17,3.643708e+18,6.6744848e+20,0,74864698,0,74864698,0,1.35e+21,6015.6829,-3.3480319e-08,6015.6829,0,0,1.3413441e+08,-4.3145882e+11,7.6936763e+09,-1.1744236e+11,-2.4411756e+10,-8.3048045e+09,-3.6435615e+10,4.1524023e+08,1.8217808e+09,2.836554e+10,2.836554e+10,2.1183493e+11,1.3239683e+10,10317144
14000,70,0,1.6090386e+08,7.3021676e+16,9.4710885e+16,1.7901431e+21,0,1.2581271e+19,2.2807184e+18,4.32e+12,3.295139e+16,7.5262165e+17,3.9234866e+18,6.7032928e+20,0,1.0130264e+08,0,1.0130264e+08,0,1.35e+21,7810.5324,0,7810.5324,0,9.765625e-08,1.2549658e+08,-3.3142492e+11,7.4279636e+09,-1.2580885e+11,-2.2807953e+10,-7.5265867e+09,-3.9233533e+10,3.7632933e+08,1.9616766e+09,2.9707067e+10,2.9707067e+10,2.0489042e+11,1.2805651e+10,12837433
16000,80,0,1.8035993e+08,8.5028106e+16,1.1395117e+17,1.7872134e+21,0,1.3293881e+19,2.1330749e+18,4.32e+12,3.2955431e+16,6.8212934e+17,4.1774221e+18,6.7248056e+20,0,1.3231251e+08,0,1.3231251e+08,0,1.35e+21,9873.04,0,9873.04,0,9.765625e-08,1.1741582e+08,-2.5825806e+11,7.162311e+09,-1.3293554e+11,-2.1331457e+10,-6.8216287e+09,-4.1773014e+10,3.4108144e+08,2.0886507e+09,3.084188e+10,3.084188e+10,1.9817237e+11,1.2385773e+10,15620959
18000,90,0,1.996361e+08,9.754775e+16,1.3409461e+17,1.7849162e+21,0,1.389454e+19,1.9969692e+18,4.32e+12,3.2895382e+16,6.1827079e+17,4.4066296e+18,6.7411642e+20,0,1.6797595e+08,0,1.6797595e+08,0,1.35e+21,12219.624,3.8637154e-08,12219.624,0,0,1.0985622e+08,-2.0381389e+11,6.9003415e+09,-1.3894266e+11,-1.9970345e+10,-6.1830117e+09,-4.4065209e+10,3.0915058e+08,2.2032605e+09,3.1788791e+10,3.1788791e+10,1.9173769e+11,1.1983606e+10,18653316
