iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6902614e-310,1.1564378e+62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971016,9.7001411e+15,7.9112478e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363612e+16,1.3591407e+18,1.8424339e+18,6.235428e+20,0,442496.8,0,442496.8,0,1.35e+21,54.259839,5.6232473e-08,54.259839,0,0,1.8712053e+08,-2.0950113e+12,8.7174679e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422224e+10,6.7960387e+08,9.2111118e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220934,1.950329e+16,1.8179507e+16,1.8270175e+21,0,6.9176239e+18,3.240661e+18,4.32e+12,3.1286677e+16,1.2315018e+18,2.2544449e+18,6.3947308e+20,0,1195952.1,0,1195952.1,0,1.35e+21,128.31113,-3.5372693e-08,128.31113,0,0,1.7506546e+08,-1.4698533e+12,8.6049973e+09,-6.9168552e+10,-3.24078e+10,-1.2315626e+10,-2.2542448e+10,6.1578128e+08,1.1271224e+09,2.0579497e+10,2.0579497e+10,2.3848026e+11,1.4905016e+10,3068630.2
6000,30,0,84702297,2.9506624e+16,3.0451082e+16,1.8145451e+21,0,8.3684504e+18,3.013314e+18,4.32e+12,3.1934799e+16,1.1158972e+18,2.6420167e+18,6.5042875e+20,0,2303034.8,0,2303034.8,0,1.35e+21,223.17064,0,223.17064,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4227839e+09,-8.3677678e+10,-3.0134226e+10,-1.1159522e+10,-2.6418295e+10,5.5797611e+08,1.3209147e+09,2.2917916e+10,2.2917916e+10,2.3261075e+11,1.4538172e+10,4444887.4
8000,40,0,1.0308156e+08,3.9796851e+16,4.4596805e+16,1.8055347e+21,0,9.6501189e+18,2.8056467e+18,4.32e+12,3.2380094e+16,1.011189e+18,3.0029879e+18,6.5808556e+20,0,3811848,0,3811848,0,1.35e+21,340.17054,4.0458303e-08,340.17054,0,0,1.5323758e+08,-7.6779901e+11,8.1982954e+09,-9.6495189e+10,-2.805746e+10,-1.0112389e+10,-3.0028142e+10,5.0561943e+08,1.5014071e+09,2.4987301e+10,2.4987301e+10,2.2592594e+11,1.4120371e+10,6113072
10000,50,0,1.2206729e+08,5.0444175e+16,6.0479836e+16,1.7989015e+21,0,1.0771728e+19,2.6154749e+18,4.32e+12,3.267057e+16,9.1634728e+17,3.3365231e+18,6.6352333e+20,0,5764679.4,0,5764679.4,0,1.35e+21,480.82703,1.4232461e-07,480.82703,0,0,1.4336773e+08,-5.7064804e+11,7.9490829e+09,-1.0771205e+11,-2.6155659e+10,-9.1639239e+09,-3.3363632e+10,4.581962e+08,1.6681816e+09,2.6797628e+10,2.6797628e+10,2.189044e+11,1.3681525e+10,8072300.1
12000,60,0,1.4140896e+08,6.150447e+16,7.7960987e+16,1.7939305e+21,0,1.1744668e+19,2.4409578e+18,4.32e+12,3.2839421e+16,8.3043948e+17,3.642626e+18,6.6744836e+20,0,8198182.5,0,8198182.5,0,1.35e+21,646.78196,0,646.78196,0,9.765625e-08,1.3413441e+08,-4.31461e+11,7.6866597e+09,-1.1744217e+11,-2.4410414e+10,-8.3048034e+09,-3.6424797e+10,4.1524017e+08,1.8212398e+09,2.8364251e+10,2.8364251e+10,2.1183489e+11,1.323968e+10,10316715
14000,70,0,1.6089407e+08,7.3021214e+16,9.6902103e+16,1.7901431e+21,0,1.2581238e+19,2.2805197e+18,4.32e+12,3.2910517e+16,7.526215e+17,3.9218347e+18,6.7032907e+20,0,11143651,0,11143651,0,1.35e+21,839.75455,0,839.75455,0,9.765625e-08,1.2549658e+08,-3.3142848e+11,7.4187512e+09,-1.2580852e+11,-2.2805967e+10,-7.5265851e+09,-3.9217016e+10,3.7632926e+08,1.9608508e+09,2.9705105e+10,2.9705105e+10,2.0489036e+11,1.2805647e+10,12836653
16000,80,0,1.8034457e+08,8.5027224e+16,1.1716824e+17,1.7872133e+21,0,1.3293829e+19,2.1327957e+18,4.32e+12,3.2901686e+16,6.8212912e+17,4.1750281e+18,6.7248023e+20,0,14627340,0,14627340,0,1.35e+21,1061.5021,0,1061.5021,0,9.765625e-08,1.1741582e+08,-2.5826353e+11,7.1506321e+09,-1.3293502e+11,-2.1328666e+10,-6.8216266e+09,-4.1749079e+10,3.4108133e+08,2.0874539e+09,3.0839043e+10,3.0839043e+10,1.9817227e+11,1.2385767e+10,15619629
18000,90,0,1.9961309e+08,9.7546204e+16,1.3862904e+17,1.784916e+21,0,1.389446e+19,1.9965925e+18,4.32e+12,3.2826733e+16,6.182705e+17,4.4032996e+18,6.7411591e+20,0,18670813,0,18670813,0,1.35e+21,1313.7884,4.1737621e-08,1313.7884,0,0,1.0985622e+08,-2.0382184e+11,6.885943e+09,-1.3894186e+11,-1.9966579e+10,-6.1830088e+09,-4.4031915e+10,3.0915044e+08,2.2015957e+09,3.1784852e+10,3.1784852e+10,1.9173754e+11,1.1983597e+10,18651165
