iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6698152e-310,9.7631021e+235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971056,9.7001392e+15,7.8932826e+15,1.844626e+21,0,5.2931979e+18,3.4903351e+18,4.32e+12,3.0365312e+16,1.3591407e+18,1.8424477e+18,6.235428e+20,0,4549117.4,0,4549117.4,0,1.35e+21,559.09063,2.6295766e-08,559.09063,0,0,1.8712053e+08,-2.0950113e+12,8.7179557e+09,-5.2923424e+10,-3.490466e+10,-1.3592077e+10,-1.8422362e+10,6.7960387e+08,9.211181e+08,1.7972146e+10,1.7972146e+10,2.4274053e+11,1.5171283e+10,1978862.2
4000,20,0,67221181,1.9503285e+16,1.8088349e+16,1.8270175e+21,0,6.9176244e+18,3.2406712e+18,4.32e+12,3.1291417e+16,1.2315019e+18,2.254517e+18,6.3947308e+20,0,12261259,0,12261259,0,1.35e+21,1322.1113,-8.1997769e-09,1322.1113,0,0,1.7506546e+08,-1.4698532e+12,8.6063004e+09,-6.9168557e+10,-3.2407902e+10,-1.2315626e+10,-2.2543168e+10,6.1578129e+08,1.1271584e+09,2.0579583e+10,2.0579583e+10,2.3848026e+11,1.4905016e+10,3068641.5
6000,30,0,84703070,2.9506621e+16,3.0201895e+16,1.8145451e+21,0,8.3684523e+18,3.0133408e+18,4.32e+12,3.1944051e+16,1.1158973e+18,2.6422133e+18,6.5042876e+20,0,23536208,0,23536208,0,1.35e+21,2299.5392,-9.8225428e-11,2299.5392,0,0,1.6378786e+08,-1.0521475e+12,8.4252233e+09,-8.3677698e+10,-3.0134494e+10,-1.1159522e+10,-2.642026e+10,5.5797612e+08,1.321013e+09,2.2918152e+10,2.2918152e+10,2.3261076e+11,1.4538172e+10,4444928
8000,40,0,1.0308339e+08,3.9796872e+16,4.4071028e+16,1.8055348e+21,0,9.650124e+18,2.805701e+18,4.32e+12,3.2395537e+16,1.0111891e+18,3.0033989e+18,6.5808559e+20,0,38814112,0,38814112,0,1.35e+21,3505.1026,-3.1966465e-08,3505.1026,0,0,1.5323758e+08,-7.6779833e+11,8.2022044e+09,-9.649524e+10,-2.8058003e+10,-1.0112389e+10,-3.0032251e+10,5.0561945e+08,1.5016126e+09,2.4987792e+10,2.4987792e+10,2.2592595e+11,1.4120372e+10,6113180.1
10000,50,0,1.2207094e+08,5.0444266e+16,5.9521747e+16,1.7989015e+21,0,1.0771739e+19,2.6155697e+18,4.32e+12,3.2694057e+16,9.1634736e+17,3.3372637e+18,6.635234e+20,0,58458136,0,58458136,0,1.35e+21,4954.4272,1.249964e-07,4954.4272,0,0,1.4336773e+08,-5.7064667e+11,7.9547966e+09,-1.0771216e+11,-2.6156607e+10,-9.1639247e+09,-3.3371036e+10,4.5819624e+08,1.6685518e+09,2.6798512e+10,2.6798512e+10,2.1890442e+11,1.3681526e+10,8072541.7
12000,60,0,1.4141554e+08,6.150471e+16,7.637497e+16,1.7939306e+21,0,1.174469e+19,2.4411081e+18,4.32e+12,3.2872953e+16,8.304396e+17,3.6438369e+18,6.6744849e+20,0,82755365,0,82755365,0,1.35e+21,6664.4357,3.3128345e-08,6664.4357,0,0,1.3413441e+08,-4.3145856e+11,7.6945071e+09,-1.1744238e+11,-2.4411916e+10,-8.3048046e+09,-3.6436904e+10,4.1524023e+08,1.8218452e+09,2.8365693e+10,2.8365693e+10,2.1183493e+11,1.3239683e+10,10317195
14000,70,0,1.6090502e+08,7.3021731e+16,9.4450624e+16,1.7901431e+21,0,1.2581275e+19,2.280742e+18,4.32e+12,3.2956205e+16,7.5262167e+17,3.9236827e+18,6.703293e+20,0,1.1191907e+08,0,1.1191907e+08,0,1.35e+21,8652.8513,0,8652.8513,0,9.765625e-08,1.2549658e+08,-3.3142449e+11,7.4290488e+09,-1.2580889e+11,-2.2808189e+10,-7.5265869e+09,-3.9235494e+10,3.7632934e+08,1.9617747e+09,2.97073e+10,2.97073e+10,2.0489043e+11,1.2805652e+10,12837526
16000,80,0,1.8036175e+08,8.502821e+16,1.1357048e+17,1.7872134e+21,0,1.3293887e+19,2.1331079e+18,4.32e+12,3.2961727e+16,6.8212937e+17,4.1777052e+18,6.724806e+20,0,1.4609185e+08,0,1.4609185e+08,0,1.35e+21,10937.793,-6.9121597e-09,10937.793,0,0,1.1741582e+08,-2.5825741e+11,7.1636792e+09,-1.329356e+11,-2.1331787e+10,-6.821629e+09,-4.1775844e+10,3.4108145e+08,2.0887922e+09,3.0842216e+10,3.0842216e+10,1.9817238e+11,1.2385774e+10,15621117
18000,90,0,1.9963881e+08,9.7547932e+16,1.3356018e+17,1.7849162e+21,0,1.3894549e+19,1.9970136e+18,4.32e+12,3.2903375e+16,6.1827082e+17,4.4070216e+18,6.7411648e+20,0,1.853494e+08,0,1.853494e+08,0,1.35e+21,13537.452,6.5847416e-10,13537.452,0,0,1.0985622e+08,-2.0381294e+11,6.9020179e+09,-1.3894275e+11,-1.9970789e+10,-6.183012e+09,-4.4069129e+10,3.091506e+08,2.2034564e+09,3.1789255e+10,3.1789255e+10,1.9173771e+11,1.1983607e+10,18653569
