iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6601882e-310,3687.3721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971120,9.7001361e+15,7.8647548e+15,1.844626e+21,0,5.2931979e+18,3.4903383e+18,4.32e+12,3.0368007e+16,1.3591407e+18,1.8424697e+18,6.235428e+20,0,11057613,0,11057613,0,1.35e+21,1363.9168,-3.3347987e-08,1363.9168,0,0,1.8712053e+08,-2.0950113e+12,8.7187289e+09,-5.2923425e+10,-3.4904692e+10,-1.3592077e+10,-1.8422582e+10,6.7960387e+08,9.2112909e+08,1.7972173e+10,1.7972173e+10,2.4274053e+11,1.5171283e+10,1978864.7
4000,20,0,67221572,1.9503276e+16,1.7944289e+16,1.8270175e+21,0,6.9176252e+18,3.2406872e+18,4.32e+12,3.1298878e+16,1.2315019e+18,2.254631e+18,6.3947309e+20,0,29673530,0,29673530,0,1.35e+21,3225.3262,1.8701485e-08,3225.3262,0,0,1.7506546e+08,-1.4698531e+12,8.6083516e+09,-6.9168565e+10,-3.2408062e+10,-1.2315626e+10,-2.2544308e+10,6.1578129e+08,1.1272154e+09,2.057972e+10,2.057972e+10,2.3848026e+11,1.4905016e+10,3068659.3
6000,30,0,84704284,2.9506617e+16,2.9810279e+16,1.8145451e+21,0,8.3684553e+18,3.013383e+18,4.32e+12,3.1958496e+16,1.1158973e+18,2.6425223e+18,6.5042878e+20,0,56672886,0,56672886,0,1.35e+21,5609.7896,1.6392733e-08,5609.7896,0,0,1.6378786e+08,-1.0521471e+12,8.4290321e+09,-8.3677728e+10,-3.0134915e+10,-1.1159523e+10,-2.6423348e+10,5.5797614e+08,1.3211674e+09,2.2918522e+10,2.2918522e+10,2.3261077e+11,1.4538173e+10,4444991.7
8000,40,0,1.0308623e+08,3.9796905e+16,4.3249947e+16,1.8055348e+21,0,9.650132e+18,2.8057859e+18,4.32e+12,3.2419423e+16,1.0111892e+18,3.0040407e+18,6.5808564e+20,0,92924277,0,92924277,0,1.35e+21,8550.803,-2.2324457e-08,8550.803,0,0,1.5323758e+08,-7.6779728e+11,8.2082509e+09,-9.6495321e+10,-2.8058851e+10,-1.011239e+10,-3.0038667e+10,5.0561949e+08,1.5019333e+09,2.498856e+10,2.498856e+10,2.2592597e+11,1.4120373e+10,6113348.8
10000,50,0,1.2207661e+08,5.0444404e+16,5.8036134e+16,1.7989015e+21,0,1.0771756e+19,2.6157167e+18,4.32e+12,3.2730006e+16,9.1634748e+17,3.3384114e+18,6.6352352e+20,0,1.3905131e+08,0,1.3905131e+08,0,1.35e+21,12086.497,1.0852818e-07,12086.497,0,0,1.4336773e+08,-5.7064454e+11,7.9635417e+09,-1.0771233e+11,-2.6158077e+10,-9.163926e+09,-3.338251e+10,4.581963e+08,1.6691255e+09,2.6799881e+10,2.6799881e+10,2.1890446e+11,1.3681529e+10,8072916.1
12000,60,0,1.4142564e+08,6.1505075e+16,7.3935012e+16,1.7939306e+21,0,1.1744722e+19,2.4413391e+18,4.32e+12,3.2923674e+16,8.3043979e+17,3.6456981e+18,6.674487e+20,0,1.9543516e+08,0,1.9543516e+08,0,1.35e+21,16258.174,3.2820026e-08,16258.174,0,0,1.3413441e+08,-4.3145477e+11,7.7063774e+09,-1.1744271e+11,-2.4414227e+10,-8.3048066e+09,-3.6455512e+10,4.1524033e+08,1.8227756e+09,2.8367909e+10,2.8367909e+10,2.11835e+11,1.3239687e+10,10317932
14000,70,0,1.6092171e+08,7.3022516e+16,9.0711791e+16,1.7901432e+21,0,1.2581331e+19,2.2810807e+18,4.32e+12,3.302442e+16,7.5262195e+17,3.9264971e+18,6.7032966e+20,0,2.622229e+08,0,2.622229e+08,0,1.35e+21,21109.1,0,21109.1,0,9.765625e-08,1.2549658e+08,-3.3141835e+11,7.4444239e+09,-1.2580945e+11,-2.2811575e+10,-7.5265897e+09,-3.9263631e+10,3.7632948e+08,1.9631816e+09,2.9710645e+10,2.9710645e+10,2.0489054e+11,1.2805659e+10,12838857
16000,80,0,1.8038767e+08,8.50297e+16,1.0813511e+17,1.7872136e+21,0,1.3293977e+19,2.133579e+18,4.32e+12,3.3050097e+16,6.8212975e+17,4.1817408e+18,6.7248117e+20,0,3.3933997e+08,0,3.3933997e+08,0,1.35e+21,26683.52,2.7856004e-08,26683.52,0,0,1.1741582e+08,-2.5824808e+11,7.1828827e+09,-1.329365e+11,-2.1336497e+10,-6.8216329e+09,-4.1816194e+10,3.4108164e+08,2.0908097e+09,3.0847003e+10,3.0847003e+10,1.9817255e+11,1.2385784e+10,15623362
18000,90,0,1.996772e+08,9.7550525e+16,1.2598048e+17,1.7849165e+21,0,1.3894685e+19,1.9976422e+18,4.32e+12,3.3014433e+16,6.1827134e+17,4.4125706e+18,6.7411734e+20,0,4.2650623e+08,0,4.2650623e+08,0,1.35e+21,33025.87,-2.4869223e-08,33025.87,0,0,1.0985622e+08,-2.0379948e+11,6.9253116e+09,-1.3894411e+11,-1.9977074e+10,-6.1830172e+09,-4.4124611e+10,3.0915086e+08,2.2062305e+09,3.1795825e+10,3.1795825e+10,1.9173795e+11,1.1983622e+10,18657156
