iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6880494e-310,-5.2260282e+43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971062,9.7001389e+15,7.890529e+15,1.844626e+21,0,5.2931979e+18,3.4903354e+18,4.32e+12,3.0365573e+16,1.3591407e+18,1.8424499e+18,6.235428e+20,0,5178015,0,5178015,0,1.35e+21,636.60465,4.3303544e-08,636.60465,0,0,1.8712053e+08,-2.0950113e+12,8.7180304e+09,-5.2923424e+10,-3.4904663e+10,-1.3592077e+10,-1.8422383e+10,6.7960387e+08,9.2111916e+08,1.7972149e+10,1.7972149e+10,2.4274053e+11,1.5171283e+10,1978862.4
4000,20,0,67221219,1.9503284e+16,1.8074407e+16,1.8270175e+21,0,6.9176245e+18,3.2406727e+18,4.32e+12,3.1292141e+16,1.2315019e+18,2.2545281e+18,6.3947308e+20,0,13950439,0,13950439,0,1.35e+21,1505.4128,-1.162789e-08,1505.4128,0,0,1.7506546e+08,-1.4698532e+12,8.6064993e+09,-6.9168558e+10,-3.2407917e+10,-1.2315626e+10,-2.2543279e+10,6.1578129e+08,1.1271639e+09,2.0579597e+10,2.0579597e+10,2.3848026e+11,1.4905016e+10,3068643.2
6000,30,0,84703188,2.9506621e+16,3.0163877e+16,1.8145451e+21,0,8.3684526e+18,3.0133449e+18,4.32e+12,3.1945458e+16,1.1158973e+18,2.6422433e+18,6.5042876e+20,0,26765612,0,26765612,0,1.35e+21,2618.3544,0,2618.3544,0,9.765625e-08,1.6378786e+08,-1.0521475e+12,8.4255944e+09,-8.3677701e+10,-3.0134535e+10,-1.1159522e+10,-2.642056e+10,5.5797612e+08,1.321028e+09,2.2918188e+10,2.2918188e+10,2.3261076e+11,1.4538172e+10,4444934.1
8000,40,0,1.0308366e+08,3.9796876e+16,4.3991038e+16,1.8055348e+21,0,9.6501248e+18,2.8057093e+18,4.32e+12,3.2397876e+16,1.0111891e+18,3.0034615e+18,6.580856e+20,0,44115217,0,44115217,0,1.35e+21,3991.0611,-3.697096e-08,3991.0611,0,0,1.5323758e+08,-7.6779823e+11,8.2027966e+09,-9.6495248e+10,-2.8058086e+10,-1.0112389e+10,-3.0032877e+10,5.0561945e+08,1.5016438e+09,2.4987867e+10,2.4987867e+10,2.2592595e+11,1.4120372e+10,6113196.5
10000,50,0,1.220715e+08,5.044428e+16,5.9376449e+16,1.7989015e+21,0,1.077174e+19,2.6155841e+18,4.32e+12,3.2697599e+16,9.1634737e+17,3.337376e+18,6.6352342e+20,0,66400488,0,66400488,0,1.35e+21,5641.3257,1.266344e-07,5641.3257,0,0,1.4336773e+08,-5.7064647e+11,7.9556581e+09,-1.0771218e+11,-2.6156751e+10,-9.1639249e+09,-3.3372159e+10,4.5819624e+08,1.6686079e+09,2.6798646e+10,2.6798646e+10,2.1890443e+11,1.3681527e+10,8072578.3
12000,60,0,1.4141653e+08,6.1504746e+16,7.6135295e+16,1.7939306e+21,0,1.1744693e+19,2.4411308e+18,4.32e+12,3.2877982e+16,8.3043962e+17,3.6440199e+18,6.6744851e+20,0,93933154,0,93933154,0,1.35e+21,7588.418,-3.0720003e-08,7588.418,0,0,1.3413441e+08,-4.3145818e+11,7.695684e+09,-1.1744241e+11,-2.4412143e+10,-8.3048048e+09,-3.6438733e+10,4.1524024e+08,1.8219366e+09,2.8365911e+10,2.8365911e+10,2.1183494e+11,1.3239684e+10,10317267
14000,70,0,1.6090667e+08,7.3021808e+16,9.4081603e+16,1.7901431e+21,0,1.258128e+19,2.2807754e+18,4.32e+12,3.2963017e+16,7.526217e+17,3.9239607e+18,6.7032933e+20,0,1.2693803e+08,0,1.2693803e+08,0,1.35e+21,9852.5196,0,9852.5196,0,9.765625e-08,1.2549658e+08,-3.3142389e+11,7.4305843e+09,-1.2580894e+11,-2.2808523e+10,-7.5265872e+09,-3.9238273e+10,3.7632936e+08,1.9619137e+09,2.9707631e+10,2.9707631e+10,2.0489044e+11,1.2805652e+10,12837658
16000,80,0,1.8036433e+08,8.5028358e+16,1.1303121e+17,1.7872134e+21,0,1.3293896e+19,2.1331546e+18,4.32e+12,3.2970622e+16,6.821294e+17,4.1781061e+18,6.7248066e+20,0,1.6555669e+08,0,1.6555669e+08,0,1.35e+21,12454.264,1.4209945e-08,12454.264,0,0,1.1741582e+08,-2.5825649e+11,7.1656121e+09,-1.3293569e+11,-2.1332255e+10,-6.8216294e+09,-4.1779852e+10,3.4108147e+08,2.0889926e+09,3.0842691e+10,3.0842691e+10,1.9817239e+11,1.2385775e+10,15621340
18000,90,0,1.9964264e+08,9.754819e+16,1.3280393e+17,1.7849162e+21,0,1.3894563e+19,1.9970763e+18,4.32e+12,3.2914649e+16,6.1827087e+17,4.4075761e+18,6.7411657e+20,0,2.0985191e+08,0,2.0985191e+08,0,1.35e+21,15414.366,-2.8283466e-08,15414.366,0,0,1.0985622e+08,-2.0381161e+11,6.9043826e+09,-1.3894288e+11,-1.9971417e+10,-6.1830125e+09,-4.4074674e+10,3.0915063e+08,2.2037337e+09,3.1789911e+10,3.1789911e+10,1.9173773e+11,1.1983608e+10,18653927
