iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6778286e-310,4.6339136e+282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9127639e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363469e+16,1.3591407e+18,1.8424327e+18,6.235428e+20,0,95646.043,0,95646.043,0,1.35e+21,11.726063,-4.6684358e-08,11.726063,0,0,1.8712053e+08,-2.0950113e+12,8.7174267e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.211106e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220913,1.950329e+16,1.8187215e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286276e+16,1.2315018e+18,2.2544388e+18,6.3947308e+20,0,258566.08,0,258566.08,0,1.35e+21,27.729245,2.5485516e-08,27.729245,0,0,1.7506546e+08,-1.4698533e+12,8.604887e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542387e+10,6.1578128e+08,1.1271193e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702231,2.9506624e+16,3.0472203e+16,1.8145451e+21,0,8.3684502e+18,3.0133117e+18,4.32e+12,3.1934013e+16,1.1158972e+18,2.6420001e+18,6.5042875e+20,0,498052.65,0,498052.65,0,1.35e+21,48.229278,0,48.229278,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225765e+09,-8.3677677e+10,-3.0134203e+10,-1.1159522e+10,-2.6418128e+10,5.5797611e+08,1.3209064e+09,2.2917896e+10,2.2917896e+10,2.3261075e+11,1.4538172e+10,4444884
8000,40,0,1.0308141e+08,3.9796849e+16,4.4641488e+16,1.8055347e+21,0,9.6501184e+18,2.805642e+18,4.32e+12,3.2378777e+16,1.011189e+18,3.002953e+18,6.5808556e+20,0,824601.51,0,824601.51,0,1.35e+21,73.514055,-2.0782679e-08,73.514055,0,0,1.5323758e+08,-7.6779906e+11,8.1979619e+09,-9.6495185e+10,-2.8057413e+10,-1.0112388e+10,-3.0027793e+10,5.0561942e+08,1.5013897e+09,2.4987259e+10,2.4987259e+10,2.2592594e+11,1.4120371e+10,6113062.9
10000,50,0,1.2206698e+08,5.0444168e+16,6.0561502e+16,1.7989015e+21,0,1.0771727e+19,2.6154668e+18,4.32e+12,3.2668557e+16,9.1634727e+17,3.33646e+18,6.6352333e+20,0,1247483.5,0,1247483.5,0,1.35e+21,103.91124,1.1248876e-07,103.91124,0,0,1.4336773e+08,-5.7064816e+11,7.9485933e+09,-1.0771204e+11,-2.6155578e+10,-9.1639239e+09,-3.3363001e+10,4.5819619e+08,1.6681501e+09,2.6797553e+10,2.6797553e+10,2.189044e+11,1.3681525e+10,8072279.5
12000,60,0,1.414084e+08,6.150445e+16,7.8096625e+16,1.7939305e+21,0,1.1744667e+19,2.4409449e+18,4.32e+12,3.2836534e+16,8.3043947e+17,3.6425224e+18,6.6744834e+20,0,1774786.6,0,1774786.6,0,1.35e+21,139.77563,-3.0174903e-08,139.77563,0,0,1.3413441e+08,-4.3146121e+11,7.6859839e+09,-1.1744215e+11,-2.4410286e+10,-8.3048033e+09,-3.6423761e+10,4.1524017e+08,1.8211881e+09,2.8364128e+10,2.8364128e+10,2.1183488e+11,1.323968e+10,10316674
14000,70,0,1.6089313e+08,7.302117e+16,9.7112522e+16,1.7901431e+21,0,1.2581235e+19,2.2805006e+18,4.32e+12,3.2906561e+16,7.5262148e+17,3.9216759e+18,6.7032905e+20,0,2413476.8,0,2413476.8,0,1.35e+21,181.47876,0,181.47876,0,9.765625e-08,1.2549658e+08,-3.3142882e+11,7.4178595e+09,-1.2580849e+11,-2.2805776e+10,-7.526585e+09,-3.9215429e+10,3.7632925e+08,1.9607715e+09,2.9704917e+10,2.9704917e+10,2.0489035e+11,1.2805647e+10,12836578
16000,80,0,1.8034309e+08,8.5027139e+16,1.1747828e+17,1.7872133e+21,0,1.3293824e+19,2.1327688e+18,4.32e+12,3.2896456e+16,6.821291e+17,4.1747972e+18,6.724802e+20,0,3169469.9,0,3169469.9,0,1.35e+21,229.40038,0,229.40038,0,9.765625e-08,1.1741582e+08,-2.5826405e+11,7.1494955e+09,-1.3293496e+11,-2.1328397e+10,-6.8216264e+09,-4.174677e+10,3.4108132e+08,2.0873385e+09,3.0838769e+10,3.0838769e+10,1.9817226e+11,1.2385766e+10,15619500
18000,90,0,1.9961086e+08,9.7546055e+16,1.3906775e+17,1.784916e+21,0,1.3894452e+19,1.996556e+18,4.32e+12,3.2820014e+16,6.1827047e+17,4.4029771e+18,6.7411587e+20,0,4047706.6,0,4047706.6,0,1.35e+21,283.92162,0,283.92162,0,9.765625e-08,1.0985622e+08,-2.0382261e+11,6.8845336e+09,-1.3894178e+11,-1.9966214e+10,-6.1830085e+09,-4.402869e+10,3.0915043e+08,2.2014345e+09,3.1784471e+10,3.1784471e+10,1.9173753e+11,1.1983596e+10,18650957
