iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6385107e-310,1.7321758e-181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971084,9.7001379e+15,7.8808723e+15,1.844626e+21,0,5.2931979e+18,3.4903365e+18,4.32e+12,3.0366485e+16,1.3591407e+18,1.8424573e+18,6.235428e+20,0,7382374.5,0,7382374.5,0,1.35e+21,908.72831,5.6707336e-08,908.72831,0,0,1.8712053e+08,-2.0950113e+12,8.7182922e+09,-5.2923425e+10,-3.4904674e+10,-1.3592077e+10,-1.8422458e+10,6.7960387e+08,9.2112288e+08,1.7972158e+10,1.7972158e+10,2.4274053e+11,1.5171283e+10,1978863.3
4000,20,0,67221351,1.9503281e+16,1.8025575e+16,1.8270175e+21,0,6.9176248e+18,3.2406782e+18,4.32e+12,3.1294672e+16,1.2315019e+18,2.2545667e+18,6.3947308e+20,0,19859925,0,19859925,0,1.35e+21,2148.918,-2.8021532e-08,2148.918,0,0,1.7506546e+08,-1.4698532e+12,8.6071954e+09,-6.916856e+10,-3.2407972e+10,-1.2315626e+10,-2.2543665e+10,6.1578129e+08,1.1271832e+09,2.0579643e+10,2.0579643e+10,2.3848026e+11,1.4905016e+10,3068649.3
6000,30,0,84703600,2.950662e+16,3.0030919e+16,1.8145451e+21,0,8.3684536e+18,3.0133592e+18,4.32e+12,3.1950372e+16,1.1158973e+18,2.6423482e+18,6.5042877e+20,0,38038496,0,38038496,0,1.35e+21,3737.5989,0,3737.5989,0,9.765625e-08,1.6378786e+08,-1.0521473e+12,8.42689e+09,-8.3677711e+10,-3.0134678e+10,-1.1159523e+10,-2.6421608e+10,5.5797613e+08,1.3210804e+09,2.2918313e+10,2.2918313e+10,2.3261076e+11,1.4538173e+10,4444955.8
8000,40,0,1.0308463e+08,3.9796887e+16,4.3711767e+16,1.8055348e+21,0,9.6501275e+18,2.8057381e+18,4.32e+12,3.2406023e+16,1.0111891e+18,3.0036797e+18,6.5808561e+20,0,62573049,0,62573049,0,1.35e+21,5697.0862,1.6491867e-08,5697.0862,0,0,1.5323758e+08,-7.6779787e+11,8.2048588e+09,-9.6495276e+10,-2.8058374e+10,-1.0112389e+10,-3.0035059e+10,5.0561947e+08,1.5017529e+09,2.4988128e+10,2.4988128e+10,2.2592596e+11,1.4120372e+10,6113253.9
10000,50,0,1.2207343e+08,5.0444327e+16,5.8870129e+16,1.7989015e+21,0,1.0771746e+19,2.6156342e+18,4.32e+12,3.2709896e+16,9.1634741e+17,3.3377672e+18,6.6352345e+20,0,93975974,0,93975974,0,1.35e+21,8052.7808,1.2037344e-07,8052.7808,0,0,1.4336773e+08,-5.7064574e+11,7.9586496e+09,-1.0771224e+11,-2.6157252e+10,-9.1639253e+09,-3.337607e+10,4.5819626e+08,1.6688035e+09,2.6799113e+10,2.6799113e+10,2.1890444e+11,1.3681527e+10,8072705.9
12000,60,0,1.4141998e+08,6.1504871e+16,7.5301852e+16,1.7939306e+21,0,1.1744704e+19,2.4412097e+18,4.32e+12,3.2895391e+16,8.3043968e+17,3.6446558e+18,6.6744858e+20,0,1.3261828e+08,0,1.3261828e+08,0,1.35e+21,10832.194,0,10832.194,0,9.765625e-08,1.3413441e+08,-4.3145689e+11,7.6997583e+09,-1.1744253e+11,-2.4412933e+10,-8.3048055e+09,-3.6445091e+10,4.1524027e+08,1.8222545e+09,2.8366668e+10,2.8366668e+10,2.1183496e+11,1.3239685e+10,10317519
14000,70,0,1.6091239e+08,7.3022077e+16,9.2801348e+16,1.7901432e+21,0,1.25813e+19,2.2808914e+18,4.32e+12,3.2986517e+16,7.5262179e+17,3.9249248e+18,6.7032946e+20,0,1.7873361e+08,0,1.7873361e+08,0,1.35e+21,14064.141,0,14064.141,0,9.765625e-08,1.2549658e+08,-3.3142179e+11,7.435881e+09,-1.2580913e+11,-2.2809683e+10,-7.5265881e+09,-3.9247912e+10,3.7632941e+08,1.9623956e+09,2.9708776e+10,2.9708776e+10,2.0489048e+11,1.2805655e+10,12838114
16000,80,0,1.8037323e+08,8.5028869e+16,1.1116505e+17,1.7872135e+21,0,1.3293927e+19,2.1333164e+18,4.32e+12,3.3001188e+16,6.8212953e+17,4.1794925e+18,6.7248085e+20,0,2.3242432e+08,0,2.3242432e+08,0,1.35e+21,17778.085,0,17778.085,0,9.765625e-08,1.1741582e+08,-2.582533e+11,7.1722544e+09,-1.32936e+11,-2.1333873e+10,-6.8216307e+09,-4.1793714e+10,3.4108153e+08,2.0896857e+09,3.0844335e+10,3.0844335e+10,1.9817245e+11,1.2385778e+10,15622111
18000,90,0,1.9965587e+08,9.7549082e+16,1.3019403e+17,1.7849163e+21,0,1.3894609e+19,1.9972929e+18,4.32e+12,3.2953232e+16,6.1827105e+17,4.4094885e+18,6.7411686e+20,0,2.9366899e+08,0,2.9366899e+08,0,1.35e+21,22003.61,-4.6067726e-08,22003.61,0,0,1.0985622e+08,-2.0380699e+11,6.9124751e+09,-1.3894335e+11,-1.9973582e+10,-6.1830143e+09,-4.4093794e+10,3.0915071e+08,2.2046897e+09,3.1792175e+10,3.1792175e+10,1.9173781e+11,1.1983613e+10,18655163
20000,100,0,2.1864081e+08,1.1059884e+17,1.4969598e+17,1.7830936e+21,0,1.4394743e+19,1.8717708e+18,4.32e+12,3.2853646e+16,5.6041998e+17,4.6161692e+18,6.7538473e+20,0,3.6233112e+08,0,3.6233112e+08,0,1.35e+21,26770.005,-2.7830538e-08,26770.005,0,0,1.0278416e+08,-1.6260765e+11,6.6590143e+09,-1.4394516e+11,-1.8718311e+10,-5.604475e+09,-4.6160715e+10,2.8022375e+08,2.3080357e+09,3.2570483e+10,3.2570483e+10,1.8561558e+11,1.1600974e+10,21921638
22000,110,0,2.3723231e+08,1.2418778e+17,1.6948684e+17,1.7816328e+21,0,1.4804969e+19,1.7558195e+18,4.32e+12,3.2711397e+16,5.0800923e+17,4.8008604e+18,6.763868e+20,0,4.381687e+08,0,4.381687e+08,0,1.35e+21,32105.945,-2.9089279e-08,32105.945,0,0,96168198,-1.3092371e+11,6.4135517e+09,-1.4804784e+11,-1.7558753e+10,-5.0803417e+09,-4.8007733e+10,2.5401708e+08,2.4003867e+09,3.3196489e+10,3.3196489e+10,1.7981721e+11,1.1238575e+10,25405189
