iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6519583e-310,-6.9085771e-246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971016,9.7001411e+15,7.9111596e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363621e+16,1.3591407e+18,1.842434e+18,6.235428e+20,0,462666.27,0,462666.27,0,1.35e+21,56.733692,7.9607219e-09,56.733692,0,0,1.8712053e+08,-2.0950113e+12,8.7174703e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422224e+10,6.7960387e+08,9.2111122e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220935,1.950329e+16,1.8179059e+16,1.8270175e+21,0,6.9176239e+18,3.2406611e+18,4.32e+12,3.1286701e+16,1.2315018e+18,2.2544453e+18,6.3947308e+20,0,1250448,0,1250448,0,1.35e+21,134.16118,2.7413165e-08,134.16118,0,0,1.7506546e+08,-1.4698533e+12,8.6050038e+09,-6.9168552e+10,-3.2407801e+10,-1.2315626e+10,-2.2542451e+10,6.1578128e+08,1.1271226e+09,2.0579497e+10,2.0579497e+10,2.3848026e+11,1.4905016e+10,3068630.3
6000,30,0,84702301,2.9506624e+16,3.0449854e+16,1.8145451e+21,0,8.3684504e+18,3.0133141e+18,4.32e+12,3.1934845e+16,1.1158972e+18,2.6420177e+18,6.5042875e+20,0,2407939.3,0,2407939.3,0,1.35e+21,233.34559,0,233.34559,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4227959e+09,-8.3677679e+10,-3.0134227e+10,-1.1159522e+10,-2.6418304e+10,5.5797611e+08,1.3209152e+09,2.2917917e+10,2.2917917e+10,2.3261075e+11,1.4538172e+10,4444887.6
8000,40,0,1.0308157e+08,3.9796851e+16,4.4594208e+16,1.8055347e+21,0,9.6501189e+18,2.8056469e+18,4.32e+12,3.2380171e+16,1.011189e+18,3.0029899e+18,6.5808556e+20,0,3985408.4,0,3985408.4,0,1.35e+21,355.67983,-8.8526804e-09,355.67983,0,0,1.5323758e+08,-7.67799e+11,8.1983148e+09,-9.6495189e+10,-2.8057462e+10,-1.0112389e+10,-3.0028163e+10,5.0561943e+08,1.5014081e+09,2.4987303e+10,2.4987303e+10,2.2592594e+11,1.4120371e+10,6113072.6
10000,50,0,1.2206731e+08,5.0444176e+16,6.0475091e+16,1.7989015e+21,0,1.0771728e+19,2.6154753e+18,4.32e+12,3.2670687e+16,9.1634728e+17,3.3365268e+18,6.6352333e+20,0,6027033.9,0,6027033.9,0,1.35e+21,502.74924,1.0790296e-07,502.74924,0,0,1.4336773e+08,-5.7064803e+11,7.9491114e+09,-1.0771205e+11,-2.6155664e+10,-9.1639239e+09,-3.3363669e+10,4.581962e+08,1.6681835e+09,2.6797633e+10,2.6797633e+10,2.189044e+11,1.3681525e+10,8072301.3
12000,60,0,1.4140899e+08,6.1504472e+16,7.7953108e+16,1.7939305e+21,0,1.1744669e+19,2.4409585e+18,4.32e+12,3.2839589e+16,8.3043948e+17,3.642632e+18,6.6744836e+20,0,8571093.6,0,8571093.6,0,1.35e+21,676.27051,4.8646029e-08,676.27051,0,0,1.3413441e+08,-4.3146098e+11,7.686699e+09,-1.1744217e+11,-2.4410422e+10,-8.3048034e+09,-3.6424857e+10,4.1524017e+08,1.8212429e+09,2.8364259e+10,2.8364259e+10,2.1183489e+11,1.3239681e+10,10316717
14000,70,0,1.6089413e+08,7.3021216e+16,9.6889883e+16,1.7901431e+21,0,1.2581239e+19,2.2805208e+18,4.32e+12,3.2910746e+16,7.526215e+17,3.9218439e+18,6.7032907e+20,0,11650251,0,11650251,0,1.35e+21,878.04126,0,878.04126,0,9.765625e-08,1.2549658e+08,-3.3142846e+11,7.418803e+09,-1.2580852e+11,-2.2805978e+10,-7.5265851e+09,-3.9217109e+10,3.7632926e+08,1.9608554e+09,2.9705116e+10,2.9705116e+10,2.0489036e+11,1.2805647e+10,12836657
16000,80,0,1.8034465e+08,8.5027229e+16,1.1715024e+17,1.7872133e+21,0,1.3293829e+19,2.1327973e+18,4.32e+12,3.290199e+16,6.8212912e+17,4.1750415e+18,6.7248023e+20,0,15291891,0,15291891,0,1.35e+21,1109.8989,3.9550287e-08,1109.8989,0,0,1.1741582e+08,-2.582635e+11,7.150698e+09,-1.3293502e+11,-2.1328681e+10,-6.8216266e+09,-4.1749213e+10,3.4108133e+08,2.0874606e+09,3.0839059e+10,3.0839059e+10,1.9817227e+11,1.2385767e+10,15619636
18000,90,0,1.9961321e+08,9.7546213e+16,1.3860358e+17,1.784916e+21,0,1.3894461e+19,1.9965946e+18,4.32e+12,3.2827123e+16,6.182705e+17,4.4033183e+18,6.7411592e+20,0,19518481,0,19518481,0,1.35e+21,1373.6877,-4.3918362e-08,1373.6877,0,0,1.0985622e+08,-2.038218e+11,6.8860247e+09,-1.3894186e+11,-1.99666e+10,-6.1830088e+09,-4.4032102e+10,3.0915044e+08,2.2016051e+09,3.1784874e+10,3.1784874e+10,1.9173755e+11,1.1983597e+10,18651177
