iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6636405e-310,4.4439914e-303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971069,9.7001386e+15,7.8873084e+15,1.844626e+21,0,5.2931979e+18,3.4903357e+18,4.32e+12,3.0365877e+16,1.3591407e+18,1.8424523e+18,6.235428e+20,0,5913401.8,0,5913401.8,0,1.35e+21,727.31254,2.2494874e-08,727.31254,0,0,1.8712053e+08,-2.0950113e+12,8.7181177e+09,-5.2923424e+10,-3.4904667e+10,-1.3592077e+10,-1.8422408e+10,6.7960387e+08,9.211204e+08,1.7972152e+10,1.7972152e+10,2.4274053e+11,1.5171283e+10,1978862.7
4000,20,0,67221263,1.9503283e+16,1.805811e+16,1.8270175e+21,0,6.9176246e+18,3.2406746e+18,4.32e+12,3.1292986e+16,1.2315019e+18,2.254541e+18,6.3947308e+20,0,15923830,0,15923830,0,1.35e+21,1719.9146,-4.500157e-08,1719.9146,0,0,1.7506546e+08,-1.4698532e+12,8.6067318e+09,-6.9168558e+10,-3.2407936e+10,-1.2315626e+10,-2.2543407e+10,6.1578129e+08,1.1271704e+09,2.0579612e+10,2.0579612e+10,2.3848026e+11,1.4905016e+10,3068645.3
6000,30,0,84703325,2.9506621e+16,3.0119469e+16,1.8145451e+21,0,8.3684529e+18,3.0133497e+18,4.32e+12,3.1947101e+16,1.1158973e+18,2.6422784e+18,6.5042877e+20,0,30534355,0,30534355,0,1.35e+21,2991.4359,0,2991.4359,0,9.765625e-08,1.6378786e+08,-1.0521474e+12,8.4260275e+09,-8.3677704e+10,-3.0134582e+10,-1.1159523e+10,-2.642091e+10,5.5797613e+08,1.3210455e+09,2.291823e+10,2.291823e+10,2.3261076e+11,1.4538173e+10,4444941.4
8000,40,0,1.0308399e+08,3.9796879e+16,4.3897681e+16,1.8055348e+21,0,9.6501257e+18,2.8057189e+18,4.32e+12,3.2400603e+16,1.0111891e+18,3.0035344e+18,6.580856e+20,0,50294121,0,50294121,0,1.35e+21,4559.736,-2.2902896e-08,4559.736,0,0,1.5323758e+08,-7.6779811e+11,8.2034869e+09,-9.6495257e+10,-2.8058182e+10,-1.0112389e+10,-3.0033606e+10,5.0561946e+08,1.5016803e+09,2.4987954e+10,2.4987954e+10,2.2592596e+11,1.4120372e+10,6113215.7
10000,50,0,1.2207214e+08,5.0444295e+16,5.9207026e+16,1.7989015e+21,0,1.0771742e+19,2.6156009e+18,4.32e+12,3.2701721e+16,9.1634738e+17,3.3375069e+18,6.6352343e+20,0,75645265,0,75645265,0,1.35e+21,6445.1436,7.8137418e-08,6445.1436,0,0,1.4336773e+08,-5.7064622e+11,7.9566609e+09,-1.077122e+11,-2.6156919e+10,-9.163925e+09,-3.3373467e+10,4.5819625e+08,1.6686734e+09,2.6798802e+10,2.6798802e+10,2.1890443e+11,1.3681527e+10,8072621
12000,60,0,1.4141769e+08,6.1504788e+16,7.5856107e+16,1.7939306e+21,0,1.1744696e+19,2.4411572e+18,4.32e+12,3.2883827e+16,8.3043964e+17,3.6442329e+18,6.6744853e+20,0,1.0692392e+08,0,1.0692392e+08,0,1.35e+21,8669.6752,-3.7822247e-08,8669.6752,0,0,1.3413441e+08,-4.3145775e+11,7.697052e+09,-1.1744245e+11,-2.4412408e+10,-8.304805e+09,-3.6440863e+10,4.1524025e+08,1.8220431e+09,2.8366164e+10,2.8366164e+10,2.1183494e+11,1.3239684e+10,10317352
14000,70,0,1.6090859e+08,7.3021898e+16,9.3652227e+16,1.7901432e+21,0,1.2581287e+19,2.2808143e+18,4.32e+12,3.2970922e+16,7.5262173e+17,3.9242842e+18,6.7032938e+20,0,1.4436324e+08,0,1.4436324e+08,0,1.35e+21,11256.39,0,11256.39,0,1.953125e-07,1.2549658e+08,-3.3142318e+11,7.4323659e+09,-1.25809e+11,-2.2808912e+10,-7.5265875e+09,-3.9241507e+10,3.7632937e+08,1.9620753e+09,2.9708015e+10,2.9708015e+10,2.0489045e+11,1.2805653e+10,12837811
16000,80,0,1.8036732e+08,8.5028529e+16,1.1240452e+17,1.7872134e+21,0,1.3293907e+19,2.133209e+18,4.32e+12,3.2980924e+16,6.8212945e+17,4.1785718e+18,6.7248072e+20,0,1.8809775e+08,0,1.8809775e+08,0,1.35e+21,14228.864,2.6433554e-08,14228.864,0,0,1.1741582e+08,-2.5825542e+11,7.1678508e+09,-1.3293579e+11,-2.1332798e+10,-6.8216298e+09,-4.1784509e+10,3.4108149e+08,2.0892255e+09,3.0843243e+10,3.0843243e+10,1.9817241e+11,1.2385776e+10,15621599
18000,90,0,1.9964709e+08,9.754849e+16,1.3192622e+17,1.7849163e+21,0,1.3894578e+19,1.9971492e+18,4.32e+12,3.2927681e+16,6.1827093e+17,4.4082195e+18,6.7411667e+20,0,2.3816868e+08,0,2.3816868e+08,0,1.35e+21,17610.768,-2.8339855e-08,17610.768,0,0,1.0985622e+08,-2.0381006e+11,6.907116e+09,-1.3894304e+11,-1.9972145e+10,-6.1830131e+09,-4.4081106e+10,3.0915066e+08,2.2040553e+09,3.1790673e+10,3.1790673e+10,1.9173776e+11,1.198361e+10,18654343
20000,100,0,2.1862828e+08,1.1059787e+17,1.5203644e+17,1.7830935e+21,0,1.4394698e+19,1.8715849e+18,4.32e+12,3.2822227e+16,5.6041982e+17,4.6144789e+18,6.7538445e+20,0,2.9453009e+08,0,2.9453009e+08,0,1.35e+21,21425.534,1.4952093e-08,21425.534,0,0,1.0278416e+08,-1.6261191e+11,6.6526467e+09,-1.4394471e+11,-1.8716452e+10,-5.6044735e+09,-4.6143814e+10,2.8022367e+08,2.3071907e+09,3.2568486e+10,3.2568486e+10,1.856155e+11,1.1600969e+10,21920383
