iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6499914e-310,-2.4093342e+175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971114,9.7001364e+15,7.8675547e+15,1.844626e+21,0,5.2931979e+18,3.490338e+18,4.32e+12,3.0367743e+16,1.3591407e+18,1.8424676e+18,6.235428e+20,0,10419522,0,10419522,0,1.35e+21,1284.7536,9.276323e-08,1284.7536,0,0,1.8712053e+08,-2.0950113e+12,8.7186531e+09,-5.2923425e+10,-3.4904689e+10,-1.3592077e+10,-1.842256e+10,6.7960387e+08,9.2112801e+08,1.797217e+10,1.797217e+10,2.4274053e+11,1.5171283e+10,1978864.4
4000,20,0,67221533,1.9503277e+16,1.795839e+16,1.8270175e+21,0,6.9176251e+18,3.2406857e+18,4.32e+12,3.1298149e+16,1.2315019e+18,2.2546199e+18,6.3947308e+20,0,27973204,0,27973204,0,1.35e+21,3038.1248,-2.3937901e-09,3038.1248,0,0,1.7506546e+08,-1.4698531e+12,8.6081512e+09,-6.9168564e+10,-3.2408047e+10,-1.2315626e+10,-2.2544196e+10,6.1578129e+08,1.1272098e+09,2.0579707e+10,2.0579707e+10,2.3848026e+11,1.4905016e+10,3068657.6
6000,30,0,84704166,2.9506618e+16,2.9848494e+16,1.8145451e+21,0,8.368455e+18,3.0133789e+18,4.32e+12,3.1957092e+16,1.1158973e+18,2.6424921e+18,6.5042878e+20,0,53451948,0,53451948,0,1.35e+21,5284.1912,-2.7384885e-08,5284.1912,0,0,1.6378786e+08,-1.0521471e+12,8.4286618e+09,-8.3677725e+10,-3.0134874e+10,-1.1159523e+10,-2.6423047e+10,5.5797614e+08,1.3211523e+09,2.2918486e+10,2.2918486e+10,2.3261076e+11,1.4538173e+10,4444985.5
8000,40,0,1.0308595e+08,3.9796902e+16,4.3329788e+16,1.8055348e+21,0,9.6501313e+18,2.8057776e+18,4.32e+12,3.2417113e+16,1.0111892e+18,3.0039783e+18,6.5808564e+20,0,87692409,0,87692409,0,1.35e+21,8054.5042,4.1177373e-08,8054.5042,0,0,1.5323758e+08,-7.6779738e+11,8.2076661e+09,-9.6495313e+10,-2.8058769e+10,-1.011239e+10,-3.0038043e+10,5.0561948e+08,1.5019021e+09,2.4988485e+10,2.4988485e+10,2.2592597e+11,1.4120373e+10,6113332.4
10000,50,0,1.2207606e+08,5.0444391e+16,5.8180025e+16,1.7989015e+21,0,1.0771754e+19,2.6157025e+18,4.32e+12,3.272655e+16,9.1634747e+17,3.3383002e+18,6.6352351e+20,0,1.3130531e+08,0,1.3130531e+08,0,1.35e+21,11384.98,1.4406578e-07,11384.98,0,0,1.4336773e+08,-5.7064475e+11,7.9627008e+09,-1.0771232e+11,-2.6157935e+10,-9.1639259e+09,-3.3381399e+10,4.5819629e+08,1.6690699e+09,2.6799749e+10,2.6799749e+10,2.1890445e+11,1.3681528e+10,8072879.9
12000,60,0,1.4142467e+08,6.150504e+16,7.4170303e+16,1.7939306e+21,0,1.1744719e+19,2.4413168e+18,4.32e+12,3.2918829e+16,8.3043977e+17,3.6455188e+18,6.6744868e+20,0,1.8467768e+08,0,1.8467768e+08,0,1.35e+21,15314.523,-1.7133061e-08,15314.523,0,0,1.3413441e+08,-4.3145514e+11,7.7052435e+09,-1.1744268e+11,-2.4414004e+10,-8.3048064e+09,-3.6453718e+10,4.1524032e+08,1.8226859e+09,2.8367696e+10,2.8367696e+10,2.1183499e+11,1.3239687e+10,10317861
14000,70,0,1.6092011e+08,7.3022441e+16,9.1070597e+16,1.7901432e+21,0,1.2581326e+19,2.2810482e+18,4.32e+12,3.3017952e+16,7.5262192e+17,3.9262272e+18,6.7032962e+20,0,2.479801e+08,0,2.479801e+08,0,1.35e+21,19883.884,0,19883.884,0,1.953125e-07,1.2549658e+08,-3.3141894e+11,7.442966e+09,-1.2580939e+11,-2.281125e+10,-7.5265894e+09,-3.9260933e+10,3.7632947e+08,1.9630467e+09,2.9710324e+10,2.9710324e+10,2.0489053e+11,1.2805658e+10,12838730
16000,80,0,1.803852e+08,8.5029557e+16,1.0865398e+17,1.7872136e+21,0,1.3293968e+19,2.133534e+18,4.32e+12,3.3041786e+16,6.8212971e+17,4.181356e+18,6.7248112e+20,0,3.2117793e+08,0,3.2117793e+08,0,1.35e+21,25134.737,0,25134.737,0,9.765625e-08,1.1741582e+08,-2.5824898e+11,7.1810766e+09,-1.3293641e+11,-2.1336048e+10,-6.8216325e+09,-4.1812347e+10,3.4108162e+08,2.0906173e+09,3.0846546e+10,3.0846546e+10,1.9817253e+11,1.2385783e+10,15623148
18000,90,0,1.9967356e+08,9.7550278e+16,1.2669992e+17,1.7849165e+21,0,1.3894672e+19,1.9975826e+18,4.32e+12,3.300408e+16,6.1827129e+17,4.4120448e+18,6.7411726e+20,0,4.0404543e+08,0,4.0404543e+08,0,1.35e+21,31108.933,2.8405339e-08,31108.933,0,0,1.0985622e+08,-2.0380077e+11,6.9231401e+09,-1.3894398e+11,-1.9976478e+10,-6.1830167e+09,-4.4119354e+10,3.0915084e+08,2.2059677e+09,3.1795202e+10,3.1795202e+10,1.9173793e+11,1.198362e+10,18656816
