iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6868194e-310,2.6760555e+209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9127586e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363469e+16,1.3591407e+18,1.8424327e+18,6.235428e+20,0,96856.688,0,96856.688,0,1.35e+21,0.11874494,1.1466336e-07,0.11874482,0,0,1.8712053e+08,-2.0950113e+12,8.7174268e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.211106e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220913,1.950329e+16,1.8187189e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286277e+16,1.2315018e+18,2.2544388e+18,6.3947308e+20,0,261838.68,0,261838.68,0,1.35e+21,0.28080249,4.5597102e-08,0.28080244,0,0,1.7506546e+08,-1.4698533e+12,8.6048874e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542387e+10,6.1578128e+08,1.1271193e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702232,2.9506625e+16,3.047213e+16,1.8145451e+21,0,8.3684502e+18,3.0133117e+18,4.32e+12,3.1934016e+16,1.1158972e+18,2.6420001e+18,6.5042875e+20,0,504355.9,0,504355.9,0,1.35e+21,0.48839776,6.954787e-09,0.48839775,0,0,1.6378786e+08,-1.0521478e+12,8.4225772e+09,-8.3677677e+10,-3.0134203e+10,-1.1159522e+10,-2.6418129e+10,5.5797611e+08,1.3209064e+09,2.2917896e+10,2.2917896e+10,2.3261075e+11,1.4538172e+10,4444884
8000,40,0,1.0308141e+08,3.979685e+16,4.4641332e+16,1.8055347e+21,0,9.6501184e+18,2.8056421e+18,4.32e+12,3.2378781e+16,1.011189e+18,3.0029531e+18,6.5808556e+20,0,835036.59,0,835036.59,0,1.35e+21,0.74444615,-4.4165834e-08,0.74444619,0,0,1.5323758e+08,-7.6779906e+11,8.1979631e+09,-9.6495185e+10,-2.8057414e+10,-1.0112388e+10,-3.0027794e+10,5.0561942e+08,1.5013897e+09,2.4987259e+10,2.4987259e+10,2.2592594e+11,1.4120371e+10,6113062.9
10000,50,0,1.2206698e+08,5.044417e+16,6.0561217e+16,1.7989015e+21,0,1.0771727e+19,2.6154668e+18,4.32e+12,3.2668564e+16,9.1634727e+17,3.3364602e+18,6.6352333e+20,0,1263268.5,0,1263268.5,0,1.35e+21,1.0522657,2.3049764e-09,1.0522657,0,0,1.4336773e+08,-5.7064815e+11,7.948595e+09,-1.0771204e+11,-2.6155578e+10,-9.1639239e+09,-3.3363003e+10,4.5819619e+08,1.6681502e+09,2.6797553e+10,2.6797553e+10,2.189044e+11,1.3681525e+10,8072279.6
12000,60,0,1.414084e+08,6.1504453e+16,7.8096151e+16,1.7939305e+21,0,1.1744667e+19,2.440945e+18,4.32e+12,3.2836544e+16,8.3043946e+17,3.6425227e+18,6.6744834e+20,0,1797241.3,0,1797241.3,0,1.35e+21,1.4154495,-3.4527457e-08,1.4154495,0,0,1.3413441e+08,-4.314612e+11,7.6859863e+09,-1.1744215e+11,-2.4410286e+10,-8.3048033e+09,-3.6423765e+10,4.1524016e+08,1.8211882e+09,2.8364129e+10,2.8364129e+10,2.1183488e+11,1.323968e+10,10316674
14000,70,0,1.6089314e+08,7.3021175e+16,9.7111787e+16,1.7901431e+21,0,1.2581235e+19,2.2805007e+18,4.32e+12,3.2906574e+16,7.5262148e+17,3.9216765e+18,6.7032905e+20,0,2444008.7,0,2444008.7,0,1.35e+21,1.8377597,0,1.8377597,0,9.765625e-08,1.2549658e+08,-3.3142882e+11,7.4178627e+09,-1.2580849e+11,-2.2805776e+10,-7.5265849e+09,-3.9215435e+10,3.7632925e+08,1.9607718e+09,2.9704917e+10,2.9704917e+10,2.0489035e+11,1.2805647e+10,12836578
16000,80,0,1.8034309e+08,8.5027146e+16,1.1747719e+17,1.7872133e+21,0,1.3293824e+19,2.1327689e+18,4.32e+12,3.2896475e+16,6.821291e+17,4.174798e+18,6.724802e+20,0,3209560.2,0,3209560.2,0,1.35e+21,2.323042,0,2.323042,0,9.765625e-08,1.1741582e+08,-2.5826405e+11,7.1494995e+09,-1.3293497e+11,-2.1328398e+10,-6.8216263e+09,-4.1746778e+10,3.4108132e+08,2.0873389e+09,3.083877e+10,3.083877e+10,1.9817226e+11,1.2385766e+10,15619501
18000,90,0,1.9961086e+08,9.7546065e+16,1.3906621e+17,1.784916e+21,0,1.3894452e+19,1.9965561e+18,4.32e+12,3.2820037e+16,6.1827046e+17,4.4029782e+18,6.7411587e+20,0,4098898.2,0,4098898.2,0,1.35e+21,2.8751559,0,2.8751559,0,9.765625e-08,1.0985622e+08,-2.0382261e+11,6.8845385e+09,-1.3894178e+11,-1.9966215e+10,-6.1830084e+09,-4.4028701e+10,3.0915042e+08,2.2014351e+09,3.1784472e+10,3.1784472e+10,1.9173753e+11,1.1983596e+10,18650958
20000,100,0,2.1857615e+08,1.1059388e+17,1.617583e+17,1.7830931e+21,0,1.4394515e+19,1.8708116e+18,4.32e+12,3.2688283e+16,5.6041922e+17,4.6074382e+18,6.7538328e+20,0,5116115.6,0,5116115.6,0,1.35e+21,3.4979202,-1.3929062e-08,3.4979202,0,0,1.0278416e+08,-1.6262944e+11,6.6255008e+09,-1.4394288e+11,-1.870872e+10,-5.6044674e+09,-4.6073416e+10,2.8022337e+08,2.3036708e+09,3.2560171e+10,3.2560171e+10,1.8561518e+11,1.1600949e+10,21915156
22000,110,0,2.3714239e+08,1.2418003e+17,1.8543901e+17,1.781632e+21,0,1.4804649e+19,1.7546043e+18,4.32e+12,3.2510254e+16,5.0800826e+17,4.7894725e+18,6.7638475e+20,0,6264473.4,0,6264473.4,0,1.35e+21,4.1950706,2.6107201e-08,4.1950706,0,0,96168198,-1.3095311e+11,6.3741183e+09,-1.4804465e+11,-1.7546602e+10,-5.080332e+09,-4.7893868e+10,2.540166e+08,2.3946934e+09,3.3183061e+10,3.3183061e+10,1.7981666e+11,1.1238542e+10,25395560
24000,120,0,2.5523368e+08,1.3830849e+17,2.1000029e+17,1.7804511e+21,0,1.5134685e+19,1.6471055e+18,4.32e+12,3.2293529e+16,4.6052419e+17,4.9504099e+18,6.7719207e+20,0,7546475.6,0,7546475.6,0,1.35e+21,4.9702283,4.5040264e-08,4.9702282,0,0,89978920,-1.0621635e+11,6.1315555e+09,-1.5134539e+11,-1.6471572e+10,-4.6054678e+09,-4.9503344e+10,2.3027339e+08,2.4751672e+09,3.366922e+10,3.366922e+10,1.7434247e+11,1.0896404e+10,29075349
26000,130,0,2.7279202e+08,1.5297872e+17,2.3534054e+17,1.7794907e+21,0,1.5393642e+19,1.5475744e+18,4.32e+12,3.204457e+16,4.1750214e+17,5.0915856e+18,6.7785603e+20,0,8963942.3,0,8963942.3,0,1.35e+21,5.8268766,1.3265132e-07,5.8268765,0,0,84188806,-8.6615589e+10,5.8985605e+09,-1.5393528e+11,-1.5476222e+10,-4.175226e+09,-5.0915197e+10,2.087613e+08,2.5457598e+09,3.4033546e+10,3.4033546e+10,1.6918624e+11,1.057414e+10,32937796
28000,140,0,2.8977485e+08,1.681865e+17,2.6136467e+17,1.7787061e+21,0,1.5589746e+19,1.455346e+18,4.32e+12,3.1768949e+16,3.7852124e+17,5.2143218e+18,6.7841287e+20,0,10518079,0,10518079,0,1.35e+21,6.7683462,-9.9195168e-09,6.7683462,0,0,78772115,-7.0872334e+10,5.6755728e+09,-1.5589662e+11,-1.4553903e+10,-3.7853979e+09,-5.2142648e+10,1.8926989e+08,2.6071324e+09,3.4289753e+10,3.4289753e+10,1.6433754e+11,1.0271096e+10,36966555
30000,150,0,3.0615285e+08,1.8392464e+17,2.8798393e+17,1.7780636e+21,0,1.5730472e+19,1.3698218e+18,4.32e+12,3.1471518e+16,3.4320043e+17,5.3199139e+18,6.7888863e+20,0,12209542,0,12209542,0,1.35e+21,7.7978055,-5.8401319e-09,7.7978055,0,0,73704762,-5.8068731e+10,5.4628005e+09,-1.5730415e+11,-1.3698629e+10,-3.4321723e+09,-5.3198652e+10,1.7160862e+08,2.6599326e+09,3.44504e+10,3.44504e+10,1.5978349e+11,9.9864681e+09,41145899
32000,160,0,3.2190797e+08,2.0018362e+17,3.1511582e+17,1.7775372e+21,0,1.582259e+19,1.2904612e+18,4.32e+12,3.1156522e+16,3.1119466e+17,5.4096202e+18,6.7930215e+20,0,14038500,0,14038500,0,1.35e+21,8.9182567,0,8.9182567,0,9.765625e-08,68964219,-4.7537479e+10,5.2602779e+09,-1.5822555e+11,-1.2904995e+10,-3.1120989e+09,-5.4095791e+10,1.5560494e+08,2.7047895e+09,3.4526943e+10,3.4526943e+10,1.5551e+11,9.7193748e+09,45460891
34000,170,0,3.3703172e+08,2.169521e+17,3.4268388e+17,1.7771069e+21,0,1.5872211e+19,1.216775e+18,4.32e+12,3.0827693e+16,2.8219152e+17,5.484655e+18,6.7966713e+20,0,16004695,0,16004695,0,1.35e+21,10.132536,3.0850225e-08,10.132536,0,0,64529407,-3.8787334e+10,5.0679091e+09,-1.5872196e+11,-1.2168105e+10,-2.8220531e+09,-5.4846209e+10,1.4110266e+08,2.7423105e+09,3.4529796e+10,3.4529796e+10,1.5150242e+11,9.4689012e+09,49897520
36000,180,0,3.5152368e+08,2.3421743e+17,3.7061747e+17,1.7767568e+21,0,1.5884841e+19,1.1483188e+18,4.32e+12,3.0488315e+16,2.5590811e+17,5.5461836e+18,6.799936e+20,0,18107493,0,18107493,0,1.35e+21,11.443316,1.0754309e-08,11.443316,0,0,60380610,-3.1452143e+10,4.885501e+09,-1.5884843e+11,-1.1483518e+10,-2.5592062e+09,-5.546156e+10,1.2796031e+08,2.773078e+09,3.4468404e+10,3.4468404e+10,1.4774607e+11,9.2341295e+09,54442787
38000,190,0,3.653901e+08,2.51966e+17,3.9885152e+17,1.7764741e+21,0,1.5865427e+19,1.0846886e+18,4.32e+12,3.014128e+16,2.3208829e+17,5.5953191e+18,6.8028895e+20,0,20345937,0,20345937,0,1.35e+21,12.853113,0,12.853113,0,9.765625e-08,56499381,-2.5255607e+10,4.7127894e+09,-1.5865444e+11,-1.0847192e+10,-2.3209962e+09,-5.5952975e+10,1.1604981e+08,2.7976487e+09,3.4351305e+10,3.4351305e+10,1.4422652e+11,9.0141574e+09,59084767
40000,200,0,3.786428e+08,2.701836e+17,4.2732629e+17,1.7762486e+21,0,1.581841e+19,1.0255157e+18,4.32e+12,2.9789134e+16,2.1050009e+17,5.6331204e+18,6.8055863e+20,0,22718792,0,22718792,0,1.35e+21,14.364295,-4.1994346e-08,14.364295,0,0,52868464,-1.9986662e+10,4.5494589e+09,-1.581844e+11,-1.0255443e+10,-2.1051036e+09,-5.6331041e+10,1.0525518e+08,2.8165521e+09,3.4186207e+10,3.4186207e+10,1.4092976e+11,8.8081102e+09,63812641
