iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6530003e-310,-2.8951044e+193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971029,9.7001415e+15,7.9054255e+15,1.844626e+21,0,5.2931978e+18,3.4903337e+18,4.32e+12,3.0364164e+16,1.3591407e+18,1.8424384e+18,6.235428e+20,0,1774061.2,0,1774061.2,0,1.35e+21,2.1769906,-3.894638e-08,2.1769906,0,0,1.8712053e+08,-2.0950113e+12,8.717626e+09,-5.2923424e+10,-3.4904646e+10,-1.3592077e+10,-1.8422268e+10,6.7960387e+08,9.2111342e+08,1.7972135e+10,1.7972135e+10,2.4274053e+11,1.5171283e+10,1978861.1
4000,20,0,67221014,1.9503293e+16,1.8149927e+16,1.8270175e+21,0,6.9176241e+18,3.2406643e+18,4.32e+12,3.1288217e+16,1.2315018e+18,2.2544683e+18,6.3947308e+20,0,4790543.7,0,4790543.7,0,1.35e+21,5.1480462,-2.2263808e-08,5.1480462,0,0,1.7506546e+08,-1.4698533e+12,8.6054206e+09,-6.9168554e+10,-3.2407833e+10,-1.2315626e+10,-2.2542681e+10,6.1578128e+08,1.1271341e+09,2.0579525e+10,2.0579525e+10,2.3848026e+11,1.4905016e+10,3068633.9
6000,30,0,84702548,2.9506634e+16,3.0370106e+16,1.8145451e+21,0,8.368451e+18,3.0133227e+18,4.32e+12,3.1937811e+16,1.1158972e+18,2.6420806e+18,6.5042875e+20,0,9215572.8,0,9215572.8,0,1.35e+21,8.953962,0,8.953962,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.4235779e+09,-8.3677685e+10,-3.0134313e+10,-1.1159522e+10,-2.6418933e+10,5.5797611e+08,1.3209467e+09,2.2917993e+10,2.2917993e+10,2.3261076e+11,1.4538172e+10,4444900.6
8000,40,0,1.0308216e+08,3.979688e+16,4.4425664e+16,1.8055347e+21,0,9.6501205e+18,2.8056644e+18,4.32e+12,3.2385134e+16,1.011189e+18,3.0031217e+18,6.5808557e+20,0,15235057,0,15235057,0,1.35e+21,13.64819,-2.4353348e-08,13.64819,0,0,1.5323758e+08,-7.6779879e+11,8.199571e+09,-9.6495206e+10,-2.8057636e+10,-1.0112388e+10,-3.002948e+10,5.0561942e+08,1.501474e+09,2.4987461e+10,2.4987461e+10,2.2592594e+11,1.4120372e+10,6113107.2
10000,50,0,1.2206848e+08,5.0444244e+16,6.01674e+16,1.7989015e+21,0,1.0771731e+19,2.6155058e+18,4.32e+12,3.2678255e+16,9.1634727e+17,3.3367647e+18,6.6352336e+20,0,23009339,0,23009339,0,1.35e+21,19.291567,9.9754285e-08,19.291566,0,0,1.4336773e+08,-5.7064759e+11,7.9509524e+09,-1.0771209e+11,-2.6155968e+10,-9.1639239e+09,-3.3366047e+10,4.5819619e+08,1.6683024e+09,2.6797916e+10,2.6797916e+10,2.1890441e+11,1.3681525e+10,8072378.9
12000,60,0,1.4141111e+08,6.1504609e+16,7.7442715e+16,1.7939305e+21,0,1.1744675e+19,2.4410069e+18,4.32e+12,3.2850427e+16,8.3043946e+17,3.6430218e+18,6.674484e+20,0,32673766,0,32673766,0,1.35e+21,25.949973,-1.5700863e-10,25.949973,0,0,1.3413441e+08,-4.314602e+11,7.6892353e+09,-1.1744224e+11,-2.4410905e+10,-8.3048033e+09,-3.6428754e+10,4.1524017e+08,1.8214377e+09,2.8364723e+10,2.8364723e+10,2.118349e+11,1.3239681e+10,10316872
14000,70,0,1.6089766e+08,7.3021473e+16,9.6099201e+16,1.7901431e+21,0,1.258125e+19,2.2805925e+18,4.32e+12,3.2925563e+16,7.5262148e+17,3.9224402e+18,6.7032914e+20,0,44339673,0,44339673,0,1.35e+21,33.692399,0,33.692399,0,9.765625e-08,1.2549658e+08,-3.3142718e+11,7.4221424e+09,-1.2580864e+11,-2.2806694e+10,-7.526585e+09,-3.922307e+10,3.7632925e+08,1.9611535e+09,2.9705824e+10,2.9705824e+10,2.0489038e+11,1.2805649e+10,12836939
16000,80,0,1.8035021e+08,8.5027675e+16,1.1598699e+17,1.7872133e+21,0,1.3293848e+19,2.1328982e+18,4.32e+12,3.2921532e+16,6.821291e+17,4.1759076e+18,6.7248035e+20,0,58095594,0,58095594,0,1.35e+21,42.589369,-3.2092444e-09,42.589369,0,0,1.1741582e+08,-2.5826153e+11,7.1549446e+09,-1.3293521e+11,-2.1329691e+10,-6.8216263e+09,-4.1757872e+10,3.4108132e+08,2.0878936e+09,3.0840085e+10,3.0840085e+10,1.981723e+11,1.2385769e+10,15620117
18000,90,0,1.9962156e+08,9.7546946e+16,1.3696032e+17,1.7849161e+21,0,1.3894489e+19,1.9967312e+18,4.32e+12,3.2852169e+16,6.1827047e+17,4.4045259e+18,6.741161e+20,0,74008612,0,74008612,0,1.35e+21,52.711668,2.4284468e-08,52.711668,0,0,1.0985622e+08,-2.0381892e+11,6.8912778e+09,-1.3894215e+11,-1.9967965e+10,-6.1830084e+09,-4.4044176e+10,3.0915042e+08,2.2022088e+09,3.1786302e+10,3.1786302e+10,1.917376e+11,1.19836e+10,18651957
