iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6733529e-310,-7.4621694e-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971050,9.7001417e+15,7.8959789e+15,1.844626e+21,0,5.2931978e+18,3.4903348e+18,4.32e+12,3.0365057e+16,1.3591407e+18,1.8424457e+18,6.235428e+20,0,3933175.4,0,3933175.4,0,1.35e+21,4.8322595,4.83451e-08,4.8322595,0,0,1.8712053e+08,-2.0950113e+12,8.7178825e+09,-5.2923424e+10,-3.4904657e+10,-1.3592077e+10,-1.8422341e+10,6.7960387e+08,9.2111706e+08,1.7972144e+10,1.7972144e+10,2.4274053e+11,1.5171283e+10,1978862
4000,20,0,67221144,1.9503295e+16,1.8102009e+16,1.8270175e+21,0,6.9176244e+18,3.2406697e+18,4.32e+12,3.1290708e+16,1.2315018e+18,2.2545062e+18,6.3947308e+20,0,10605490,0,10605490,0,1.35e+21,11.427104,1.9946803e-08,11.427104,0,0,1.7506546e+08,-1.4698532e+12,8.6061054e+09,-6.9168556e+10,-3.2407887e+10,-1.2315626e+10,-2.254306e+10,6.1578128e+08,1.127153e+09,2.057957e+10,2.057957e+10,2.3848026e+11,1.4905016e+10,3068639.8
6000,30,0,84702954,2.9506647e+16,3.0239166e+16,1.8145451e+21,0,8.368452e+18,3.0133368e+18,4.32e+12,3.194267e+16,1.1158972e+18,2.6421839e+18,6.5042876e+20,0,20367603,0,20367603,0,1.35e+21,19.875091,-4.213496e-08,19.875091,0,0,1.6378786e+08,-1.0521475e+12,8.4248592e+09,-8.3677695e+10,-3.0134454e+10,-1.1159522e+10,-2.6419966e+10,5.5797611e+08,1.3209983e+09,2.2918117e+10,2.2918117e+10,2.3261076e+11,1.4538172e+10,4444921.9
8000,40,0,1.0308311e+08,3.9796919e+16,4.4149506e+16,1.8055347e+21,0,9.6501232e+18,2.8056929e+18,4.32e+12,3.2393239e+16,1.011189e+18,3.0033376e+18,6.5808559e+20,0,33607029,0,33607029,0,1.35e+21,30.294875,-4.7854932e-08,30.294875,0,0,1.5323758e+08,-7.6779843e+11,8.2016228e+09,-9.6495233e+10,-2.8057922e+10,-1.0112388e+10,-3.0031638e+10,5.0561942e+08,1.5015819e+09,2.4987719e+10,2.4987719e+10,2.2592595e+11,1.4120372e+10,6113164
10000,50,0,1.220704e+08,5.0444338e+16,5.9664417e+16,1.7989015e+21,0,1.0771737e+19,2.6155556e+18,4.32e+12,3.2690575e+16,9.1634727e+17,3.3371534e+18,6.6352339e+20,0,50646855,0,50646855,0,1.35e+21,42.821512,8.1112347e-08,42.821512,0,0,1.4336773e+08,-5.7064688e+11,7.9539494e+09,-1.0771214e+11,-2.6156466e+10,-9.1639239e+09,-3.3369934e+10,4.5819619e+08,1.6684967e+09,2.679838e+10,2.679838e+10,2.1890442e+11,1.3681526e+10,8072505.7
12000,60,0,1.4141456e+08,6.1504809e+16,7.661053e+16,1.7939306e+21,0,1.1744686e+19,2.4410857e+18,4.32e+12,3.2868e+16,8.3043947e+17,3.6436571e+18,6.6744847e+20,0,71746602,0,71746602,0,1.35e+21,57.601263,8.9204804e-09,57.601263,0,0,1.3413441e+08,-4.3145892e+11,7.693348e+09,-1.1744235e+11,-2.4411693e+10,-8.3048033e+09,-3.6435106e+10,4.1524017e+08,1.8217553e+09,2.8365479e+10,2.8365479e+10,2.1183492e+11,1.3239683e+10,10317123
14000,70,0,1.609034e+08,7.3021853e+16,9.4813677e+16,1.7901431e+21,0,1.2581269e+19,2.2807091e+18,4.32e+12,3.2949486e+16,7.5262148e+17,3.9234092e+18,6.7032927e+20,0,97104195,0,97104195,0,1.35e+21,74.787306,0,74.787306,0,1.953125e-07,1.2549658e+08,-3.3142508e+11,7.4275344e+09,-1.2580883e+11,-2.280786e+10,-7.526585e+09,-3.9232758e+10,3.7632925e+08,1.9616379e+09,2.9706975e+10,2.9706975e+10,2.0489042e+11,1.2805651e+10,12837397
16000,80,0,1.8035921e+08,8.5028346e+16,1.1410161e+17,1.7872134e+21,0,1.3293879e+19,2.1330618e+18,4.32e+12,3.2952939e+16,6.821291e+17,4.1773102e+18,6.7248055e+20,0,1.2685864e+08,0,1.2685864e+08,0,1.35e+21,94.536239,-3.7160717e-08,94.536239,0,0,1.1741582e+08,-2.5825832e+11,7.1617695e+09,-1.3293551e+11,-2.1331327e+10,-6.8216263e+09,-4.1771896e+10,3.4108132e+08,2.0885948e+09,3.0841747e+10,3.0841747e+10,1.9817236e+11,1.2385773e+10,15620897
18000,90,0,1.9963503e+08,9.7548062e+16,1.3430593e+17,1.7849162e+21,0,1.3894536e+19,1.9969516e+18,4.32e+12,3.2892216e+16,6.1827047e+17,4.4064745e+18,6.741164e+20,0,1.6109316e+08,0,1.6109316e+08,0,1.35e+21,117.00527,1.2739036e-08,117.00527,0,0,1.0985622e+08,-2.0381426e+11,6.8996774e+09,-1.3894262e+11,-1.997017e+10,-6.1830085e+09,-4.4063659e+10,3.0915042e+08,2.203183e+09,3.1788607e+10,3.1788607e+10,1.9173768e+11,1.1983605e+10,18653215
