iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6674965e-310,-9.4400868e+51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9126305e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363481e+16,1.3591407e+18,1.8424328e+18,6.235428e+20,0,126180.7,0,126180.7,0,1.35e+21,0.15469827,1.2311747e-07,0.15469814,0,0,1.8712053e+08,-2.0950113e+12,8.7174303e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422213e+10,6.7960387e+08,9.2111065e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220915,1.9503291e+16,1.8186537e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286311e+16,1.2315018e+18,2.2544393e+18,6.3947308e+20,0,341105.39,0,341105.39,0,1.35e+21,0.36582324,-1.4614738e-09,0.36582324,0,0,1.7506546e+08,-1.4698533e+12,8.6048967e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542392e+10,6.1578128e+08,1.1271196e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.4
6000,30,0,84702237,2.9506625e+16,3.0470344e+16,1.8145451e+21,0,8.3684502e+18,3.0133119e+18,4.32e+12,3.1934082e+16,1.1158972e+18,2.6420015e+18,6.5042875e+20,0,657025.15,0,657025.15,0,1.35e+21,0.63627375,2.2831364e-08,0.63627373,0,0,1.6378786e+08,-1.0521478e+12,8.4225948e+09,-8.3677677e+10,-3.0134205e+10,-1.1159522e+10,-2.6418143e+10,5.5797611e+08,1.3209071e+09,2.2917898e+10,2.2917898e+10,2.3261075e+11,1.4538172e+10,4444884.3
8000,40,0,1.0308142e+08,3.9796851e+16,4.4637552e+16,1.8055347e+21,0,9.6501185e+18,2.8056425e+18,4.32e+12,3.2378893e+16,1.011189e+18,3.0029561e+18,6.5808556e+20,0,1087775,0,1087775,0,1.35e+21,0.96984791,-3.8956202e-08,0.96984795,0,0,1.5323758e+08,-7.6779906e+11,8.1979913e+09,-9.6495185e+10,-2.8057418e+10,-1.0112388e+10,-3.0027824e+10,5.0561942e+08,1.5013912e+09,2.4987263e+10,2.4987263e+10,2.2592594e+11,1.4120371e+10,6113063.7
10000,50,0,1.2206701e+08,5.0444171e+16,6.0554308e+16,1.7989015e+21,0,1.0771727e+19,2.6154675e+18,4.32e+12,3.2668734e+16,9.1634727e+17,3.3364655e+18,6.6352333e+20,0,1645570.4,0,1645570.4,0,1.35e+21,1.3708684,7.8559035e-08,1.3708684,0,0,1.4336773e+08,-5.7064815e+11,7.9486364e+09,-1.0771204e+11,-2.6155585e+10,-9.1639239e+09,-3.3363057e+10,4.5819619e+08,1.6681528e+09,2.679756e+10,2.679756e+10,2.189044e+11,1.3681525e+10,8072281.3
12000,60,0,1.4140845e+08,6.1504456e+16,7.8084674e+16,1.7939305e+21,0,1.1744667e+19,2.4409461e+18,4.32e+12,3.2836788e+16,8.3043946e+17,3.6425315e+18,6.6744834e+20,0,2341062,0,2341062,0,1.35e+21,1.8440162,-4.3811565e-09,1.8440162,0,0,1.3413441e+08,-4.3146119e+11,7.6860435e+09,-1.1744215e+11,-2.4410297e+10,-8.3048033e+09,-3.6423852e+10,4.1524016e+08,1.8211926e+09,2.8364139e+10,2.8364139e+10,2.1183488e+11,1.323968e+10,10316678
14000,70,0,1.6089322e+08,7.302118e+16,9.7093977e+16,1.7901431e+21,0,1.2581236e+19,2.2805023e+18,4.32e+12,3.290691e+16,7.5262148e+17,3.9216899e+18,6.7032905e+20,0,3183416.3,0,3183416.3,0,1.35e+21,2.3941927,0,2.3941927,0,9.765625e-08,1.2549658e+08,-3.3142879e+11,7.4179382e+09,-1.2580849e+11,-2.2805793e+10,-7.5265849e+09,-3.9215569e+10,3.7632925e+08,1.9607785e+09,2.9704933e+10,2.9704933e+10,2.0489035e+11,1.2805647e+10,12836584
16000,80,0,1.8034322e+08,8.5027156e+16,1.1745094e+17,1.7872133e+21,0,1.3293824e+19,2.1327712e+18,4.32e+12,3.2896918e+16,6.821291e+17,4.1748176e+18,6.724802e+20,0,4180409.5,0,4180409.5,0,1.35e+21,3.0264079,0,3.0264079,0,9.765625e-08,1.1741582e+08,-2.5826401e+11,7.1495958e+09,-1.3293497e+11,-2.132842e+10,-6.8216263e+09,-4.1746974e+10,3.4108132e+08,2.0873487e+09,3.0838793e+10,3.0838793e+10,1.9817226e+11,1.2385766e+10,15619511
18000,90,0,1.9961105e+08,9.754608e+16,1.3902906e+17,1.784916e+21,0,1.3894453e+19,1.9965592e+18,4.32e+12,3.2820607e+16,6.1827046e+17,4.4030055e+18,6.7411587e+20,0,5338526.9,0,5338526.9,0,1.35e+21,3.7456898,5.8145697e-09,3.7456898,0,0,1.0985622e+08,-2.0382254e+11,6.884658e+09,-1.3894179e+11,-1.9966246e+10,-6.1830084e+09,-4.4028975e+10,3.0915042e+08,2.2014487e+09,3.1784504e+10,3.1784504e+10,1.9173753e+11,1.1983596e+10,18650975
