iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6618408e-310,2.8952182e-221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971019,9.7001414e+15,7.9096668e+15,1.844626e+21,0,5.2931978e+18,3.4903332e+18,4.32e+12,3.0363762e+16,1.3591407e+18,1.8424351e+18,6.235428e+20,0,804134.45,0,804134.45,0,1.35e+21,0.98624269,1.1631851e-07,0.98624258,0,0,1.8712053e+08,-2.0950113e+12,8.7175108e+09,-5.2923424e+10,-3.4904642e+10,-1.3592077e+10,-1.8422236e+10,6.7960387e+08,9.2111179e+08,1.7972131e+10,1.7972131e+10,2.4274053e+11,1.5171283e+10,1978860.8
4000,20,0,67220956,1.9503291e+16,1.8171471e+16,1.8270175e+21,0,6.917624e+18,3.2406619e+18,4.32e+12,3.1287096e+16,1.2315018e+18,2.2544513e+18,6.3947308e+20,0,2172836.9,0,2172836.9,0,1.35e+21,2.3322208,-3.515543e-08,2.3322208,0,0,1.7506546e+08,-1.4698533e+12,8.6051124e+09,-6.9168552e+10,-3.2407809e+10,-1.2315626e+10,-2.2542511e+10,6.1578128e+08,1.1271256e+09,2.0579504e+10,2.0579504e+10,2.3848026e+11,1.4905016e+10,3068631.2
6000,30,0,84702365,2.9506629e+16,3.0429073e+16,1.8145451e+21,0,8.3684505e+18,3.0133164e+18,4.32e+12,3.1935618e+16,1.1158972e+18,2.6420341e+18,6.5042875e+20,0,4183038.2,0,4183038.2,0,1.35e+21,4.0564153,0,4.0564153,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4229998e+09,-8.367768e+10,-3.0134249e+10,-1.1159522e+10,-2.6418468e+10,5.5797611e+08,1.3209234e+09,2.2917937e+10,2.2917937e+10,2.3261075e+11,1.4538172e+10,4444891
8000,40,0,1.0308172e+08,3.9796863e+16,4.4550262e+16,1.8055347e+21,0,9.6501193e+18,2.8056515e+18,4.32e+12,3.2381466e+16,1.011189e+18,3.0030243e+18,6.5808556e+20,0,6921296.6,0,6921296.6,0,1.35e+21,6.1830408,-6.1521002e-09,6.1830408,0,0,1.5323758e+08,-7.6779895e+11,8.1986426e+09,-9.6495194e+10,-2.8057508e+10,-1.0112388e+10,-3.0028506e+10,5.0561942e+08,1.5014253e+09,2.4987344e+10,2.4987344e+10,2.2592594e+11,1.4120371e+10,6113081.6
10000,50,0,1.2206761e+08,5.0444201e+16,6.0394812e+16,1.7989015e+21,0,1.0771729e+19,2.6154833e+18,4.32e+12,3.2672664e+16,9.1634727e+17,3.3365889e+18,6.6352334e+20,0,10463321,0,10463321,0,1.35e+21,8.7396568,9.7347771e-08,8.7396567,0,0,1.4336773e+08,-5.7064792e+11,7.9495923e+09,-1.0771206e+11,-2.6155743e+10,-9.1639239e+09,-3.3364289e+10,4.5819619e+08,1.6682145e+09,2.6797707e+10,2.6797707e+10,2.189044e+11,1.3681525e+10,8072321.5
12000,60,0,1.4140954e+08,6.1504519e+16,7.7819847e+16,1.7939305e+21,0,1.174467e+19,2.4409712e+18,4.32e+12,3.2842423e+16,8.3043946e+17,3.6427338e+18,6.6744837e+20,0,14874282,0,14874282,0,1.35e+21,11.756107,4.0846324e-08,11.756107,0,0,1.3413441e+08,-4.3146078e+11,7.6873622e+09,-1.1744219e+11,-2.4410548e+10,-8.3048033e+09,-3.6425875e+10,4.1524017e+08,1.8212937e+09,2.836438e+10,2.836438e+10,2.1183489e+11,1.3239681e+10,10316758
14000,70,0,1.6089505e+08,7.3021301e+16,9.6683276e+16,1.7901431e+21,0,1.2581242e+19,2.2805396e+18,4.32e+12,3.2914625e+16,7.5262148e+17,3.9219997e+18,6.7032909e+20,0,20209290,0,20209290,0,1.35e+21,15.263642,0,15.263642,0,9.765625e-08,1.2549658e+08,-3.3142813e+11,7.4196772e+09,-1.2580855e+11,-2.2806165e+10,-7.5265849e+09,-3.9218667e+10,3.7632925e+08,1.9609333e+09,2.9705301e+10,2.9705301e+10,2.0489036e+11,1.2805648e+10,12836731
16000,80,0,1.8034611e+08,8.502737e+16,1.1684601e+17,1.7872133e+21,0,1.3293834e+19,2.1328237e+18,4.32e+12,3.2907113e+16,6.821291e+17,4.1752681e+18,6.7248026e+20,0,26513971,0,26513971,0,1.35e+21,19.294205,0,19.294205,0,9.765625e-08,1.1741582e+08,-2.5826298e+11,7.1518112e+09,-1.3293507e+11,-2.1328946e+10,-6.8216263e+09,-4.1751478e+10,3.4108132e+08,2.0875739e+09,3.0839327e+10,3.0839327e+10,1.9817228e+11,1.2385767e+10,15619762
18000,90,0,1.996154e+08,9.7546438e+16,1.3817341e+17,1.784916e+21,0,1.3894468e+19,1.9966303e+18,4.32e+12,3.2833698e+16,6.1827047e+17,4.4036345e+18,6.7411597e+20,0,33825086,0,33825086,0,1.35e+21,23.879859,2.1597334e-08,23.879859,0,0,1.0985622e+08,-2.0382105e+11,6.8874037e+09,-1.3894194e+11,-1.9966957e+10,-6.1830084e+09,-4.4035263e+10,3.0915042e+08,2.2017632e+09,3.1785248e+10,3.1785248e+10,1.9173756e+11,1.1983597e+10,18651381
20000,100,0,2.1858271e+08,1.1059448e+17,1.6053618e+17,1.7830931e+21,0,1.4394538e+19,1.8709089e+18,4.32e+12,3.2705418e+16,5.6041922e+17,4.6083249e+18,6.7538342e+20,0,42171170,0,42171170,0,1.35e+21,29.052326,-1.2980426e-08,29.052326,0,0,1.0278416e+08,-1.6262725e+11,6.6289735e+09,-1.4394311e+11,-1.8709693e+10,-5.6044674e+09,-4.6082282e+10,2.8022337e+08,2.3041141e+09,3.2561218e+10,3.2561218e+10,1.8561522e+11,1.1600951e+10,21915814
22000,110,0,2.3715159e+08,1.2418094e+17,1.8381095e+17,1.7816321e+21,0,1.4804681e+19,1.7547285e+18,4.32e+12,3.2531328e+16,5.0800826e+17,4.7906383e+18,6.7638496e+20,0,51573168,0,51573168,0,1.35e+21,34.842646,-3.2306801e-08,34.842646,0,0,96168198,-1.3095014e+11,6.3782498e+09,-1.4804497e+11,-1.7547844e+10,-5.080332e+09,-4.7905525e+10,2.540166e+08,2.3952763e+09,3.3184434e+10,3.3184434e+10,1.7981672e+11,1.1238545e+10,25396545
24000,120,0,2.5524623e+08,1.3830983e+17,2.078806e+17,1.7804512e+21,0,1.5134729e+19,1.6472606e+18,4.32e+12,3.2319017e+16,4.6052419e+17,4.9519078e+18,6.7719235e+20,0,62045062,0,62045062,0,1.35e+21,41.280907,-3.3512976e-08,41.280907,0,0,89978920,-1.0621242e+11,6.1363943e+09,-1.5134583e+11,-1.6473123e+10,-4.6054678e+09,-4.9518322e+10,2.3027339e+08,2.4759161e+09,3.3670982e+10,3.3670982e+10,1.7434254e+11,1.0896409e+10,29076779
26000,130,0,2.7280875e+08,1.5298064e+17,2.3263442e+17,1.7794909e+21,0,1.5393701e+19,1.5477644e+18,4.32e+12,3.2074952e+16,4.1750214e+17,5.0934726e+18,6.7785641e+20,0,73594487,0,73594487,0,1.35e+21,48.396055,5.5127011e-08,48.396055,0,0,84188806,-8.6610512e+10,5.9041525e+09,-1.5393587e+11,-1.5478123e+10,-4.1752261e+09,-5.0934065e+10,2.087613e+08,2.5467032e+09,3.4035762e+10,3.4035762e+10,1.6918634e+11,1.0574146e+10,32939816
28000,140,0,2.8979671e+08,1.6818919e+17,2.5796818e+17,1.7787063e+21,0,1.5589823e+19,1.4555749e+18,4.32e+12,3.1804711e+16,3.7852124e+17,5.2166588e+18,6.7841337e+20,0,86223314,0,86223314,0,1.35e+21,56.215775,0,56.215775,0,1.953125e-07,78772115,-7.0865902e+10,5.6819612e+09,-1.5589739e+11,-1.4556193e+10,-3.7853979e+09,-5.2166015e+10,1.8926989e+08,2.6083008e+09,3.4292494e+10,3.4292494e+10,1.6433766e+11,1.0271104e+10,36969344
30000,150,0,3.0618091e+08,1.8392833e+17,2.8378405e+17,1.7780638e+21,0,1.5730571e+19,1.3700938e+18,4.32e+12,3.1513146e+16,3.4320043e+17,5.3227651e+18,6.7888928e+20,0,99928215,0,99928215,0,1.35e+21,64.766405,0,64.766405,0,9.765625e-08,73704762,-5.8060722e+10,5.4700256e+09,-1.5730514e+11,-1.3701349e+10,-3.4321723e+09,-5.3227161e+10,1.7160862e+08,2.661358e+09,3.4453739e+10,3.4453739e+10,1.5978364e+11,9.9864776e+09,41149670
32000,160,0,3.2194343e+08,2.0018857e+17,3.099905e+17,1.7775376e+21,0,1.5822715e+19,1.2907803e+18,4.32e+12,3.1204502e+16,3.1119466e+17,5.413053e+18,6.7930297e+20,0,1.147012e+08,0,1.147012e+08,0,1.35e+21,74.072909,-2.2129782e-08,74.072909,0,0,68964219,-4.7527652e+10,5.2683779e+09,-1.582268e+11,-1.2908185e+10,-3.1120989e+09,-5.4130116e+10,1.5560494e+08,2.7065058e+09,3.4530958e+10,3.4530958e+10,1.5551018e+11,9.7193865e+09,45465899
34000,170,0,3.3707591e+08,2.1695865e+17,3.3650216e+17,1.7771074e+21,0,1.5872366e+19,1.2171452e+18,4.32e+12,3.0882507e+16,2.8219152e+17,5.4887396e+18,6.7966816e+20,0,1.305301e+08,0,1.305301e+08,0,1.35e+21,84.158878,0,84.158878,0,9.765625e-08,64529407,-3.8775433e+10,5.0769196e+09,-1.5872351e+11,-1.2171807e+10,-2.8220532e+09,-5.4887052e+10,1.4110266e+08,2.7443526e+09,3.4534569e+10,3.4534569e+10,1.5150265e+11,9.4689155e+09,49904061
36000,180,0,3.5157805e+08,2.3422595e+17,3.6323965e+17,1.7767574e+21,0,1.588503e+19,1.1487441e+18,4.32e+12,3.0550441e+16,2.5590811e+17,5.5509927e+18,6.7999487e+20,0,1.4739909e+08,0,1.4739909e+08,0,1.35e+21,95.046551,3.8600191e-08,95.046551,0,0,60380610,-3.1437899e+10,4.8954556e+09,-1.5885032e+11,-1.148777e+10,-2.5592062e+09,-5.5509648e+10,1.2796031e+08,2.7754824e+09,3.4474017e+10,3.4474017e+10,1.4774635e+11,9.2341467e+09,54451208
38000,190,0,3.6545624e+08,2.5197692e+17,3.9012932e+17,1.7764749e+21,0,1.5865657e+19,1.0851728e+18,4.32e+12,3.021119e+16,2.3208829e+17,5.6009276e+18,6.802905e+20,0,1.6528909e+08,0,1.6528909e+08,0,1.35e+21,106.75687,2.5500867e-08,106.75687,0,0,56499381,-2.5238736e+10,4.7237196e+09,-1.5865674e+11,-1.0852034e+10,-2.3209962e+09,-5.6009055e+10,1.1604981e+08,2.8004528e+09,3.4357846e+10,3.4357846e+10,1.4422685e+11,9.0141779e+09,59095463
