iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6496787e-310,-1.1318698e+231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971023,9.7001414e+15,7.907957e+15,1.844626e+21,0,5.2931978e+18,3.4903334e+18,4.32e+12,3.0363924e+16,1.3591407e+18,1.8424364e+18,6.235428e+20,0,1195185.8,0,1195185.8,0,1.35e+21,1.4661702,4.8540579e-08,1.4661701,0,0,1.8712053e+08,-2.0950113e+12,8.7175573e+09,-5.2923424e+10,-3.4904644e+10,-1.3592077e+10,-1.8422249e+10,6.7960387e+08,9.2111245e+08,1.7972132e+10,1.7972132e+10,2.4274053e+11,1.5171283e+10,1978860.9
4000,20,0,67220979,1.9503292e+16,1.8162784e+16,1.8270175e+21,0,6.917624e+18,3.2406629e+18,4.32e+12,3.1287548e+16,1.2315018e+18,2.2544581e+18,6.3947308e+20,0,3228643.4,0,3228643.4,0,1.35e+21,3.467131,3.7521435e-09,3.467131,0,0,1.7506546e+08,-1.4698533e+12,8.6052367e+09,-6.9168553e+10,-3.2407819e+10,-1.2315626e+10,-2.254258e+10,6.1578128e+08,1.127129e+09,2.0579513e+10,2.0579513e+10,2.3848026e+11,1.4905016e+10,3068632.3
6000,30,0,84702439,2.9506631e+16,3.0405288e+16,1.8145451e+21,0,8.3684507e+18,3.0133189e+18,4.32e+12,3.1936503e+16,1.1158972e+18,2.6420529e+18,6.5042875e+20,0,6213737.2,0,6213737.2,0,1.35e+21,6.030357,0,6.030357,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.4232331e+09,-8.3677682e+10,-3.0134275e+10,-1.1159522e+10,-2.6418656e+10,5.5797611e+08,1.3209328e+09,2.291796e+10,2.291796e+10,2.3261075e+11,1.4538172e+10,4444894.9
8000,40,0,1.030819e+08,3.979687e+16,4.4499987e+16,1.8055347e+21,0,9.6501198e+18,2.8056567e+18,4.32e+12,3.2382947e+16,1.011189e+18,3.0030636e+18,6.5808556e+20,0,10277743,0,10277743,0,1.35e+21,9.1918466,6.885692e-11,9.1918466,0,0,1.5323758e+08,-7.6779888e+11,8.1990174e+09,-9.6495198e+10,-2.805756e+10,-1.0112388e+10,-3.0028899e+10,5.0561942e+08,1.501445e+09,2.4987391e+10,2.4987391e+10,2.2592594e+11,1.4120371e+10,6113091.9
10000,50,0,1.2206796e+08,5.0444218e+16,6.0303016e+16,1.7989015e+21,0,1.077173e+19,2.6154924e+18,4.32e+12,3.2674922e+16,9.1634727e+17,3.3366598e+18,6.6352335e+20,0,15531365,0,15531365,0,1.35e+21,12.992571,1.0331844e-07,12.992571,0,0,1.4336773e+08,-5.7064779e+11,7.9501417e+09,-1.0771207e+11,-2.6155834e+10,-9.1639239e+09,-3.3364999e+10,4.5819619e+08,1.6682499e+09,2.6797791e+10,2.6797791e+10,2.189044e+11,1.3681525e+10,8072344.7
12000,60,0,1.4141018e+08,6.1504556e+16,7.7667549e+16,1.7939305e+21,0,1.1744672e+19,2.4409856e+18,4.32e+12,3.2845658e+16,8.3043946e+17,3.6428501e+18,6.6744838e+20,0,22069166,0,22069166,0,1.35e+21,17.476898,-1.718179e-08,17.476898,0,0,1.3413441e+08,-4.3146055e+11,7.6881193e+09,-1.1744221e+11,-2.4410692e+10,-8.3048033e+09,-3.6427038e+10,4.1524017e+08,1.8213519e+09,2.8364518e+10,2.8364518e+10,2.118349e+11,1.3239681e+10,10316804
14000,70,0,1.608961e+08,7.302137e+16,9.6447296e+16,1.7901431e+21,0,1.2581245e+19,2.280561e+18,4.32e+12,3.2919049e+16,7.5262148e+17,3.9221777e+18,6.7032911e+20,0,29970255,0,29970255,0,1.35e+21,22.691289,0,22.691289,0,9.765625e-08,1.2549658e+08,-3.3142774e+11,7.4206744e+09,-1.2580859e+11,-2.2806379e+10,-7.5265849e+09,-3.9220446e+10,3.7632925e+08,1.9610223e+09,2.9705512e+10,2.9705512e+10,2.0489037e+11,1.2805648e+10,12836815
16000,80,0,1.8034777e+08,8.5027493e+16,1.1649877e+17,1.7872133e+21,0,1.329384e+19,2.1328538e+18,4.32e+12,3.291295e+16,6.821291e+17,4.1755266e+18,6.724803e+20,0,39299127,0,39299127,0,1.35e+21,28.683233,0,28.683233,0,9.765625e-08,1.1741582e+08,-2.5826239e+11,7.1530796e+09,-1.3293512e+11,-2.1329247e+10,-6.8216263e+09,-4.1754063e+10,3.4108132e+08,2.0877031e+09,3.0839633e+10,3.0839633e+10,1.9817229e+11,1.2385768e+10,15619906
18000,90,0,1.9961789e+08,9.7546643e+16,1.3768276e+17,1.784916e+21,0,1.3894477e+19,1.9966711e+18,4.32e+12,3.2841181e+16,6.1827047e+17,4.4039951e+18,6.7411602e+20,0,50106574,0,50106574,0,1.35e+21,35.5004,3.1806266e-08,35.5004,0,0,1.0985622e+08,-2.0382019e+11,6.8889733e+09,-1.3894202e+11,-1.9967365e+10,-6.1830084e+09,-4.4038869e+10,3.0915042e+08,2.2019434e+09,3.1785675e+10,3.1785675e+10,1.9173757e+11,1.1983598e+10,18651614
