iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6812785e-310,-8.479773e+45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971015,9.7001413e+15,7.9116005e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363579e+16,1.3591407e+18,1.8424336e+18,6.235428e+20,0,361814.41,0,361814.41,0,1.35e+21,0.44364429,4.8547843e-08,0.44364424,0,0,1.8712053e+08,-2.0950113e+12,8.7174583e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422221e+10,6.7960387e+08,9.2111105e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220929,1.9503291e+16,1.81813e+16,1.8270175e+21,0,6.9176239e+18,3.2406608e+18,4.32e+12,3.1286584e+16,1.2315018e+18,2.2544435e+18,6.3947308e+20,0,977941.75,0,977941.75,0,1.35e+21,1.0491093,3.286056e-08,1.0491093,0,0,1.7506546e+08,-1.4698533e+12,8.6049717e+09,-6.9168552e+10,-3.2407798e+10,-1.2315626e+10,-2.2542433e+10,6.1578128e+08,1.1271217e+09,2.0579495e+10,2.0579495e+10,2.3848026e+11,1.4905016e+10,3068630
6000,30,0,84702282,2.9506626e+16,3.0455994e+16,1.8145451e+21,0,8.3684503e+18,3.0133135e+18,4.32e+12,3.1934616e+16,1.1158972e+18,2.6420129e+18,6.5042875e+20,0,1883332.1,0,1883332.1,0,1.35e+21,1.8247084,-6.9934991e-10,1.8247084,0,0,1.6378786e+08,-1.0521478e+12,8.4227356e+09,-8.3677678e+10,-3.013422e+10,-1.1159522e+10,-2.6418256e+10,5.5797611e+08,1.3209128e+09,2.2917912e+10,2.2917912e+10,2.3261075e+11,1.4538172e+10,4444886.6
8000,40,0,1.0308153e+08,3.9796855e+16,4.4607195e+16,1.8055347e+21,0,9.6501188e+18,2.8056456e+18,4.32e+12,3.2379788e+16,1.011189e+18,3.0029798e+18,6.5808556e+20,0,3117404.2,0,3117404.2,0,1.35e+21,2.7813339,-3.0572883e-08,2.7813339,0,0,1.5323758e+08,-7.6779902e+11,8.1982179e+09,-9.6495188e+10,-2.8057449e+10,-1.0112388e+10,-3.0028061e+10,5.0561942e+08,1.5014031e+09,2.4987291e+10,2.4987291e+10,2.2592594e+11,1.4120371e+10,6113069.9
10000,50,0,1.2206722e+08,5.0444181e+16,6.0498822e+16,1.7989015e+21,0,1.0771727e+19,2.615473e+18,4.32e+12,3.2670102e+16,9.1634727e+17,3.3365084e+18,6.6352333e+20,0,4714849.6,0,4714849.6,0,1.35e+21,3.9313826,5.7513506e-08,3.9313825,0,0,1.4336773e+08,-5.7064807e+11,7.9489691e+09,-1.0771205e+11,-2.615564e+10,-9.1639239e+09,-3.3363486e+10,4.5819619e+08,1.6681743e+09,2.6797611e+10,2.6797611e+10,2.189044e+11,1.3681525e+10,8072295.3
12000,60,0,1.4140883e+08,6.1504478e+16,7.7992515e+16,1.7939305e+21,0,1.1744668e+19,2.4409548e+18,4.32e+12,3.283875e+16,8.3043946e+17,3.6426019e+18,6.6744835e+20,0,6705783.7,0,6705783.7,0,1.35e+21,5.2882786,3.2163618e-08,5.2882786,0,0,1.3413441e+08,-4.3146105e+11,7.6865027e+09,-1.1744217e+11,-2.4410384e+10,-8.3048033e+09,-3.6424556e+10,4.1524017e+08,1.8212278e+09,2.8364223e+10,2.8364223e+10,2.1183489e+11,1.323968e+10,10316705
14000,70,0,1.6089385e+08,7.3021222e+16,9.6951002e+16,1.7901431e+21,0,1.2581238e+19,2.2805153e+18,4.32e+12,3.2909598e+16,7.5262148e+17,3.9217978e+18,6.7032906e+20,0,9115971.5,0,9115971.5,0,1.35e+21,6.866079,0,6.866079,0,9.765625e-08,1.2549658e+08,-3.3142856e+11,7.4185441e+09,-1.2580851e+11,-2.2805922e+10,-7.5265849e+09,-3.9216648e+10,3.7632925e+08,1.9608324e+09,2.9705061e+10,2.9705061e+10,2.0489036e+11,1.2805647e+10,12836635
16000,80,0,1.8034422e+08,8.502723e+16,1.1724027e+17,1.7872133e+21,0,1.3293828e+19,2.1327894e+18,4.32e+12,3.2900472e+16,6.821291e+17,4.1749745e+18,6.7248022e+20,0,11967092,0,11967092,0,1.35e+21,8.6791517,0,8.6791517,0,9.765625e-08,1.1741582e+08,-2.5826365e+11,7.1503682e+09,-1.32935e+11,-2.1328603e+10,-6.8216263e+09,-4.1748542e+10,3.4108132e+08,2.0874271e+09,3.0838979e+10,3.0838979e+10,1.9817227e+11,1.2385767e+10,15619599
18000,90,0,1.9961257e+08,9.7546205e+16,1.3873094e+17,1.784916e+21,0,1.3894458e+19,1.996584e+18,4.32e+12,3.2825174e+16,6.1827047e+17,4.4032247e+18,6.741159e+20,0,15277022,0,15277022,0,1.35e+21,10.741917,-4.8086815e-08,10.741917,0,0,1.0985622e+08,-2.0382202e+11,6.8856159e+09,-1.3894184e+11,-1.9966494e+10,-6.1830084e+09,-4.4031166e+10,3.0915042e+08,2.2015583e+09,3.1784764e+10,3.1784764e+10,1.9173754e+11,1.1983596e+10,18651117
