iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6759424e-310,1.6678387e+102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9129685e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363449e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,48833.208,0,48833.208,0,1.35e+21,0.05986724,-4.516791e-08,0.059867285,0,0,1.8712053e+08,-2.0950113e+12,8.7174211e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111052e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220910,1.950329e+16,1.8188256e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286222e+16,1.2315018e+18,2.254438e+18,6.3947308e+20,0,132018.08,0,132018.08,0,1.35e+21,0.14157125,-3.5650399e-08,0.14157129,0,0,1.7506546e+08,-1.4698533e+12,8.6048721e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542378e+10,6.1578128e+08,1.1271189e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702223,2.9506624e+16,3.0475055e+16,1.8145451e+21,0,8.3684502e+18,3.0133114e+18,4.32e+12,3.1933907e+16,1.1158972e+18,2.6419978e+18,6.5042875e+20,0,254303.84,0,254303.84,0,1.35e+21,0.24623387,-1.7984529e-08,0.24623389,0,0,1.6378786e+08,-1.0521478e+12,8.4225485e+09,-8.3677677e+10,-3.01342e+10,-1.1159522e+10,-2.6418106e+10,5.5797611e+08,1.3209053e+09,2.2917894e+10,2.2917894e+10,2.3261075e+11,1.4538172e+10,4444883.5
8000,40,0,1.0308139e+08,3.9796849e+16,4.4647522e+16,1.8055347e+21,0,9.6501184e+18,2.8056414e+18,4.32e+12,3.2378599e+16,1.011189e+18,3.0029483e+18,6.5808556e+20,0,421055.98,0,421055.98,0,1.35e+21,0.37532492,2.2056255e-08,0.3753249,0,0,1.5323758e+08,-7.6779907e+11,8.1979168e+09,-9.6495184e+10,-2.8057407e+10,-1.0112388e+10,-3.0027746e+10,5.0561942e+08,1.5013873e+09,2.4987253e+10,2.4987253e+10,2.2592594e+11,1.4120371e+10,6113061.6
10000,50,0,1.2206694e+08,5.0444168e+16,6.0572533e+16,1.7989015e+21,0,1.0771727e+19,2.6154657e+18,4.32e+12,3.2668285e+16,9.1634727e+17,3.3364515e+18,6.6352333e+20,0,637016.86,0,637016.86,0,1.35e+21,0.53051728,9.3229716e-08,0.53051719,0,0,1.4336773e+08,-5.7064817e+11,7.9485271e+09,-1.0771204e+11,-2.6155567e+10,-9.1639239e+09,-3.3362916e+10,4.5819619e+08,1.6681458e+09,2.6797543e+10,2.6797543e+10,2.189044e+11,1.3681525e+10,8072276.7
12000,60,0,1.4140832e+08,6.1504449e+16,7.8114952e+16,1.7939305e+21,0,1.1744666e+19,2.4409432e+18,4.32e+12,3.2836143e+16,8.3043946e+17,3.6425084e+18,6.6744834e+20,0,906327.28,0,906327.28,0,1.35e+21,0.71362239,2.9425746e-08,0.71362236,0,0,1.3413441e+08,-4.3146123e+11,7.6858925e+09,-1.1744215e+11,-2.4410268e+10,-8.3048033e+09,-3.6423621e+10,4.1524016e+08,1.8211811e+09,2.8364111e+10,2.8364111e+10,2.1183488e+11,1.323968e+10,10316668
14000,70,0,1.6089301e+08,7.3021166e+16,9.7140962e+16,1.7901431e+21,0,1.2581235e+19,2.2804981e+18,4.32e+12,3.2906025e+16,7.5262148e+17,3.9216545e+18,6.7032905e+20,0,1232557.9,0,1232557.9,0,1.35e+21,0.92653709,0,0.92653709,0,9.765625e-08,1.2549658e+08,-3.3142887e+11,7.4177389e+09,-1.2580849e+11,-2.280575e+10,-7.5265849e+09,-3.9215215e+10,3.7632925e+08,1.9607607e+09,2.9704891e+10,2.9704891e+10,2.0489035e+11,1.2805647e+10,12836567
16000,80,0,1.8034289e+08,8.5027131e+16,1.175202e+17,1.7872133e+21,0,1.3293823e+19,2.1327651e+18,4.32e+12,3.2895748e+16,6.821291e+17,4.174766e+18,6.7248019e+20,0,1618745.5,0,1618745.5,0,1.35e+21,1.1712002,0,1.1712002,0,9.765625e-08,1.1741582e+08,-2.5826412e+11,7.1493417e+09,-1.3293496e+11,-2.132836e+10,-6.8216263e+09,-4.1746458e+10,3.4108132e+08,2.0873229e+09,3.0838732e+10,3.0838732e+10,1.9817226e+11,1.2385766e+10,15619483
18000,90,0,1.9961056e+08,9.7546039e+16,1.3912709e+17,1.784916e+21,0,1.3894451e+19,1.9965511e+18,4.32e+12,3.2819104e+16,6.1827046e+17,4.4029334e+18,6.7411586e+20,0,2067432.3,0,2067432.3,0,1.35e+21,1.4495574,-1.7626669e-08,1.4495574,0,0,1.0985622e+08,-2.0382271e+11,6.8843428e+09,-1.3894177e+11,-1.9966165e+10,-6.1830084e+09,-4.4028254e+10,3.0915042e+08,2.2014127e+09,3.1784419e+10,3.1784419e+10,1.9173753e+11,1.1983596e+10,18650929
20000,100,0,2.1857571e+08,1.1059384e+17,1.6184169e+17,1.7830931e+21,0,1.4394513e+19,1.8708049e+18,4.32e+12,3.268711e+16,5.6041922e+17,4.6073776e+18,6.7538327e+20,0,2580704.6,0,2580704.6,0,1.35e+21,1.7635341,0,1.7635341,0,9.765625e-08,1.0278416e+08,-1.6262959e+11,6.6252632e+09,-1.4394287e+11,-1.8708654e+10,-5.6044674e+09,-4.6072811e+10,2.8022337e+08,2.3036406e+09,3.25601e+10,3.25601e+10,1.8561517e+11,1.1600948e+10,21915111
22000,110,0,2.3714176e+08,1.2417997e+17,1.855502e+17,1.781632e+21,0,1.4804647e+19,1.7545958e+18,4.32e+12,3.250881e+16,5.0800826e+17,4.7893928e+18,6.7638474e+20,0,3160232.2,0,3160232.2,0,1.35e+21,2.1150137,-4.5343462e-08,2.1150138,0,0,96168198,-1.3095332e+11,6.3738353e+09,-1.4804462e+11,-1.7546517e+10,-5.080332e+09,-4.7893072e+10,2.540166e+08,2.3946536e+09,3.3182967e+10,3.3182967e+10,1.7981666e+11,1.1238541e+10,25395492
