iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6742449e-310,6.4813403e-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.7001414e+15,7.9108246e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363652e+16,1.3591407e+18,1.8424342e+18,6.235428e+20,0,539306.17,0,539306.17,0,1.35e+21,0.66134334,-1.6017112e-08,0.66134336,0,0,1.8712053e+08,-2.0950113e+12,8.7174794e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422227e+10,6.7960387e+08,9.2111135e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220940,1.9503291e+16,1.8177356e+16,1.8270175e+21,0,6.917624e+18,3.2406613e+18,4.32e+12,3.128679e+16,1.2315018e+18,2.2544466e+18,6.3947308e+20,0,1457507.8,0,1457507.8,0,1.35e+21,1.5639139,3.0050027e-08,1.5639139,0,0,1.7506546e+08,-1.4698533e+12,8.6050281e+09,-6.9168552e+10,-3.2407803e+10,-1.2315626e+10,-2.2542465e+10,6.1578128e+08,1.1271232e+09,2.0579499e+10,2.0579499e+10,2.3848026e+11,1.4905016e+10,3068630.5
6000,30,0,84702315,2.9506627e+16,3.0445189e+16,1.8145451e+21,0,8.3684504e+18,3.0133146e+18,4.32e+12,3.1935019e+16,1.1158972e+18,2.6420214e+18,6.5042875e+20,0,2806499.2,0,2806499.2,0,1.35e+21,2.7201044,4.2180147e-08,2.7201044,0,0,1.6378786e+08,-1.0521478e+12,8.4228417e+09,-8.3677679e+10,-3.0134232e+10,-1.1159522e+10,-2.6418341e+10,5.5797611e+08,1.3209171e+09,2.2917922e+10,2.2917922e+10,2.3261075e+11,1.4538172e+10,4444888.4
8000,40,0,1.0308161e+08,3.9796858e+16,4.4584341e+16,1.8055347e+21,0,9.650119e+18,2.805648e+18,4.32e+12,3.2380462e+16,1.011189e+18,3.0029977e+18,6.5808556e+20,0,4644753.6,0,4644753.6,0,1.35e+21,4.1461523,4.3682043e-08,4.1461522,0,0,1.5323758e+08,-7.6779899e+11,8.1983884e+09,-9.649519e+10,-2.8057472e+10,-1.0112388e+10,-3.002824e+10,5.0561942e+08,1.501412e+09,2.4987312e+10,2.4987312e+10,2.2592594e+11,1.4120371e+10,6113074.6
10000,50,0,1.2206738e+08,5.0444189e+16,6.0457063e+16,1.7989015e+21,0,1.0771728e+19,2.6154771e+18,4.32e+12,3.2671131e+16,9.1634727e+17,3.3365407e+18,6.6352333e+20,0,7023605.3,0,7023605.3,0,1.35e+21,5.8605378,6.5788632e-08,5.8605377,0,0,1.4336773e+08,-5.7064801e+11,7.9492194e+09,-1.0771205e+11,-2.6155682e+10,-9.1639239e+09,-3.3363808e+10,4.5819619e+08,1.6681904e+09,2.6797649e+10,2.6797649e+10,2.189044e+11,1.3681525e+10,8072305.8
12000,60,0,1.4140912e+08,6.1504495e+16,7.7923176e+16,1.7939305e+21,0,1.1744669e+19,2.4409614e+18,4.32e+12,3.2840226e+16,8.3043946e+17,3.6426548e+18,6.6744836e+20,0,9987468,0,9987468,0,1.35e+21,7.8832725,-3.9831926e-08,7.8832726,0,0,1.3413441e+08,-4.3146094e+11,7.686848e+09,-1.1744218e+11,-2.441045e+10,-8.3048033e+09,-3.6425086e+10,4.1524017e+08,1.8212543e+09,2.8364286e+10,2.8364286e+10,2.1183489e+11,1.3239681e+10,10316726
14000,70,0,1.6089433e+08,7.3021254e+16,9.6843467e+16,1.7901431e+21,0,1.2581239e+19,2.280525e+18,4.32e+12,3.2911618e+16,7.5262148e+17,3.9218789e+18,6.7032907e+20,0,13574165,0,13574165,0,1.35e+21,10.235312,0,10.235312,0,9.765625e-08,1.2549658e+08,-3.3142839e+11,7.4189995e+09,-1.2580853e+11,-2.280602e+10,-7.5265849e+09,-3.9217459e+10,3.7632925e+08,1.9608729e+09,2.9705158e+10,2.9705158e+10,2.0489036e+11,1.2805647e+10,12836673
16000,80,0,1.8034498e+08,8.5027286e+16,1.1708188e+17,1.7872133e+21,0,1.329383e+19,2.1328032e+18,4.32e+12,3.2903142e+16,6.821291e+17,4.1750925e+18,6.7248024e+20,0,17815321,0,17815321,0,1.35e+21,12.938075,0,12.938075,0,9.765625e-08,1.1741582e+08,-2.5826338e+11,7.1509483e+09,-1.3293503e+11,-2.1328741e+10,-6.8216263e+09,-4.1749722e+10,3.4108132e+08,2.0874861e+09,3.0839119e+10,3.0839119e+10,1.9817227e+11,1.2385767e+10,15619664
18000,90,0,1.9961371e+08,9.7546298e+16,1.3850689e+17,1.784916e+21,0,1.3894462e+19,1.9966026e+18,4.32e+12,3.2828602e+16,6.1827047e+17,4.4033894e+18,6.7411593e+20,0,22736778,0,22736778,0,1.35e+21,16.01306,-3.8911558e-09,16.01306,0,0,1.0985622e+08,-2.0382163e+11,6.8863349e+09,-1.3894188e+11,-1.996668e+10,-6.1830084e+09,-4.4032813e+10,3.0915042e+08,2.2016406e+09,3.1784958e+10,3.1784958e+10,1.9173755e+11,1.1983597e+10,18651223
