iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6436405e-310,8.9750738e+238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.7001413e+15,7.9131173e+15,1.844626e+21,0,5.2931978e+18,3.4903328e+18,4.32e+12,3.0363435e+16,1.3591407e+18,1.8424324e+18,6.235428e+20,0,14798.22,0,14798.22,0,1.35e+21,0.018141588,-1.3693986e-08,0.018141602,0,0,1.8712053e+08,-2.0950113e+12,8.7174171e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422209e+10,6.7960387e+08,9.2111046e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220908,1.950329e+16,1.8189013e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286182e+16,1.2315018e+18,2.2544374e+18,6.3947308e+20,0,40007.142,0,40007.142,0,1.35e+21,0.04290038,-1.0900243e-08,0.042900391,0,0,1.7506546e+08,-1.4698533e+12,8.6048612e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542372e+10,6.1578128e+08,1.1271186e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702216,2.9506624e+16,3.0477128e+16,1.8145451e+21,0,8.3684502e+18,3.0133112e+18,4.32e+12,3.193383e+16,1.1158972e+18,2.6419962e+18,6.5042875e+20,0,77067.011,0,77067.011,0,1.35e+21,0.074616323,0,0.074616323,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225282e+09,-8.3677676e+10,-3.0134197e+10,-1.1159522e+10,-2.6418089e+10,5.5797611e+08,1.3209045e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.2
8000,40,0,1.0308137e+08,3.9796848e+16,4.4651909e+16,1.8055347e+21,0,9.6501183e+18,2.805641e+18,4.32e+12,3.2378469e+16,1.011189e+18,3.0029448e+18,6.5808556e+20,0,127605.26,0,127605.26,0,1.35e+21,0.11373482,-3.9459594e-08,0.11373486,0,0,1.5323758e+08,-7.6779908e+11,8.1978841e+09,-9.6495184e+10,-2.8057403e+10,-1.0112388e+10,-3.0027712e+10,5.0561942e+08,1.5013856e+09,2.4987249e+10,2.4987249e+10,2.2592594e+11,1.4120371e+10,6113060.7
10000,50,0,1.2206691e+08,5.0444166e+16,6.0580555e+16,1.7989015e+21,0,1.0771726e+19,2.6154649e+18,4.32e+12,3.2668087e+16,9.1634727e+17,3.3364453e+18,6.6352333e+20,0,193060.97,0,193060.97,0,1.35e+21,0.16076281,1.1224618e-07,0.1607627,0,0,1.4336773e+08,-5.7064818e+11,7.948479e+09,-1.0771204e+11,-2.6155559e+10,-9.1639239e+09,-3.3362854e+10,4.5819619e+08,1.6681427e+09,2.6797535e+10,2.6797535e+10,2.189044e+11,1.3681525e+10,8072274.7
12000,60,0,1.4140827e+08,6.1504446e+16,7.8128279e+16,1.7939305e+21,0,1.1744666e+19,2.4409419e+18,4.32e+12,3.2835859e+16,8.3043946e+17,3.6424982e+18,6.6744834e+20,0,274691.48,0,274691.48,0,1.35e+21,0.2162492,-2.0017629e-08,0.21624922,0,0,1.3413441e+08,-4.3146125e+11,7.6858261e+09,-1.1744215e+11,-2.4410256e+10,-8.3048033e+09,-3.6423519e+10,4.1524016e+08,1.821176e+09,2.8364099e+10,2.8364099e+10,2.1183488e+11,1.323968e+10,10316664
14000,70,0,1.6089291e+08,7.302116e+16,9.7161645e+16,1.7901431e+21,0,1.2581235e+19,2.2804962e+18,4.32e+12,3.2905636e+16,7.5262148e+17,3.9216389e+18,6.7032904e+20,0,373581.9,0,373581.9,0,1.35e+21,0.28076879,0,0.28076879,0,9.765625e-08,1.2549658e+08,-3.314289e+11,7.4176512e+09,-1.2580848e+11,-2.2805731e+10,-7.5265849e+09,-3.9215059e+10,3.7632925e+08,1.9607529e+09,2.9704873e+10,2.9704873e+10,2.0489035e+11,1.2805647e+10,12836560
16000,80,0,1.8034274e+08,8.502712e+16,1.1755069e+17,1.7872133e+21,0,1.3293823e+19,2.1327625e+18,4.32e+12,3.2895234e+16,6.821291e+17,4.1747433e+18,6.7248019e+20,0,490656.2,0,490656.2,0,1.35e+21,0.35490909,0,0.35490909,0,9.765625e-08,1.1741582e+08,-2.5826417e+11,7.1492298e+09,-1.3293495e+11,-2.1328334e+10,-6.8216263e+09,-4.1746231e+10,3.4108131e+08,2.0873115e+09,3.0838705e+10,3.0838705e+10,1.9817226e+11,1.2385766e+10,15619470
18000,90,0,1.9961034e+08,9.7546021e+16,1.3917025e+17,1.784916e+21,0,1.3894451e+19,1.9965475e+18,4.32e+12,3.2818442e+16,6.1827046e+17,4.4029017e+18,6.7411585e+20,0,626688.99,0,626688.99,0,1.35e+21,0.43925974,-2.7250561e-08,0.43925977,0,0,1.0985622e+08,-2.0382279e+11,6.8842039e+09,-1.3894176e+11,-1.9966129e+10,-6.1830084e+09,-4.4027937e+10,3.0915042e+08,2.2013968e+09,3.1784382e+10,3.1784382e+10,1.9173753e+11,1.1983595e+10,18650908
20000,100,0,2.1857539e+08,1.1059382e+17,1.6190083e+17,1.7830931e+21,0,1.4394512e+19,1.8708002e+18,4.32e+12,3.2686279e+16,5.6041922e+17,4.6073347e+18,6.7538326e+20,0,782317.42,0,782317.42,0,1.35e+21,0.53440414,3.9794596e-08,0.5344041,0,0,1.0278416e+08,-1.6262969e+11,6.6250947e+09,-1.4394285e+11,-1.8708607e+10,-5.6044674e+09,-4.6072382e+10,2.8022337e+08,2.3036191e+09,3.2560049e+10,3.2560049e+10,1.8561517e+11,1.1600948e+10,21915079
