iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6516435e-310,8.9633781e-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971017,9.7001414e+15,7.9106541e+15,1.844626e+21,0,5.2931978e+18,3.4903331e+18,4.32e+12,3.0363669e+16,1.3591407e+18,1.8424343e+18,6.235428e+20,0,578295.9,0,578295.9,0,1.35e+21,0.70917117,-2.491005e-08,0.70917119,0,0,1.8712053e+08,-2.0950113e+12,8.717484e+09,-5.2923424e+10,-3.4904641e+10,-1.3592077e+10,-1.8422228e+10,6.7960387e+08,9.2111141e+08,1.797213e+10,1.797213e+10,2.4274053e+11,1.5171283e+10,1978860.7
4000,20,0,67220942,1.9503291e+16,1.8176489e+16,1.8270175e+21,0,6.917624e+18,3.2406614e+18,4.32e+12,3.1286835e+16,1.2315018e+18,2.2544473e+18,6.3947308e+20,0,1562839.1,0,1562839.1,0,1.35e+21,1.6770149,-3.4783954e-08,1.6770149,0,0,1.7506546e+08,-1.4698533e+12,8.6050405e+09,-6.9168552e+10,-3.2407804e+10,-1.2315626e+10,-2.2542471e+10,6.1578128e+08,1.1271236e+09,2.05795e+10,2.05795e+10,2.3848026e+11,1.4905016e+10,3068630.6
6000,30,0,84702323,2.9506627e+16,3.0442816e+16,1.8145451e+21,0,8.3684504e+18,3.0133149e+18,4.32e+12,3.1935107e+16,1.1158972e+18,2.6420233e+18,6.5042875e+20,0,3009228.5,0,3009228.5,0,1.35e+21,2.9168202,2.6823581e-08,2.9168202,0,0,1.6378786e+08,-1.0521478e+12,8.422865e+09,-8.3677679e+10,-3.0134234e+10,-1.1159522e+10,-2.641836e+10,5.5797611e+08,1.320918e+09,2.2917924e+10,2.2917924e+10,2.3261075e+11,1.4538172e+10,4444888.7
8000,40,0,1.0308162e+08,3.9796859e+16,4.4579322e+16,1.8055347e+21,0,9.650119e+18,2.8056485e+18,4.32e+12,3.238061e+16,1.011189e+18,3.0030016e+18,6.5808556e+20,0,4980097.9,0,4980097.9,0,1.35e+21,4.4459988,-3.4926931e-08,4.4459988,0,0,1.5323758e+08,-7.6779898e+11,8.1984259e+09,-9.6495191e+10,-2.8057478e+10,-1.0112388e+10,-3.0028279e+10,5.0561942e+08,1.501414e+09,2.4987317e+10,2.4987317e+10,2.2592594e+11,1.4120371e+10,6113075.6
10000,50,0,1.2206741e+08,5.0444191e+16,6.0447894e+16,1.7989015e+21,0,1.0771728e+19,2.615478e+18,4.32e+12,3.2671357e+16,9.1634727e+17,3.3365478e+18,6.6352334e+20,0,7530404.7,0,7530404.7,0,1.35e+21,6.2843674,6.3309802e-09,6.2843674,0,0,1.4336773e+08,-5.7064799e+11,7.9492743e+09,-1.0771205e+11,-2.6155691e+10,-9.1639239e+09,-3.3363879e+10,4.5819619e+08,1.668194e+09,2.6797658e+10,2.6797658e+10,2.189044e+11,1.3681525e+10,8072308.2
12000,60,0,1.4140918e+08,6.1504498e+16,7.7907954e+16,1.7939305e+21,0,1.1744669e+19,2.4409628e+18,4.32e+12,3.284055e+16,8.3043946e+17,3.6426665e+18,6.6744836e+20,0,10707662,0,10707662,0,1.35e+21,8.453385,3.5043518e-08,8.453385,0,0,1.3413441e+08,-4.3146092e+11,7.6869238e+09,-1.1744218e+11,-2.4410464e+10,-8.3048033e+09,-3.6425202e+10,4.1524017e+08,1.8212601e+09,2.83643e+10,2.83643e+10,2.1183489e+11,1.3239681e+10,10316731
14000,70,0,1.6089444e+08,7.302126e+16,9.6819863e+16,1.7901431e+21,0,1.258124e+19,2.2805272e+18,4.32e+12,3.2912062e+16,7.5262148e+17,3.9218967e+18,6.7032908e+20,0,14552291,0,14552291,0,1.35e+21,10.975522,0,10.975522,0,9.765625e-08,1.2549658e+08,-3.3142835e+11,7.4190994e+09,-1.2580853e+11,-2.2806041e+10,-7.5265849e+09,-3.9217637e+10,3.7632925e+08,1.9608818e+09,2.9705179e+10,2.9705179e+10,2.0489036e+11,1.2805648e+10,12836682
16000,80,0,1.8034515e+08,8.5027298e+16,1.1704712e+17,1.7872133e+21,0,1.3293831e+19,2.1328062e+18,4.32e+12,3.2903727e+16,6.821291e+17,4.1751183e+18,6.7248024e+20,0,19098039,0,19098039,0,1.35e+21,13.873748,-1.3626595e-08,13.873748,0,0,1.1741582e+08,-2.5826332e+11,7.1510755e+09,-1.3293503e+11,-2.1328771e+10,-6.8216263e+09,-4.174998e+10,3.4108132e+08,2.087499e+09,3.083915e+10,3.083915e+10,1.9817227e+11,1.2385767e+10,15619679
18000,90,0,1.9961395e+08,9.7546319e+16,1.3845774e+17,1.784916e+21,0,1.3894463e+19,1.9966067e+18,4.32e+12,3.2829354e+16,6.1827047e+17,4.4034255e+18,6.7411593e+20,0,24372431,0,24372431,0,1.35e+21,17.171115,0,17.171115,0,9.765625e-08,1.0985622e+08,-2.0382154e+11,6.8864926e+09,-1.3894189e+11,-1.9966721e+10,-6.1830084e+09,-4.4033174e+10,3.0915042e+08,2.2016587e+09,3.1785001e+10,3.1785001e+10,1.9173755e+11,1.1983597e+10,18651247
20000,100,0,2.1858063e+08,1.1059429e+17,1.6092518e+17,1.7830931e+21,0,1.439453e+19,1.8708779e+18,4.32e+12,3.2699973e+16,5.6041922e+17,4.6080427e+18,6.7538338e+20,0,30397223,0,30397223,0,1.35e+21,20.890433,-9.0980983e-09,20.890433,0,0,1.0278416e+08,-1.6262794e+11,6.62787e+09,-1.4394304e+11,-1.8709383e+10,-5.6044674e+09,-4.6079461e+10,2.8022337e+08,2.303973e+09,3.2560885e+10,3.2560885e+10,1.856152e+11,1.160095e+10,21915605
22000,110,0,2.3714866e+08,1.2418065e+17,1.8432887e+17,1.781632e+21,0,1.4804671e+19,1.754689e+18,4.32e+12,3.2524636e+16,5.0800826e+17,4.7902675e+18,6.7638489e+20,0,37188870,0,37188870,0,1.35e+21,25.054019,1.1517539e-08,25.054019,0,0,96168198,-1.3095109e+11,6.376938e+09,-1.4804487e+11,-1.7547449e+10,-5.080332e+09,-4.7901818e+10,2.540166e+08,2.3950909e+09,3.3183998e+10,3.3183998e+10,1.798167e+11,1.1238544e+10,25396231
