iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6671362e-310,-8.9085501e+274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.7001413e+15,7.9130873e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363438e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,21659.131,0,21659.131,0,1.35e+21,0.026552688,-4.667455e-08,0.026552734,0,0,1.8712053e+08,-2.0950113e+12,8.7174179e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422209e+10,6.7960387e+08,9.2111047e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.950329e+16,1.818886e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.128619e+16,1.2315018e+18,2.2544375e+18,6.3947308e+20,0,58555.417,0,58555.417,0,1.35e+21,0.062790556,2.8463859e-08,0.062790527,0,0,1.7506546e+08,-1.4698533e+12,8.6048634e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542374e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702217,2.9506624e+16,3.047671e+16,1.8145451e+21,0,8.3684502e+18,3.0133112e+18,4.32e+12,3.1933845e+16,1.1158972e+18,2.6419965e+18,6.5042875e+20,0,112796.53,0,112796.53,0,1.35e+21,0.10921116,3.1514236e-08,0.10921113,0,0,1.6378786e+08,-1.0521478e+12,8.4225323e+09,-8.3677677e+10,-3.0134198e+10,-1.1159522e+10,-2.6418093e+10,5.5797611e+08,1.3209046e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.2
8000,40,0,1.0308138e+08,3.9796849e+16,4.4651025e+16,1.8055347e+21,0,9.6501183e+18,2.8056411e+18,4.32e+12,3.2378496e+16,1.011189e+18,3.0029455e+18,6.5808556e+20,0,186764,0,186764,0,1.35e+21,0.16646642,1.8224706e-08,0.16646641,0,0,1.5323758e+08,-7.6779908e+11,8.1978907e+09,-9.6495184e+10,-2.8057404e+10,-1.0112388e+10,-3.0027719e+10,5.0561942e+08,1.5013859e+09,2.498725e+10,2.498725e+10,2.2592594e+11,1.4120371e+10,6113060.9
10000,50,0,1.2206691e+08,5.0444166e+16,6.0578938e+16,1.7989015e+21,0,1.0771726e+19,2.6154651e+18,4.32e+12,3.2668127e+16,9.1634727e+17,3.3364465e+18,6.6352333e+20,0,282563.52,0,282563.52,0,1.35e+21,0.23529829,5.0287119e-08,0.23529824,0,0,1.4336773e+08,-5.7064818e+11,7.9484887e+09,-1.0771204e+11,-2.6155561e+10,-9.1639239e+09,-3.3362866e+10,4.5819619e+08,1.6681433e+09,2.6797537e+10,2.6797537e+10,2.189044e+11,1.3681525e+10,8072275.1
12000,60,0,1.4140828e+08,6.1504446e+16,7.8125592e+16,1.7939305e+21,0,1.1744666e+19,2.4409422e+18,4.32e+12,3.2835916e+16,8.3043946e+17,3.6425002e+18,6.6744834e+20,0,402034.62,0,402034.62,0,1.35e+21,0.31651019,0,0.31651019,0,9.765625e-08,1.3413441e+08,-4.3146125e+11,7.6858395e+09,-1.1744215e+11,-2.4410258e+10,-8.3048033e+09,-3.642354e+10,4.1524016e+08,1.821177e+09,2.8364102e+10,2.8364102e+10,2.1183488e+11,1.323968e+10,10316665
14000,70,0,1.6089293e+08,7.3021161e+16,9.7157475e+16,1.7901431e+21,0,1.2581235e+19,2.2804966e+18,4.32e+12,3.2905715e+16,7.5262148e+17,3.921642e+18,6.7032904e+20,0,546764.59,0,546764.59,0,1.35e+21,0.41094342,0,0.41094342,0,9.765625e-08,1.2549658e+08,-3.314289e+11,7.4176689e+09,-1.2580848e+11,-2.2805735e+10,-7.5265849e+09,-3.921509e+10,3.7632925e+08,1.9607545e+09,2.9704876e+10,2.9704876e+10,2.0489035e+11,1.2805647e+10,12836561
16000,80,0,1.8034277e+08,8.5027122e+16,1.1754454e+17,1.7872133e+21,0,1.3293823e+19,2.132763e+18,4.32e+12,3.2895337e+16,6.821291e+17,4.1747479e+18,6.7248019e+20,0,718104.71,0,718104.71,0,1.35e+21,0.51945787,-4.4113854e-08,0.51945791,0,0,1.1741582e+08,-2.5826416e+11,7.1492524e+09,-1.3293495e+11,-2.1328339e+10,-6.8216263e+09,-4.1746277e+10,3.4108131e+08,2.0873138e+09,3.0838711e+10,3.0838711e+10,1.9817226e+11,1.2385766e+10,15619473
18000,90,0,1.9961038e+08,9.7546025e+16,1.3916155e+17,1.784916e+21,0,1.3894451e+19,1.9965482e+18,4.32e+12,3.2818575e+16,6.1827046e+17,4.4029081e+18,6.7411586e+20,0,917187.44,0,917187.44,0,1.35e+21,0.64291655,4.6189294e-08,0.6429165,0,0,1.0985622e+08,-2.0382277e+11,6.8842319e+09,-1.3894177e+11,-1.9966136e+10,-6.1830084e+09,-4.4028001e+10,3.0915042e+08,2.2014e+09,3.1784389e+10,3.1784389e+10,1.9173753e+11,1.1983596e+10,18650913
20000,100,0,2.1857545e+08,1.1059382e+17,1.618889e+17,1.7830931e+21,0,1.4394512e+19,1.8708012e+18,4.32e+12,3.2686447e+16,5.6041922e+17,4.6073434e+18,6.7538326e+20,0,1144943.9,0,1144943.9,0,1.35e+21,0.78217338,3.5185981e-08,0.78217334,0,0,1.0278416e+08,-1.6262967e+11,6.6251287e+09,-1.4394286e+11,-1.8708616e+10,-5.6044674e+09,-4.6072469e+10,2.8022337e+08,2.3036234e+09,3.2560059e+10,3.2560059e+10,1.8561517e+11,1.1600948e+10,21915086
22000,110,0,2.3714141e+08,1.2417994e+17,1.8561315e+17,1.781632e+21,0,1.4804645e+19,1.754591e+18,4.32e+12,3.2507992e+16,5.0800826e+17,4.7893477e+18,6.7638473e+20,0,1402121.2,0,1402121.2,0,1.35e+21,0.93806367,2.1246206e-09,0.93806367,0,0,96168198,-1.3095343e+11,6.373675e+09,-1.4804461e+11,-1.7546469e+10,-5.080332e+09,-4.7892621e+10,2.540166e+08,2.3946311e+09,3.3182914e+10,3.3182914e+10,1.7981666e+11,1.1238541e+10,25395454
24000,120,0,2.5523233e+08,1.3830835e+17,2.1022723e+17,1.7804511e+21,0,1.513468e+19,1.6470889e+18,4.32e+12,3.2290791e+16,4.6052419e+17,4.9502494e+18,6.7719204e+20,0,1689299.3,0,1689299.3,0,1.35e+21,1.1113971,4.5203766e-08,1.1113971,0,0,89978920,-1.0621678e+11,6.1310355e+09,-1.5134534e+11,-1.6471406e+10,-4.6054678e+09,-4.950174e+10,2.3027339e+08,2.475087e+09,3.3669031e+10,3.3669031e+10,1.7434246e+11,1.0896404e+10,29075196
