iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6547163e-310,-3.4436993e-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9127416e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363471e+16,1.3591407e+18,1.8424327e+18,6.235428e+20,0,100757.64,0,100757.64,0,1.35e+21,0.12352772,8.4429147e-08,0.12352764,0,0,1.8712053e+08,-2.0950113e+12,8.7174273e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.2111061e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220913,1.950329e+16,1.8187102e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286282e+16,1.2315018e+18,2.2544389e+18,6.3947308e+20,0,272383.66,0,272383.66,0,1.35e+21,0.29211259,-1.0406156e-08,0.2921126,0,0,1.7506546e+08,-1.4698533e+12,8.6048886e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542387e+10,6.1578128e+08,1.1271194e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702232,2.9506625e+16,3.0471892e+16,1.8145451e+21,0,8.3684502e+18,3.0133118e+18,4.32e+12,3.1934025e+16,1.1158972e+18,2.6420003e+18,6.5042875e+20,0,524666.14,0,524666.14,0,1.35e+21,0.50806934,1.7993025e-09,0.50806934,0,0,1.6378786e+08,-1.0521478e+12,8.4225796e+09,-8.3677677e+10,-3.0134203e+10,-1.1159522e+10,-2.6418131e+10,5.5797611e+08,1.3209065e+09,2.2917897e+10,2.2917897e+10,2.3261075e+11,1.4538172e+10,4444884
8000,40,0,1.0308141e+08,3.979685e+16,4.4640829e+16,1.8055347e+21,0,9.6501184e+18,2.8056421e+18,4.32e+12,3.2378796e+16,1.011189e+18,3.0029535e+18,6.5808556e+20,0,868660.22,0,868660.22,0,1.35e+21,0.77443079,2.3376528e-08,0.77443076,0,0,1.5323758e+08,-7.6779906e+11,8.1979668e+09,-9.6495185e+10,-2.8057414e+10,-1.0112388e+10,-3.0027798e+10,5.0561942e+08,1.5013899e+09,2.498726e+10,2.498726e+10,2.2592594e+11,1.4120371e+10,6113063
10000,50,0,1.2206698e+08,5.044417e+16,6.0560298e+16,1.7989015e+21,0,1.0771727e+19,2.6154669e+18,4.32e+12,3.2668587e+16,9.1634727e+17,3.3364609e+18,6.6352333e+20,0,1314130.2,0,1314130.2,0,1.35e+21,1.0946487,1.1857074e-07,1.0946485,0,0,1.4336773e+08,-5.7064815e+11,7.9486005e+09,-1.0771204e+11,-2.6155579e+10,-9.1639239e+09,-3.336301e+10,4.5819619e+08,1.6681505e+09,2.6797554e+10,2.6797554e+10,2.189044e+11,1.3681525e+10,8072279.8
12000,60,0,1.4140841e+08,6.1504454e+16,7.8094624e+16,1.7939305e+21,0,1.1744667e+19,2.4409451e+18,4.32e+12,3.2836576e+16,8.3043946e+17,3.6425239e+18,6.6744834e+20,0,1869593.7,0,1869593.7,0,1.35e+21,1.4724606,8.800034e-10,1.4724606,0,0,1.3413441e+08,-4.314612e+11,7.6859939e+09,-1.1744215e+11,-2.4410288e+10,-8.3048033e+09,-3.6423776e+10,4.1524016e+08,1.8211888e+09,2.836413e+10,2.836413e+10,2.1183488e+11,1.323968e+10,10316675
14000,70,0,1.6089315e+08,7.3021175e+16,9.7109417e+16,1.7901431e+21,0,1.2581235e+19,2.2805009e+18,4.32e+12,3.2906619e+16,7.5262148e+17,3.9216783e+18,6.7032905e+20,0,2542385.9,0,2542385.9,0,1.35e+21,1.9117806,0,1.9117806,0,9.765625e-08,1.2549658e+08,-3.3142882e+11,7.4178727e+09,-1.2580849e+11,-2.2805779e+10,-7.5265849e+09,-3.9215453e+10,3.7632925e+08,1.9607726e+09,2.9704919e+10,2.9704919e+10,2.0489035e+11,1.2805647e+10,12836579
16000,80,0,1.8034311e+08,8.5027147e+16,1.174737e+17,1.7872133e+21,0,1.3293824e+19,2.1327692e+18,4.32e+12,3.2896533e+16,6.821291e+17,4.1748006e+18,6.724802e+20,0,3338734.9,0,3338734.9,0,1.35e+21,2.416609,-3.651613e-08,2.4166091,0,0,1.1741582e+08,-2.5826404e+11,7.1495123e+09,-1.3293497e+11,-2.1328401e+10,-6.8216263e+09,-4.1746804e+10,3.4108132e+08,2.0873402e+09,3.0838773e+10,3.0838773e+10,1.9817226e+11,1.2385766e+10,15619502
18000,90,0,1.9961089e+08,9.7546067e+16,1.3906127e+17,1.784916e+21,0,1.3894453e+19,1.9965565e+18,4.32e+12,3.2820113e+16,6.1827046e+17,4.4029818e+18,6.7411587e+20,0,4263841.1,0,4263841.1,0,1.35e+21,2.9909609,4.5755919e-08,2.9909608,0,0,1.0985622e+08,-2.038226e+11,6.8845544e+09,-1.3894178e+11,-1.996622e+10,-6.1830084e+09,-4.4028738e+10,3.0915042e+08,2.2014369e+09,3.1784476e+10,3.1784476e+10,1.9173753e+11,1.1983596e+10,18650960
