iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6546983e-310,6.1627502e-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971029,9.7001415e+15,7.9053668e+15,1.844626e+21,0,5.2931978e+18,3.4903337e+18,4.32e+12,3.0364169e+16,1.3591407e+18,1.8424384e+18,6.235428e+20,0,1787487.8,0,1787487.8,0,1.35e+21,2.1934829,2.914385e-08,2.1934829,0,0,1.8712053e+08,-2.0950113e+12,8.7176276e+09,-5.2923424e+10,-3.4904647e+10,-1.3592077e+10,-1.8422269e+10,6.7960387e+08,9.2111345e+08,1.7972135e+10,1.7972135e+10,2.4274053e+11,1.5171283e+10,1978861.1
4000,20,0,67221015,1.9503293e+16,1.8149629e+16,1.8270175e+21,0,6.9176241e+18,3.2406643e+18,4.32e+12,3.1288232e+16,1.2315018e+18,2.2544685e+18,6.3947308e+20,0,4826756.5,0,4826756.5,0,1.35e+21,5.1870465,3.9163687e-08,5.1870465,0,0,1.7506546e+08,-1.4698533e+12,8.6054249e+09,-6.9168554e+10,-3.2407834e+10,-1.2315626e+10,-2.2542684e+10,6.1578128e+08,1.1271342e+09,2.0579525e+10,2.0579525e+10,2.3848026e+11,1.4905016e+10,3068633.9
6000,30,0,84702551,2.9506635e+16,3.036929e+16,1.8145451e+21,0,8.368451e+18,3.0133228e+18,4.32e+12,3.1937841e+16,1.1158972e+18,2.6420813e+18,6.5042875e+20,0,9285138.5,0,9285138.5,0,1.35e+21,9.021795,1.9790605e-09,9.021795,0,0,1.6378786e+08,-1.0521477e+12,8.4235859e+09,-8.3677685e+10,-3.0134314e+10,-1.1159522e+10,-2.641894e+10,5.5797611e+08,1.320947e+09,2.2917994e+10,2.2917994e+10,2.3261076e+11,1.4538172e+10,4444900.7
8000,40,0,1.0308216e+08,3.979688e+16,4.4423942e+16,1.8055347e+21,0,9.6501205e+18,2.8056645e+18,4.32e+12,3.2385184e+16,1.011189e+18,3.0031231e+18,6.5808557e+20,0,15349879,0,15349879,0,1.35e+21,13.751585,2.5569653e-08,13.751585,0,0,1.5323758e+08,-7.6779879e+11,8.1995838e+09,-9.6495206e+10,-2.8057638e+10,-1.0112388e+10,-3.0029494e+10,5.0561942e+08,1.5014747e+09,2.4987462e+10,2.4987462e+10,2.2592594e+11,1.4120372e+10,6113107.6
10000,50,0,1.2206849e+08,5.0444244e+16,6.0164258e+16,1.7989015e+21,0,1.0771731e+19,2.6155061e+18,4.32e+12,3.2678332e+16,9.1634727e+17,3.3367671e+18,6.6352336e+20,0,23182441,0,23182441,0,1.35e+21,19.437715,1.2039352e-07,19.437715,0,0,1.4336773e+08,-5.7064759e+11,7.9509712e+09,-1.0771209e+11,-2.6155971e+10,-9.1639239e+09,-3.3366071e+10,4.5819619e+08,1.6683036e+09,2.6797919e+10,2.6797919e+10,2.1890441e+11,1.3681525e+10,8072379.7
12000,60,0,1.4141113e+08,6.1504611e+16,7.7437509e+16,1.7939305e+21,0,1.1744675e+19,2.4410074e+18,4.32e+12,3.2850537e+16,8.3043946e+17,3.6430258e+18,6.674484e+20,0,32919082,0,32919082,0,1.35e+21,26.146564,0,26.146564,0,9.765625e-08,1.3413441e+08,-4.3146019e+11,7.6892611e+09,-1.1744224e+11,-2.441091e+10,-8.3048033e+09,-3.6428794e+10,4.1524017e+08,1.8214397e+09,2.8364727e+10,2.8364727e+10,2.118349e+11,1.3239681e+10,10316873
14000,70,0,1.608977e+08,7.3021475e+16,9.6091144e+16,1.7901431e+21,0,1.258125e+19,2.2805933e+18,4.32e+12,3.2925713e+16,7.5262148e+17,3.9224462e+18,6.7032914e+20,0,44671835,0,44671835,0,1.35e+21,33.947646,0,33.947646,0,9.765625e-08,1.2549658e+08,-3.3142717e+11,7.4221763e+09,-1.2580864e+11,-2.2806702e+10,-7.526585e+09,-3.9223131e+10,3.7632925e+08,1.9611566e+09,2.9705831e+10,2.9705831e+10,2.0489038e+11,1.2805649e+10,12836942
16000,80,0,1.8035027e+08,8.5027679e+16,1.1597515e+17,1.7872133e+21,0,1.3293848e+19,2.1328992e+18,4.32e+12,3.292173e+16,6.821291e+17,4.1759164e+18,6.7248035e+20,0,58529738,0,58529738,0,1.35e+21,42.912018,2.3089818e-08,42.912017,0,0,1.1741582e+08,-2.5826151e+11,7.1549877e+09,-1.3293521e+11,-2.1329701e+10,-6.8216263e+09,-4.175796e+10,3.4108132e+08,2.087898e+09,3.0840095e+10,3.0840095e+10,1.981723e+11,1.2385769e+10,15620122
18000,90,0,1.9962164e+08,9.7546953e+16,1.3694362e+17,1.7849161e+21,0,1.389449e+19,1.9967325e+18,4.32e+12,3.2852422e+16,6.1827047e+17,4.4045381e+18,6.741161e+20,0,74560190,0,74560190,0,1.35e+21,53.111003,-1.1615533e-08,53.111003,0,0,1.0985622e+08,-2.0381889e+11,6.891331e+09,-1.3894215e+11,-1.9967979e+10,-6.1830084e+09,-4.4044298e+10,3.0915042e+08,2.2022149e+09,3.1786317e+10,3.1786317e+10,1.917376e+11,1.19836e+10,18651965
20000,100,0,2.1859173e+08,1.105953e+17,1.5885577e+17,1.7830932e+21,0,1.4394569e+19,1.8710427e+18,4.32e+12,3.2728841e+16,5.6041922e+17,4.6095434e+18,6.7538363e+20,0,92810374,0,92810374,0,1.35e+21,64.615184,-4.1128374e-08,64.615184,0,0,1.0278416e+08,-1.6262423e+11,6.6337205e+09,-1.4394342e+11,-1.871103e+10,-5.6044674e+09,-4.6094465e+10,2.8022337e+08,2.3047233e+09,3.2562656e+10,3.2562656e+10,1.8561527e+11,1.1600955e+10,21916718
