iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6880774e-310,-3.2510055e+22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971021,9.7001414e+15,7.9087737e+15,1.844626e+21,0,5.2931978e+18,3.4903333e+18,4.32e+12,3.0363847e+16,1.3591407e+18,1.8424358e+18,6.235428e+20,0,1008416,0,1008416,0,1.35e+21,1.2369265,-5.8419727e-09,1.2369265,0,0,1.8712053e+08,-2.0950113e+12,8.7175351e+09,-5.2923424e+10,-3.4904643e+10,-1.3592077e+10,-1.8422243e+10,6.7960387e+08,9.2111214e+08,1.7972132e+10,1.7972132e+10,2.4274053e+11,1.5171283e+10,1978860.9
4000,20,0,67220968,1.9503292e+16,1.8166933e+16,1.8270175e+21,0,6.917624e+18,3.2406624e+18,4.32e+12,3.1287332e+16,1.2315018e+18,2.2544549e+18,6.3947308e+20,0,2724449.4,0,2724449.4,0,1.35e+21,2.9250261,9.3551185e-09,2.9250261,0,0,1.7506546e+08,-1.4698533e+12,8.6051773e+09,-6.9168553e+10,-3.2407814e+10,-1.2315626e+10,-2.2542547e+10,6.1578128e+08,1.1271273e+09,2.0579509e+10,2.0579509e+10,2.3848026e+11,1.4905016e+10,3068631.8
6000,30,0,84702404,2.950663e+16,3.0416646e+16,1.8145451e+21,0,8.3684506e+18,3.0133177e+18,4.32e+12,3.1936081e+16,1.1158972e+18,2.6420439e+18,6.5042875e+20,0,5244143.3,0,5244143.3,0,1.35e+21,5.0874776,0,5.0874776,0,9.765625e-08,1.6378786e+08,-1.0521477e+12,8.4231217e+09,-8.3677681e+10,-3.0134263e+10,-1.1159522e+10,-2.6418566e+10,5.5797611e+08,1.3209283e+09,2.2917949e+10,2.2917949e+10,2.3261075e+11,1.4538172e+10,4444893
8000,40,0,1.0308182e+08,3.9796866e+16,4.4523992e+16,1.8055347e+21,0,9.6501196e+18,2.8056542e+18,4.32e+12,3.238224e+16,1.011189e+18,3.0030448e+18,6.5808556e+20,0,8675438.1,0,8675438.1,0,1.35e+21,7.7546506,-1.8711516e-08,7.7546506,0,0,1.5323758e+08,-7.6779891e+11,8.1988385e+09,-9.6495196e+10,-2.8057535e+10,-1.0112388e+10,-3.0028712e+10,5.0561942e+08,1.5014356e+09,2.4987369e+10,2.4987369e+10,2.2592594e+11,1.4120371e+10,6113087
10000,50,0,1.220678e+08,5.044421e+16,6.034684e+16,1.7989015e+21,0,1.0771729e+19,2.615488e+18,4.32e+12,3.2673844e+16,9.1634727e+17,3.3366259e+18,6.6352334e+20,0,13112472,0,13112472,0,1.35e+21,10.96111,6.3255436e-08,10.96111,0,0,1.4336773e+08,-5.7064785e+11,7.9498795e+09,-1.0771206e+11,-2.6155791e+10,-9.1639239e+09,-3.336466e+10,4.5819619e+08,1.668233e+09,2.6797751e+10,2.6797751e+10,2.189044e+11,1.3681525e+10,8072333.6
12000,60,0,1.4140987e+08,6.1504538e+16,7.7740246e+16,1.7939305e+21,0,1.1744671e+19,2.4409787e+18,4.32e+12,3.2844114e+16,8.3043946e+17,3.6427946e+18,6.6744837e+20,0,18635956,0,18635956,0,1.35e+21,14.744286,1.6583115e-08,14.744286,0,0,1.3413441e+08,-4.3146066e+11,7.687758e+09,-1.174422e+11,-2.4410623e+10,-8.3048033e+09,-3.6426482e+10,4.1524017e+08,1.8213241e+09,2.8364452e+10,2.8364452e+10,2.1183489e+11,1.3239681e+10,10316782
14000,70,0,1.608956e+08,7.3021337e+16,9.6559919e+16,1.7901431e+21,0,1.2581243e+19,2.2805507e+18,4.32e+12,3.2916939e+16,7.5262148e+17,3.9220927e+18,6.703291e+20,0,25313763,0,25313763,0,1.35e+21,19.143373,0,19.143373,0,1.953125e-07,1.2549658e+08,-3.3142793e+11,7.4201987e+09,-1.2580857e+11,-2.2806277e+10,-7.5265849e+09,-3.9219597e+10,3.7632925e+08,1.9609798e+09,2.9705412e+10,2.9705412e+10,2.0489037e+11,1.2805648e+10,12836775
16000,80,0,1.8034697e+08,8.5027434e+16,1.1666446e+17,1.7872133e+21,0,1.3293837e+19,2.1328394e+18,4.32e+12,3.2910166e+16,6.821291e+17,4.1754033e+18,6.7248028e+20,0,33201645,0,33201645,0,1.35e+21,24.198436,-3.0290732e-08,24.198437,0,0,1.1741582e+08,-2.5826267e+11,7.1524747e+09,-1.329351e+11,-2.1329103e+10,-6.8216263e+09,-4.1752829e+10,3.4108132e+08,2.0876415e+09,3.0839487e+10,3.0839487e+10,1.9817228e+11,1.2385768e+10,15619837
18000,90,0,1.996167e+08,9.7546545e+16,1.3791684e+17,1.784916e+21,0,1.3894473e+19,1.9966517e+18,4.32e+12,3.2837613e+16,6.1827047e+17,4.4038231e+18,6.7411599e+20,0,42343999,0,42343999,0,1.35e+21,29.949688,2.5680855e-08,29.949688,0,0,1.0985622e+08,-2.038206e+11,6.888225e+09,-1.3894198e+11,-1.9967171e+10,-6.1830084e+09,-4.4037149e+10,3.0915042e+08,2.2018574e+09,3.1785471e+10,3.1785471e+10,1.9173757e+11,1.1983598e+10,18651503
