iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6628765e-310,-5.2332325e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971123,9.7001425e+15,7.8634137e+15,1.844626e+21,0,5.2931979e+18,3.4903384e+18,4.32e+12,3.0368134e+16,1.3591407e+18,1.8424708e+18,6.235428e+20,0,11363203,0,11363203,0,1.35e+21,14.018501,9.1547337e-08,14.018501,0,0,1.8712053e+08,-2.0950113e+12,8.7187652e+09,-5.2923425e+10,-3.4904694e+10,-1.3592077e+10,-1.8422592e+10,6.7960387e+08,9.211296e+08,1.7972174e+10,1.7972174e+10,2.4274053e+11,1.5171283e+10,1978864.8
4000,20,0,67221590,1.9503305e+16,1.7937537e+16,1.8270175e+21,0,6.9176252e+18,3.240688e+18,4.32e+12,3.1299226e+16,1.2315018e+18,2.2546364e+18,6.3947309e+20,0,30487320,0,30487320,0,1.35e+21,33.150318,-3.6174384e-08,33.150318,0,0,1.7506546e+08,-1.4698531e+12,8.6084474e+09,-6.9168565e+10,-3.240807e+10,-1.2315626e+10,-2.2544361e+10,6.1578128e+08,1.127218e+09,2.0579727e+10,2.0579727e+10,2.3848026e+11,1.4905016e+10,3068660.2
6000,30,0,84704341,2.9506691e+16,2.9791991e+16,1.8145451e+21,0,8.3684555e+18,3.013385e+18,4.32e+12,3.1959168e+16,1.1158972e+18,2.6425367e+18,6.5042878e+20,0,58213310,0,58213310,0,1.35e+21,57.658198,-2.3610127e-08,57.658198,0,0,1.6378786e+08,-1.0521471e+12,8.4292092e+09,-8.3677729e+10,-3.0134935e+10,-1.1159522e+10,-2.6423492e+10,5.5797611e+08,1.3211746e+09,2.2918539e+10,2.2918539e+10,2.3261077e+11,1.4538173e+10,4444994.7
8000,40,0,1.0308636e+08,3.9797051e+16,4.321176e+16,1.8055348e+21,0,9.6501324e+18,2.8057898e+18,4.32e+12,3.2420527e+16,1.011189e+18,3.0040705e+18,6.5808565e+20,0,95424314,0,95424314,0,1.35e+21,87.886448,-3.7286824e-08,87.886448,0,0,1.5323758e+08,-7.6779723e+11,8.2085303e+09,-9.6495325e+10,-2.8058891e+10,-1.0112388e+10,-3.0038965e+10,5.0561942e+08,1.5019483e+09,2.4988595e+10,2.4988595e+10,2.2592597e+11,1.4120373e+10,6113356.7
10000,50,0,1.2207687e+08,5.0444659e+16,5.7967357e+16,1.7989015e+21,0,1.0771757e+19,2.6157236e+18,4.32e+12,3.2731656e+16,9.1634727e+17,3.3384645e+18,6.6352352e+20,0,1.4274917e+08,0,1.4274917e+08,0,1.35e+21,124.22702,1.026565e-07,124.22702,0,0,1.4336773e+08,-5.7064444e+11,7.9639431e+09,-1.0771234e+11,-2.6158145e+10,-9.1639239e+09,-3.3383041e+10,4.5819619e+08,1.669152e+09,2.6799945e+10,2.6799945e+10,2.1890446e+11,1.3681529e+10,8072933.4
12000,60,0,1.4142611e+08,6.1505482e+16,7.3822627e+16,1.7939306e+21,0,1.1744724e+19,2.4413498e+18,4.32e+12,3.2925984e+16,8.3043947e+17,3.6457838e+18,6.6744871e+20,0,2.0056518e+08,0,2.0056518e+08,0,1.35e+21,167.10447,2.1272029e-08,167.10447,0,0,1.3413441e+08,-4.314546e+11,7.7069181e+09,-1.1744272e+11,-2.4414333e+10,-8.3048033e+09,-3.6456368e+10,4.1524017e+08,1.8228184e+09,2.8368011e+10,2.8368011e+10,2.11835e+11,1.3239688e+10,10317966
14000,70,0,1.6092247e+08,7.302313e+16,9.054054e+16,1.7901432e+21,0,1.2581334e+19,2.2810962e+18,4.32e+12,3.3027501e+16,7.5262148e+17,3.9266258e+18,6.7032967e+20,0,2.6900692e+08,0,2.6900692e+08,0,1.35e+21,216.96355,0,216.96355,0,9.765625e-08,1.2549658e+08,-3.3141806e+11,7.4451183e+09,-1.2580947e+11,-2.281173e+10,-7.526585e+09,-3.9264919e+10,3.7632925e+08,1.9632459e+09,2.9710797e+10,2.9710797e+10,2.0489054e+11,1.2805659e+10,12838918
16000,80,0,1.8038885e+08,8.5030585e+16,1.0788767e+17,1.7872136e+21,0,1.3293981e+19,2.1336004e+18,4.32e+12,3.3054051e+16,6.821291e+17,4.1819242e+18,6.724812e+20,0,3.4797946e+08,0,3.4797946e+08,0,1.35e+21,274.25911,-4.3310649e-08,274.25911,0,0,1.1741582e+08,-2.5824766e+11,7.1837419e+09,-1.3293654e+11,-2.1336712e+10,-6.8216264e+09,-4.1818028e+10,3.4108132e+08,2.0909014e+09,3.084722e+10,3.084722e+10,1.9817255e+11,1.2385785e+10,15623464
18000,90,0,1.9967892e+08,9.7551759e+16,1.2563771e+17,1.7849165e+21,0,1.3894691e+19,1.9976706e+18,4.32e+12,3.3019351e+16,6.1827047e+17,4.412821e+18,6.7411738e+20,0,4.3717531e+08,0,4.3717531e+08,0,1.35e+21,339.44794,3.4730363e-08,339.44794,0,0,1.0985622e+08,-2.0379887e+11,6.9263431e+09,-1.3894417e+11,-1.9977358e+10,-6.1830085e+09,-4.4127115e+10,3.0915043e+08,2.2063557e+09,3.1796121e+10,3.1796121e+10,1.9173796e+11,1.1983623e+10,18657317
20000,100,0,2.1867351e+08,1.1060286e+17,1.435743e+17,1.7830939e+21,0,1.4394861e+19,1.8722564e+18,4.32e+12,3.2934244e+16,5.6041923e+17,4.6205813e+18,6.7538548e+20,0,5.3609395e+08,0,5.3609395e+08,0,1.35e+21,412.98243,-9.5986366e-09,412.98243,0,0,1.0278416e+08,-1.6259644e+11,6.675349e+09,-1.4394634e+11,-1.8723166e+10,-5.6044675e+09,-4.620483e+10,2.8022337e+08,2.3102415e+09,3.2575699e+10,3.2575699e+10,1.8561578e+11,1.1600986e+10,21924917
22000,110,0,2.3727717e+08,1.2419363e+17,1.6149334e+17,1.7816332e+21,0,1.4805133e+19,1.7564265e+18,4.32e+12,3.280751e+16,5.0800828e+17,4.8065352e+18,6.7638784e+20,0,6.4406363e+08,0,6.4406363e+08,0,1.35e+21,495.3056,-3.6001438e-08,495.3056,0,0,96168198,-1.3090874e+11,6.4323944e+09,-1.4804948e+11,-1.7564822e+10,-5.0803321e+09,-4.8064474e+10,2.5401661e+08,2.4032237e+09,3.3203188e+10,3.3203188e+10,1.7981748e+11,1.1238593e+10,25409994
24000,120,0,2.5541516e+08,1.3832838e+17,1.7920473e+17,1.7804528e+21,0,1.5135341e+19,1.6493509e+18,4.32e+12,3.2646384e+16,4.605242e+17,4.9720376e+18,6.7719627e+20,0,7.6026455e+08,0,7.6026455e+08,0,1.35e+21,586.84744,-2.4948008e-08,586.84744,0,0,89978920,-1.0615833e+11,6.1985461e+09,-1.5135195e+11,-1.6494024e+10,-4.6054679e+09,-4.9719597e+10,2.302734e+08,2.4859799e+09,3.3694696e+10,3.3694696e+10,1.7434355e+11,1.0896472e+10,29096023
26000,130,0,2.7303057e+08,1.5300698e+17,1.9653385e+17,1.779493e+21,0,1.5394509e+19,1.5502866e+18,4.32e+12,3.2456914e+16,4.1750216e+17,5.1184404e+18,6.7786161e+20,0,8.8375307e+08,0,8.8375307e+08,0,1.35e+21,688.02224,6.6699158e-08,688.02224,0,0,84188806,-8.6541493e+10,5.9744562e+09,-1.5394396e+11,-1.5503342e+10,-4.1752263e+09,-5.1183718e+10,2.0876131e+08,2.5591859e+09,3.406514e+10,3.406514e+10,1.6918764e+11,1.0574227e+10,32966600
28000,140,0,2.900819e+08,1.6822564e+17,2.1332257e+17,1.7787093e+21,0,1.5590866e+19,1.4585658e+18,4.32e+12,3.2244205e+16,3.7852127e+17,5.2470725e+18,6.7842012e+20,0,1.0134863e+09,0,1.0134863e+09,0,1.35e+21,799.22684,0,799.22684,0,1.953125e-07,78772115,-7.0779617e+10,5.7604718e+09,-1.5590782e+11,-1.45861e+10,-3.7853981e+09,-5.2470124e+10,1.8926991e+08,2.6235062e+09,3.4328242e+10,3.4328242e+10,1.6433929e+11,1.0271206e+10,37005725
30000,150,0,3.0654078e+08,1.8397766e+17,2.2942998e+17,1.7780678e+21,0,1.5731892e+19,1.3735868e+18,4.32e+12,3.2012592e+16,3.4320046e+17,5.3592257e+18,6.7889788e+20,0,1.1483469e+09,0,1.1483469e+09,0,1.35e+21,920.83961,0,920.83961,0,9.765625e-08,73704762,-5.7954757e+10,5.5567134e+09,-1.5731834e+11,-1.3736277e+10,-3.4321726e+09,-5.3591736e+10,1.7160863e+08,2.6795868e+09,3.4496556e+10,3.4496556e+10,1.5978567e+11,9.9866042e+09,41198034
