iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6464062e-310,2.0937542e-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001413e+15,7.9123236e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.036351e+16,1.3591407e+18,1.8424331e+18,6.235428e+20,0,196393.05,0,196393.05,0,1.35e+21,0.24078835,-3.0355858e-08,0.24078838,0,0,1.8712053e+08,-2.0950113e+12,8.7174387e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422215e+10,6.7960387e+08,9.2111077e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220919,1.9503291e+16,1.8184976e+16,1.8270175e+21,0,6.9176239e+18,3.2406604e+18,4.32e+12,3.1286393e+16,1.2315018e+18,2.2544406e+18,6.3947308e+20,0,530886.09,0,530886.09,0,1.35e+21,0.56940505,-3.1266154e-08,0.56940508,0,0,1.7506546e+08,-1.4698533e+12,8.604919e+09,-6.9168552e+10,-3.2407794e+10,-1.2315626e+10,-2.2542404e+10,6.1578128e+08,1.1271202e+09,2.0579492e+10,2.0579492e+10,2.3848026e+11,1.4905016e+10,3068629.6
6000,30,0,84702250,2.9506625e+16,3.0466067e+16,1.8145451e+21,0,8.3684503e+18,3.0133124e+18,4.32e+12,3.1934241e+16,1.1158972e+18,2.6420049e+18,6.5042875e+20,0,1022518.3,0,1022518.3,0,1.35e+21,0.99036215,3.6542406e-08,0.99036211,0,0,1.6378786e+08,-1.0521478e+12,8.4226368e+09,-8.3677677e+10,-3.0134209e+10,-1.1159522e+10,-2.6418177e+10,5.5797611e+08,1.3209088e+09,2.2917902e+10,2.2917902e+10,2.3261075e+11,1.4538172e+10,4444885
8000,40,0,1.0308145e+08,3.9796852e+16,4.4628505e+16,1.8055347e+21,0,9.6501186e+18,2.8056434e+18,4.32e+12,3.237916e+16,1.011189e+18,3.0029631e+18,6.5808556e+20,0,1692782.2,0,1692782.2,0,1.35e+21,1.5095714,3.548146e-08,1.5095714,0,0,1.5323758e+08,-7.6779905e+11,8.1980588e+09,-9.6495186e+10,-2.8057427e+10,-1.0112388e+10,-3.0027895e+10,5.0561942e+08,1.5013947e+09,2.4987271e+10,2.4987271e+10,2.2592594e+11,1.4120371e+10,6113065.5
10000,50,0,1.2206707e+08,5.0444174e+16,6.0537769e+16,1.7989015e+21,0,1.0771727e+19,2.6154691e+18,4.32e+12,3.2669142e+16,9.1634727e+17,3.3364783e+18,6.6352333e+20,0,2560636.1,0,2560636.1,0,1.35e+21,2.1337612,1.0620486e-07,2.1337611,0,0,1.4336773e+08,-5.7064812e+11,7.9487356e+09,-1.0771204e+11,-2.6155602e+10,-9.1639239e+09,-3.3363185e+10,4.5819619e+08,1.6681592e+09,2.6797575e+10,2.6797575e+10,2.189044e+11,1.3681525e+10,8072285.5
12000,60,0,1.4140856e+08,6.1504463e+16,7.80572e+16,1.7939305e+21,0,1.1744667e+19,2.4409487e+18,4.32e+12,3.2837373e+16,8.3043946e+17,3.6425525e+18,6.6744835e+20,0,3642588.6,0,3642588.6,0,1.35e+21,2.8702174,4.6327311e-08,2.8702174,0,0,1.3413441e+08,-4.3146114e+11,7.6861804e+09,-1.1744216e+11,-2.4410323e+10,-8.3048033e+09,-3.6424062e+10,4.1524017e+08,1.8212031e+09,2.8364164e+10,2.8364164e+10,2.1183489e+11,1.323968e+10,10316686
14000,70,0,1.6089341e+08,7.3021192e+16,9.7051348e+16,1.7901431e+21,0,1.2581236e+19,2.2805062e+18,4.32e+12,3.2907711e+16,7.5262148e+17,3.9217221e+18,6.7032905e+20,0,4952822.5,0,4952822.5,0,1.35e+21,3.7265693,0,3.7265693,0,9.765625e-08,1.2549658e+08,-3.3142873e+11,7.4181189e+09,-1.258085e+11,-2.2805831e+10,-7.5265849e+09,-3.9215891e+10,3.7632925e+08,1.9607945e+09,2.9704971e+10,2.9704971e+10,2.0489035e+11,1.2805647e+10,12836599
16000,80,0,1.8034352e+08,8.5027178e+16,1.1738812e+17,1.7872133e+21,0,1.3293825e+19,2.1327766e+18,4.32e+12,3.2897978e+16,6.821291e+17,4.1748644e+18,6.7248021e+20,0,6503340.7,0,6503340.7,0,1.35e+21,4.7106148,2.4135191e-08,4.7106147,0,0,1.1741582e+08,-2.582639e+11,7.1498262e+09,-1.3293498e+11,-2.1328475e+10,-6.8216263e+09,-4.1747441e+10,3.4108132e+08,2.0873721e+09,3.0838849e+10,3.0838849e+10,1.9817226e+11,1.2385766e+10,15619537
18000,90,0,1.996115e+08,9.7546117e+16,1.3894015e+17,1.784916e+21,0,1.3894455e+19,1.9965666e+18,4.32e+12,3.282197e+16,6.1827046e+17,4.4030709e+18,6.7411588e+20,0,8304120.6,0,8304120.6,0,1.35e+21,5.8301804,-1.9983101e-08,5.8301805,0,0,1.0985622e+08,-2.0382239e+11,6.8849438e+09,-1.389418e+11,-1.996632e+10,-6.1830084e+09,-4.4029628e+10,3.0915042e+08,2.2014814e+09,3.1784582e+10,3.1784582e+10,1.9173754e+11,1.1983596e+10,18651018
20000,100,0,2.1857708e+08,1.1059397e+17,1.6158562e+17,1.7830931e+21,0,1.4394518e+19,1.8708253e+18,4.32e+12,3.2690709e+16,5.6041922e+17,4.6075635e+18,6.753833e+20,0,10363272,0,10363272,0,1.35e+21,7.0930102,0,7.0930102,0,9.765625e-08,1.0278416e+08,-1.6262913e+11,6.6259925e+09,-1.4394291e+11,-1.8708857e+10,-5.6044674e+09,-4.6074669e+10,2.8022337e+08,2.3037335e+09,3.2560319e+10,3.2560319e+10,1.8561518e+11,1.1600949e+10,21915249
22000,110,0,2.3714369e+08,1.2418016e+17,1.8520882e+17,1.781632e+21,0,1.4804653e+19,1.7546219e+18,4.32e+12,3.2513241e+16,5.0800826e+17,4.7896374e+18,6.7638478e+20,0,12687192,0,12687192,0,1.35e+21,8.5066798,-1.5216287e-08,8.5066798,0,0,96168198,-1.3095269e+11,6.3747039e+09,-1.4804469e+11,-1.7546777e+10,-5.080332e+09,-4.7895517e+10,2.540166e+08,2.3947759e+09,3.3183255e+10,3.3183255e+10,1.7981667e+11,1.1238542e+10,25395699
24000,120,0,2.5523545e+08,1.3830868e+17,2.0970036e+17,1.7804511e+21,0,1.5134691e+19,1.6471275e+18,4.32e+12,3.2297146e+16,4.6052419e+17,4.9506219e+18,6.7719211e+20,0,15280721,0,15280721,0,1.35e+21,10.078532,-8.3772935e-09,10.078532,0,0,89978920,-1.062158e+11,6.1322421e+09,-1.5134545e+11,-1.6471792e+10,-4.6054678e+09,-4.9505464e+10,2.3027339e+08,2.4752732e+09,3.3669469e+10,3.3669469e+10,1.7434248e+11,1.0896405e+10,29075552
26000,130,0,2.7279439e+08,1.5297899e+17,2.3495734e+17,1.7794907e+21,0,1.539365e+19,1.5476013e+18,4.32e+12,3.2048886e+16,4.1750214e+17,5.0918529e+18,6.7785608e+20,0,18147287,0,18147287,0,1.35e+21,11.815632,1.3013422e-07,11.815632,0,0,84188806,-8.6614871e+10,5.899355e+09,-1.5393537e+11,-1.5476492e+10,-4.175226e+09,-5.091787e+10,2.087613e+08,2.5458935e+09,3.403386e+10,3.403386e+10,1.6918626e+11,1.0574141e+10,32938082
28000,140,0,2.8977795e+08,1.6818688e+17,2.608833e+17,1.7787061e+21,0,1.5589757e+19,1.4553784e+18,4.32e+12,3.1774036e+16,3.7852124e+17,5.2146532e+18,6.7841294e+20,0,21289047,0,21289047,0,1.35e+21,13.724733,1.4197023e-07,13.724733,0,0,78772115,-7.0871423e+10,5.6764815e+09,-1.5589673e+11,-1.4554228e+10,-3.7853979e+09,-5.2145962e+10,1.8926989e+08,2.6072981e+09,3.4290142e+10,3.4290142e+10,1.6433755e+11,1.0271097e+10,36966950
30000,150,0,3.0615684e+08,1.8392516e+17,2.8738817e+17,1.7780636e+21,0,1.5730486e+19,1.3698604e+18,4.32e+12,3.1477447e+16,3.4320043e+17,5.3203186e+18,6.7888872e+20,0,24707022,0,24707022,0,1.35e+21,15.812262,-1.0858244e-08,15.812262,0,0,73704762,-5.8067597e+10,5.4638296e+09,-1.5730429e+11,-1.3699015e+10,-3.4321723e+09,-5.3202698e+10,1.7160862e+08,2.6601349e+09,3.4450874e+10,3.4450874e+10,1.5978351e+11,9.9864695e+09,41146434
32000,160,0,3.2191301e+08,2.0018432e+17,3.1438811e+17,1.7775373e+21,0,1.5822608e+19,1.2905066e+18,4.32e+12,3.1163366e+16,3.1119466e+17,5.410108e+18,6.7930226e+20,0,28401221,0,28401221,0,1.35e+21,18.084306,0,18.084306,0,9.765625e-08,68964219,-4.7536086e+10,5.2614333e+09,-1.5822573e+11,-1.2905448e+10,-3.1120989e+09,-5.4100668e+10,1.5560494e+08,2.7050334e+09,3.4527513e+10,3.4527513e+10,1.5551002e+11,9.7193764e+09,45461602
