iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6605253e-310,-2.2999265e+118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971076,9.700142e+15,7.884265e+15,1.844626e+21,0,5.2931979e+18,3.4903361e+18,4.32e+12,3.0366165e+16,1.3591407e+18,1.8424547e+18,6.235428e+20,0,6608124.3,0,6608124.3,0,1.35e+21,8.1307304,5.0826708e-08,8.1307304,0,0,1.8712053e+08,-2.0950113e+12,8.7182002e+09,-5.2923424e+10,-3.490467e+10,-1.3592077e+10,-1.8422431e+10,6.7960387e+08,9.2112157e+08,1.7972154e+10,1.7972154e+10,2.4274053e+11,1.5171283e+10,1978863
4000,20,0,67221305,1.9503299e+16,1.804272e+16,1.8270175e+21,0,6.9176247e+18,3.2406763e+18,4.32e+12,3.1293784e+16,1.2315018e+18,2.2545531e+18,6.3947308e+20,0,17786303,0,17786303,0,1.35e+21,19.227179,-1.4500969e-09,19.227179,0,0,1.7506546e+08,-1.4698532e+12,8.6069511e+09,-6.9168559e+10,-3.2407953e+10,-1.2315626e+10,-2.2543529e+10,6.1578128e+08,1.1271765e+09,2.0579627e+10,2.0579627e+10,2.3848026e+11,1.4905016e+10,3068647.2
6000,30,0,84703455,2.9506663e+16,3.0077565e+16,1.8145451e+21,0,8.3684533e+18,3.0133542e+18,4.32e+12,3.194865e+16,1.1158972e+18,2.6423114e+18,6.5042877e+20,0,34087298,0,34087298,0,1.35e+21,33.441723,0,33.441723,0,9.765625e-08,1.6378786e+08,-1.0521474e+12,8.4264359e+09,-8.3677707e+10,-3.0134628e+10,-1.1159522e+10,-2.642124e+10,5.5797611e+08,1.321062e+09,2.2918269e+10,2.2918269e+10,2.3261076e+11,1.4538173e+10,4444948.2
8000,40,0,1.0308429e+08,3.9796967e+16,4.3809662e+16,1.8055348e+21,0,9.6501266e+18,2.805728e+18,4.32e+12,3.2403171e+16,1.011189e+18,3.0036032e+18,6.5808561e+20,0,56111776,0,56111776,0,1.35e+21,50.974032,-2.770858e-08,50.974032,0,0,1.5323758e+08,-7.67798e+11,8.2041369e+09,-9.6495266e+10,-2.8058273e+10,-1.0112388e+10,-3.0034294e+10,5.0561942e+08,1.5017147e+09,2.4988036e+10,2.4988036e+10,2.2592596e+11,1.4120372e+10,6113233.8
10000,50,0,1.2207275e+08,5.0444454e+16,5.9047443e+16,1.7989015e+21,0,1.0771744e+19,2.6156167e+18,4.32e+12,3.2705597e+16,9.1634727e+17,3.3376302e+18,6.6352344e+20,0,84336987,0,84336987,0,1.35e+21,72.051379,1.3943887e-07,72.051379,0,0,1.4336773e+08,-5.70646e+11,7.9576038e+09,-1.0771222e+11,-2.6157077e+10,-9.1639239e+09,-3.33747e+10,4.5819619e+08,1.668735e+09,2.6798949e+10,2.6798949e+10,2.1890443e+11,1.3681527e+10,8072661.2
12000,60,0,1.4141877e+08,6.1505054e+16,7.5593413e+16,1.7939306e+21,0,1.17447e+19,2.4411821e+18,4.32e+12,3.2889315e+16,8.3043947e+17,3.6444334e+18,6.6744856e+20,0,1.1911784e+08,0,1.1911784e+08,0,1.35e+21,96.919917,3.3152503e-08,96.919917,0,0,1.3413441e+08,-4.3145735e+11,7.6983363e+09,-1.1744249e+11,-2.4412657e+10,-8.3048033e+09,-3.6442867e+10,4.1524017e+08,1.8221433e+09,2.8366403e+10,2.8366403e+10,2.1183495e+11,1.3239684e+10,10317431
14000,70,0,1.6091039e+08,7.3022319e+16,9.3248691e+16,1.7901432e+21,0,1.2581293e+19,2.2808509e+18,4.32e+12,3.297833e+16,7.5262148e+17,3.924588e+18,6.7032941e+20,0,1.6069035e+08,0,1.6069035e+08,0,1.35e+21,125.83746,0,125.83746,0,9.765625e-08,1.2549658e+08,-3.3142252e+11,7.4340355e+09,-1.2580907e+11,-2.2809278e+10,-7.526585e+09,-3.9244545e+10,3.7632925e+08,1.9622272e+09,2.9708376e+10,2.9708376e+10,2.0489046e+11,1.2805654e+10,12837954
16000,80,0,1.8037012e+08,8.5029165e+16,1.1181628e+17,1.7872135e+21,0,1.3293916e+19,2.13326e+18,4.32e+12,3.2990559e+16,6.821291e+17,4.1790088e+18,6.7248079e+20,0,2.0917676e+08,0,2.0917676e+08,0,1.35e+21,159.06763,8.2130498e-09,159.06763,0,0,1.1741582e+08,-2.5825442e+11,7.1699447e+09,-1.3293589e+11,-2.1333308e+10,-6.8216263e+09,-4.1788878e+10,3.4108132e+08,2.0894439e+09,3.0843761e+10,3.0843761e+10,1.9817243e+11,1.2385777e+10,15621842
18000,90,0,1.9965126e+08,9.7549419e+16,1.3110353e+17,1.7849163e+21,0,1.3894593e+19,1.9972174e+18,4.32e+12,3.2939844e+16,6.1827047e+17,4.4088223e+18,6.7411676e+20,0,2.6459186e+08,0,2.6459186e+08,0,1.35e+21,196.87508,-3.5089727e-08,196.87508,0,0,1.0985622e+08,-2.038086e+11,6.9096671e+09,-1.3894319e+11,-1.9972827e+10,-6.1830085e+09,-4.4087133e+10,3.0915042e+08,2.2043567e+09,3.1791386e+10,3.1791386e+10,1.9173778e+11,1.1983612e+10,18654732
20000,100,0,2.1863423e+08,1.1059919e+17,1.5092397e+17,1.7830936e+21,0,1.4394719e+19,1.8716733e+18,4.32e+12,3.2837202e+16,5.6041922e+17,4.6152826e+18,6.7538458e+20,0,3.2685021e+08,0,3.2685021e+08,0,1.35e+21,239.52186,-1.0211011e-08,239.52186,0,0,1.0278416e+08,-1.6260989e+11,6.6556816e+09,-1.4394493e+11,-1.8717336e+10,-5.6044674e+09,-4.6151849e+10,2.8022337e+08,2.3075925e+09,3.2569435e+10,3.2569435e+10,1.8561554e+11,1.1600971e+10,21920979
22000,110,0,2.3722324e+08,1.2418811e+17,1.7109875e+17,1.7816327e+21,0,1.4804936e+19,1.755697e+18,4.32e+12,3.2691626e+16,5.0800827e+17,4.7997133e+18,6.7638659e+20,0,3.9577399e+08,0,3.9577399e+08,0,1.35e+21,287.26447,-3.2636649e-09,287.26447,0,0,96168198,-1.3092671e+11,6.4096756e+09,-1.4804752e+11,-1.7557527e+10,-5.0803321e+09,-4.7996264e+10,2.540166e+08,2.3998132e+09,3.3195134e+10,3.3195134e+10,1.7981715e+11,1.1238572e+10,25404218
24000,120,0,2.5534318e+08,1.3832035e+17,1.9145779e+17,1.7804521e+21,0,1.5135076e+19,1.6484598e+18,4.32e+12,3.2510603e+16,4.605242e+17,4.9634684e+18,6.7719458e+20,0,4.7110143e+08,0,4.7110143e+08,0,1.35e+21,340.35175,0,340.35175,0,9.765625e-08,89978920,-1.0618167e+11,6.1727675e+09,-1.513493e+11,-1.6485113e+10,-4.6054679e+09,-4.9633915e+10,2.3027339e+08,2.4816957e+09,3.3684591e+10,3.3684591e+10,1.7434311e+11,1.0896444e+10,29087823
26000,130,0,2.7293685e+08,1.5299565e+17,2.1184059e+17,1.7794921e+21,0,1.5394161e+19,1.5492202e+18,4.32e+12,3.2300461e+16,4.1750215e+17,5.1079035e+18,6.7785938e+20,0,5.5249552e+08,0,5.5249552e+08,0,1.35e+21,399.02333,8.0793768e-08,399.02333,0,0,84188806,-8.6571064e+10,5.9456594e+09,-1.5394048e+11,-1.549268e+10,-4.1752262e+09,-5.1078359e+10,2.0876131e+08,2.5539179e+09,3.4052727e+10,3.4052727e+10,1.6918708e+11,1.0574192e+10,32955283
28000,140,0,2.899625e+08,1.6821005e+17,2.3209698e+17,1.778708e+21,0,1.559042e+19,1.4573127e+18,4.32e+12,3.2066605e+16,3.7852126e+17,5.2343566e+18,6.7841724e+20,0,6.3955293e+08,0,6.3955293e+08,0,1.35e+21,463.50861,-1.9190168e-08,463.50861,0,0,78772115,-7.0816319e+10,5.7287453e+09,-1.5590336e+11,-1.4573569e+10,-3.785398e+09,-5.2342976e+10,1.892699e+08,2.6171488e+09,3.4313274e+10,3.4313274e+10,1.643386e+11,1.0271162e+10,36990492
30000,150,0,3.0639157e+08,1.839567e+17,2.5208755e+17,1.7780661e+21,0,1.5731331e+19,1.3721373e+18,4.32e+12,3.1813683e+16,3.4320045e+17,5.3441336e+18,6.7889424e+20,0,7.3181303e+08,0,7.3181303e+08,0,1.35e+21,534.02615,0,534.02615,0,9.765625e-08,73704762,-5.7999482e+10,5.522189e+09,-1.5731274e+11,-1.3721783e+10,-3.4321725e+09,-5.3440826e+10,1.7160863e+08,2.6720413e+09,3.4478803e+10,3.4478803e+10,1.5978481e+11,9.9865506e+09,41177981
32000,160,0,3.2220678e+08,2.0022642e+17,2.7168404e+17,1.7775405e+21,0,1.5823665e+19,1.2931521e+18,4.32e+12,3.1545715e+16,3.1119468e+17,5.4384984e+18,6.7930922e+20,0,8.2876694e+08,0,8.2876694e+08,0,1.35e+21,610.7834,0,610.7834,0,9.765625e-08,68964219,-4.7453168e+10,5.3259825e+09,-1.582363e+11,-1.2931902e+10,-3.1120991e+09,-5.4384549e+10,1.5560495e+08,2.7192274e+09,3.4560776e+10,3.4560776e+10,1.5551161e+11,9.7194759e+09,45503089
