iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6406779e-310,-7.5425143e-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971015,9.7001414e+15,7.9114241e+15,1.844626e+21,0,5.2931978e+18,3.490333e+18,4.32e+12,3.0363596e+16,1.3591407e+18,1.8424337e+18,6.235428e+20,0,402156.5,0,402156.5,0,1.35e+21,0.49312135,-4.166175e-08,0.49312139,0,0,1.8712053e+08,-2.0950113e+12,8.7174631e+09,-5.2923424e+10,-3.490464e+10,-1.3592077e+10,-1.8422222e+10,6.7960387e+08,9.2111112e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220932,1.9503291e+16,1.8180403e+16,1.8270175e+21,0,6.9176239e+18,3.2406609e+18,4.32e+12,3.1286631e+16,1.2315018e+18,2.2544442e+18,6.3947308e+20,0,1086952.3,0,1086952.3,0,1.35e+21,1.1661104,8.2624574e-11,1.1661104,0,0,1.7506546e+08,-1.4698533e+12,8.6049845e+09,-6.9168552e+10,-3.2407799e+10,-1.2315626e+10,-2.254244e+10,6.1578128e+08,1.127122e+09,2.0579496e+10,2.0579496e+10,2.3848026e+11,1.4905016e+10,3068630.1
6000,30,0,84702289,2.9506626e+16,3.0453538e+16,1.8145451e+21,0,8.3684504e+18,3.0133137e+18,4.32e+12,3.1934708e+16,1.1158972e+18,2.6420148e+18,6.5042875e+20,0,2093200.4,0,2093200.4,0,1.35e+21,2.0282075,-2.7607962e-08,2.0282075,0,0,1.6378786e+08,-1.0521478e+12,8.4227598e+09,-8.3677678e+10,-3.0134223e+10,-1.1159522e+10,-2.6418275e+10,5.5797611e+08,1.3209138e+09,2.2917914e+10,2.2917914e+10,2.3261075e+11,1.4538172e+10,4444887
8000,40,0,1.0308155e+08,3.9796855e+16,4.4601999e+16,1.8055347e+21,0,9.6501188e+18,2.8056461e+18,4.32e+12,3.2379941e+16,1.011189e+18,3.0029838e+18,6.5808556e+20,0,3464666.5,0,3464666.5,0,1.35e+21,3.0915198,2.0318409e-08,3.0915198,0,0,1.5323758e+08,-7.6779901e+11,8.1982567e+09,-9.6495189e+10,-2.8057454e+10,-1.0112388e+10,-3.0028102e+10,5.0561942e+08,1.5014051e+09,2.4987296e+10,2.4987296e+10,2.2592594e+11,1.4120371e+10,6113071
10000,50,0,1.2206725e+08,5.0444183e+16,6.0489328e+16,1.7989015e+21,0,1.0771727e+19,2.6154739e+18,4.32e+12,3.2670336e+16,9.1634727e+17,3.3365158e+18,6.6352333e+20,0,5239846.9,0,5239846.9,0,1.35e+21,4.3698269,1.2677621e-07,4.3698268,0,0,1.4336773e+08,-5.7064805e+11,7.949026e+09,-1.0771205e+11,-2.615565e+10,-9.1639239e+09,-3.3363559e+10,4.5819619e+08,1.6681779e+09,2.679762e+10,2.679762e+10,2.189044e+11,1.3681525e+10,8072297.7
12000,60,0,1.4140889e+08,6.1504482e+16,7.7976749e+16,1.7939305e+21,0,1.1744668e+19,2.4409563e+18,4.32e+12,3.2839086e+16,8.3043946e+17,3.6426139e+18,6.6744835e+20,0,7452134.1,0,7452134.1,0,1.35e+21,5.8780499,-4.4580804e-08,5.8780499,0,0,1.3413441e+08,-4.3146102e+11,7.6865812e+09,-1.1744217e+11,-2.4410399e+10,-8.3048033e+09,-3.6424677e+10,4.1524017e+08,1.8212338e+09,2.8364237e+10,2.8364237e+10,2.1183489e+11,1.323968e+10,10316710
14000,70,0,1.6089396e+08,7.3021229e+16,9.6926548e+16,1.7901431e+21,0,1.2581238e+19,2.2805175e+18,4.32e+12,3.2910058e+16,7.5262148e+17,3.9218162e+18,6.7032907e+20,0,10130067,0,10130067,0,1.35e+21,7.6318135,0,7.6318135,0,9.765625e-08,1.2549658e+08,-3.3142852e+11,7.4186477e+09,-1.2580852e+11,-2.2805944e+10,-7.5265849e+09,-3.9216832e+10,3.7632925e+08,1.9608416e+09,2.9705083e+10,2.9705083e+10,2.0489036e+11,1.2805647e+10,12836644
16000,80,0,1.803444e+08,8.5027243e+16,1.1720425e+17,1.7872133e+21,0,1.3293828e+19,2.1327926e+18,4.32e+12,3.2901079e+16,6.821291e+17,4.1750013e+18,6.7248023e+20,0,13297625,0,13297625,0,1.35e+21,9.6470883,3.6366059e-08,9.6470883,0,0,1.1741582e+08,-2.5826359e+11,7.1505002e+09,-1.3293501e+11,-2.1328635e+10,-6.8216263e+09,-4.1748811e+10,3.4108132e+08,2.0874405e+09,3.0839011e+10,3.0839011e+10,1.9817227e+11,1.2385767e+10,15619614
18000,90,0,1.9961283e+08,9.7546226e+16,1.3867998e+17,1.784916e+21,0,1.3894459e+19,1.9965882e+18,4.32e+12,3.2825954e+16,6.1827047e+17,4.4032622e+18,6.7411591e+20,0,16974542,0,16974542,0,1.35e+21,11.939903,-2.3492886e-08,11.939903,0,0,1.0985622e+08,-2.0382193e+11,6.8857795e+09,-1.3894185e+11,-1.9966536e+10,-6.1830084e+09,-4.4031541e+10,3.0915042e+08,2.201577e+09,3.1784808e+10,3.1784808e+10,1.9173754e+11,1.1983596e+10,18651141
