iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6552777e-310,-1.9657752e-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971051,9.7001417e+15,7.8952754e+15,1.844626e+21,0,5.2931978e+18,3.4903348e+18,4.32e+12,3.0365124e+16,1.3591407e+18,1.8424462e+18,6.235428e+20,0,4093896.5,0,4093896.5,0,1.35e+21,5.0301678,9.3833286e-08,5.0301677,0,0,1.8712053e+08,-2.0950113e+12,8.7179016e+09,-5.2923424e+10,-3.4904658e+10,-1.3592077e+10,-1.8422347e+10,6.7960387e+08,9.2111733e+08,1.7972144e+10,1.7972144e+10,2.4274053e+11,1.5171283e+10,1978862
4000,20,0,67221154,1.9503296e+16,1.8098444e+16,1.8270175e+21,0,6.9176244e+18,3.2406701e+18,4.32e+12,3.1290893e+16,1.2315018e+18,2.254509e+18,6.3947308e+20,0,11037671,0,11037671,0,1.35e+21,11.895109,1.6837113e-08,11.895108,0,0,1.7506546e+08,-1.4698532e+12,8.6061563e+09,-6.9168556e+10,-3.2407891e+10,-1.2315626e+10,-2.2543088e+10,6.1578128e+08,1.1271544e+09,2.0579574e+10,2.0579574e+10,2.3848026e+11,1.4905016e+10,3068640.3
6000,30,0,84702984,2.9506648e+16,3.0229437e+16,1.8145451e+21,0,8.3684521e+18,3.0133379e+18,4.32e+12,3.1943031e+16,1.1158972e+18,2.6421916e+18,6.5042876e+20,0,21194951,0,21194951,0,1.35e+21,20.689088,-4.5742336e-08,20.689088,0,0,1.6378786e+08,-1.0521475e+12,8.4249543e+09,-8.3677695e+10,-3.0134464e+10,-1.1159522e+10,-2.6420043e+10,5.5797611e+08,1.3210021e+09,2.2918126e+10,2.2918126e+10,2.3261076e+11,1.4538172e+10,4444923.5
8000,40,0,1.0308318e+08,3.9796922e+16,4.4129015e+16,1.8055347e+21,0,9.6501234e+18,2.805695e+18,4.32e+12,3.2393839e+16,1.011189e+18,3.0033536e+18,6.5808559e+20,0,34967192,0,34967192,0,1.35e+21,31.535623,1.0786486e-08,31.535623,0,0,1.5323758e+08,-7.6779841e+11,8.2017747e+09,-9.6495235e+10,-2.8057943e+10,-1.0112388e+10,-3.0031798e+10,5.0561942e+08,1.5015899e+09,2.4987738e+10,2.4987738e+10,2.2592595e+11,1.4120372e+10,6113168.2
10000,50,0,1.2207054e+08,5.0444345e+16,5.9627154e+16,1.7989015e+21,0,1.0771738e+19,2.6155593e+18,4.32e+12,3.2691485e+16,9.1634727e+17,3.3371822e+18,6.635234e+20,0,52688207,0,52688207,0,1.35e+21,44.5753,4.9718039e-08,44.5753,0,0,1.4336773e+08,-5.7064682e+11,7.9541708e+09,-1.0771215e+11,-2.6156503e+10,-9.1639239e+09,-3.3370222e+10,4.5819619e+08,1.6685111e+09,2.6798415e+10,2.6798415e+10,2.1890442e+11,1.3681526e+10,8072515.1
12000,60,0,1.4141481e+08,6.1504824e+16,7.6548985e+16,1.7939306e+21,0,1.1744687e+19,2.4410916e+18,4.32e+12,3.2869295e+16,8.3043947e+17,3.6437041e+18,6.6744848e+20,0,74625039,0,74625039,0,1.35e+21,59.960374,-3.2781159e-08,59.960374,0,0,1.3413441e+08,-4.3145882e+11,7.6936511e+09,-1.1744236e+11,-2.4411752e+10,-8.3048033e+09,-3.6435576e+10,4.1524017e+08,1.8217788e+09,2.8365535e+10,2.8365535e+10,2.1183493e+11,1.3239683e+10,10317142
14000,70,0,1.6090383e+08,7.3021881e+16,9.4718787e+16,1.7901431e+21,0,1.2581271e+19,2.2807177e+18,4.32e+12,3.2951244e+16,7.5262148e+17,3.9234807e+18,6.7032927e+20,0,1.0098001e+08,0,1.0098001e+08,0,1.35e+21,77.850298,0,77.850298,0,9.765625e-08,1.2549658e+08,-3.3142493e+11,7.4279306e+09,-1.2580885e+11,-2.2807946e+10,-7.526585e+09,-3.9233473e+10,3.7632925e+08,1.9616737e+09,2.970706e+10,2.970706e+10,2.0489042e+11,1.2805651e+10,12837431
16000,80,0,1.8035988e+08,8.5028396e+16,1.1396274e+17,1.7872134e+21,0,1.3293881e+19,2.1330739e+18,4.32e+12,3.2955239e+16,6.821291e+17,4.1774135e+18,6.7248056e+20,0,1.318935e+08,0,1.318935e+08,0,1.35e+21,98.408088,-9.0955012e-09,98.408088,0,0,1.1741582e+08,-2.5825808e+11,7.1622694e+09,-1.3293554e+11,-2.1331447e+10,-6.8216263e+09,-4.1772928e+10,3.4108132e+08,2.0886464e+09,3.084187e+10,3.084187e+10,1.9817237e+11,1.2385773e+10,15620955
18000,90,0,1.9963601e+08,9.7548145e+16,1.3411085e+17,1.7849162e+21,0,1.389454e+19,1.9969678e+18,4.32e+12,3.2895139e+16,6.1827047e+17,4.4066176e+18,6.7411642e+20,0,1.6744728e+08,0,1.6744728e+08,0,1.35e+21,121.7974,3.0199431e-08,121.7974,0,0,1.0985622e+08,-2.0381392e+11,6.9002904e+09,-1.3894265e+11,-1.9970332e+10,-6.1830085e+09,-4.406509e+10,3.0915042e+08,2.2032545e+09,3.1788777e+10,3.1788777e+10,1.9173769e+11,1.1983606e+10,18653308
