iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6739058e-310,-6.4857207e-251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9127851e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363467e+16,1.3591407e+18,1.8424327e+18,6.235428e+20,0,90803.448,0,90803.448,0,1.35e+21,0.11132338,4.0350868e-08,0.11132334,0,0,1.8712053e+08,-2.0950113e+12,8.7174261e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422212e+10,6.7960387e+08,9.2111059e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220913,1.950329e+16,1.8187323e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.128627e+16,1.2315018e+18,2.2544387e+18,6.3947308e+20,0,245475.58,0,245475.58,0,1.35e+21,0.26325233,-1.2290322e-08,0.26325234,0,0,1.7506546e+08,-1.4698533e+12,8.6048854e+09,-6.9168552e+10,-3.2407792e+10,-1.2315626e+10,-2.2542386e+10,6.1578128e+08,1.1271193e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.3
6000,30,0,84702230,2.9506625e+16,3.0472498e+16,1.8145451e+21,0,8.3684502e+18,3.0133117e+18,4.32e+12,3.1934002e+16,1.1158972e+18,2.6419998e+18,6.5042875e+20,0,472839.37,0,472839.37,0,1.35e+21,0.4578729,0,0.4578729,0,9.765625e-08,1.6378786e+08,-1.0521478e+12,8.4225736e+09,-8.3677677e+10,-3.0134202e+10,-1.1159522e+10,-2.6418126e+10,5.5797611e+08,1.3209063e+09,2.2917896e+10,2.2917896e+10,2.3261075e+11,1.4538172e+10,4444883.9
8000,40,0,1.0308141e+08,3.979685e+16,4.4642112e+16,1.8055347e+21,0,9.6501184e+18,2.805642e+18,4.32e+12,3.2378758e+16,1.011189e+18,3.0029525e+18,6.5808556e+20,0,782860.48,0,782860.48,0,1.35e+21,0.69791826,-5.9502725e-10,0.69791826,0,0,1.5323758e+08,-7.6779906e+11,8.1979572e+09,-9.6495185e+10,-2.8057413e+10,-1.0112388e+10,-3.0027788e+10,5.0561942e+08,1.5013894e+09,2.4987258e+10,2.4987258e+10,2.2592594e+11,1.4120371e+10,6113062.7
10000,50,0,1.2206697e+08,5.044417e+16,6.0562643e+16,1.7989015e+21,0,1.0771727e+19,2.6154667e+18,4.32e+12,3.2668529e+16,9.1634727e+17,3.3364591e+18,6.6352333e+20,0,1184342.1,0,1184342.1,0,1.35e+21,0.98649911,8.8493815e-08,0.98649902,0,0,1.4336773e+08,-5.7064816e+11,7.9485864e+09,-1.0771204e+11,-2.6155577e+10,-9.1639239e+09,-3.3362992e+10,4.5819619e+08,1.6681496e+09,2.6797552e+10,2.6797552e+10,2.189044e+11,1.3681525e+10,8072279.2
12000,60,0,1.4140839e+08,6.1504453e+16,7.8098521e+16,1.7939305e+21,0,1.1744667e+19,2.4409448e+18,4.32e+12,3.2836493e+16,8.3043946e+17,3.6425209e+18,6.6744834e+20,0,1684964.9,0,1684964.9,0,1.35e+21,1.3269839,-1.404918e-08,1.3269839,0,0,1.3413441e+08,-4.3146121e+11,7.6859745e+09,-1.1744215e+11,-2.4410284e+10,-8.3048033e+09,-3.6423747e+10,4.1524016e+08,1.8211873e+09,2.8364126e+10,2.8364126e+10,2.1183488e+11,1.323968e+10,10316673
14000,70,0,1.6089312e+08,7.3021173e+16,9.7115463e+16,1.7901431e+21,0,1.2581235e+19,2.2805004e+18,4.32e+12,3.2906505e+16,7.5262148e+17,3.9216737e+18,6.7032905e+20,0,2291344.9,0,2291344.9,0,1.35e+21,1.7228997,1.5610524e-08,1.7228997,0,0,1.2549658e+08,-3.3142883e+11,7.4178471e+09,-1.2580849e+11,-2.2805773e+10,-7.5265849e+09,-3.9215407e+10,3.7632925e+08,1.9607704e+09,2.9704914e+10,2.9704914e+10,2.0489035e+11,1.2805647e+10,12836576
16000,80,0,1.8034306e+08,8.5027144e+16,1.1748261e+17,1.7872133e+21,0,1.3293824e+19,2.1327684e+18,4.32e+12,3.2896383e+16,6.821291e+17,4.174794e+18,6.724802e+20,0,3009101.5,0,3009101.5,0,1.35e+21,2.1778519,7.3340898e-09,2.1778519,0,0,1.1741582e+08,-2.5826406e+11,7.1494796e+09,-1.3293496e+11,-2.1328393e+10,-6.8216263e+09,-4.1746738e+10,3.4108132e+08,2.0873369e+09,3.0838765e+10,3.0838765e+10,1.9817226e+11,1.2385766e+10,15619498
18000,90,0,1.9961083e+08,9.7546062e+16,1.3907389e+17,1.784916e+21,0,1.3894452e+19,1.9965555e+18,4.32e+12,3.281992e+16,6.1827046e+17,4.4029726e+18,6.7411587e+20,0,3842929,0,3842929,0,1.35e+21,2.6954586,2.8144149e-09,2.6954586,0,0,1.0985622e+08,-2.0382262e+11,6.8845139e+09,-1.3894178e+11,-1.9966209e+10,-6.1830084e+09,-4.4028645e+10,3.0915042e+08,2.2014323e+09,3.1784465e+10,3.1784465e+10,1.9173753e+11,1.1983596e+10,18650954
