iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6845149e-310,4.5672438e-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.9126246e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363482e+16,1.3591407e+18,1.8424328e+18,6.235428e+20,0,127525.81,0,127525.81,0,1.35e+21,0.1563475,4.1976293e-08,0.15634746,0,0,1.8712053e+08,-2.0950113e+12,8.7174305e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422213e+10,6.7960387e+08,9.2111065e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220915,1.9503291e+16,1.8186507e+16,1.8270175e+21,0,6.9176239e+18,3.2406602e+18,4.32e+12,3.1286313e+16,1.2315018e+18,2.2544394e+18,6.3947308e+20,0,344741.34,0,344741.34,0,1.35e+21,0.36972328,3.3120914e-08,0.36972324,0,0,1.7506546e+08,-1.4698533e+12,8.6048971e+09,-6.9168552e+10,-3.2407793e+10,-1.2315626e+10,-2.2542392e+10,6.1578128e+08,1.1271196e+09,2.057949e+10,2.057949e+10,2.3848026e+11,1.4905016e+10,3068629.4
6000,30,0,84702237,2.9506625e+16,3.0470262e+16,1.8145451e+21,0,8.3684502e+18,3.0133119e+18,4.32e+12,3.1934085e+16,1.1158972e+18,2.6420016e+18,6.5042875e+20,0,664027.9,0,664027.9,0,1.35e+21,0.64305706,2.4497205e-08,0.64305703,0,0,1.6378786e+08,-1.0521478e+12,8.4225956e+09,-8.3677677e+10,-3.0134205e+10,-1.1159522e+10,-2.6418144e+10,5.5797611e+08,1.3209072e+09,2.2917898e+10,2.2917898e+10,2.3261075e+11,1.4538172e+10,4444884.3
8000,40,0,1.0308142e+08,3.9796851e+16,4.4637379e+16,1.8055347e+21,0,9.6501185e+18,2.8056425e+18,4.32e+12,3.2378898e+16,1.011189e+18,3.0029562e+18,6.5808556e+20,0,1099367.5,0,1099367.5,0,1.35e+21,0.98018744,3.8476303e-08,0.9801874,0,0,1.5323758e+08,-7.6779906e+11,8.1979926e+09,-9.6495185e+10,-2.8057418e+10,-1.0112388e+10,-3.0027825e+10,5.0561942e+08,1.5013913e+09,2.4987263e+10,2.4987263e+10,2.2592594e+11,1.4120371e+10,6113063.7
10000,50,0,1.2206701e+08,5.0444171e+16,6.0553991e+16,1.7989015e+21,0,1.0771727e+19,2.6154675e+18,4.32e+12,3.2668742e+16,9.1634727e+17,3.3364658e+18,6.6352333e+20,0,1663105.1,0,1663105.1,0,1.35e+21,1.3854832,1.3620435e-07,1.3854831,0,0,1.4336773e+08,-5.7064814e+11,7.9486383e+09,-1.0771204e+11,-2.6155586e+10,-9.1639239e+09,-3.3363059e+10,4.5819619e+08,1.668153e+09,2.679756e+10,2.679756e+10,2.189044e+11,1.3681525e+10,8072281.4
12000,60,0,1.4140845e+08,6.1504456e+16,7.8084147e+16,1.7939305e+21,0,1.1744667e+19,2.4409461e+18,4.32e+12,3.2836799e+16,8.3043946e+17,3.6425319e+18,6.6744834e+20,0,2366004.1,0,2366004.1,0,1.35e+21,1.8636752,3.6441815e-08,1.8636752,0,0,1.3413441e+08,-4.3146119e+11,7.6860461e+09,-1.1744215e+11,-2.4410297e+10,-8.3048033e+09,-3.6423856e+10,4.1524016e+08,1.8211928e+09,2.836414e+10,2.836414e+10,2.1183488e+11,1.323968e+10,10316678
14000,70,0,1.6089322e+08,7.302118e+16,9.709316e+16,1.7901431e+21,0,1.2581236e+19,2.2805024e+18,4.32e+12,3.2906925e+16,7.5262148e+17,3.9216905e+18,6.7032905e+20,0,3217327.6,0,3217327.6,0,1.35e+21,2.4197172,0,2.4197172,0,9.765625e-08,1.2549658e+08,-3.3142879e+11,7.4179416e+09,-1.2580849e+11,-2.2805793e+10,-7.5265849e+09,-3.9215576e+10,3.7632925e+08,1.9607788e+09,2.9704934e+10,2.9704934e+10,2.0489035e+11,1.2805647e+10,12836584
16000,80,0,1.8034322e+08,8.5027156e+16,1.1744974e+17,1.7872133e+21,0,1.3293824e+19,2.1327713e+18,4.32e+12,3.2896938e+16,6.821291e+17,4.1748185e+18,6.724802e+20,0,4224933.5,0,4224933.5,0,1.35e+21,3.0586724,0,3.0586724,0,9.765625e-08,1.1741582e+08,-2.58264e+11,7.1496002e+09,-1.3293497e+11,-2.1328422e+10,-6.8216263e+09,-4.1746983e+10,3.4108132e+08,2.0873491e+09,3.0838794e+10,3.0838794e+10,1.9817226e+11,1.2385766e+10,15619512
18000,90,0,1.9961106e+08,9.7546081e+16,1.3902736e+17,1.784916e+21,0,1.3894453e+19,1.9965594e+18,4.32e+12,3.2820633e+16,6.1827046e+17,4.4030068e+18,6.7411587e+20,0,5395374.7,0,5395374.7,0,1.35e+21,3.7856226,4.6177834e-08,3.7856226,0,0,1.0985622e+08,-2.0382254e+11,6.8846635e+09,-1.3894179e+11,-1.9966248e+10,-6.1830084e+09,-4.4028987e+10,3.0915042e+08,2.2014494e+09,3.1784506e+10,3.1784506e+10,1.9173753e+11,1.1983596e+10,18650976
20000,100,0,2.1857644e+08,1.1059391e+17,1.6170507e+17,1.7830931e+21,0,1.4394516e+19,1.8708158e+18,4.32e+12,3.2689031e+16,5.6041922e+17,4.6074768e+18,6.7538329e+20,0,6734002.4,0,6734002.4,0,1.35e+21,4.605596,0,4.605596,0,9.765625e-08,1.0278416e+08,-1.6262934e+11,6.6256524e+09,-1.4394289e+11,-1.8708762e+10,-5.6044674e+09,-4.6073803e+10,2.8022337e+08,2.3036901e+09,3.2560217e+10,3.2560217e+10,1.8561518e+11,1.1600949e+10,21915185
22000,110,0,2.3714279e+08,1.2418007e+17,1.8536805e+17,1.781632e+21,0,1.480465e+19,1.7546097e+18,4.32e+12,3.2511175e+16,5.0800826e+17,4.7895233e+18,6.7638476e+20,0,8245067,0,8245067,0,1.35e+21,5.5235114,-6.1827921e-09,5.5235114,0,0,96168198,-1.3095298e+11,6.3742989e+09,-1.4804466e+11,-1.7546656e+10,-5.080332e+09,-4.7894377e+10,2.540166e+08,2.3947188e+09,3.3183121e+10,3.3183121e+10,1.7981667e+11,1.1238542e+10,25395603
24000,120,0,2.5523423e+08,1.3830855e+17,2.0990782e+17,1.7804511e+21,0,1.5134687e+19,1.6471123e+18,4.32e+12,3.2294645e+16,4.6052419e+17,4.9504752e+18,6.7719208e+20,0,9931817.9,0,9931817.9,0,1.35e+21,6.5441366,2.4202707e-08,6.5441366,0,0,89978920,-1.0621618e+11,6.1317673e+09,-1.513454e+11,-1.647164e+10,-4.6054678e+09,-4.9503998e+10,2.3027339e+08,2.4751999e+09,3.3669297e+10,3.3669297e+10,1.7434247e+11,1.0896404e+10,29075412
26000,130,0,2.7279275e+08,1.529788e+17,2.3522239e+17,1.7794907e+21,0,1.5393644e+19,1.5475827e+18,4.32e+12,3.2045902e+16,4.1750214e+17,5.091668e+18,6.7785605e+20,0,11796599,0,11796599,0,1.35e+21,7.6720584,8.7600753e-08,7.6720583,0,0,84188806,-8.6615367e+10,5.8988056e+09,-1.5393531e+11,-1.5476305e+10,-4.175226e+09,-5.0916021e+10,2.087613e+08,2.5458011e+09,3.4033643e+10,3.4033643e+10,1.6918625e+11,1.0574141e+10,32937884
28000,140,0,2.8977581e+08,1.6818661e+17,2.6121623e+17,1.7787061e+21,0,1.5589749e+19,1.455356e+18,4.32e+12,3.1770519e+16,3.7852124e+17,5.214424e+18,6.7841289e+20,0,13840939,0,13840939,0,1.35e+21,8.911662,1.4370302e-08,8.911662,0,0,78772115,-7.0872053e+10,5.6758531e+09,-1.5589665e+11,-1.4554004e+10,-3.7853979e+09,-5.214367e+10,1.8926989e+08,2.6071835e+09,3.4289873e+10,3.4289873e+10,1.6433754e+11,1.0271096e+10,36966677
30000,150,0,3.0615408e+08,1.839248e+17,2.878002e+17,1.7780636e+21,0,1.5730477e+19,1.3698337e+18,4.32e+12,3.1473347e+16,3.4320043e+17,5.3200387e+18,6.7888866e+20,0,16065641,0,16065641,0,1.35e+21,10.26712,-2.0010342e-08,10.26712,0,0,73704762,-5.8068381e+10,5.463118e+09,-1.5730419e+11,-1.3698748e+10,-3.4321723e+09,-5.31999e+10,1.7160862e+08,2.659995e+09,3.4450547e+10,3.4450547e+10,1.597835e+11,9.9864685e+09,41146064
32000,160,0,3.2190953e+08,2.0018383e+17,3.1489137e+17,1.7775372e+21,0,1.5822596e+19,1.2904752e+18,4.32e+12,3.1158634e+16,3.1119466e+17,5.4097706e+18,6.7930218e+20,0,18470860,0,18470860,0,1.35e+21,11.742384,0,11.742384,0,9.765625e-08,68964219,-4.7537049e+10,5.2606344e+09,-1.5822561e+11,-1.2905134e+10,-3.1120989e+09,-5.4097295e+10,1.5560494e+08,2.7048648e+09,3.4527119e+10,3.4527119e+10,1.5551e+11,9.7193753e+09,45461110
34000,170,0,3.3703366e+08,2.1695239e+17,3.4241287e+17,1.7771069e+21,0,1.5872218e+19,1.2167913e+18,4.32e+12,3.083011e+16,2.8219152e+17,5.4848342e+18,6.7966717e+20,0,21056184,0,21056184,0,1.35e+21,13.34119,0,13.34119,0,9.765625e-08,64529407,-3.8786813e+10,5.0683064e+09,-1.5872203e+11,-1.2168268e+10,-2.8220531e+09,-5.4848001e+10,1.4110266e+08,2.7424001e+09,3.4530006e+10,3.4530006e+10,1.5150243e+11,9.4689018e+09,49897807
36000,180,0,3.5152606e+08,2.342178e+17,3.7029365e+17,1.7767568e+21,0,1.5884849e+19,1.1483375e+18,4.32e+12,3.0491059e+16,2.5590811e+17,5.5463949e+18,6.7999366e+20,0,23820703,0,23820703,0,1.35e+21,15.067057,-2.8713368e-08,15.067057,0,0,60380610,-3.1451519e+10,4.8859408e+09,-1.5884851e+11,-1.1483705e+10,-2.5592062e+09,-5.5463673e+10,1.2796031e+08,2.7731836e+09,3.446865e+10,3.446865e+10,1.4774608e+11,9.2341303e+09,54443157
38000,190,0,3.6539301e+08,2.5196648e+17,3.9846823e+17,1.7764742e+21,0,1.5865437e+19,1.0847099e+18,4.32e+12,3.0144374e+16,2.3208829e+17,5.5955659e+18,6.8028902e+20,0,26763075,0,26763075,0,1.35e+21,16.923298,1.8215953e-08,16.923298,0,0,56499381,-2.5254867e+10,4.7132732e+09,-1.5865454e+11,-1.0847405e+10,-2.3209962e+09,-5.5955442e+10,1.1604981e+08,2.7977721e+09,3.4351593e+10,3.4351593e+10,1.4422653e+11,9.0141583e+09,59085238
40000,200,0,3.7864631e+08,2.7018421e+17,4.2687647e+17,1.7762487e+21,0,1.5818422e+19,1.0255398e+18,4.32e+12,2.97926e+16,2.1050009e+17,5.6334061e+18,6.8055871e+20,0,29881590,0,29881590,0,1.35e+21,18.913031,6.1414198e-09,18.913031,0,0,52868464,-1.9985792e+10,4.5499882e+09,-1.5818452e+11,-1.0255684e+10,-2.1051036e+09,-5.6333899e+10,1.0525518e+08,2.8166949e+09,3.418654e+10,3.418654e+10,1.4092978e+11,8.8081113e+09,63813232
42000,210,0,3.9130231e+08,2.8885649e+17,4.5546331e+17,1.7760719e+21,0,1.5747779e+19,9.704908e+17,4.32e+12,2.9437971e+16,1.9093347e+17,5.6609191e+18,6.8080681e+20,0,33174226,0,33174226,0,1.35e+21,21.039189,0,21.039189,0,9.765625e-08,49471716,-1.5481103e+10,4.3957349e+09,-1.574782e+11,-9.7051734e+09,-1.9094278e+09,-5.6609077e+10,95471388,2.8304539e+09,3.3980431e+10,3.3980431e+10,1.3784239e+11,8.6151492e+09,68617438
44000,220,0,4.0338098e+08,3.0796874e+17,4.841785e+17,1.775937e+21,0,1.5657059e+19,9.1925475e+17,4.32e+12,2.9082446e+16,1.7319821e+17,5.6790525e+18,6.8103635e+20,0,36638698,0,36638698,0,1.35e+21,23.304535,-1.5810748e-08,23.304535,0,0,46294034,-1.1613107e+10,4.2501398e+09,-1.5657109e+11,-9.1927947e+09,-1.7320665e+09,-5.6790457e+10,86603326,2.8395228e+09,3.37395e+10,3.37395e+10,1.3495153e+11,8.4344708e+09,73489259
46000,230,0,4.1490512e+08,3.275065e+17,5.1297631e+17,1.7758379e+21,0,1.554943e+19,8.7154937e+17,4.32e+12,2.8727735e+16,1.5712208e+17,5.688699e+18,6.8124963e+20,0,40272509,0,40272509,0,1.35e+21,25.711677,0,25.711677,0,9.765625e-08,43321291,-8.2807153e+09,4.1128158e+09,-1.5549488e+11,-8.7157238e+09,-1.5712973e+09,-5.6886961e+10,78564863,2.8443481e+09,3.3469337e+10,3.3469337e+10,1.3224504e+11,8.2653151e+09,78421184
48000,240,0,4.2589974e+08,3.4745561e+17,5.4181533e+17,1.7757698e+21,0,1.5427713e+19,8.2711546e+17,4.32e+12,2.8375321e+16,1.4254906e+17,5.6906962e+18,6.8144841e+20,0,44072992,0,44072992,0,1.35e+21,28.263084,0,28.263084,0,9.765625e-08,40540269,-5.4029811e+09,3.9833707e+09,-1.5427777e+11,-8.271369e+09,-1.4255599e+09,-5.690697e+10,71277996,2.8453485e+09,3.3174944e+10,3.3174944e+10,1.297114e+11,8.1069624e+09,83406750
50000,250,0,4.363914e+08,3.6780236e+17,5.7065814e+17,1.7757286e+21,0,1.5294412e+19,7.8571478e+17,4.32e+12,2.8026492e+16,1.2933788e+17,5.6858287e+18,6.8163402e+20,0,48037349,0,48037349,0,1.35e+21,30.961099,-1.478049e-08,30.961099,0,0,37938603,-2.9143678e+09,3.8614124e+09,-1.5294482e+11,-7.8573476e+09,-1.2934417e+09,-5.6858327e+10,64672086,2.8429164e+09,3.2860786e+10,3.2860786e+10,1.2733974e+11,7.9587335e+09,88440500
52000,260,0,4.4640778e+08,3.8853353e+17,5.9947109e+17,1.7757104e+21,0,1.5151749e+19,7.4712805e+17,4.32e+12,2.7682348e+16,1.1736061e+17,5.6748289e+18,6.8180752e+20,0,52162684,0,52162684,0,1.35e+21,33.807957,-1.9311798e-08,33.807957,0,0,35504727,-7.6124688e+08,3.746554e+09,-1.5151822e+11,-7.4714667e+09,-1.1736631e+09,-5.6748358e+10,58683155,2.8374179e+09,3.2530839e+10,3.2530839e+10,1.2511982e+11,7.8199885e+09,93517931
54000,270,0,4.5597724e+08,4.0963656e+17,6.2822409e+17,1.7757124e+21,0,1.5001685e+19,7.1115319e+17,4.32e+12,2.7343832e+16,1.0650135e+17,5.6583788e+18,6.8196977e+20,0,56446038,0,56446038,0,1.35e+21,36.805797,0,36.805797,0,1.953125e-07,33227819,1.1007147e+09,3.6384167e+09,-1.5001761e+11,-7.1117056e+09,-1.0650652e+09,-5.6583882e+10,53253261,2.8291941e+09,3.2188635e+10,3.2188635e+10,1.2304202e+11,7.690126e+09,98635441
56000,280,0,4.6512842e+08,4.3109955e+17,6.568903e+17,1.7757316e+21,0,1.4845953e+19,6.7760382e+17,4.32e+12,2.7011738e+16,9.665516e+16,5.6371121e+18,6.8212144e+20,0,60884414,0,60884414,0,1.35e+21,39.956681,0,39.956681,0,9.765625e-08,31097755,2.7085221e+09,3.5366328e+09,-1.4846032e+11,-6.7762002e+09,-9.6659846e+08,-5.6371239e+10,48329923,2.8185619e+09,3.1837302e+10,3.1837302e+10,1.2109729e+11,7.5685808e+09,1.0379027e+08
58000,290,0,4.7388997e+08,4.5291134e+17,6.8544596e+17,1.7757658e+21,0,1.4686075e+19,6.4630786e+17,4.32e+12,2.6686728e+16,8.7726968e+16,5.6116161e+18,6.8226311e+20,0,65474804,0,65474804,0,1.35e+21,43.262605,4.4704066e-08,43.262605,0,0,29105066,4.0933477e+09,3.4408473e+09,-1.4686155e+11,-6.4632297e+09,-8.7731217e+08,-5.6116299e+10,43865608,2.8058149e+09,3.1479606e+10,3.1479606e+10,1.1927716e+11,7.4548223e+09,1.0898044e+08
60000,300,0,4.8229025e+08,4.7506151e+17,7.1387012e+17,1.7758128e+21,0,1.4523385e+19,6.1710628e+17,4.32e+12,2.6369348e+16,7.9630672e+16,5.5824336e+18,6.8239527e+20,0,70214208,0,70214208,0,1.35e+21,46.725511,1.4946842e-08,46.725511,0,0,27240891,5.2816772e+09,3.3507192e+09,-1.4523467e+11,-6.1712038e+09,-7.9634526e+08,-5.582449e+10,39817263,2.7912245e+09,3.1117978e+10,3.1117978e+10,1.1757365e+11,7.3483531e+09,1.1420468e+08
62000,310,0,4.9035717e+08,4.9754043e+17,7.421445e+17,1.7758709e+21,0,1.4359051e+19,5.8985201e+17,4.32e+12,2.606004e+16,7.228828e+16,5.5500649e+18,6.8251836e+20,0,75099655,0,75099655,0,1.35e+21,50.347304,9.7027709e-08,50.347304,0,0,25496942,6.2961952e+09,3.2659224e+09,-1.4359133e+11,-5.8986517e+09,-7.2291775e+08,-5.5500818e+10,36145887,2.7750409e+09,3.0754552e+10,3.0754552e+10,1.1597931e+11,7.2487067e+09,1.1946241e+08
64000,320,0,4.9811799e+08,5.2033926e+17,7.7025321e+17,1.7759383e+21,0,1.4194086e+19,5.6440896e+17,4.32e+12,2.575915e+16,6.5629143e+16,5.5149705e+18,6.8263278e+20,0,80128219,0,80128219,0,1.35e+21,54.129858,8.043839e-08,54.129858,0,0,23865466,7.1564772e+09,3.1861459e+09,-1.4194168e+11,-5.6442125e+09,-6.5632313e+08,-5.5149887e+10,32816156,2.7574943e+09,3.0391192e+10,3.0391192e+10,1.1448714e+11,7.1554462e+09,1.2475361e+08
66000,330,0,5.0559914e+08,5.4344992e+17,7.9818261e+17,1.7760135e+21,0,1.4029369e+19,5.406511e+17,4.32e+12,2.5466942e+16,5.9589263e+16,5.4775726e+18,6.8273889e+20,0,85297035,0,85297035,0,1.35e+21,58.075034,1.1073416e-07,58.075034,0,0,22339209,7.8795318e+09,3.1110941e+09,-1.4029451e+11,-5.4066258e+09,-5.9592138e+08,-5.4775918e+10,29796069,2.7387959e+09,3.0029517e+10,3.0029517e+10,1.1309059e+11,7.068162e+09,1.3007882e+08
68000,340,0,5.1282618e+08,5.6686511e+17,8.2592113e+17,1.7760954e+21,0,1.3865657e+19,5.1846165e+17,4.32e+12,2.5183607e+16,5.4110664e+16,5.4382577e+18,6.8283703e+20,0,90603305,0,90603305,0,1.35e+21,62.184684,-3.2195224e-08,62.184684,0,0,20911385,8.4802328e+09,3.040487e+09,-1.3865738e+11,-5.1847238e+09,-5.4113272e+08,-5.4382777e+10,27056636,2.7191389e+09,2.9670929e+10,2.9670929e+10,1.1178353e+11,6.9864707e+09,1.3543906e+08
70000,350,0,5.1982364e+08,5.905783e+17,8.5345907e+17,1.7761828e+21,0,1.3703598e+19,4.9773236e+17,4.32e+12,2.4909268e+16,4.9140826e+16,5.3973783e+18,6.8292755e+20,0,96044316,0,96044316,0,1.35e+21,66.460661,1.6751287e-08,66.460661,0,0,19575645,8.9716626e+09,2.9740592e+09,-1.3703679e+11,-4.9774238e+09,-4.9143192e+08,-5.397399e+10,24571596,2.6986995e+09,2.9316631e+10,2.9316631e+10,1.1056021e+11,6.9100133e+09,1.4083578e+08
72000,360,0,5.2661502e+08,6.1458367e+17,8.8078846e+17,1.7762746e+21,0,1.3543745e+19,4.7836282e+17,4.32e+12,2.4643995e+16,4.4632167e+16,5.3552552e+18,6.8301076e+20,0,1.0161744e+08,0,1.0161744e+08,0,1.35e+21,70.904832,1.3078761e-07,70.904831,0,0,18326051,9.3653898e+09,2.9115603e+09,-1.3543824e+11,-4.7837218e+09,-4.4634313e+08,-5.3552766e+10,22317157,2.6776383e+09,2.8967649e+10,2.8967649e+10,1.0941526e+11,6.8384535e+09,1.4627079e+08
74000,370,0,5.3322268e+08,6.3887613e+17,9.0790291e+17,1.7763698e+21,0,1.3386561e+19,4.6025986e+17,4.32e+12,2.4387803e+16,4.0541576e+16,5.3121798e+18,6.8308698e+20,0,1.0732015e+08,0,1.0732015e+08,0,1.35e+21,75.519077,2.3434566e-08,75.519077,0,0,17157048,9.6716942e+09,2.8527541e+09,-1.3386639e+11,-4.6026861e+09,-4.0543524e+08,-5.3122015e+10,20271762,2.6561007e+09,2.8624851e+10,2.8624851e+10,1.0834363e+11,6.7714769e+09,1.5174624e+08
76000,380,0,5.3966786e+08,6.6345126e+17,9.3479746e+17,1.7764677e+21,0,1.3232436e+19,4.43337e+17,4.32e+12,2.4140666e+16,3.6829997e+16,5.2684151e+18,6.8315653e+20,0,1.1315001e+08,0,1.1315001e+08,0,1.35e+21,80.305306,3.9830482e-08,80.305306,0,0,16063436,9.8997505e+09,2.7974179e+09,-1.3232512e+11,-4.4334518e+09,-3.6831764e+08,-5.2684371e+10,18415882,2.6342185e+09,2.8288962e+10,2.8288962e+10,1.0734062e+11,6.7087888e+09,1.5726457e+08
78000,390,0,5.4597064e+08,6.8830529e+17,9.6146845e+17,1.7765676e+21,0,1.3081688e+19,4.2751394e+17,4.32e+12,2.3902519e+16,3.346204e+16,5.2241986e+18,6.8321971e+20,0,1.1910471e+08,0,1.1910471e+08,0,1.35e+21,85.265457,-2.3477043e-09,85.265457,0,0,15040356,1.0057779e+10,2.7453423e+09,-1.3081762e+11,-4.2752159e+09,-3.3463643e+08,-5.2242208e+10,16731822,2.6121104e+09,2.7960583e+10,2.7960583e+10,1.0640182e+11,6.6501136e+09,1.6282842e+08
80000,400,0,5.5214993e+08,7.1343508e+17,9.8791339e+17,1.7766687e+21,0,1.2934577e+19,4.1271609e+17,4.32e+12,2.3673264e+16,3.0405638e+16,5.1797434e+18,6.8327683e+20,0,1.2518202e+08,0,1.2518202e+08,0,1.35e+21,90.401502,0,90.401502,0,9.765625e-08,14083256,1.0153173e+10,2.6963301e+09,-1.293465e+11,-4.1272324e+09,-3.0407093e+08,-5.1797657e+10,15203546,2.5898829e+09,2.7640198e+10,2.7640198e+10,1.0552309e+11,6.5951934e+09,1.6844065e+08
82000,410,0,5.5822352e+08,7.3883807e+17,1.0141309e+18,1.7767704e+21,0,1.2791309e+19,3.9887411e+17,4.32e+12,2.3452774e+16,2.7631734e+16,5.1352405e+18,6.8332818e+20,0,1.3137984e+08,0,1.3137984e+08,0,1.35e+21,95.715457,7.8573862e-08,95.715456,0,0,13187883,1.0192598e+10,2.6501964e+09,-1.2791379e+11,-3.9888081e+09,-2.7633055e+08,-5.1352627e+10,13816528,2.5676314e+09,2.7328193e+10,2.7328193e+10,1.0470059e+11,6.5437869e+09,1.7410429e+08
84000,420,0,5.6420802e+08,7.6451224e+17,1.0401204e+18,1.7768724e+21,0,1.2652042e+19,3.859236e+17,4.32e+12,2.3240899e+16,2.5113999e+16,5.0908596e+18,6.8337406e+20,0,1.3769617e+08,0,1.3769617e+08,0,1.35e+21,101.20938,1.4487193e-07,101.20938,0,0,12350256,1.0182087e+10,2.6067671e+09,-1.265211e+11,-3.8592986e+09,-2.5115198e+08,-5.0908817e+10,12557599,2.5454409e+09,2.7024866e+10,2.7024866e+10,1.0393069e+11,6.4956681e+09,1.7982245e+08
