iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.681577e-310,-3.3100719e+130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.7001413e+15,7.912868e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363459e+16,1.3591407e+18,1.8424326e+18,6.235428e+20,0,71836.369,0,71836.369,0,1.35e+21,0.088069163,2.2355172e-08,0.088069141,0,0,1.8712053e+08,-2.0950113e+12,8.7174239e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.8422211e+10,6.7960387e+08,9.2111056e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220912,1.950329e+16,1.8187745e+16,1.8270175e+21,0,6.9176239e+18,3.2406601e+18,4.32e+12,3.1286248e+16,1.2315018e+18,2.2544384e+18,6.3947308e+20,0,194202.96,0,194202.96,0,1.35e+21,0.20826184,2.7774741e-08,0.20826182,0,0,1.7506546e+08,-1.4698533e+12,8.6048794e+09,-6.9168552e+10,-3.2407791e+10,-1.2315626e+10,-2.2542382e+10,6.1578128e+08,1.1271191e+09,2.0579489e+10,2.0579489e+10,2.3848026e+11,1.4905016e+10,3068629.2
6000,30,0,84702227,2.9506624e+16,3.0473654e+16,1.8145451e+21,0,8.3684502e+18,3.0133116e+18,4.32e+12,3.1933959e+16,1.1158972e+18,2.6419989e+18,6.5042875e+20,0,374082.66,0,374082.66,0,1.35e+21,0.36222834,1.7178986e-08,0.36222832,0,0,1.6378786e+08,-1.0521478e+12,8.4225623e+09,-8.3677677e+10,-3.0134201e+10,-1.1159522e+10,-2.6418117e+10,5.5797611e+08,1.3209058e+09,2.2917895e+10,2.2917895e+10,2.3261075e+11,1.4538172e+10,4444883.7
8000,40,0,1.030814e+08,3.979685e+16,4.4644557e+16,1.8055347e+21,0,9.6501184e+18,2.8056417e+18,4.32e+12,3.2378686e+16,1.011189e+18,3.0029506e+18,6.5808556e+20,0,619363.54,0,619363.54,0,1.35e+21,0.55213089,2.6902291e-08,0.55213086,0,0,1.5323758e+08,-7.6779907e+11,8.197939e+09,-9.6495184e+10,-2.805741e+10,-1.0112388e+10,-3.0027769e+10,5.0561942e+08,1.5013885e+09,2.4987256e+10,2.4987256e+10,2.2592594e+11,1.4120371e+10,6113062.2
10000,50,0,1.2206696e+08,5.0444169e+16,6.0567113e+16,1.7989015e+21,0,1.0771727e+19,2.6154662e+18,4.32e+12,3.2668419e+16,9.1634727e+17,3.3364556e+18,6.6352333e+20,0,937015.34,0,937015.34,0,1.35e+21,0.7804304,1.2217298e-07,0.78043027,0,0,1.4336773e+08,-5.7064816e+11,7.9485596e+09,-1.0771204e+11,-2.6155573e+10,-9.1639239e+09,-3.3362958e+10,4.5819619e+08,1.6681479e+09,2.6797548e+10,2.6797548e+10,2.189044e+11,1.3681525e+10,8072278.1
12000,60,0,1.4140836e+08,6.1504451e+16,7.8105946e+16,1.7939305e+21,0,1.1744667e+19,2.4409441e+18,4.32e+12,3.2836335e+16,8.3043946e+17,3.6425152e+18,6.6744834e+20,0,1333121.1,0,1333121.1,0,1.35e+21,1.0497917,-4.3521283e-08,1.0497917,0,0,1.3413441e+08,-4.3146122e+11,7.6859374e+09,-1.1744215e+11,-2.4410277e+10,-8.3048033e+09,-3.642369e+10,4.1524016e+08,1.8211845e+09,2.836412e+10,2.836412e+10,2.1183488e+11,1.323968e+10,10316671
14000,70,0,1.6089307e+08,7.302117e+16,9.7126986e+16,1.7901431e+21,0,1.2581235e+19,2.2804993e+18,4.32e+12,3.2906288e+16,7.5262148e+17,3.921665e+18,6.7032905e+20,0,1812923.4,0,1812923.4,0,1.35e+21,1.3630051,0,1.3630051,0,9.765625e-08,1.2549658e+08,-3.3142885e+11,7.4177982e+09,-1.2580849e+11,-2.2805763e+10,-7.5265849e+09,-3.921532e+10,3.7632925e+08,1.960766e+09,2.9704904e+10,2.9704904e+10,2.0489035e+11,1.2805647e+10,12836572
16000,80,0,1.8034298e+08,8.5027138e+16,1.174996e+17,1.7872133e+21,0,1.3293823e+19,2.1327669e+18,4.32e+12,3.2896096e+16,6.821291e+17,4.1747814e+18,6.724802e+20,0,2380877.7,0,2380877.7,0,1.35e+21,1.7229227,0,1.7229227,0,9.765625e-08,1.1741582e+08,-2.5826409e+11,7.1494173e+09,-1.3293496e+11,-2.1328378e+10,-6.8216263e+09,-4.1746611e+10,3.4108132e+08,2.0873306e+09,3.083875e+10,3.083875e+10,1.9817226e+11,1.2385766e+10,15619491
18000,90,0,1.996107e+08,9.7546052e+16,1.3909793e+17,1.784916e+21,0,1.3894452e+19,1.9965535e+18,4.32e+12,3.2819551e+16,6.1827046e+17,4.4029549e+18,6.7411586e+20,0,3040709.3,0,3040709.3,0,1.35e+21,2.132407,-5.2688689e-09,2.132407,0,0,1.0985622e+08,-2.0382266e+11,6.8844366e+09,-1.3894178e+11,-1.9966189e+10,-6.1830084e+09,-4.4028468e+10,3.0915042e+08,2.2014234e+09,3.1784444e+10,3.1784444e+10,1.9173753e+11,1.1983596e+10,18650943
