iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.666941e-310,-2.8061314e+246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971013,9.7001413e+15,7.9122236e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.036352e+16,1.3591407e+18,1.8424331e+18,6.235428e+20,0,219257.96,0,219257.96,0,1.35e+21,0.26882535,-4.2518751e-08,0.26882539,0,0,1.8712053e+08,-2.0950113e+12,8.7174414e+09,-5.2923424e+10,-3.4904639e+10,-1.3592077e+10,-1.8422216e+10,6.7960387e+08,9.2111081e+08,1.7972129e+10,1.7972129e+10,2.4274053e+11,1.5171283e+10,1978860.6
4000,20,0,67220921,1.9503291e+16,1.8184468e+16,1.8270175e+21,0,6.9176239e+18,3.2406605e+18,4.32e+12,3.1286419e+16,1.2315018e+18,2.254441e+18,6.3947308e+20,0,592685.03,0,592685.03,0,1.35e+21,0.63570564,-2.8589179e-08,0.63570566,0,0,1.7506546e+08,-1.4698533e+12,8.6049263e+09,-6.9168552e+10,-3.2407795e+10,-1.2315626e+10,-2.2542408e+10,6.1578128e+08,1.1271204e+09,2.0579492e+10,2.0579492e+10,2.3848026e+11,1.4905016e+10,3068629.6
6000,30,0,84702255,2.9506625e+16,3.0464675e+16,1.8145451e+21,0,8.3684503e+18,3.0133125e+18,4.32e+12,3.1934293e+16,1.1158972e+18,2.642006e+18,6.5042875e+20,0,1141526.4,0,1141526.4,0,1.35e+21,1.1056783,-2.9058107e-08,1.1056783,0,0,1.6378786e+08,-1.0521478e+12,8.4226504e+09,-8.3677677e+10,-3.0134211e+10,-1.1159522e+10,-2.6418188e+10,5.5797611e+08,1.3209094e+09,2.2917903e+10,2.2917903e+10,2.3261075e+11,1.4538172e+10,4444885.2
8000,40,0,1.0308146e+08,3.9796852e+16,4.4625559e+16,1.8055347e+21,0,9.6501186e+18,2.8056437e+18,4.32e+12,3.2379247e+16,1.011189e+18,3.0029654e+18,6.5808556e+20,0,1889762.2,0,1889762.2,0,1.35e+21,1.6853435,-2.4609397e-09,1.6853435,0,0,1.5323758e+08,-7.6779904e+11,8.1980808e+09,-9.6495186e+10,-2.805743e+10,-1.0112388e+10,-3.0027918e+10,5.0561942e+08,1.5013959e+09,2.4987274e+10,2.4987274e+10,2.2592594e+11,1.4120371e+10,6113066.1
10000,50,0,1.2206709e+08,5.0444175e+16,6.0532384e+16,1.7989015e+21,0,1.0771727e+19,2.6154697e+18,4.32e+12,3.2669275e+16,9.1634727e+17,3.3364825e+18,6.6352333e+20,0,2858538.1,0,2858538.1,0,1.35e+21,2.3822129,1.4476415e-07,2.3822128,0,0,1.4336773e+08,-5.7064811e+11,7.9487679e+09,-1.0771204e+11,-2.6155607e+10,-9.1639239e+09,-3.3363226e+10,4.5819619e+08,1.6681613e+09,2.679758e+10,2.679758e+10,2.189044e+11,1.3681525e+10,8072286.9
12000,60,0,1.414086e+08,6.1504465e+16,7.8048255e+16,1.7939305e+21,0,1.1744667e+19,2.4409495e+18,4.32e+12,3.2837564e+16,8.3043946e+17,3.6425593e+18,6.6744835e+20,0,4066259.6,0,4066259.6,0,1.35e+21,3.2044209,4.119215e-08,3.2044209,0,0,1.3413441e+08,-4.3146113e+11,7.686225e+09,-1.1744216e+11,-2.4410331e+10,-8.3048033e+09,-3.642413e+10,4.1524017e+08,1.8212065e+09,2.8364172e+10,2.8364172e+10,2.1183489e+11,1.323968e+10,10316689
14000,70,0,1.6089347e+08,7.3021196e+16,9.7037471e+16,1.7901431e+21,0,1.2581236e+19,2.2805074e+18,4.32e+12,3.2907972e+16,7.5262148e+17,3.9217326e+18,6.7032906e+20,0,5528730.4,0,5528730.4,0,1.35e+21,4.1604851,0,4.1604851,0,9.765625e-08,1.2549658e+08,-3.314287e+11,7.4181777e+09,-1.258085e+11,-2.2805844e+10,-7.5265849e+09,-3.9215996e+10,3.7632925e+08,1.9607998e+09,2.9704984e+10,2.9704984e+10,2.0489035e+11,1.2805647e+10,12836604
16000,80,0,1.8034361e+08,8.5027185e+16,1.1736767e+17,1.7872133e+21,0,1.3293826e+19,2.1327784e+18,4.32e+12,3.2898323e+16,6.821291e+17,4.1748796e+18,6.7248021e+20,0,7259314.3,0,7259314.3,0,1.35e+21,5.2591115,3.2403983e-08,5.2591114,0,0,1.1741582e+08,-2.5826387e+11,7.1499012e+09,-1.3293498e+11,-2.1328493e+10,-6.8216263e+09,-4.1747594e+10,3.4108132e+08,2.0873797e+09,3.0838867e+10,3.0838867e+10,1.9817226e+11,1.2385766e+10,15619546
18000,90,0,1.9961165e+08,9.7546129e+16,1.3891121e+17,1.784916e+21,0,1.3894455e+19,1.996569e+18,4.32e+12,3.2822413e+16,6.1827046e+17,4.4030922e+18,6.7411588e+20,0,9269107.9,0,9269107.9,0,1.35e+21,6.5090379,0,6.5090379,0,9.765625e-08,1.0985622e+08,-2.0382234e+11,6.8850368e+09,-1.3894181e+11,-1.9966344e+10,-6.1830084e+09,-4.4029841e+10,3.0915042e+08,2.201492e+09,3.1784607e+10,3.1784607e+10,1.9173754e+11,1.1983596e+10,18651031
