iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6451256e-310,3.3606225e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971129,9.7001426e+15,7.8610237e+15,1.844626e+21,0,5.2931979e+18,3.4903387e+18,4.32e+12,3.036836e+16,1.3591407e+18,1.8424726e+18,6.235428e+20,0,11907692,0,11907692,0,1.35e+21,14.694688,1.6513955e-09,14.694688,0,0,1.8712053e+08,-2.0950113e+12,8.7188299e+09,-5.2923425e+10,-3.4904696e+10,-1.3592077e+10,-1.842261e+10,6.7960387e+08,9.2113052e+08,1.7972176e+10,1.7972176e+10,2.4274053e+11,1.5171283e+10,1978865
4000,20,0,67221622,1.9503306e+16,1.7925511e+16,1.8270175e+21,0,6.9176253e+18,3.2406893e+18,4.32e+12,3.1299847e+16,1.2315018e+18,2.2546459e+18,6.3947309e+20,0,31936464,0,31936464,0,1.35e+21,34.749335,-2.2409473e-08,34.749335,0,0,1.7506546e+08,-1.4698531e+12,8.6086182e+09,-6.9168566e+10,-3.2408083e+10,-1.2315626e+10,-2.2544456e+10,6.1578128e+08,1.1272228e+09,2.0579738e+10,2.0579738e+10,2.3848026e+11,1.4905017e+10,3068661.7
6000,30,0,84704442,2.9506694e+16,2.9759429e+16,1.8145451e+21,0,8.3684557e+18,3.0133885e+18,4.32e+12,3.1960363e+16,1.1158972e+18,2.6425624e+18,6.5042879e+20,0,60954564,0,60954564,0,1.35e+21,60.439365,4.4747857e-08,60.439365,0,0,1.6378786e+08,-1.052147e+12,8.4295244e+09,-8.3677732e+10,-3.013497e+10,-1.1159522e+10,-2.6423749e+10,5.5797611e+08,1.3211875e+09,2.291857e+10,2.291857e+10,2.3261077e+11,1.4538173e+10,4445000
8000,40,0,1.030866e+08,3.9797061e+16,4.31438e+16,1.8055348e+21,0,9.6501331e+18,2.8057968e+18,4.32e+12,3.2422491e+16,1.011189e+18,3.0041236e+18,6.5808565e+20,0,99869846,0,99869846,0,1.35e+21,92.125698,-1.9420497e-08,92.125698,0,0,1.5323758e+08,-7.6779714e+11,8.2090273e+09,-9.6495331e+10,-2.8058961e+10,-1.0112388e+10,-3.0039496e+10,5.0561942e+08,1.5019748e+09,2.4988659e+10,2.4988659e+10,2.2592597e+11,1.4120373e+10,6113370.6
10000,50,0,1.2207733e+08,5.0444682e+16,5.7845027e+16,1.7989015e+21,0,1.0771758e+19,2.6157357e+18,4.32e+12,3.2734588e+16,9.1634727e+17,3.338559e+18,6.6352353e+20,0,1.4931898e+08,0,1.4931898e+08,0,1.35e+21,130.21921,3.5209553e-08,130.21921,0,0,1.4336773e+08,-5.7064427e+11,7.9646564e+09,-1.0771236e+11,-2.6158266e+10,-9.1639239e+09,-3.3383985e+10,4.5819619e+08,1.6691993e+09,2.6800057e+10,2.6800057e+10,2.1890446e+11,1.3681529e+10,8072964.2
12000,60,0,1.4142694e+08,6.1505531e+16,7.3622859e+16,1.7939306e+21,0,1.1744727e+19,2.4413687e+18,4.32e+12,3.2930085e+16,8.3043947e+17,3.6459361e+18,6.6744873e+20,0,2.0967065e+08,0,2.0967065e+08,0,1.35e+21,175.16494,-2.5368564e-08,175.16494,0,0,1.3413441e+08,-4.3145428e+11,7.7078779e+09,-1.1744275e+11,-2.4414522e+10,-8.3048033e+09,-3.6457891e+10,4.1524017e+08,1.8228945e+09,2.8368192e+10,2.8368192e+10,2.1183501e+11,1.3239688e+10,10318026
14000,70,0,1.6092383e+08,7.3023221e+16,9.023635e+16,1.7901433e+21,0,1.2581338e+19,2.2811237e+18,4.32e+12,3.3032964e+16,7.5262148e+17,3.9268546e+18,6.703297e+20,0,2.8103526e+08,0,2.8103526e+08,0,1.35e+21,227.42914,0,227.42914,0,9.765625e-08,1.2549658e+08,-3.3141756e+11,7.4463497e+09,-1.2580952e+11,-2.2812006e+10,-7.526585e+09,-3.9267206e+10,3.7632925e+08,1.9633603e+09,2.9711069e+10,2.9711069e+10,2.0489055e+11,1.2805659e+10,12839026
16000,80,0,1.8039094e+08,8.5030745e+16,1.0744848e+17,1.7872136e+21,0,1.3293989e+19,2.1336384e+18,4.32e+12,3.3061055e+16,6.821291e+17,4.1822498e+18,6.7248124e+20,0,3.632796e+08,0,3.632796e+08,0,1.35e+21,287.48862,0,287.48862,0,9.765625e-08,1.1741582e+08,-2.582469e+11,7.1852638e+09,-1.3293661e+11,-2.1337092e+10,-6.8216264e+09,-4.1821283e+10,3.4108132e+08,2.0910641e+09,3.0847606e+10,3.0847606e+10,1.9817257e+11,1.2385785e+10,15623645
18000,90,0,1.99682e+08,9.7552021e+16,1.250298e+17,1.7849165e+21,0,1.3894702e+19,1.9977209e+18,4.32e+12,3.3028051e+16,6.1827047e+17,4.4132651e+18,6.7411745e+20,0,4.5604542e+08,0,4.5604542e+08,0,1.35e+21,355.82227,-2.1603682e-08,355.82227,0,0,1.0985622e+08,-2.0379778e+11,6.928168e+09,-1.3894428e+11,-1.9977862e+10,-6.1830085e+09,-4.4131555e+10,3.0915043e+08,2.2065777e+09,3.1796647e+10,3.1796647e+10,1.9173798e+11,1.1983624e+10,18657604
