iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6473079e-310,5.3865676e+79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971128,9.7001426e+15,7.861082e+15,1.844626e+21,0,5.2931979e+18,3.4903387e+18,4.32e+12,3.0368354e+16,1.3591407e+18,1.8424726e+18,6.235428e+20,0,11894416,0,11894416,0,1.35e+21,14.678196,2.7566674e-08,14.678196,0,0,1.8712053e+08,-2.0950113e+12,8.7188283e+09,-5.2923425e+10,-3.4904696e+10,-1.3592077e+10,-1.842261e+10,6.7960387e+08,9.211305e+08,1.7972176e+10,1.7972176e+10,2.4274053e+11,1.5171283e+10,1978865
4000,20,0,67221622,1.9503306e+16,1.7925804e+16,1.8270175e+21,0,6.9176253e+18,3.2406893e+18,4.32e+12,3.1299832e+16,1.2315018e+18,2.2546456e+18,6.3947309e+20,0,31901142,0,31901142,0,1.35e+21,34.710335,-3.8401772e-08,34.710335,0,0,1.7506546e+08,-1.4698531e+12,8.608614e+09,-6.9168566e+10,-3.2408083e+10,-1.2315626e+10,-2.2544454e+10,6.1578128e+08,1.1272227e+09,2.0579738e+10,2.0579738e+10,2.3848026e+11,1.4905017e+10,3068661.6
6000,30,0,84704439,2.9506694e+16,2.9760223e+16,1.8145451e+21,0,8.3684557e+18,3.0133884e+18,4.32e+12,3.1960334e+16,1.1158972e+18,2.6425618e+18,6.5042879e+20,0,60887776,0,60887776,0,1.35e+21,60.371532,5.0677826e-09,60.371532,0,0,1.6378786e+08,-1.052147e+12,8.4295167e+09,-8.3677732e+10,-3.0134969e+10,-1.1159522e+10,-2.6423743e+10,5.5797611e+08,1.3211871e+09,2.2918569e+10,2.2918569e+10,2.3261077e+11,1.4538173e+10,4444999.8
8000,40,0,1.0308659e+08,3.979706e+16,4.3145456e+16,1.8055348e+21,0,9.6501331e+18,2.8057967e+18,4.32e+12,3.2422443e+16,1.011189e+18,3.0041223e+18,6.5808565e+20,0,99761586,0,99761586,0,1.35e+21,92.022302,-1.9977691e-08,92.022302,0,0,1.5323758e+08,-7.6779715e+11,8.2090152e+09,-9.6495331e+10,-2.8058959e+10,-1.0112388e+10,-3.0039483e+10,5.0561942e+08,1.5019741e+09,2.4988657e+10,2.4988657e+10,2.2592597e+11,1.4120373e+10,6113370.3
10000,50,0,1.2207732e+08,5.0444681e+16,5.7848007e+16,1.7989015e+21,0,1.0771758e+19,2.6157354e+18,4.32e+12,3.2734517e+16,9.1634727e+17,3.3385566e+18,6.6352353e+20,0,1.4915907e+08,0,1.4915907e+08,0,1.35e+21,130.07305,5.1336116e-08,130.07305,0,0,1.4336773e+08,-5.7064427e+11,7.964639e+09,-1.0771236e+11,-2.6158263e+10,-9.1639239e+09,-3.3383962e+10,4.5819619e+08,1.6691981e+09,2.6800055e+10,2.6800055e+10,2.1890446e+11,1.3681529e+10,8072963.5
12000,60,0,1.4142692e+08,6.150553e+16,7.3627722e+16,1.7939306e+21,0,1.1744726e+19,2.4413682e+18,4.32e+12,3.2929986e+16,8.3043947e+17,3.6459324e+18,6.6744873e+20,0,2.0944916e+08,0,2.0944916e+08,0,1.35e+21,174.96834,3.1372565e-08,174.96834,0,0,1.3413441e+08,-4.3145429e+11,7.7078545e+09,-1.1744275e+11,-2.4414518e+10,-8.3048033e+09,-3.6457854e+10,4.1524017e+08,1.8228927e+09,2.8368188e+10,2.8368188e+10,2.1183501e+11,1.3239688e+10,10318025
14000,70,0,1.6092379e+08,7.3023219e+16,9.0243753e+16,1.7901433e+21,0,1.2581338e+19,2.2811231e+18,4.32e+12,3.3032831e+16,7.5262148e+17,3.926849e+18,6.703297e+20,0,2.8074287e+08,0,2.8074287e+08,0,1.35e+21,227.17388,0,227.17388,0,9.765625e-08,1.2549658e+08,-3.3141757e+11,7.4463197e+09,-1.2580952e+11,-2.2811999e+10,-7.526585e+09,-3.926715e+10,3.7632925e+08,1.9633575e+09,2.9711063e+10,2.9711063e+10,2.0489055e+11,1.2805659e+10,12839024
16000,80,0,1.8039089e+08,8.5030741e+16,1.0745916e+17,1.7872136e+21,0,1.3293988e+19,2.1336375e+18,4.32e+12,3.3060884e+16,6.821291e+17,4.1822419e+18,6.7248124e+20,0,3.6290795e+08,0,3.6290795e+08,0,1.35e+21,287.16594,-3.9260442e-08,287.16595,0,0,1.1741582e+08,-2.5824691e+11,7.1852268e+09,-1.3293661e+11,-2.1337083e+10,-6.8216264e+09,-4.1821204e+10,3.4108132e+08,2.0910602e+09,3.0847597e+10,3.0847597e+10,1.9817257e+11,1.2385785e+10,15623641
18000,90,0,1.9968192e+08,9.7552015e+16,1.2504457e+17,1.7849165e+21,0,1.3894702e+19,1.9977197e+18,4.32e+12,3.302784e+16,6.1827047e+17,4.4132543e+18,6.7411745e+20,0,4.5558743e+08,0,4.5558743e+08,0,1.35e+21,355.42289,-4.8107211e-08,355.42289,0,0,1.0985622e+08,-2.0379781e+11,6.9281237e+09,-1.3894427e+11,-1.997785e+10,-6.1830085e+09,-4.4131447e+10,3.0915043e+08,2.2065723e+09,3.1796634e+10,3.1796634e+10,1.9173798e+11,1.1983624e+10,18657597
20000,100,0,2.1867774e+08,1.1060326e+17,1.4278114e+17,1.7830939e+21,0,1.4394876e+19,1.8723193e+18,4.32e+12,3.2944516e+16,5.6041923e+17,4.621152e+18,6.7538558e+20,0,5.5822115e+08,0,5.5822115e+08,0,1.35e+21,432.41846,4.8002562e-09,432.41846,0,0,1.0278416e+08,-1.6259497e+11,6.6774308e+09,-1.4394649e+11,-1.8723795e+10,-5.6044675e+09,-4.6210536e+10,2.8022337e+08,2.3105268e+09,3.2576374e+10,3.2576374e+10,1.8561581e+11,1.1600988e+10,21925342
22000,110,0,2.3728295e+08,1.2419423e+17,1.6046285e+17,1.7816332e+21,0,1.4805154e+19,1.7565047e+18,4.32e+12,3.2819662e+16,5.0800828e+17,4.8072651e+18,6.7638797e+20,0,6.7006964e+08,0,6.7006964e+08,0,1.35e+21,518.6166,0,518.6166,0,9.765625e-08,96168198,-1.309068e+11,6.4347768e+09,-1.480497e+11,-1.7565603e+10,-5.0803321e+09,-4.8071773e+10,2.5401661e+08,2.4035886e+09,3.3204051e+10,3.3204051e+10,1.7981752e+11,1.1238595e+10,25410612
24000,120,0,2.5542281e+08,1.3832925e+17,1.7789847e+17,1.7804529e+21,0,1.513537e+19,1.6494457e+18,4.32e+12,3.2660478e+16,4.6052421e+17,4.9729481e+18,6.7719645e+20,0,7.9023956e+08,0,7.9023956e+08,0,1.35e+21,614.46764,-2.6478688e-08,614.46764,0,0,89978920,-1.0615583e+11,6.2012219e+09,-1.5135223e+11,-1.6494972e+10,-4.605468e+09,-4.9728701e+10,2.302734e+08,2.486435e+09,3.3695771e+10,3.3695771e+10,1.7434359e+11,1.0896475e+10,29096895
26000,130,0,2.7304047e+08,1.530082e+17,1.9491296e+17,1.7794932e+21,0,1.5394546e+19,1.5503992e+18,4.32e+12,3.2472978e+16,4.1750216e+17,5.1195515e+18,6.7786185e+20,0,9.1771022e+08,0,9.1771022e+08,0,1.35e+21,720.40548,1.0905319e-07,720.40548,0,0,84188806,-8.6538333e+10,5.9774129e+09,-1.5394433e+11,-1.5504468e+10,-4.1752263e+09,-5.1194828e+10,2.0876131e+08,2.5597414e+09,3.406645e+10,3.406645e+10,1.691877e+11,1.0574231e+10,32967794
28000,140,0,2.9009441e+08,1.6822731e+17,2.1134853e+17,1.7787094e+21,0,1.5590914e+19,1.4586972e+18,4.32e+12,3.2262227e+16,3.7852127e+17,5.2484026e+18,6.7842043e+20,0,1.0513604e+09,0,1.0513604e+09,0,1.35e+21,836.84579,0,836.84579,0,1.953125e-07,78772115,-7.077572e+10,5.7636913e+09,-1.559083e+11,-1.4587413e+10,-3.7853981e+09,-5.2483424e+10,1.8926991e+08,2.6241712e+09,3.4329809e+10,3.4329809e+10,1.6433937e+11,1.027121e+10,37007320
30000,150,0,3.0655628e+08,1.8397988e+17,2.2706541e+17,1.7780679e+21,0,1.5731951e+19,1.3737375e+18,4.32e+12,3.2032524e+16,3.4320046e+17,5.3607908e+18,6.7889827e+20,0,1.1899953e+09,0,1.1899953e+09,0,1.35e+21,964.18489,3.2334583e-08,964.18489,0,0,73704762,-5.7950039e+10,5.560173e+09,-1.5731893e+11,-1.3737784e+10,-3.4321727e+09,-5.3607385e+10,1.7160863e+08,2.6803693e+09,3.44984e+10,3.44984e+10,1.5978576e+11,9.9866098e+09,41200117
