iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,7.58e+15,98.3,80.1,9.5e+20,0,4.51e+10,3.92e+17,3.99e+18,1.3e+16,33.5,1.11,1.13e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6428436e-310,4.6428436e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,37536602,2.1520031e+16,2.0451366e+15,1.1126242e+21,0,3.4200039e+18,4.6906497e+17,4.32e+12,3.9732426e+16,3.6122929e+18,7.7973433e+17,9.6343592e+20,0,69511.947,731712.85,801224.8,0,1.35e+21,73.178603,3.9537312e-08,73.178603,0,0,1.8712053e+08,1.3247882e+13,1.1408042e+10,-3.4185282e+10,-4.6903138e+09,-3.6124726e+10,-7.7937596e+09,1.8062363e+09,3.8968798e+08,1.0781107e+10,1.0781107e+10,3.7509059e+11,2.3443162e+10,1457293
4000,20,0,55699959,4.1943103e+16,7.6376807e+15,1.2224781e+21,0,6.0001787e+18,5.2608319e+17,4.32e+12,3.6579538e+16,3.2702332e+18,1.4291013e+18,8.5061643e+20,0,305392.49,1677314.6,1982707.1,0,1.35e+21,167.74824,3.0260281e-08,167.74824,0,0,1.7506546e+08,9.0222252e+12,1.0061201e+10,-5.9990544e+10,-5.2605919e+09,-3.2703958e+10,-1.4288069e+10,1.6351979e+09,7.1440346e+08,1.5556936e+10,1.5556936e+10,3.1724302e+11,1.9827689e+10,2542698.7
6000,30,0,74346407,6.1464328e+16,1.6196291e+16,1.2978071e+21,0,7.9811661e+18,5.6689004e+17,4.32e+12,3.4511975e+16,2.960613e+18,1.9679952e+18,7.7301209e+20,0,744576.68,2825779.9,3570356.6,0,1.35e+21,282.60625,1.7324965e-08,282.60625,0,0,1.6378786e+08,6.2339011e+12,9.1028107e+09,-7.9802963e+10,-5.6687287e+09,-2.9607602e+10,-1.9677484e+10,1.4803801e+09,9.8387422e+08,1.9212271e+10,1.9212271e+10,2.7646328e+11,1.7278955e+10,3901445.6
8000,40,0,93156090,8.0258248e+16,2.7240666e+16,1.3501915e+21,0,9.522513e+18,5.9594066e+17,4.32e+12,3.3112096e+16,2.6803527e+18,2.4232193e+18,7.1885541e+20,0,1415337.3,4169993.6,5585331,0,1.35e+21,417.04107,-1.4655939e-09,417.04107,0,0,1.5323758e+08,4.3659852e+12,8.3838243e+09,-9.5218325e+10,-5.9592854e+09,-2.680486e+10,-2.4230093e+10,1.340243e+09,1.2115046e+09,2.2048514e+10,2.2048514e+10,2.4679767e+11,1.5424855e+10,5524459.2
10000,50,0,1.1190943e+08,9.8473052e+16,4.0400469e+16,1.3871019e+21,0,1.0732754e+19,6.1617076e+17,4.32e+12,3.2124609e+16,2.4266653e+18,2.8127793e+18,6.8054978e+20,0,2340826.3,5705490.4,8046316.6,0,1.35e+21,570.6061,1.3952535e-07,570.6061,0,0,1.4336773e+08,3.0967866e+12,7.8163742e+09,-1.0732218e+11,-6.1616249e+09,-2.4267859e+10,-2.8125987e+10,1.2133929e+09,1.4062993e+09,2.4269663e+10,2.4269663e+10,2.2452772e+11,1.4032982e+10,7400561.5
12000,60,0,1.3044878e+08,1.1623438e+17,5.538015e+16,1.4134316e+21,0,1.1687665e+19,6.2958647e+17,4.32e+12,3.139179e+16,2.1970283e+18,3.1491293e+18,6.531144e+20,0,3540114.4,7429909.1,10970023,0,1.35e+21,743.06522,-2.8127261e-09,743.06522,0,0,1.3413441e+08,2.2228632e+12,7.3479036e+09,-1.1687242e+11,-6.2958121e+09,-2.1971375e+10,-3.1489728e+10,1.0985687e+09,1.5744864e+09,2.6017404e+10,2.6017404e+10,2.0728978e+11,1.2955611e+10,9517097.4
14000,70,0,1.4865708e+08,1.3364859e+17,7.1936568e+16,1.4324327e+21,0,1.2441537e+19,6.3761152e+17,4.32e+12,3.0815404e+16,1.9891591e+18,3.4411571e+18,6.3323521e+20,0,5028864.7,9342546.4,14371411,0,1.35e+21,934.34808,2.4345127e-08,934.34808,0,0,1.2549658e+08,1.6135776e+12,6.9465287e+09,-1.2441203e+11,-6.3760867e+09,-1.9892579e+10,-3.441021e+10,9.9462897e+08,1.7205105e+09,2.7392746e+10,2.7392746e+10,1.9355533e+11,1.2097208e+10,11860345
16000,80,0,1.6644567e+08,1.5080549e+17,8.9864512e+16,1.4462959e+21,0,1.3034271e+19,6.4129505e+17,4.32e+12,3.033397e+16,1.8009918e+18,3.6954182e+18,6.186761e+20,0,6819800.3,11443989,18263789,0,1.35e+21,1144.5134,-8.5117335e-09,1144.5134,0,0,1.1741582e+08,1.1838218e+12,6.592626e+09,-1.3034009e+11,-6.4129415e+09,-1.8010813e+10,-3.6952996e+10,9.0054065e+08,1.8476498e+09,2.8469578e+10,2.8469578e+10,1.8231889e+11,1.1394931e+10,14415846
18000,90,0,1.8374701e+08,1.6778071e+17,1.0898714e+17,1.4565163e+21,0,1.3495917e+19,6.4143814e+17,4.32e+12,2.9908972e+16,1.6306568e+18,3.9169129e+18,6.0790819e+20,0,8923057.4,13735811,22658868,0,1.35e+21,1373.7185,-3.1029231e-08,1373.7185,0,0,1.0985622e+08,8.7738343e+11,6.2739277e+09,-1.3495715e+11,-6.4143884e+09,-1.6307378e+10,-3.9168096e+10,8.153689e+08,1.9584048e+09,2.9303331e+10,2.9303331e+10,1.729077e+11,1.0806731e+10,17168693
