iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.04e+13,5.5,10.5,1.84e+21,0,2.75e+11,4.59e+15,6.4e+15,5.28e+17,7.84,53.3,2.4e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6560748e-310,4.6560748e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,9790246.5,6.9699013e+14,2.5698662e+15,1.7404379e+21,0,9.5545366e+17,9.6915768e+16,4.32e+12,1.3136845e+16,7.6113361e+15,6.2420917e+17,3.3840239e+20,0,87377.389,23694.462,111071.85,0,1.35e+21,2.3696831,1.3058647e-07,2.369683,0,0,1.8712053e+08,-8.1516066e+12,3.7712037e+09,-9.5493007e+09,-9.6901758e+08,-76107901,-6.2410902e+09,3805395.1,3.1205451e+08,2.3882479e+09,2.3882479e+09,1.3172392e+11,8.232745e+09,380089.21
4000,20,0,18247303,1.8747973e+15,6.2297471e+15,1.6724945e+21,0,2.0489577e+18,1.2687036e+17,4.32e+12,1.598415e+16,8.5905624e+15,8.4393931e+17,4.0499582e+20,0,249128.71,74962.645,324091.36,0,1.35e+21,7.4970142,-2.1195378e-08,7.4970143,0,0,1.7506546e+08,-5.6152228e+12,4.3959602e+09,-2.0483964e+10,-1.2685472e+09,-85901266,-8.4382167e+09,4295063.3,4.2191083e+08,4.5077181e+09,4.5077181e+09,1.5102742e+11,9.4392137e+09,832987.89
6000,30,0,28608363,3.5921617e+15,1.1061791e+16,1.6253125e+21,0,3.1742235e+18,1.5852264e+17,4.32e+12,1.801934e+16,9.3641056e+15,1.0885748e+18,4.507686e+20,0,508562.86,165126.77,673689.63,0,1.35e+21,16.514329,4.7030923e-08,16.514329,0,0,1.6378786e+08,-3.9345738e+12,4.7524021e+09,-3.1736645e+10,-1.5850681e+09,-93637656,-1.088449e+10,4681882.8,5.4422451e+08,6.7076134e+09,6.7076134e+09,1.6120128e+11,1.007508e+10,1501269.2
8000,40,0,40536848,5.8973539e+15,1.7151184e+16,1.5919937e+21,0,4.2698361e+18,1.8967144e+17,4.32e+12,1.9506388e+16,9.9589715e+15,1.3430378e+18,4.8269728e+20,0,891144.35,306377.4,1197521.7,0,1.35e+21,30.640804,-1.3912757e-08,30.640804,0,0,1.5323758e+08,-2.8025694e+12,4.9386762e+09,-4.2693023e+10,-1.8965623e+09,-99587146,-1.3429099e+10,4979357.3,6.7145494e+08,8.8654546e+09,8.8654546e+09,1.6571e+11,1.0356875e+10,2403967
10000,50,0,53711217,8.8275977e+15,2.4522244e+16,1.5680818e+21,0,5.3014814e+18,2.1905914e+17,4.32e+12,2.0611789e+16,1.0399105e+16,1.5976884e+18,5.0528308e+20,0,1420849,511420.01,1932269,0,1.35e+21,51.147116,9.6905481e-08,51.147116,0,0,1.4336773e+08,-2.0280408e+12,5.0149598e+09,-5.3009851e+10,-2.1904502e+09,-1.039892e+08,-1.5975622e+10,5199460.2,7.9878109e+08,1.0911614e+10,1.0911614e+10,1.6669646e+11,1.0418529e+10,3551918.4
12000,60,0,67839134,1.2410274e+16,3.3160239e+16,1.5506524e+21,0,6.2514068e+18,2.4600309e+17,4.32e+12,2.1443058e+16,1.0705715e+16,1.8463567e+18,5.21475e+20,0,2119737.8,793221.64,2912959.5,0,1.35e+21,79.330097,-1.4929185e-08,79.330097,0,0,1.3413441e+08,-1.4900362e+12,5.0190597e+09,-6.2509539e+10,-2.459903e+09,-1.0705592e+08,-1.8462346e+10,5352796,9.2311731e+08,1.2808898e+10,1.2808898e+10,1.6550408e+11,1.0344005e+10,4949311.7
14000,70,0,82662443,1.6664061e+16,4.3025419e+16,1.537757e+21,0,7.1119954e+18,2.7017494e+17,4.32e+12,2.2071376e+16,1.0897563e+16,2.0851277e+18,5.3323326e+20,0,3007770.4,1164796.1,4172566.6,0,1.35e+21,116.49126,0,116.49126,0,9.765625e-08,1.2549658e+08,-1.1108404e+12,4.9753123e+09,-7.1115879e+10,-2.7016357e+09,-1.0897493e+08,-2.0850113e+10,5448746.3,1.0425056e+09,1.4540091e+10,1.4540091e+10,1.6298492e+11,1.0186557e+10,6595078.6
16000,80,0,97957500,2.1600025e+16,5.4062215e+16,1.5280786e+21,0,7.8817991e+18,2.9146592e+17,4.32e+12,2.2545135e+16,1.0991224e+16,2.3115769e+18,5.4187874e+20,0,4102754.3,1639026.7,5741781,0,1.35e+21,163.91906,0,163.91906,0,9.765625e-08,1.1741582e+08,-8.3978095e+11,4.8997609e+09,-7.8814366e+10,-2.9145599e+09,-1.09912e+08,-2.3114671e+10,5495599.8,1.1557335e+09,1.6100253e+10,1.6100253e+10,1.5968462e+11,9.9802889e+09,8484091.2
18000,90,0,1.135333e+08,2.7222651e+16,6.6205365e+16,1.5207149e+21,0,8.5630633e+18,3.0990316e+17,4.32e+12,2.2898164e+16,1.1001326e+16,2.5242807e+18,5.4831302e+20,0,5420373.6,2228522.4,7648896,0,1.35e+21,222.87453,-4.1677794e-08,222.87453,0,0,1.0985622e+08,-6.4335252e+11,4.8032243e+09,-8.5627442e+10,-3.0989464e+09,-1.1001339e+08,-2.5241779e+10,5500669.7,1.262089e+09,1.7491906e+10,1.7491906e+10,1.5595503e+11,9.7471897e+09,10608164
