iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.31e+08,28.2,2.04,2.02e+21,0,4.44e+17,2.06e+18,1.31e+14,2.88e+13,13,21.4,5.89e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6686081e-310,4.6686081e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,14258484,6.6915641e+14,2.7445684e+14,1.867198e+21,0,8.9683169e+17,1.8827061e+18,4.32e+12,9.5550286e+15,1.9386409e+15,1.2825652e+17,2.1128784e+20,0,9326.4205,22748.12,32074.541,0,1.35e+21,2.2750395,5.9952385e-08,2.2750395,0,0,1.8712053e+08,-1.2494946e+13,2.7426416e+09,-8.9650323e+09,-1.8827865e+10,-19378112,-1.281674e+09,968905.62,64083701,4.8483925e+09,4.8483925e+09,8.2229849e+10,5.1393655e+09,553560.74
4000,20,0,21687204,1.8160125e+15,1.4241333e+15,1.7631862e+21,0,1.6838111e+18,1.7347352e+18,4.32e+12,1.3506252e+16,3.4577083e+15,3.3843483e+17,3.1444455e+20,0,56936.646,72611.923,129548.57,0,1.35e+21,7.2619185,4.2207425e-08,7.2619185,0,0,1.7506546e+08,-8.5827501e+12,3.7143163e+09,-1.6833669e+10,-1.7348034e+10,-34570158,-3.383167e+09,1728507.9,1.6915835e+08,6.1355746e+09,6.1355746e+09,1.1725196e+11,7.3282475e+09,990019.14
6000,30,0,31127396,3.4984482e+15,3.7481111e+15,1.6911832e+21,0,2.628752e+18,1.6080269e+18,4.32e+12,1.6266116e+16,4.7197188e+15,5.9149448e+17,3.8536985e+20,0,172292.54,160818.56,333111.1,0,1.35e+21,16.083464,-6.9053705e-09,16.083464,0,0,1.6378786e+08,-5.9930561e+12,4.2899092e+09,-2.6282598e+10,-1.6080858e+10,-47191465,-5.913614e+09,2359573.3,2.956807e+08,7.7680642e+09,7.7680642e+09,1.3780904e+11,8.6130649e+09,1633459.5
8000,40,0,42259885,5.7632546e+15,7.4015104e+15,1.6405296e+21,0,3.6256478e+18,1.4975632e+18,4.32e+12,1.8237004e+16,5.756567e+15,8.6487413e+17,4.3485634e+20,0,384531.58,299410.3,683941.88,0,1.35e+21,29.944024,1.5393116e-08,29.944024,0,0,1.5323758e+08,-4.2510261e+12,4.6172299e+09,-3.6251482e+10,-1.497615e+10,-57561000,-8.6473501e+09,2878050,4.323675e+08,9.535664e+09,9.535664e+09,1.4928323e+11,9.3302017e+09,2506148.6
10000,50,0,54761167,8.6471323e+15,1.2448691e+16,1.6043414e+21,0,4.6114461e+18,1.3999043e+18,4.32e+12,1.9670938e+16,6.596622e+15,1.1442425e+18,4.6986827e+20,0,721243.65,500964.4,1222208,0,1.35e+21,50.10145,7.7642461e-08,50.10145,0,0,1.4336773e+08,-3.0610877e+12,4.7860072e+09,-4.6109629e+10,-1.3999504e+10,-65962469,-1.144103e+10,3298123.4,5.7205151e+08,1.1311717e+10,1.1311717e+10,1.5501092e+11,9.6881825e+09,3621351.6
12000,60,0,68328448,1.2177571e+16,1.8896175e+16,1.5781031e+21,0,5.5496532e+18,1.3126129e+18,4.32e+12,2.0729097e+16,7.2650946e+15,1.4204795e+18,4.9496915e+20,0,1207861.1,778347.5,1986208.6,0,1.35e+21,77.842534,-4.7310209e-08,77.842534,0,0,1.3413441e+08,-2.2362527e+12,4.8519217e+09,-5.5491998e+10,-1.3126543e+10,-72647994,-1.4203432e+10,3632399.7,7.101716e+08,1.3021379e+10,1.3021379e+10,1.5709042e+11,9.8181515e+09,4985010.3
14000,70,0,82690129,1.6373743e+16,2.6713657e+16,1.5588078e+21,0,6.4203095e+18,1.2339067e+18,4.32e+12,2.1516832e+16,7.7843682e+15,1.6878185e+18,5.1319309e+20,0,1867397.4,1144502.6,3011900,0,1.35e+21,114.46171,0,114.46171,0,9.765625e-08,1.2549658e+08,-1.6563928e+12,4.8502909e+09,-6.419893e+10,-1.2339441e+10,-77841425,-1.6876878e+10,3892071.2,8.4384388e+08,1.4622221e+10,1.4622221e+10,1.5685866e+11,9.8036661e+09,6597287.5
16000,80,0,97608858,2.1247419e+16,3.5847612e+16,1.544425e+21,0,7.2137752e+18,1.1624444e+18,4.32e+12,2.2104595e+16,8.1742965e+15,1.9426843e+18,5.2658523e+20,0,2720378.4,1612269.8,4332648.3,0,1.35e+21,161.24311,0,161.24311,0,9.765625e-08,1.1741582e+08,-1.243196e+12,4.8040065e+09,-7.2133985e+10,-1.1624785e+10,-81741309,-1.9425603e+10,4087065.4,9.7128017e+08,1.6092189e+10,1.6092189e+10,1.551772e+11,9.6985748e+09,8453895.3
18000,90,0,1.1288088e+08,2.680388e+16,4.6230257e+16,1.5335646e+21,0,7.9268311e+18,1.0971897e+18,4.32e+12,2.2540644e+16,8.4524703e+15,2.1829521e+18,5.3654213e+20,0,3784881.8,2194239.6,5979121.4,0,1.35e+21,219.4459,-2.5308196e-08,219.4459,0,0,1.0985622e+08,-9.4489497e+11,4.7282214e+09,-7.9264947e+10,-1.097221e+10,-84523565,-2.1828358e+10,4226178.3,1.0914179e+09,1.742204e+10,1.742204e+10,1.5260663e+11,9.5379143e+09,10547204
20000,100,0,1.2833366e+08,3.3042801e+16,5.7785516e+16,1.5252623e+21,0,8.5602069e+18,1.0373239e+18,4.32e+12,2.2858881e+16,8.6344576e+15,2.4074698e+18,5.4402918e+20,0,5076634.5,2902636.3,7979270.8,0,1.35e+21,290.29265,1.7747993e-08,290.29265,0,0,1.0278416e+08,-7.2681216e+11,4.6331674e+09,-8.5599097e+10,-1.0373526e+10,-86343882,-2.4073616e+10,4317194.1,1.2036808e+09,1.8610542e+10,1.8610542e+10,1.4951444e+11,9.3446526e+09,12867150
22000,110,0,1.4382287e+08,3.9959084e+16,7.0433044e+16,1.5188411e+21,0,9.1170022e+18,9.8218687e+17,4.32e+12,2.3083753e+16,8.7340189e+15,2.6157424e+18,5.4972152e+20,0,6609142.2,3749228.6,10358371,0,1.35e+21,374.96035,4.1872397e-08,374.96035,0,0,96168198,-5.6542215e+11,4.5258808e+09,-9.1167422e+10,-9.8221335e+09,-87339876,-2.6156424e+10,4366993.8,1.3078212e+09,1.9661382e+10,1.9661382e+10,1.4614272e+11,9.1339201e+09,15401980
24000,120,0,1.5922918e+08,4.754363e+16,8.4090963e+16,1.5138199e+21,0,9.6016726e+18,9.3123726e+17,4.32e+12,2.3233357e+16,8.7633012e+15,2.8077222e+18,5.5409649e+20,0,8393834.9,4745263.8,13139099,0,1.35e+21,474.57383,2.222589e-08,474.57383,0,0,89978920,-4.445708e+11,4.4112783e+09,-9.6014475e+10,-9.3126177e+09,-87633023,-2.8076302e+10,4381651.1,1.4038151e+09,2.058118e+10,2.058118e+10,1.4265121e+11,8.9157004e+09,18138845
26000,130,0,1.7445518e+08,5.5784035e+16,9.8677728e+16,1.5098529e+21,0,1.0019377e+19,8.8402478e+17,4.32e+12,2.3321448e+16,8.7330112e+15,2.9836656e+18,5.5749512e+20,0,10440219,5901422,16341640,0,1.35e+21,590.20122,0,590.20122,0,9.765625e-08,84188806,-3.5303637e+11,4.2928405e+09,-1.0019184e+11,-8.8404752e+09,-87330396,-2.9835816e+10,4366519.8,1.4917908e+09,2.1378193e+10,2.1378193e+10,1.3914502e+11,8.6965641e+09,21064285
28000,140,0,1.894225e+08,6.4665222e+16,1.1411341e+17,1.5066884e+21,0,1.0375559e+19,8.4016997e+17,4.32e+12,2.335874e+16,8.6525712e+15,3.1440358e+18,5.6016341e+20,0,12756028,7227787.6,19983815,0,1.35e+21,722.85105,1.6879312e-08,722.85105,0,0,78772115,-2.8293641e+11,4.1730554e+09,-1.0375396e+11,-8.4019111e+09,-86526226,-3.1439594e+10,4326311.3,1.5719797e+09,2.2061479e+10,2.2061479e+10,1.3569276e+11,8.4807975e+09,24164613
30000,150,0,2.0406932e+08,7.417e+16,1.3032054e+17,1.5041418e+21,0,1.0675682e+19,7.993496e+17,4.32e+12,2.3353772e+16,8.5302592e+15,3.2894333e+18,5.6228048e+20,0,15347376,8733835.3,24081211,0,1.35e+21,873.47088,0,873.47088,0,9.765625e-08,73704762,-2.286747e+11,4.0537111e+09,-1.0675545e+11,-7.993693e+09,-85303296,-3.2893643e+10,4265164.8,1.6446821e+09,2.2640354e+10,2.2640354e+10,1.3233837e+11,8.2711482e+09,27426220
32000,160,0,2.1834798e+08,8.4279552e+16,1.4722473e+17,1.5020759e+21,0,1.0925059e+19,7.6128566e+17,4.32e+12,2.3313494e+16,8.3733337e+15,3.4205482e+18,5.639779e+20,0,18218902,10428428,28647329,0,1.35e+21,1042.947,0,1042.947,0,9.765625e-08,68964219,-1.8623709e+11,3.936093e+09,-1.0924947e+11,-7.6130404e+09,-83734197,-3.4204861e+10,4186709.9,1.710243e+09,2.3124043e+10,2.3124043e+10,1.2910913e+11,8.0693204e+09,30835812
34000,170,0,2.3222301e+08,9.4973869e+16,1.6475499e+17,1.5003876e+21,0,1.112876e+19,7.2573695e+17,4.32e+12,2.3243658e+16,8.1881461e+15,3.5381247e+18,5.653531e+20,0,21373906,12319821,33693728,0,1.35e+21,1232.1053,0,1232.1053,0,9.765625e-08,64529407,-1.5271567e+11,3.8211202e+09,-1.1128669e+11,-7.2575413e+09,-81882448,-3.5380692e+10,4094122.4,1.7690346e+09,2.3521464e+10,2.3521464e+10,1.2602094e+11,7.8763088e+09,34380599
36000,180,0,2.4566934e+08,1.0623212e+17,1.8284401e+17,1.4989991e+21,0,1.1291548e+19,6.924926e+17,4.32e+12,2.3149103e+16,7.9802416e+15,3.6429368e+18,5.6647882e+20,0,24814490,14415683,39230174,0,1.35e+21,1441.7125,-9.4937604e-09,1441.7125,0,0,60380610,-1.2598356e+11,3.7094404e+09,-1.1291476e+11,-6.9250868e+09,-79803504,-3.6428874e+10,3990175.2,1.8214437e+09,2.3841099e+10,2.3841099e+10,1.2308199e+11,7.6926243e+09,38048429
38000,190,0,2.5867071e+08,1.1803296e+17,2.0142824e+17,1.4978507e+21,0,1.1417856e+19,6.6136695e+17,4.32e+12,2.3033942e+16,7.754449e+15,3.7357695e+18,5.6740976e+20,0,28541676,16723111,45264787,0,1.35e+21,1672.4783,0,1672.4783,0,9.765625e-08,56499381,-1.0447071e+11,3.6014986e+09,-1.1417801e+11,-6.6138202e+09,-77545656,-3.735726e+10,3877282.8,1.867863e+09,2.4090918e+10,2.4090918e+10,1.2029519e+11,7.5184495e+09,41827895
40000,200,0,2.7121829e+08,1.3035484e+17,2.2044793e+17,1.4968963e+21,0,1.1511775e+19,6.3219547e+17,4.32e+12,2.2901709e+16,7.5149613e+15,3.8174057e+18,5.6818733e+20,0,32555529,19248656,51804185,0,1.35e+21,1925.0581,0,1925.0581,0,9.765625e-08,52868464,-8.7007644e+10,3.4975867e+09,-1.1511735e+11,-6.322096e+09,-75150838,-3.8173675e+10,3757541.9,1.9086838e+09,2.4278345e+10,2.4278345e+10,1.1765992e+11,7.3537447e+09,45708397
42000,210,0,2.8330956e+08,1.4317617e+17,2.3984714e+17,1.4961001e+21,0,1.1577061e+19,6.0483147e+17,4.32e+12,2.275546e+16,7.265408e+15,3.8886161e+18,5.6884312e+20,0,36855265,21998356,58853622,0,1.35e+21,2200.0556,0,2200.0556,0,9.765625e-08,49471716,-7.2715583e+10,3.3978803e+09,-1.1577035e+11,-6.0484472e+09,-72655347,-3.888583e+10,3632767.4,1.9442915e+09,2.4410251e+10,2.4410251e+10,1.1517315e+11,7.198322e+09,49680197
44000,220,0,2.9494716e+08,1.564756e+17,2.5957363e+17,1.4954338e+21,0,1.1617142e+19,5.7914344e+17,4.32e+12,2.2597855e+16,7.0089195e+15,3.9501525e+18,5.694014e+20,0,41439360,24977762,66417121,0,1.35e+21,2498.026,0,2498.026,0,9.765625e-08,46294034,-6.0928559e+10,3.3024664e+09,-1.1617128e+11,-5.7915588e+09,-70090490,-3.950124e+10,3504524.5,1.975062e+09,2.4492959e+10,2.4492959e+10,1.1283035e+11,7.0518968e+09,53734433
46000,230,0,3.0613805e+08,1.7023211e+17,2.7957882e+17,1.4948749e+21,0,1.1635139e+19,5.5501287e+17,4.32e+12,2.2431214e+16,6.7481848e+15,4.0027423e+18,5.6988088e+20,0,46305637,28191972,74497609,0,1.35e+21,2819.4791,-1.7481852e-08,2819.4791,0,0,43321291,-5.113766e+10,3.2113647e+09,-1.1635135e+11,-5.5502457e+09,-67483159,-4.0027181e+10,3374157.9,2.0013591e+09,2.4532264e+10,2.4532264e+10,1.1062597e+11,6.9141232e+09,57863129
48000,240,0,3.1689272e+08,1.8442516e+17,2.9981763e+17,1.4944057e+21,0,1.1633877e+19,5.3233249e+17,4.32e+12,2.2257567e+16,6.4855029e+15,4.0470849e+18,5.7029612e+20,0,51451365,31645666,83097030,0,1.35e+21,3164.8831,0,3164.8831,0,9.765625e-08,40540269,-4.2950817e+10,3.1245441e+09,-1.1633882e+11,-5.3234348e+09,-64856344,-4.0470647e+10,3242817.2,2.0235324e+09,2.4533456e+10,2.4533456e+10,1.0855392e+11,6.7846198e+09,62059189
50000,250,0,3.2722447e+08,1.990348e+17,3.2024837e+17,1.4940116e+21,0,1.1615911e+19,5.110047e+17,4.32e+12,2.2078691e+16,6.2228289e+15,4.0838495e+18,5.7065853e+20,0,56873331,35343136,92216467,0,1.35e+21,3534.667,-2.9352577e-08,3534.667,0,0,37938603,-3.6063567e+10,3.0419346e+09,-1.1615923e+11,-5.1101504e+09,-62229599,-4.0838329e+10,3111480,2.0419165e+09,2.4501348e+10,2.4501348e+10,1.0660779e+11,6.6629867e+09,66316375
