iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.85e+11,7.1,18.4,1.85e+21,0,6.69e+10,2.28e+20,3.66e+14,1.48e+15,3.36,2.52,2.29e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6364191e-310,4.6364191e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,8.7755107e+08,3.324226e+16,7.717001e+15,1.7006991e+21,0,3.8142954e+18,2.0674738e+20,4.32e+12,1.6399388e+17,2.1512883e+15,3.0358464e+18,1.6579005e+20,0,262279.57,1130234.8,1392514.4,0,1.35e+21,113.03478,1.2828841e-07,113.03478,0,0,1.8712053e+08,-1.2039569e+13,4.708468e+10,-3.8124253e+10,-2.0675749e+12,-21504693,-3.0343582e+10,1075234.6,1.5171791e+09,3.6085353e+11,3.6085353e+11,6.4515765e+10,4.0322353e+09,34069387
4000,20,0,9.6495199e+08,7.0496599e+16,3.0381668e+16,1.6019627e+21,0,7.4270005e+18,1.8750283e+20,4.32e+12,1.5801136e+17,3.650121e+15,5.8118091e+18,2.7732876e+20,0,1214790.9,2819065,4033855.8,0,1.35e+21,281.93469,2.4877693e-08,281.93469,0,0,1.7506546e+08,-7.9960608e+12,4.34604e+10,-7.4252672e+10,-1.8751198e+12,-36494381,-5.8105195e+10,1824719.1,2.9052598e+09,3.3691679e+11,3.3691679e+11,1.0340877e+11,6.463048e+09,44049981
6000,30,0,1.038758e+09,1.1115285e+17,6.604202e+16,1.5362135e+21,0,1.0721882e+19,1.7005553e+20,4.32e+12,1.5139169e+17,4.8938241e+15,8.2027815e+18,3.5477006e+20,0,3036057.6,5110001.3,8146058.9,0,1.35e+21,511.05123,-1.1367945e-08,511.05123,0,0,1.6378786e+08,-5.3370529e+12,3.9930698e+10,-1.0720324e+11,-1.7006383e+12,-48932606,-8.2016776e+10,2446630.3,4.1008388e+09,3.1512931e+11,3.1512931e+11,1.2686462e+11,7.9290388e+09,54510475
8000,40,0,1.1004519e+09,1.5466455e+17,1.1283697e+17,1.4922988e+21,0,1.3648718e+19,1.542359e+20,4.32e+12,1.4452628e+17,5.9141097e+15,1.0237376e+19,4.0946017e+20,0,5862608.7,8035698.8,13898308,0,1.35e+21,803.65025,-2.6907855e-08,803.65025,0,0,1.5323758e+08,-3.5642889e+12,3.6593594e+10,-1.364735e+11,-1.5424342e+12,-59136505,-1.0236443e+11,2956825.3,5.1182215e+09,2.9514456e+11,2.9514456e+11,1.4056368e+11,8.78523e+09,65260380
10000,50,0,1.1513342e+09,2.0054329e+17,1.6905467e+17,1.4630269e+21,0,1.6195581e+19,1.398911e+20,4.32e+12,1.3764948e+17,6.7391811e+15,1.1947287e+19,4.4872549e+20,0,9795085.3,11619102,21414187,0,1.35e+21,1162.0264,1.3141721e-07,1162.0264,0,0,1.4336773e+08,-2.3676949e+12,3.349247e+10,-1.6194401e+11,-1.3989793e+12,-67388131,-1.1946508e+11,3369406.5,5.973254e+09,2.7671254e+11,2.7671254e+11,1.48035e+11,9.2521874e+09,76137639
12000,60,0,1.1925654e+09,2.4835302e+17,2.3314136e+17,1.4436905e+21,0,1.8372324e+19,1.2688311e+20,4.32e+12,1.3090123e+17,7.3940995e+15,1.3364664e+19,4.7737129e+20,0,14903270,15874813,30778083,0,1.35e+21,1587.6401,-4.8504262e-08,1587.6401,0,0,1.3413441e+08,-1.5511775e+12,3.064063e+10,-1.8371325e+11,-1.268893e+12,-73938108,-1.3364023e+11,3696905.4,6.6820116e+09,2.5964592e+11,2.5964592e+11,1.5150468e+11,9.4690427e+09,87005497
14000,70,0,1.2251914e+09,2.9770491e+17,3.0370015e+17,1.4311643e+21,0,2.0200706e+19,1.1508709e+20,4.32e+12,1.2436379e+17,7.901113e+15,1.4520658e+19,4.9859657e+20,0,21230730,20810306,42041036,0,1.35e+21,2081.2388,-1.4148554e-08,2081.2388,0,0,1.2549658e+08,-9.8882282e+11,2.8035057e+10,-2.0199874e+11,-1.150927e+12,-79008930,-1.4520141e+11,3950446.5,7.2600703e+09,2.4379902e+11,2.4379902e+11,1.5239671e+11,9.5247942e+09,97749759
16000,80,0,1.2501607e+09,3.4825283e+17,3.7948433e+17,1.4233457e+21,0,2.1708429e+19,1.0438999e+20,4.32e+12,1.1808381e+17,8.2799525e+15,1.5444652e+19,5.1456138e+20,0,28799005,26426988,55225993,0,1.35e+21,2642.9631,-1.1548764e-08,2642.9631,0,0,1.1741582e+08,-5.9860491e+11,2.5664195e+10,-2.170775e+11,-1.0439508e+12,-82797921,-1.5444243e+11,4139896,7.7221217e+09,2.290547e+11,2.290547e+11,1.5163355e+11,9.4770966e+09,1.0827632e+08
18000,90,0,1.2683351e+09,3.9968925e+17,4.593879e+17,1.4188026e+21,0,2.2925571e+19,9.468938e+19,4.32e+12,1.120857e+17,8.5480979e+15,1.6163888e+19,5.2674421e+20,0,37611320,32721146,70332465,0,1.35e+21,3272.4418,-4.8064521e-08,3272.4418,0,0,1.0985622e+08,-3.2635421e+11,2.3512381e+10,-2.292503e+11,-9.4693997e+11,-85479888,-1.6163575e+11,4273994.4,8.0817875e+09,2.1531586e+11,2.1531586e+11,1.4981953e+11,9.3637204e+09,1.1850891e+08
20000,100,0,1.2804989e+09,4.5174165e+17,5.4243477e+17,1.4165486e+21,0,2.3882451e+19,8.5892444e+19,4.32e+12,1.0637984e+17,8.7210167e+15,1.6703333e+19,5.3617032e+20,0,47655847,39684782,87340629,0,1.35e+21,3968.8751,-4.5027264e-08,3968.8751,0,0,1.0278416e+08,-1.3583223e+11,2.1562357e+10,-2.3882032e+11,-8.5896631e+11,-87209517,-1.6703105e+11,4360475.9,8.3515523e+09,2.0249996e+11,2.0249996e+11,1.4735435e+11,9.2096466e+09,1.2838699e+08
