iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,6.41e+09,4.04,7.3,9.62e+20,0,3.91e+13,5.54e+12,8.26e+13,1.14e+17,2.58,20.4,1.12e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6590432e-310,4.6590432e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,27491129,2.1579482e+15,2.254388e+15,1.1214799e+21,0,3.3529321e+18,1.1965704e+17,4.32e+12,3.7670918e+16,1.8948447e+15,8.1420009e+17,9.563054e+20,0,76628.112,73366.933,149995.05,0,1.35e+21,7.337427,7.6605561e-08,7.337427,0,0,1.8712053e+08,1.2987689e+13,1.0816139e+10,-3.3514852e+10,-1.1960894e+09,-18940129,-8.1386405e+09,947006.43,4.0693203e+08,6.6758301e+09,6.6758301e+09,3.7231424e+11,2.326964e+10,1067295.1
4000,20,0,44632809,4.9803278e+15,7.9097155e+15,1.2291411e+21,0,5.8832714e+18,2.0466375e+17,4.32e+12,3.4696471e+16,3.4180801e+15,1.4228283e+18,8.4541503e+20,0,316275.64,199148.45,515424.08,0,1.35e+21,19.916836,1.1765863e-08,19.916836,0,0,1.7506546e+08,8.8385591e+12,9.5432591e+09,-5.8821685e+10,-2.0462627e+09,-34173856,-1.4225524e+10,1708692.8,7.1127621e+08,1.1702222e+10,1.1702222e+10,3.1530294e+11,1.9706434e+10,2037484.1
6000,30,0,62447618,8.5092502e+15,1.6344227e+16,1.3029054e+21,0,7.8270552e+18,2.7143347e+17,4.32e+12,3.277964e+16,4.6838619e+15,1.927973e+18,7.6912542e+20,0,751384.44,391178.29,1142562.7,0,1.35e+21,39.121741,1.9434168e-08,39.121741,0,0,1.6378786e+08,6.1012523e+12,8.6458861e+09,-7.8262014e+10,-2.7140381e+09,-46832879,-1.9277416e+10,2341643.9,9.6387081e+08,1.5601733e+10,1.5601733e+10,2.750731e+11,1.7192069e+10,3277037.8
8000,40,0,80595530,1.27718e+16,2.7109745e+16,1.3541475e+21,0,9.3406872e+18,3.2450841e+17,4.32e+12,3.1510659e+16,5.7241228e+15,2.355327e+18,7.1587602e+20,0,1408542.6,663542.9,2072085.5,0,1.35e+21,66.360926,-3.9116784e-08,66.360926,0,0,1.5323758e+08,4.2679738e+12,7.9783396e+09,-9.3400186e+10,-3.2448474e+09,-57236541,-2.3551297e+10,2861827.1,1.1775648e+09,1.8672466e+10,1.8672466e+10,2.4577469e+11,1.5360918e+10,4779577.1
10000,50,0,98837803,1.7782571e+16,3.9863138e+16,1.3902047e+21,0,1.0530499e+19,3.6692896e+17,4.32e+12,3.0639226e+16,6.5672657e+15,2.7220107e+18,6.7820363e+20,0,2309700.9,1030253.2,3339954.1,0,1.35e+21,103.03562,9.6501083e-08,103.03562,0,0,1.4336773e+08,3.0227186e+12,7.4549507e+09,-1.0529972e+11,-3.6691003e+09,-65668891,-2.7218404e+10,3283444.5,1.3609202e+09,2.1116686e+10,2.1116686e+10,2.2375361e+11,1.39846e+10,6536136
12000,60,0,1.1699904e+08,2.3546146e+16,5.4332086e+16,1.4158828e+21,0,1.1470677e+19,4.0081323e+17,4.32e+12,3.0010867e+16,7.2385326e+15,3.039754e+18,6.5121482e+20,0,3473126.3,1505029.2,4978155.4,0,1.35e+21,150.51797,-4.7891291e-08,150.51797,0,0,1.3413441e+08,2.1656439e+12,7.0246615e+09,-1.147026e+11,-4.0079815e+09,-72382360,-3.0396059e+10,3619118,1.5198029e+09,2.30753e+10,2.30753e+10,2.0668683e+11,1.2917927e+10,8535850.8
14000,70,0,1.3494599e+08,3.0059152e+16,7.0293397e+16,1.4343753e+21,0,1.2214334e+19,4.2769828e+17,4.32e+12,2.9529528e+16,7.7603348e+15,3.3168402e+18,6.316535e+20,0,4914003.9,2101144.6,7015148.5,0,1.35e+21,210.13547,0,210.13547,0,9.765625e-08,1.2549658e+08,1.5684266e+12,6.6566536e+09,-1.2214004e+11,-4.2768638e+09,-77601078,-3.3167107e+10,3880053.9,1.6583554e+09,2.4649121e+10,2.4649121e+10,1.9307182e+11,1.2066989e+10,10766430
16000,80,0,1.5257529e+08,3.731195e+16,8.7559039e+16,1.4478333e+21,0,1.2800475e+19,4.4874452e+17,4.32e+12,2.9135235e+16,8.1525513e+15,3.5593121e+18,6.1732257e+20,0,6644846.6,2831316.7,9476163.3,0,1.35e+21,283.15999,0,283.15999,0,9.765625e-08,1.1741582e+08,1.1474689e+12,6.3320922e+09,-1.2800216e+11,-4.4873529e+09,-81523845,-3.5591987e+10,4076192.3,1.7795993e+09,2.5912201e+10,2.5912201e+10,1.8191999e+11,1.137e+10,13214534
18000,90,0,1.698062e+08,4.5289995e+16,1.0596699e+17,1.4577244e+21,0,1.3258456e+19,4.6486025e+17,4.32e+12,2.879056e+16,8.4327958e+15,3.7717306e+18,6.0671975e+20,0,8675797.5,3707630.8,12383428,0,1.35e+21,370.80016,7.8024982e-09,370.80016,0,0,1.0985622e+08,8.4755883e+11,6.0393148e+09,-1.3258255e+11,-4.648533e+09,-84326809,-3.7716313e+10,4216340.5,1.8858157e+09,2.6920345e+10,2.6920345e+10,1.7256966e+11,1.0785604e+10,15866111
