iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,722000,1.72,90.2,1.94e+21,0,2.99e+18,5.35e+19,9.12e+14,2.59e+16,13.5,91.5,8.35e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6785438e-310,4.6785438e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,2.2181079e+08,8.5393119e+15,2.215808e+15,1.7993685e+21,0,4.0993752e+18,4.8535824e+19,4.32e+12,4.7608516e+16,2.6453526e+15,8.6727294e+17,2.2708677e+20,0,75309.777,290333.68,365643.46,0,1.35e+21,29.036272,-3.4178996e-08,29.036272,0,0,1.8712053e+08,-1.1461092e+13,1.3668484e+10,-4.0987575e+10,-4.8538183e+11,-26445583,-8.668402e+09,1322279.1,4.334201e+08,9.0308809e+10,9.0308809e+10,8.8381719e+10,5.5238575e+09,8611416.4
4000,20,0,2.4876865e+08,1.8410356e+16,8.7685228e+15,1.7043027e+21,0,5.3967271e+18,4.4046237e+19,4.32e+12,4.8925289e+16,4.0971664e+15,1.7055453e+18,3.2448915e+20,0,350601.03,736199.51,1086800.5,0,1.35e+21,73.627314,-3.6042138e-09,73.627314,0,0,1.7506546e+08,-7.8098614e+12,1.3456333e+10,-5.3960595e+10,-4.4048372e+11,-40965059,-1.7051413e+10,2048252.9,8.5257065e+08,8.5679309e+10,8.5679309e+10,1.2099882e+11,7.5624261e+09,11356269
6000,30,0,2.7394508e+08,2.9510113e+16,1.9380656e+16,1.6390894e+21,0,6.7328816e+18,3.9980541e+19,4.32e+12,4.9265293e+16,5.2983238e+15,2.4789215e+18,3.9163701e+20,0,890951.97,1356649.6,2247601.6,0,1.35e+21,135.67853,1.7417364e-08,135.67853,0,0,1.6378786e+08,-5.3968074e+12,1.2993802e+10,-6.7322199e+10,-3.9982475e+11,-52977804,-2.4785528e+10,2648890.2,1.2392764e+09,8.1774639e+10,8.1774639e+10,1.400509e+11,8.7531813e+09,14375703
8000,40,0,2.9745258e+08,4.1742358e+16,3.3702598e+16,1.5937501e+21,0,8.0226408e+18,3.6296674e+19,4.32e+12,4.8998805e+16,6.2801106e+15,3.1788512e+18,4.3864482e+20,0,1751052.3,2168733.9,3919786.2,0,1.35e+21,216.89508,-3.658468e-08,216.89508,0,0,1.5323758e+08,-3.7771225e+12,1.2406107e+10,-8.0220165e+10,-3.6298427e+11,-62796698,-3.1785202e+10,3139834.9,1.5892601e+09,7.8370314e+10,7.8370314e+10,1.5058419e+11,9.411512e+09,17639906
10000,50,0,3.1936042e+08,5.5017038e+16,5.1358587e+16,1.5618431e+21,0,9.2194668e+18,3.2957491e+19,4.32e+12,4.8355384e+16,7.0703448e+15,3.8031708e+18,4.7204031e+20,0,2975709.5,3187557.8,6163267.3,0,1.35e+21,318.78766,5.9140291e-08,318.78766,0,0,1.4336773e+08,-2.6739429e+12,1.1765493e+10,-9.2188962e+10,-3.295908e+11,-70699934,-3.8028774e+10,3534996.7,1.9014387e+09,7.532201e+10,7.532201e+10,1.5572772e+11,9.7329824e+09,21119279
12000,60,0,3.3972158e+08,6.9249633e+16,7.1971417e+16,1.5391448e+21,0,1.0300286e+19,2.9929905e+19,4.32e+12,4.7479655e+16,7.6937386e+15,4.3534037e+18,4.9610191e+20,0,4600647,4426425.3,9027072.4,0,1.35e+21,442.6868,-3.3967524e-08,442.6868,0,0,1.3413441e+08,-1.9121297e+12,1.1113603e+10,-1.0299777e+11,-2.9931346e+11,-76934649,-4.3531465e+10,3846732.4,2.1765733e+09,7.2535707e+10,7.2535707e+10,1.5745007e+11,9.8406295e+09,24784927
14000,70,0,3.5858567e+08,8.4360645e+16,9.5176577e+16,1.5228451e+21,0,1.1256246e+19,2.7184282e+19,4.32e+12,4.6464122e+16,8.1722244e+15,4.8331376e+18,5.1367509e+20,0,6653448.9,5896969.4,12550418,0,1.35e+21,589.75592,-4.2589363e-08,589.75592,0,0,1.2549658e+08,-1.3791803e+12,1.0474155e+10,-1.12558e+11,-2.7185589e+11,-81720181,-4.8329146e+10,4086009,2.4164573e+09,6.9949393e+10,6.9949393e+10,1.5700606e+11,9.8128788e+09,28609132
16000,80,0,3.760047e+08,1.0027523e+17,1.2063e+17,1.5110477e+21,0,1.2087028e+19,2.4693976e+19,4.32e+12,4.536879e+16,8.5252476e+15,5.2470412e+18,5.2667865e+20,0,9154528,7609274.1,16763802,0,1.35e+21,761.00351,-1.3345812e-08,761.00351,0,0,1.1741582e+08,-1.0017656e+12,9.860264e+09,-1.2086643e+11,-2.4695162e+11,-85250995,-5.2468499e+10,4262549.7,2.6234249e+09,6.7521674e+10,6.7521674e+10,1.5520477e+11,9.700298e+09,32565737
18000,90,0,3.9203507e+08,1.1692294e+17,1.4801194e+17,1.5024562e+21,0,1.2797311e+19,2.2434971e+19,4.32e+12,4.4233082e+16,8.7700296e+15,5.6002676e+18,5.3642365e+20,0,12118055,9571992,21690047,0,1.35e+21,957.29493,-3.6915367e-08,957.29493,0,0,1.0985622e+08,-7.3142304e+11,9.2787164e+09,-1.2796985e+11,-2.2436046e+11,-87699316,-5.6001053e+10,4384965.8,2.8000527e+09,6.5224584e+10,6.5224584e+10,1.5257295e+11,9.5358093e+09,36630419
