iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.68e+13,9.83,40.6,2.08e+21,0,2.69e+12,4.95e+16,4.82e+17,1.21e+16,33.1,2.21,3.43e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6725515e-310,4.6725515e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,4734375.2,2.5488993e+15,1.658508e+14,1.9104746e+21,0,3.105421e+17,5.600015e+16,4.32e+12,6.4980409e+15,4.3797245e+17,7.6678616e+16,1.7261057e+20,0,5635.9344,86663.604,92299.538,0,1.35e+21,8.6672271,-3.7824517e-08,8.6672271,0,0,1.8712053e+08,-1.3861156e+13,1.8648771e+09,-3.102668e+09,-5.5993625e+08,-4.3799343e+09,-7.6617493e+08,2.1899671e+08,38308747,1.1115231e+09,1.1115231e+09,6.7170178e+10,4.1981361e+09,183803.84
4000,20,0,10839494,5.3122063e+15,9.2640066e+14,1.7951005e+21,0,1.0180408e+18,7.4367956e+16,4.32e+12,1.0922267e+16,3.9799643e+17,2.3840193e+17,2.8713089e+20,0,37035.572,212428.9,249464.48,0,1.35e+21,21.245015,-3.8547174e-08,21.245015,0,0,1.7506546e+08,-9.519296e+12,3.0035607e+09,-1.0176248e+10,-7.4356656e+08,-3.9801547e+09,-2.3830464e+09,1.9900773e+08,1.1915232e+08,2.4608725e+09,2.4608725e+09,1.0706396e+11,6.6914975e+09,494822.01
6000,30,0,19189225,8.3748568e+15,2.6502355e+15,1.7152489e+21,0,1.9240773e+18,9.9517547e+16,4.32e+12,1.4029049e+16,3.6171223e+17,4.5531432e+17,3.6586444e+20,0,121821.36,385013.73,506835.09,0,1.35e+21,38.505224,1.7880701e-08,38.505224,0,0,1.6378786e+08,-6.6455235e+12,3.6998397e+09,-1.923597e+10,-9.9504023e+08,-3.617295e+09,-4.551968e+09,1.8086475e+08,2.275984e+08,4.2153518e+09,4.2153518e+09,1.3083217e+11,8.1770109e+09,1006985
8000,40,0,29446652,1.1809468e+16,5.545846e+15,1.659087e+21,0,2.908432e+18,1.2745317e+17,4.32e+12,1.6264331e+16,3.2877594e+17,7.01738e+17,4.2079363e+20,0,288117.09,613562.91,901679.99,0,1.35e+21,61.362427,1.5772038e-08,61.362427,0,0,1.5323758e+08,-4.7126907e+12,4.1177376e+09,-2.9079337e+10,-1.2743895e+09,-3.2879162e+09,-7.0161044e+09,1.6439581e+08,3.5080522e+08,6.1390155e+09,6.1390155e+09,1.4445459e+11,9.0284117e+09,1746282.2
10000,50,0,41266759,1.5676219e+16,9.7179776e+15,1.6189735e+21,0,3.8988251e+18,1.5578078e+17,4.32e+12,1.7907188e+16,2.9887591e+17,9.6117787e+17,4.5965061e+20,0,563023.68,908238.12,1471261.8,0,1.35e+21,90.832896,5.8744433e-08,90.832896,0,0,1.4336773e+08,-3.3926677e+12,4.3568448e+09,-3.8983364e+10,-1.5576679e+09,-2.9889015e+09,-9.6104686e+09,1.4944507e+08,4.8052343e+08,8.0889155e+09,8.0889155e+09,1.5163945e+11,9.4774655e+09,2728967.4
12000,60,0,54324652,2.002388e+16,1.52044e+16,1.5898965e+21,0,4.8526903e+18,1.8308357e+17,4.32e+12,1.9135913e+16,2.7172967e+17,1.2229669e+18,4.875022e+20,0,971866.63,1279911.8,2251778.5,0,1.35e+21,128.00398,-2.4216149e-09,128.00398,0,0,1.3413441e+08,-2.4778727e+12,4.4789894e+09,-4.8522271e+10,-1.8307033e+09,-2.717426e+09,-1.2228367e+10,1.358713e+08,6.1141834e+08,9.9798559e+09,9.9798559e+09,1.5472019e+11,9.6700117e+09,3963341.1
14000,70,0,68327584,2.4890862e+16,2.1999428e+16,1.5685188e+21,0,5.7460238e+18,2.0854968e+17,4.32e+12,2.0066873e+16,2.4708121e+17,1.480201e+18,5.0771723e+20,0,1537837.1,1739899.1,3277736.2,0,1.35e+21,174.00731,0,174.00731,0,9.765625e-08,1.2549658e+08,-1.8349503e+12,4.5234232e+09,-5.7455947e+10,-2.0853749e+09,-2.4709295e+09,-1.4800743e+10,1.2354648e+08,7.4003715e+08,1.1762834e+10,1.1762834e+10,1.5518466e+11,9.6990415e+09,5451396.9
16000,80,0,83018677,3.0306279e+16,3.0069224e+16,1.5525869e+21,0,6.5664651e+18,2.3174614e+17,4.32e+12,2.0777746e+16,2.2469849e+17,1.7284455e+18,5.2256657e+20,0,2281853.4,2299728.9,4581582.3,0,1.35e+21,229.99589,8.5024112e-09,229.99589,0,0,1.1741582e+08,-1.3769684e+12,4.5156257e+09,-6.5660742e+10,-2.3173515e+09,-2.2470915e+09,-1.7283242e+10,1.1235458e+08,8.6416209e+08,1.3411657e+10,1.3411657e+10,1.5399276e+11,9.6245472e+09,7190241
18000,90,0,98176498,3.629102e+16,3.9361917e+16,1.5405585e+21,0,7.3089501e+18,2.5247905e+17,4.32e+12,2.1321628e+16,2.0437118e+17,1.9649115e+18,5.3360097e+20,0,3222547.4,2970953.1,6193500.5,0,1.35e+21,297.12502,-2.0290543e-08,297.12502,0,0,1.0985622e+08,-1.0464635e+12,4.4725026e+09,-7.3085986e+10,-2.5246931e+09,-2.0438086e+09,-1.9647966e+10,1.0219043e+08,9.8239828e+08,1.4914534e+10,1.4914534e+10,1.5176995e+11,9.4856216e+09,9173276.8
