iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.43e+14,3.08,9.44,1.8e+21,0,3.1e+11,2.61e+20,2.3e+14,4.88e+15,2,4.54,1.75e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6507943e-310,4.6507943e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.0043932e+09,3.8055207e+16,8.8561227e+15,1.6582651e+21,0,4.3639461e+18,2.3667175e+20,4.32e+12,1.8725086e+17,2.0282246e+15,3.4778551e+18,1.7549234e+20,0,300995.71,0,300995.71,0,1.35e+21,129.40044,1.1115134e-08,129.40044,0,0,1.8712053e+08,-1.1397276e+13,5.3762181e+10,-4.3618287e+10,-2.3668331e+12,-20273994,-3.4761563e+10,1013699.7,1.7380782e+09,4.1308102e+11,4.1308102e+11,6.8293712e+10,4.268357e+09,38993812
4000,20,0,1.1037279e+09,8.0660571e+16,3.4776967e+16,1.5650829e+21,0,8.4225031e+18,2.146394e+20,4.32e+12,1.7965434e+17,3.5387689e+15,6.6385667e+18,2.8342696e+20,0,1390535.4,0,1390535.4,0,1.35e+21,322.58321,-4.69783e-08,322.58321,0,0,1.7506546e+08,-7.5165526e+12,4.941331e+10,-8.4205696e+10,-2.1464989e+12,-35380805,-6.6371019e+10,1769040.2,3.318551e+09,3.8552839e+11,3.8552839e+11,1.0568355e+11,6.6052218e+09,50385088
6000,30,0,1.1871483e+09,1.2711421e+17,7.5460809e+16,1.5035433e+21,0,1.207745e+19,1.9466317e+20,4.32e+12,1.7155247e+17,4.7930694e+15,9.3482667e+18,3.5849961e+20,0,3469057.3,0,3469057.3,0,1.35e+21,584.43743,-9.7903694e-09,584.43743,0,0,1.6378786e+08,-4.9676778e+12,4.5248324e+10,-1.2075732e+11,-1.9467268e+12,-47925008,-9.3470185e+10,2396250.4,4.6735093e+09,3.6035652e+11,3.6035652e+11,1.2819876e+11,8.0124224e+09,62297491
8000,40,0,1.2564013e+09,1.7678922e+17,1.2873739e+17,1.4629183e+21,0,1.5292595e+19,1.7654959e+20,4.32e+12,1.6331666e+17,5.8229442e+15,1.1644154e+19,4.1163296e+20,0,6688743.1,0,6688743.1,0,1.35e+21,918.61214,2.6767793e-08,918.61214,0,0,1.5323758e+08,-3.2711491e+12,4.1351313e+10,-1.5291099e+11,-1.7655822e+12,-58224805,-1.1643103e+11,2911240.2,5.8215516e+09,3.3721031e+11,3.3721031e+11,1.4130983e+11,8.8318645e+09,74508683
10000,50,0,1.3130274e+09,2.2912705e+17,1.9262529e+17,1.4362927e+21,0,1.8067259e+19,1.6012415e+20,4.32e+12,1.5516734e+17,6.6566927e+15,1.3565374e+19,4.4988071e+20,0,11160782,0,11160782,0,1.35e+21,1327.6521,1.0872736e-07,1327.6521,0,0,1.4336773e+08,-2.128576e+12,3.7754906e+10,-1.8065979e+11,-1.6013197e+12,-66563205,-1.3564501e+11,3328160.3,6.7822503e+09,3.1582911e+11,3.1582911e+11,1.4841626e+11,9.276016e+09,86830396
12000,60,0,1.3584046e+09,2.8363066e+17,2.6533569e+17,1.4191413e+21,0,2.042053e+19,1.4522909e+20,4.32e+12,1.4723414e+17,7.3194629e+15,1.5150592e+19,4.7787008e+20,0,16961261,0,16961261,0,1.35e+21,1813.1589,2.4900146e-08,1813.1589,0,0,1.3413441e+08,-1.3512649e+12,3.4463784e+10,-2.0419454e+11,-1.4523618e+12,-73191704,-1.5149877e+11,3659585.2,7.5749384e+09,2.9601391e+11,2.9601391e+11,1.5166307e+11,9.4789419e+09,99104566
14000,70,0,1.3937756e+09,3.3985853e+17,3.4526693e+17,1.4084615e+21,0,2.2381873e+19,1.3172163e+20,4.32e+12,1.3959142e+17,7.8335816e+15,1.6436683e+19,4.9868217e+20,0,24136546,0,24136546,0,1.35e+21,2375.9329,0,2375.9329,0,9.765625e-08,1.2549658e+08,-8.1806373e+11,3.1467819e+10,-2.2380985e+11,-1.3172806e+12,-78333583,-1.6436109e+11,3916679.2,8.2180545e+09,2.7760712e+11,2.7760712e+11,1.5242292e+11,9.5264326e+09,1.1119995e+08
16000,80,0,1.4202652e+09,3.9741923e+17,4.3099429e+17,1.4022346e+21,0,2.3985516e+19,1.1947245e+20,4.32e+12,1.3227936e+17,8.2188509e+15,1.7458074e+19,5.1439813e+20,0,32708103,0,32708103,0,1.35e+21,3016.0977,0,3016.0977,0,9.765625e-08,1.1741582e+08,-4.5005805e+11,2.8749466e+10,-2.3984798e+11,-1.1947828e+12,-82186875,-1.7457624e+11,4109343.7,8.7288118e+09,2.6047979e+11,2.6047979e+11,1.5158547e+11,9.4740916e+09,1.2300906e+08
18000,90,0,1.4388947e+09,4.5596656e+17,5.2125734e+17,1.3990868e+21,0,2.5267108e+19,1.0836436e+20,4.32e+12,1.2531693e+17,8.492815e+15,1.8246457e+19,5.2644299e+20,0,42676756,0,42676756,0,1.35e+21,3733.2109,0,3733.2109,0,9.765625e-08,1.0985622e+08,-1.9514178e+11,2.628794e+10,-2.5266541e+11,-1.0836965e+12,-84927032,-1.8246116e+11,4246351.6,9.1230579e+09,2.445234e+11,2.445234e+11,1.4973387e+11,9.3583666e+09,1.3444541e+08
20000,100,0,1.4505909e+09,5.151952e+17,6.1494642e+17,1.3980732e+21,0,2.6261755e+19,9.82911e+19,4.32e+12,1.1870978e+17,8.6709997e+15,1.8830732e+19,5.3580551e+20,0,54026413,0,54026413,0,1.35e+21,4526.3608,-3.8616236e-08,4526.3608,0,0,1.0278416e+08,-1.8464774e+10,2.4061562e+10,-2.6261323e+11,-9.8295895e+11,-86709322,-1.8830487e+11,4335466.1,9.4152434e+09,2.2964447e+11,2.2964447e+11,1.4725409e+11,9.2033805e+09,1.4544096e+08
22000,110,0,1.4561953e+09,5.748368e+17,7.1108914e+17,1.3985369e+21,0,2.7002915e+19,8.9156323e+19,4.32e+12,1.1245522e+17,8.7671276e+15,1.9237071e+19,5.4318045e+20,0,66727312,0,66727312,0,1.35e+21,5394.2519,3.8127837e-08,5394.2519,0,0,96168198,1.0356614e+11,2.2049046e+10,-2.7002602e+11,-8.916067e+11,-87670979,-1.9236908e+11,4383549,9.6184539e+09,2.1576095e+11,2.1576095e+11,1.4440357e+11,9.025223e+09,1.5594384e+08
24000,120,0,1.4564715e+09,6.3465642e+17,8.0883734e+17,1.4000173e+21,0,2.7521805e+19,8.0872655e+19,4.32e+12,1.0654536e+17,8.7933109e+15,1.9489046e+19,5.4906212e+20,0,80738821,0,80738821,0,1.35e+21,6335.2799,0,6335.2799,0,9.765625e-08,89978920,1.871067e+11,2.0230183e+10,-2.7521596e+11,-8.0876598e+11,-87933134,-1.9488955e+11,4396656.7,9.7444773e+09,2.0279979e+11,2.0279979e+11,1.4135493e+11,8.8346831e+09,1.6591626e+08
26000,130,0,1.4521109e+09,6.9444929e+17,9.074547e+17,1.4021888e+21,0,2.784713e+19,7.3360854e+19,4.32e+12,1.0096913e+17,8.7602251e+15,1.9607805e+19,5.5380646e+20,0,96011845,0,96011845,0,1.35e+21,7347.5977,0,7347.5977,0,9.765625e-08,84188806,2.4333896e+11,1.8586177e+10,-2.7847011e+11,-7.3364429e+11,-87602548,-1.9607776e+11,4380127.4,9.8038879e+09,1.9069516e+11,1.9069516e+11,1.3822421e+11,8.6390133e+09,1.7533259e+08
