iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,8.31e+14,20.8,3.33,2.05e+21,0,9.44e+18,8.37e+15,4.08e+13,2.69e+13,35.5,5.51,1.76e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6585238e-310,4.6585238e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,39997947,1.6030717e+15,4.5319658e+14,1.8860079e+21,0,9.0304076e+18,3.608714e+16,4.32e+12,1.3187769e+16,1.8570207e+15,1.9489603e+17,1.8176477e+20,0,15401.568,0,15401.568,0,1.35e+21,5.4506728,-8.9270742e-09,5.4506729,0,0,1.8712053e+08,-1.3402854e+13,3.7856302e+09,-9.0304815e+10,-3.6070016e+08,-18561870,-1.9477391e+09,928093.48,97386955,1.5599936e+10,1.5599936e+10,7.0734688e+10,4.420918e+09,1552850.4
4000,20,0,49482890,3.7842595e+15,2.1062785e+15,1.7745004e+21,0,9.0624422e+18,7.3507977e+16,4.32e+12,1.7086148e+16,3.3838556e+15,4.6749647e+17,2.9292283e+20,0,84211.855,0,84211.855,0,1.35e+21,15.133488,3.5219808e-08,15.133488,0,0,1.7506546e+08,-9.1949823e+12,4.6989451e+09,-9.0623525e+10,-7.3488157e+08,-33831594,-4.6734899e+09,1691579.7,2.336745e+08,1.5978125e+10,1.5978125e+10,1.092245e+11,6.8265312e+09,2258889.9
6000,30,0,60550178,6.5820453e+15,5.2293521e+15,1.6974161e+21,0,9.3390244e+18,1.1392102e+17,4.32e+12,1.9728832e+16,4.6528943e+15,7.7535159e+17,3.6937411e+20,0,240387.51,0,240387.51,0,1.35e+21,30.261068,-2.8187827e-08,30.261068,0,0,1.6378786e+08,-6.4104433e+12,5.2032243e+09,-9.3388474e+10,-1.139007e+09,-46523187,-7.7519307e+09,2326159.4,3.8759654e+08,1.6810525e+10,1.6810525e+10,1.3208767e+11,8.2554794e+09,3177466.6
8000,40,0,72936881,1.0026409e+16,9.9384825e+15,1.6432832e+21,0,9.7392919e+18,1.5397204e+17,4.32e+12,2.1547234e+16,5.6961021e+15,1.0957052e+18,4.2273696e+20,0,516343.48,0,516343.48,0,1.35e+21,52.095811,2.6933876e-08,52.095811,0,0,1.5323758e+08,-4.5381282e+12,5.4553703e+09,-9.7390746e+10,-1.5395246e+09,-56956320,-1.0955445e+10,2847816,5.4777223e+08,1.7864324e+10,1.7864324e+10,1.4512197e+11,9.0701233e+09,4325394.3
10000,50,0,86366409,1.4139551e+16,1.6259163e+16,1.6046937e+21,0,1.0189233e+19,1.9179116e+17,4.32e+12,2.2810992e+16,6.5419115e+15,1.4144824e+18,4.6050876e+20,0,942023.48,0,942023.48,0,1.35e+21,81.926776,1.1725584e-07,81.926776,0,0,1.4336773e+08,-3.2598924e+12,5.5500384e+09,-1.0189004e+11,-1.91773e+09,-65415336,-1.414325e+10,3270766.8,7.0716249e+08,1.8997144e+10,1.8997144e+10,1.5192271e+11,9.4951695e+09,5711403.7
12000,60,0,1.0057636e+08,1.8936511e+16,2.4160937e+16,1.5767891e+21,0,1.0643981e+19,2.2639589e+17,4.32e+12,2.3692036e+16,7.2155909e+15,1.7230586e+18,4.8760262e+20,0,1544404.2,0,1544404.2,0,1.35e+21,121.05038,3.4907771e-08,121.05038,0,0,1.3413441e+08,-2.3744724e+12,5.5454733e+09,-1.0643757e+11,-2.2637948e+09,-72152932,-1.7229079e+10,3607646.6,8.6145393e+08,2.0122849e+10,2.0122849e+10,1.5475216e+11,9.6720099e+09,7337707.9
14000,70,0,1.1533063e+08,2.4425833e+16,3.3579273e+16,1.5563345e+21,0,1.1076973e+19,2.5733778e+17,4.32e+12,2.4302281e+16,7.739576e+15,2.0162768e+18,5.0728529e+20,0,2347351,0,2347351,0,1.35e+21,170.7536,0,170.7536,0,9.765625e-08,1.2549658e+08,-1.7525733e+12,5.4782122e+09,-1.1076765e+11,-2.5732326e+09,-77393480,-2.0161346e+10,3869674,1.0080673e+09,2.119063e+10,2.119063e+10,1.5505271e+11,9.6907942e+09,9201452.6
16000,80,0,1.3042342e+08,3.0610283e+16,4.4429561e+16,1.5411459e+21,0,1.1473216e+19,2.8448985e+17,4.32e+12,2.4716152e+16,8.1337676e+15,2.2912106e+18,5.2175893e+20,0,3371661.1,0,3371661.1,0,1.35e+21,232.30004,4.4602047e-08,232.30004,0,0,1.1741582e+08,-1.3099113e+12,5.371603e+09,-1.1473029e+11,-2.8447722e+09,-81335999,-2.291078e+10,4066800,1.145539e+09,2.2172011e+10,2.2172011e+10,1.537548e+11,9.609675e+09,11295962
18000,90,0,1.4567924e+08,3.7487587e+16,5.661616e+16,1.5297285e+21,0,1.1825044e+19,3.0791683e+17,4.32e+12,2.4984262e+16,8.4157991e+15,2.546382e+18,5.325275e+20,0,4635203.8,0,4635203.8,0,1.35e+21,306.91863,4.6076821e-08,306.91863,0,0,1.0985622e+08,-9.9077468e+11,5.2408265e+09,-1.182488e+11,-3.0790603e+09,-84156834,-2.5462594e+10,4207841.7,1.2731297e+09,2.3052678e+10,2.3052678e+10,1.5146465e+11,9.4665408e+09,13611771
20000,100,0,1.6095092e+08,4.5051162e+16,7.0038296e+16,1.5210458e+21,0,1.2129424e+19,3.27795e+17,4.32e+12,2.5141845e+16,8.601277e+15,2.7812574e+18,5.406308e+20,0,6153108.6,0,6153108.6,0,1.35e+21,395.79502,4.5538229e-08,395.79502,0,0,1.0278416e+08,-7.5784703e+11,5.09591e+09,-1.2129283e+11,-3.2778591e+09,-86012061,-2.781145e+10,4300603,1.3905725e+09,2.3827277e+10,2.3827277e+10,1.4858039e+11,9.2862745e+09,16137463
22000,110,0,1.7611693e+08,5.3290814e+16,8.4593922e+16,1.5143704e+21,0,1.2386216e+19,3.4436208e+17,4.32e+12,2.5214031e+16,8.7039971e+15,2.9959207e+18,5.4679616e+20,0,7937973.8,0,7937973.8,0,1.35e+21,500.06522,-2.4500991e-08,500.06522,0,0,96168198,-5.8581531e+11,4.9435668e+09,-1.2386099e+11,-3.4435458e+09,-87039643,-2.9958184e+10,4351982.2,1.4979092e+09,2.4496067e+10,2.4496067e+10,1.4536496e+11,9.0853099e+09,18860348
24000,120,0,1.9107842e+08,6.2193389e+16,1.0018224e+17,1.5091857e+21,0,1.2597056e+19,3.5788589e+17,4.32e+12,2.5219186e+16,8.7361377e+15,3.1908563e+18,5.5153794e+20,0,10000080,0,10000080,0,1.35e+21,620.81128,0,620.81128,0,9.765625e-08,89978920,-4.5730041e+11,4.7883384e+09,-1.2596961e+11,-3.5787984e+09,-87361374,-3.1907637e+10,4368068.7,1.5953818e+09,2.5062755e+10,2.5062755e+10,1.4199247e+11,8.8745292e+09,21767001
26000,130,0,2.0575635e+08,7.1743365e+16,1.1670533e+17,1.5051205e+21,0,1.2764622e+19,3.6864448e+17,4.32e+12,2.5171068e+16,8.7084342e+15,3.366805e+18,5.5522373e+20,0,12347602,0,12347602,0,1.35e+21,759.05874,0,759.05874,0,9.765625e-08,84188806,-3.6023185e+11,4.6333175e+09,-1.2764548e+11,-3.6863974e+09,-87084613,-3.3667216e+10,4354230.7,1.6833608e+09,2.5533078e+10,2.5533078e+10,1.3857808e+11,8.6611298e+09,24843690
28000,140,0,2.2008882e+08,8.1923383e+16,1.3406919e+17,1.5019052e+21,0,1.2892157e+19,3.7691381e+17,4.32e+12,2.508023e+16,8.6303348e+15,3.5246658e+18,5.5811882e+20,0,14986809,0,14986809,0,1.35e+21,915.77545,5.0698645e-08,915.77545,0,0,78772115,-2.8613296e+11,4.480612e+09,-1.2892103e+11,-3.7691025e+09,-86303851,-3.5245913e+10,4315192.5,1.7622956e+09,2.5913883e+10,2.5913883e+10,1.3519746e+11,8.4498411e+09,28076713
