iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.27e+10,2.43,98.2,2.07e+21,0,1.17e+13,3.88e+16,5.29e+14,1.75e+18,1.16,19,5.31e+18,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6569944e-310,4.6569944e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,7706033.2,3.6861484e+14,7.4433338e+15,1.9017023e+21,0,3.2598559e+17,1.9978308e+17,4.32e+12,7.0614796e+15,2.2987833e+15,1.5127707e+18,1.7334324e+20,0,253104.19,0,253104.19,0,1.35e+21,1.253088,6.2610828e-10,1.253088,0,0,1.8712053e+08,-1.3759826e+13,2.0266546e+09,-3.257038e+09,-1.9978293e+09,-22979716,-1.5127757e+10,1148985.8,7.5638785e+08,2.3326474e+09,2.3326474e+09,6.7455589e+10,4.2159743e+09,299173.27
4000,20,0,14084333,1.185374e+15,1.5060639e+16,1.7871799e+21,0,1.044095e+18,2.0588725e+17,4.32e+12,1.1423495e+16,3.7835778e+15,1.5479305e+18,2.8709379e+20,0,602327.17,0,602327.17,0,1.35e+21,4.739819,3.3160286e-08,4.7398189,0,0,1.7506546e+08,-9.4481863e+12,3.1414263e+09,-1.0436748e+10,-2.0588184e+09,-37829016,-1.5478937e+10,1891450.8,7.7394686e+08,3.598339e+09,3.598339e+09,1.0705024e+11,6.6906401e+09,642948.66
6000,30,0,22643692,2.5088592e+15,2.3033066e+16,1.7079322e+21,0,1.9570106e+18,2.1973658e+17,4.32e+12,1.4478773e+16,5.0145769e+15,1.6492496e+18,3.6530156e+20,0,1059010.4,0,1059010.4,0,1.35e+21,11.533588,-6.4271077e-10,11.533588,0,0,1.6378786e+08,-6.5945293e+12,3.8184613e+09,-1.9565277e+10,-2.1972848e+09,-50140194,-1.6491873e+10,2507009.7,8.2459363e+08,5.2711267e+09,5.2711267e+09,1.3063095e+11,8.1644344e+09,1188263.6
8000,40,0,33054462,4.3911914e+15,3.1621266e+16,1.6522077e+21,0,2.9456167e+18,2.3728133e+17,4.32e+12,1.6670126e+16,6.023365e+15,1.7901772e+18,4.198669e+20,0,1643073.2,0,1643073.2,0,1.35e+21,22.814654,4.3211692e-09,22.814654,0,0,1.5323758e+08,-4.6753264e+12,4.2204864e+09,-2.9451168e+10,-2.3727209e+09,-60229113,-1.7901e+10,3011455.7,8.9505e+08,7.1163779e+09,7.1163779e+09,1.4413648e+11,9.0085302e+09,1960237.1
10000,50,0,44978514,6.8742013e+15,4.0977928e+16,1.612418e+21,0,3.9383788e+18,2.5606866e+17,4.32e+12,1.8274642e+16,6.8380301e+15,1.9533809e+18,4.5846901e+20,0,2374416.2,0,2374416.2,0,1.35e+21,39.828375,9.970681e-08,39.828375,0,0,1.4336773e+08,-3.3647012e+12,4.4462547e+09,-3.9378893e+10,-2.5605923e+09,-68376670,-1.9532959e+10,3418833.5,9.7664794e+08,8.9918394e+09,8.9918394e+09,1.5124966e+11,9.4531036e+09,2974425.5
12000,60,0,58097299,9.9902767e+15,5.1184763e+16,1.5835858e+21,0,4.8932461e+18,2.7462203e+17,4.32e+12,1.9469317e+16,7.483529e+15,2.1274056e+18,4.8614007e+20,0,3272055.6,0,3272055.6,0,1.35e+21,63.859845,-3.7523627e-08,63.859845,0,0,1.3413441e+08,-2.4564984e+12,4.5570325e+09,-4.8927826e+10,-2.7461297e+09,-74832447,-2.1273172e+10,3741622.4,1.0636586e+09,1.0812633e+10,1.0812633e+10,1.542879e+11,9.6429936e+09,4238580.6
14000,70,0,72123827,1.3763237e+16,6.2276271e+16,1.562397e+21,0,5.7865785e+18,2.9207109e+17,4.32e+12,2.0369647e+16,7.9820152e+15,2.3046135e+18,5.062259e+20,0,4353662.4,0,4353662.4,0,1.35e+21,96.211762,0,96.211762,0,9.765625e-08,1.2549658e+08,-1.8182793e+12,4.5916785e+09,-5.7861496e+10,-2.9206273e+09,-79817993,-2.304525e+10,3990899.7,1.1522625e+09,1.2529842e+10,1.2529842e+10,1.5472885e+11,9.6705529e+09,5754273.5
16000,80,0,86806391,1.8209247e+16,7.4255325e+16,1.5466139e+21,0,6.6062782e+18,3.0792676e+17,4.32e+12,2.1052709e+16,8.3531343e+15,2.4798926e+18,5.2098187e+20,0,5635332.7,0,5635332.7,0,1.35e+21,138.18573,-4.1402473e-08,138.18573,0,0,1.1741582e+08,-1.3637101e+12,4.5753871e+09,-6.6058878e+10,-3.0791928e+09,-83529776,-2.4798061e+10,4176488.8,1.239903e+09,1.4117223e+10,1.4117223e+10,1.5352577e+11,9.5953609e+09,7518294.5
18000,90,0,1.0192818e+08,2.3337736e+16,8.7103553e+16,1.5347048e+21,0,7.3474742e+18,3.21942e+17,4.32e+12,2.1571162e+16,8.6142888e+15,2.6498312e+18,5.3194817e+20,0,7131491.7,0,7131491.7,0,1.35e+21,191.06688,-1.4566439e-08,191.06688,0,0,1.0985622e+08,-1.0357234e+12,4.5248488e+09,-7.3471234e+10,-3.2193548e+09,-86141830,-2.649748e+10,4307091.5,1.324874e+09,1.5562844e+10,1.5562844e+10,1.5129985e+11,9.4562407e+09,9523820.8
