iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1.4e+11,29.4,25.7,4.57e+20,0,1.3e+19,1.26e+11,2.78e+18,5.66e+12,9.54,2.89,1.61e+21,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6689775e-310,4.6689775e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,93434586,1.8329244e+16,3.0287457e+15,7.6215576e+20,0,1.6675965e+19,1.7636678e+17,4.32e+12,6.1454104e+16,2.5173876e+18,1.2027833e+18,1.2999709e+21,0,102939.41,0,102939.41,0,1.35e+21,62.327774,-2.3110701e-08,62.327774,0,0,1.8712053e+08,2.4887932e+13,1.7645139e+10,-1.6674489e+11,-1.7628737e+09,-2.5175126e+10,-1.2022288e+10,1.2587563e+09,6.0111439e+08,3.2180075e+10,3.2180075e+10,5.0612591e+11,3.1632869e+10,3627434.6
4000,20,0,1.2063651e+08,3.6404467e+16,1.1643324e+16,9.6878018e+20,0,1.907374e+19,3.1398149e+17,4.32e+12,5.4568617e+16,2.2795244e+18,2.1871538e+18,1.0900465e+21,0,465556.85,0,465556.85,0,1.35e+21,145.59553,-1.316522e-08,145.59553,0,0,1.7506546e+08,1.6995071e+13,1.5009357e+10,-1.9072783e+11,-3.1392214e+09,-2.2796375e+10,-2.1867174e+10,1.1398187e+09,1.0933587e+09,3.7200436e+10,3.7200436e+10,4.0655009e+11,2.540938e+10,5507047
6000,30,0,1.4680827e+08,5.4328653e+16,2.4663013e+16,1.1108931e+21,0,2.0613968e+19,4.1742648e+17,4.32e+12,4.9825778e+16,2.0641849e+18,2.9690927e+18,9.4569883e+20,0,1133812,0,1133812,0,1.35e+21,249.79497,-3.390349e-08,249.79497,0,0,1.6378786e+08,1.1782493e+13,1.3142152e+10,-2.0613363e+11,-4.1738164e+09,-2.0642873e+10,-2.9687429e+10,1.0321436e+09,1.4843714e+09,4.0533644e+10,4.0533644e+10,3.38231e+11,2.1139438e+10,7703997.1
8000,40,0,1.717249e+08,7.2188308e+16,4.1213571e+16,1.2100916e+21,0,2.1568723e+19,4.9576646e+17,4.32e+12,4.6437039e+16,1.869233e+18,3.6004072e+18,8.4500144e+20,0,2141332.6,0,2141332.6,0,1.35e+21,375.10454,-3.88589e-08,375.10454,0,0,1.5323758e+08,8.2866535e+12,1.1757796e+10,-2.156836e+11,-4.9573245e+09,-1.8693257e+10,-3.6001228e+10,9.3466287e+08,1.8000614e+09,4.2704933e+10,4.2704933e+10,2.9011148e+11,1.8131967e+10,10183845
10000,50,0,1.9529951e+08,9.0050897e+16,6.063408e+16,1.2803113e+21,0,2.211737e+19,5.5509217e+17,4.32e+12,4.3917075e+16,1.6927356e+18,4.1161446e+18,7.7380123e+20,0,3513188,0,3513188,0,1.35e+21,521.79937,1.1148529e-07,521.79937,0,0,1.4336773e+08,5.9078868e+12,1.0685777e+10,-2.2117175e+11,-5.550665e+09,-1.6928196e+10,-4.1159112e+10,8.4640979e+08,2.0579556e+09,4.4061105e+10,4.4061105e+10,2.5529717e+11,1.5956073e+10,12915141
12000,60,0,2.1751728e+08,1.0796857e+17,8.2409739e+16,1.330684e+21,0,2.2380361e+19,5.9964382e+17,4.32e+12,4.1963017e+16,1.532943e+18,4.5406881e+18,7.2281992e+20,0,5267973.5,0,5267973.5,0,1.35e+21,690.21813,4.0510258e-08,690.21813,0,0,1.3413441e+08,4.2669259e+12,9.8224233e+09,-2.2380286e+11,-5.9962469e+09,-1.533019e+10,-4.5404955e+10,7.6650948e+08,2.2702478e+09,4.4835687e+10,4.4835687e+10,2.2941614e+11,1.4338509e+10,15869318
14000,70,0,2.3840052e+08,1.2598122e+17,1.0612872e+17,1.3672812e+21,0,2.244006e+19,6.3247842e+17,4.32e+12,4.0383466e+16,1.3882713e+18,4.8914993e+18,6.8588522e+20,0,7419165,0,7419165,0,1.35e+21,880.73863,0,880.73863,0,9.765625e-08,1.2549658e+08,3.1202024e+12,9.1034836e+09,-2.2440071e+11,-6.3246452e+09,-1.3883401e+10,-4.89134e+10,6.9417007e+08,2.44567e+09,4.5189006e+10,4.5189006e+10,2.0965039e+11,1.3103149e+10,19020369
16000,80,0,2.579903e+08,1.4411897e+17,1.3145393e+17,1.3941958e+21,0,2.2353778e+19,6.5587429e+17,4.32e+12,3.9056096e+16,1.2572875e+18,5.1814544e+18,6.5883362e+20,0,9976055,0,9976055,0,1.35e+21,1093.7599,-4.8670927e-08,1093.7599,0,0,1.1741582e+08,2.309011e+12,8.4883183e+09,-2.2353851e+11,-6.5586464e+09,-1.2573497e+10,-5.1813229e+10,6.2867487e+08,2.5906615e+09,4.5233255e+10,4.5233255e+10,1.9415445e+11,1.2134653e+10,22344520
18000,90,0,2.7633686e+08,1.6240407e+17,1.5810409e+17,1.4142231e+21,0,2.2162074e+19,6.7158128e+17,4.32e+12,3.7901942e+16,1.138694e+18,5.4203271e+18,6.3881935e+20,0,12944441,0,12944441,0,1.35e+21,1329.6886,4.1850171e-08,1329.6886,0,0,1.0985622e+08,1.7285086e+12,7.9506522e+09,-2.2162191e+11,-6.7157511e+09,-1.1387504e+10,-5.4202191e+10,5.6937519e+08,2.7101095e+09,4.5048423e+10,4.5048423e+10,1.8170085e+11,1.1356303e+10,25819973
