iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,7.1e+14,21.7,2.13,2.03e+21,0,7.51e+12,2.4e+18,7.59e+17,3.75e+15,78.9,28.6,5.16e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6751365e-310,4.6751365e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,15346371,4.3127688e+15,2.9752409e+14,1.8748323e+21,0,4.8061446e+17,2.1908708e+18,4.32e+12,9.5832704e+15,6.8862433e+17,1.3173855e+17,2.0642706e+20,0,10110.898,0,10110.898,0,1.35e+21,14.665226,7.2804648e-08,14.665226,0,0,1.8712053e+08,-1.2687475e+13,2.7507425e+09,-4.8027089e+09,-2.1909666e+10,-6.8865783e+09,-1.3164932e+09,3.4432892e+08,65824661,5.3203955e+09,5.3203955e+09,8.0337166e+10,5.0210729e+09,595796.05
4000,20,0,22827132,8.7661013e+15,1.4663415e+15,1.7692257e+21,0,1.2991229e+18,2.0137086e+18,4.32e+12,1.3575297e+16,6.2479506e+17,3.4255066e+17,3.1123755e+20,0,58624.711,0,58624.711,0,1.35e+21,35.05858,1.2492883e-08,35.05858,0,0,1.7506546e+08,-8.7135486e+12,3.7333023e+09,-1.2986625e+10,-2.0137906e+10,-6.2482543e+09,-3.4243205e+09,3.1241272e+08,1.7121602e+08,6.550065e+09,6.550065e+09,1.160557e+11,7.2534812e+09,1042056.7
6000,30,0,32310944,1.3448279e+16,3.8142342e+15,1.6961323e+21,0,2.2766825e+18,1.8606627e+18,4.32e+12,1.6359283e+16,5.669276e+17,5.9678666e+17,3.8330192e+20,0,175332.67,0,175332.67,0,1.35e+21,61.83225,-1.7702611e-08,61.83225,0,0,1.6378786e+08,-6.0831276e+12,4.3144798e+09,-2.2761741e+10,-1.8607342e+10,-5.6695514e+09,-5.9665291e+09,2.8347757e+08,2.9832646e+08,8.1381717e+09,8.1381717e+09,1.3706932e+11,8.5668322e+09,1695568
8000,40,0,43480681,1.8435555e+16,7.4982078e+15,1.6447233e+21,0,3.3057307e+18,1.7264046e+18,4.32e+12,1.8343828e+16,5.1446202e+17,8.7158102e+17,4.3358471e+20,0,389555.91,0,389555.91,0,1.35e+21,95.793173,-1.3122602e-08,95.793173,0,0,1.5323758e+08,-4.3138205e+12,4.6442755e+09,-3.3052153e+10,-1.7264677e+10,-5.1448699e+09,-8.7144117e+09,2.5724349e+08,4.3572058e+08,9.8704929e+09,9.8704929e+09,1.4884655e+11,9.3029095e+09,2578545.8
10000,50,0,56013915,2.3791488e+16,1.2583314e+16,1.6080058e+21,0,4.3223292e+18,1.6072297e+18,4.32e+12,1.9784786e+16,4.668912e+17,1.1524205e+18,4.6916119e+20,0,729043.98,0,729043.98,0,1.35e+21,137.85722,9.7831332e-08,137.85722,0,0,1.4336773e+08,-3.1053544e+12,4.8137074e+09,-4.321831e+10,-1.607286e+10,-4.6691384e+09,-1.1522803e+10,2.3345692e+08,5.7614016e+08,1.1617733e+10,1.1617733e+10,1.5477757e+11,9.6735979e+09,3704195.7
12000,60,0,69608439,2.9568081e+16,1.9076061e+16,1.5813924e+21,0,5.2895094e+18,1.5004705e+18,4.32e+12,2.0845736e+16,4.2375581e+17,1.4300784e+18,4.9466764e+20,0,1219360.2,0,1219360.2,0,1.35e+21,189.01845,-3.3307401e-10,189.01845,0,0,1.3413441e+08,-2.2677681e+12,4.8792233e+09,-5.289042e+10,-1.5005211e+10,-4.2377634e+09,-1.4299415e+10,2.1188817e+08,7.1497073e+08,1.3303289e+10,1.3303289e+10,1.5699468e+11,9.8121672e+09,5078394.1
14000,70,0,83993024,3.58069e+16,2.6945716e+16,1.5618291e+21,0,6.1870892e+18,1.4041422e+18,4.32e+12,2.1633548e+16,3.8463981e+17,1.6987282e+18,5.1318659e+20,0,1883619.9,0,1883619.9,0,1.35e+21,250.32244,0,250.32244,0,9.765625e-08,1.2549658e+08,-1.6790241e+12,4.8766013e+09,-6.1866597e+10,-1.404188e+10,-3.8465843e+09,-1.6985968e+10,1.9232922e+08,8.4929838e+08,1.4883534e+10,1.4883534e+10,1.5685663e+11,9.8035396e+09,6701236.7
16000,80,0,98930588,4.2540198e+16,3.6138106e+16,1.5472531e+21,0,7.0053608e+18,1.3167237e+18,4.32e+12,2.2219645e+16,3.4916635e+17,1.9547632e+18,5.2679587e+20,0,2742423.9,0,2742423.9,0,1.35e+21,322.84354,1.8857804e-08,322.84354,0,0,1.1741582e+08,-1.2595668e+12,4.8290109e+09,-7.0049722e+10,-1.3167654e+10,-3.4918324e+09,-1.9546387e+10,1.7459162e+08,9.7731935e+08,1.6335585e+10,1.6335585e+10,1.5523924e+11,9.7024526e+09,8568370.3
18000,90,0,1.1421761e+08,4.9792018e+16,4.6584689e+16,1.5362524e+21,0,7.7411307e+18,1.2370181e+18,4.32e+12,2.2652917e+16,3.1699407e+17,2.1960458e+18,5.3691435e+20,0,3813900,0,3813900,0,1.35e+21,407.66605,1.9060735e-09,407.66605,0,0,1.0985622e+08,-9.5680741e+11,4.7517727e+09,-7.7407834e+10,-1.2370562e+10,-3.1700939e+09,-2.1959291e+10,1.5850469e+08,1.0979645e+09,1.7649619e+10,1.7649619e+10,1.5271248e+11,9.5445299e+09,10672104
