iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,4.45e+11,20,2.55,2.06e+21,0,1.3e+16,7.33e+13,1.65e+17,4.21e+12,31.4,2.4,1.77e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6787643e-310,4.6787643e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,4180311.9,1.033924e+15,1.3168004e+14,1.8951439e+21,0,3.5697521e+17,1.0634463e+16,4.32e+12,6.7277399e+15,1.5112537e+17,7.2490466e+16,1.8213694e+20,0,4473.7562,0,4473.7562,0,1.35e+21,3.5155178,-7.2966611e-09,3.5155178,0,0,1.8712053e+08,-1.3480331e+13,1.9308427e+09,-3.5668783e+09,-1.062534e+08,-1.51132e+09,-7.2426836e+08,75565999,36213418,8.3681329e+08,8.3681329e+08,7.0879535e+10,4.4299709e+09,162293.3
4000,20,0,10331379,2.4243367e+15,8.8144329e+14,1.7829314e+21,0,1.0818391e+18,3.3792551e+16,4.32e+12,1.1054324e+16,1.384471e+17,2.3797388e+17,2.9344396e+20,0,35237.156,0,35237.156,0,1.35e+21,9.6950672,-5.5752523e-09,9.6950672,0,0,1.7506546e+08,-9.2592701e+12,3.0398925e+09,-1.0814173e+10,-3.377904e+08,-1.3845316e+09,-2.3787524e+09,69226580,1.1893762e+08,2.2533458e+09,2.2533458e+09,1.0941883e+11,6.8386766e+09,471626.61
6000,30,0,18715501,4.2439403e+15,2.6082565e+15,1.705254e+21,0,1.9952203e+18,6.3053336e+16,4.32e+12,1.4096995e+16,1.2686287e+17,4.567787e+17,3.6996667e+20,0,119890.74,0,119890.74,0,1.35e+21,19.511484,1.9106377e-08,19.511484,0,0,1.6378786e+08,-6.4653007e+12,3.7177672e+09,-1.9947382e+10,-6.3037899e+08,-1.268684e+09,-4.5666057e+09,63434202,2.2833029e+08,4.0525719e+09,4.0525719e+09,1.3229958e+11,8.2687238e+09,982125.61
8000,40,0,28994963,6.5535675e+15,5.5131169e+15,1.650609e+21,0,2.9807096e+18,9.4569571e+16,4.32e+12,1.6289505e+16,1.1627598e+17,7.0391578e+17,4.2335228e+20,0,286415.93,0,286415.93,0,1.35e+21,34.051144,-4.4074106e-08,34.051144,0,0,1.5323758e+08,-4.5860094e+12,4.1241159e+09,-2.9802119e+10,-9.4553678e+08,-1.1628104e+09,-7.0378809e+09,58140521,3.5189404e+08,6.0061671e+09,6.0061671e+09,1.4533322e+11,9.083326e+09,1719495.6
10000,50,0,40825537,9.4028285e+15,9.6960481e+15,1.6115686e+21,0,3.968455e+18,1.2604929e+17,4.32e+12,1.790339e+16,1.0659848e+17,9.6332989e+17,4.6111655e+20,0,561752.54,0,561752.54,0,1.35e+21,54.480965,-2.6083484e-08,54.480965,0,0,1.4336773e+08,-3.3024368e+12,4.3559236e+09,-3.9679683e+10,-1.2603381e+09,-1.066031e+09,-9.6319902e+09,53301550,4.8159951e+08,7.9761155e+09,7.9761155e+09,1.5212323e+11,9.507702e+09,2699789.5
12000,60,0,53883767,1.2831062e+16,1.5191878e+16,1.5832604e+21,0,4.9174492e+18,1.5614864e+17,4.32e+12,1.91122e+16,9.7750287e+16,1.2246377e+18,4.8818449e+20,0,971065.78,0,971065.78,0,1.35e+21,82.020925,4.431989e-08,82.020925,0,0,1.3413441e+08,-2.4128012e+12,4.4734409e+09,-4.9169888e+10,-1.5613408e+09,-9.7754517e+08,-1.2245078e+10,48877258,6.1225389e+08,9.880458e+09,9.880458e+09,1.5493684e+11,9.6835524e+09,3931175.7
14000,70,0,67878517,1.6868305e+16,2.199313e+16,1.5624402e+21,0,5.8046936e+18,1.8410997e+17,4.32e+12,2.0029274e+16,8.9658552e+16,1.4811194e+18,5.0783058e+20,0,1537396.6,0,1537396.6,0,1.35e+21,117.9201,0,117.9201,0,9.765625e-08,1.2549658e+08,-1.7874726e+12,4.514949e+09,-5.8042677e+10,-1.840966e+09,-8.966242e+08,-1.4809931e+10,44831210,7.4049657e+08,1.1672342e+10,1.1672342e+10,1.5521939e+11,9.7012116e+09,5415568.9
16000,80,0,82554463,2.1536283e+16,3.006493e+16,1.5469173e+21,0,6.6184757e+18,2.0954205e+17,4.32e+12,2.073033e+16,8.2256936e+16,1.7284607e+18,5.2226207e+20,0,2281527.4,0,2281527.4,0,1.35e+21,163.43637,-4.2638391e-08,163.43637,0,0,1.1741582e+08,-1.3419463e+12,4.5053216e+09,-6.6180882e+10,-2.0953e+09,-8.2260475e+08,-1.7283399e+10,41130237,8.6416993e+08,1.3327021e+10,1.3327021e+10,1.5390308e+11,9.6189422e+09,7150035.4
18000,90,0,97691577,2.68494e+16,3.9354856e+16,1.5351921e+21,0,7.3541471e+18,2.3228408e+17,4.32e+12,2.1267171e+16,7.5485047e+16,1.9639511e+18,5.3298621e+20,0,3221969.5,0,3221969.5,0,1.35e+21,219.81969,-3.325016e-08,219.81969,0,0,1.0985622e+08,-1.0203626e+12,4.46108e+09,-7.353799e+10,-2.3227339e+09,-7.5488285e+08,-1.9638366e+10,37744143,9.8191832e+08,1.4833682e+10,1.4833682e+10,1.5159513e+11,9.4746956e+09,9127967.4
20000,100,0,1.1310273e+08,3.2815701e+16,4.9799563e+16,1.5262244e+21,0,8.0114427e+18,2.5232027e+17,4.32e+12,2.1676141e+16,6.928789e+16,2.1859639e+18,5.41045e+20,0,4375019.5,0,4375019.5,0,1.35e+21,288.29855,-2.783429e-08,288.29855,0,0,1.0278416e+08,-7.8530422e+11,4.3934328e+09,-8.0111333e+10,-2.5231092e+09,-6.9290853e+08,-2.1858564e+10,34645427,1.0929282e+09,1.6190245e+10,1.6190245e+10,1.4869423e+11,9.2933895e+09,11340048
22000,110,0,1.2863057e+08,3.9437773e+16,6.1329285e+16,1.5192841e+21,0,8.5927651e+18,2.697251e+17,4.32e+12,2.198341e+16,6.3615377e+16,2.3936139e+18,5.4716714e+20,0,5754856.1,0,5754856.1,0,1.35e+21,370.06955,0,370.06955,0,9.765625e-08,96168198,-6.1138783e+11,4.3101352e+09,-8.5924928e+10,-2.6971703e+09,-6.3618089e+08,-2.3935138e+10,31809045,1.1967569e+09,1.7400032e+10,1.7400032e+10,1.4546359e+11,9.0914744e+09,13775037
24000,120,0,1.4414415e+08,4.6713589e+16,7.3870936e+16,1.5138522e+21,0,9.1020792e+18,2.8462796e+17,4.32e+12,2.2208326e+16,5.8421883e+16,2.5865284e+18,5.518679e+20,0,7373656.8,0,7373656.8,0,1.35e+21,466.28935,-1.4801003e-08,466.28935,0,0,89978920,-4.8118463e+11,4.21665e+09,-9.1018418e+10,-2.8462111e+09,-5.8424367e+08,-2.5864357e+10,29212184,1.2932178e+09,1.8469604e+10,1.8469604e+10,1.4207742e+11,8.8798389e+09,16420410
26000,130,0,1.5953578e+08,5.4637265e+16,8.735027e+16,1.509556e+21,0,9.5441985e+18,2.9718994e+17,4.32e+12,2.2365575e+16,5.3665842e+16,2.7646903e+18,5.555154e+20,0,9241727.2,0,9241727.2,0,1.35e+21,578.06902,5.472441e-08,578.06902,0,0,84188806,-3.8258818e+11,4.116884e+09,-9.5439934e+10,-2.9718421e+09,-5.3668117e+08,-2.7646049e+10,26834058,1.3823024e+09,1.9407361e+10,1.9407361e+10,1.3865088e+11,8.6656799e+09,19262869
28000,140,0,1.7471798e+08,6.3199753e+16,1.0169338e+17,1.5061242e+21,0,9.9243246e+18,3.0758842e+17,4.32e+12,2.2466584e+16,4.9309376e+16,2.9283304e+18,5.583752e+20,0,11367634,0,11367634,0,1.35e+21,706.47011,-2.6534167e-08,706.47011,0,0,78772115,-3.0709529e+11,4.0136657e+09,-9.9241491e+10,-3.0758373e+09,-4.931146e+08,-2.9282522e+10,24655730,1.4641261e+09,2.0222631e+10,2.0222631e+10,1.3525957e+11,8.4537229e+09,22288758
