iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,2.65e+09,79.1,37.4,1.99e+21,0,2.55e+10,1.05e+18,6.46e+15,1.43e+14,12.4,42.9,8.82e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6421348e-310,4.6421348e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,9317513.1,5.3986598e+14,2.7085517e+14,1.8458754e+21,0,5.5238205e+17,9.6859737e+17,4.32e+12,9.367862e+15,7.6656289e+15,1.2670417e+17,2.3171765e+20,0,9204.0508,0,9204.0508,0,1.35e+21,1.8354128,1.3842857e-08,1.8354128,0,0,1.8712053e+08,-1.1787873e+13,2.6889295e+09,-5.5201316e+09,-9.6863236e+09,-76650856,-1.2661684e+09,3832542.8,63308421,2.7126652e+09,2.7126652e+09,9.0184551e+10,5.6365344e+09,361736.16
4000,20,0,16514217,1.5378255e+15,1.3995007e+15,1.7477279e+21,0,1.4062826e+18,9.0692164e+17,4.32e+12,1.3186412e+16,8.6396884e+15,3.3206682e+17,3.2886237e+20,0,55951.931,0,55951.931,0,1.35e+21,6.1493806,2.6337496e-08,6.1493806,0,0,1.7506546e+08,-8.1009989e+12,3.626361e+09,-1.4058111e+10,-9.0694886e+09,-86392551,-3.3195157e+09,4319627.5,1.6597578e+08,4.2552531e+09,4.2552531e+09,1.2262981e+11,7.664363e+09,753872.69
6000,30,0,25779289,3.0559246e+15,3.6737697e+15,1.6797479e+21,0,2.3969786e+18,8.5806795e+17,4.32e+12,1.5872933e+16,9.4085565e+15,5.7886278e+17,3.9564823e+20,0,168875.39,0,168875.39,0,1.35e+21,14.048864,0,14.048864,0,9.765625e-08,1.6378786e+08,-5.6600973e+12,4.1862134e+09,-2.3964675e+10,-8.5808992e+09,-94082188,-5.78733e+09,4704109.4,2.893665e+08,6.0914818e+09,6.0914818e+09,1.414855e+11,8.8428438e+09,1352809.1
8000,40,0,36782277,5.1446611e+15,7.2443698e+15,1.6318922e+21,0,3.4257463e+18,8.1795616e+17,4.32e+12,1.7807241e+16,9.9991923e+15,8.4556201e+17,4.4224194e+20,0,376367.83,0,376367.83,0,1.35e+21,26.729764,-2.2960144e-08,26.729764,0,0,1.5323758e+08,-4.0178395e+12,4.5084208e+09,-3.4252334e+10,-8.1797452e+09,-99989374,-8.4542622e+09,4999468.7,4.2271311e+08,8.0261073e+09,8.0261073e+09,1.5181919e+11,9.4886995e+09,2181308.6
10000,50,0,49192382,7.8440693e+15,1.2175234e+16,1.5976751e+21,0,4.4342239e+18,7.8393741e+17,4.32e+12,1.9227462e+16,1.0435498e+16,1.1184277e+18,4.7520377e+20,0,705400.48,0,705400.48,0,1.35e+21,45.448188,1.0886789e-07,45.448188,0,0,1.4336773e+08,-2.8957737e+12,4.6781054e+09,-4.4337311e+10,-7.8395322e+09,-1.0435315e+08,-1.1182914e+10,5217657.6,5.591457e+08,9.9423537e+09,9.9423537e+09,1.5677146e+11,9.7982162e+09,3253088.2
12000,60,0,62701641,1.1184689e+16,1.8474721e+16,1.5728415e+21,0,5.3889756e+18,7.5425604e+17,4.32e+12,2.0286099e+16,1.0738645e+16,1.3886679e+18,4.9883239e+20,0,1180921.5,0,1180921.5,0,1.35e+21,71.495352,-2.9476411e-08,71.495352,0,0,1.3413441e+08,-2.1177403e+12,4.7482294e+09,-5.3885151e+10,-7.5427001e+09,-1.0738523e+08,-1.3885345e+10,5369261.7,6.9426724e+08,1.1772044e+10,1.1772044e+10,1.5831674e+11,9.8947963e+09,4574497.7
14000,70,0,77034448,1.5188531e+16,2.6115568e+16,1.5545583e+21,0,6.2720559e+18,7.2772666e+17,4.32e+12,2.1083022e+16,1.0927359e+16,1.650681e+18,5.1598571e+20,0,1825588.4,0,1825588.4,0,1.35e+21,106.17593,0,106.17593,0,9.765625e-08,1.2549658e+08,-1.5705655e+12,4.7524992e+09,-6.271634e+10,-7.2773929e+09,-1.092729e+08,-1.6505527e+10,5463645,8.2527637e+08,1.3477341e+10,1.3477341e+10,1.5771238e+11,9.8570239e+09,6146058.8
16000,80,0,91950090,1.9870048e+16,3.5047857e+16,1.5409117e+21,0,7.0751636e+18,7.0353605e+17,4.32e+12,2.1685181e+16,1.1018185e+16,1.9009573e+18,5.2859006e+20,0,2659687,0,2659687,0,1.35e+21,150.78991,0,150.78991,0,9.765625e-08,1.1741582e+08,-1.1804693e+12,4.712852e+09,-7.0747826e+10,-7.0354766e+09,-1.1018161e+08,-1.9008354e+10,5509080.6,9.5041772e+08,1.5039422e+10,1.5039422e+10,1.557681e+11,9.735506e+09,7963789.9
18000,90,0,1.0724185e+08,2.523709e+16,4.520758e+16,1.5305913e+21,0,7.7959746e+18,6.8111889e+17,4.32e+12,2.2138579e+16,1.102572e+16,2.1373778e+18,5.3796074e+20,0,3701154.6,0,3701154.6,0,1.35e+21,206.6178,-2.6144846e-08,206.6178,0,0,1.0985622e+08,-8.9867837e+11,4.6438799e+09,-7.7956346e+10,-6.8112972e+09,-1.1025735e+08,-2.1372633e+10,5512867.5,1.0686316e+09,1.6451374e+10,1.6451374e+10,1.5301019e+11,9.563137e+09,10020312
20000,100,0,1.2273451e+08,3.1291817e+16,5.6522374e+16,1.5226884e+21,0,8.4358207e+18,6.6007824e+17,4.32e+12,2.2475662e+16,1.0962824e+16,2.3587608e+18,5.4500694e+20,0,4965662.8,0,4965662.8,0,1.35e+21,274.9089,1.1964801e-08,274.9089,0,0,1.0278416e+08,-6.9251926e+11,4.5554918e+09,-8.4355205e+10,-6.6008847e+09,-1.0962871e+08,-2.358654e+10,5481435.7,1.179327e+09,1.7713671e+10,1.7713671e+10,1.4978321e+11,9.3614506e+09,12305762
22000,110,0,1.3828126e+08,3.8031558e+16,6.8915404e+16,1.5165644e+21,0,8.9982074e+18,6.4013349e+17,4.32e+12,2.2719926e+16,1.0840807e+16,2.5645622e+18,5.5036441e+20,0,6466732.1,0,6466732.1,0,1.35e+21,356.87237,-1.7348327e-08,356.87237,0,0,96168198,-5.3982487e+11,4.4545455e+09,-8.9979448e+10,-6.4014323e+09,-1.0840881e+08,-2.5644633e+10,5420440.4,1.2822316e+09,1.8831289e+10,1.8831289e+10,1.4631367e+11,9.1446046e+09,14808529
24000,120,0,1.5376046e+08,4.5449598e+16,8.2308033e+16,1.5117656e+21,0,9.4878638e+18,6.210855e+17,4.32e+12,2.2888857e+16,1.0669597e+16,2.7546752e+18,5.5448263e+20,0,8215864,0,8215864,0,1.35e+21,453.67056,0,453.67056,0,9.765625e-08,89978920,-4.2537259e+11,4.3458667e+09,-9.4876363e+10,-6.2109483e+09,-1.0669693e+08,-2.754584e+10,5334846.6,1.377292e+09,1.9811834e+10,1.9811834e+10,1.4275065e+11,8.9219154e+09,17515867
26000,130,0,1.6907255e+08,5.3535893e+16,9.6621647e+16,1.5079655e+21,0,9.9101328e+18,6.0279291e+17,4.32e+12,2.2995816e+16,1.0457894e+16,2.9292934e+18,5.5768262e+20,0,10222681,0,10222681,0,1.35e+21,566.41457,1.2507394e-07,566.41457,0,0,84188806,-3.3858675e+11,4.2328987e+09,-9.9099376e+10,-6.0280189e+09,-1.0458009e+08,-2.9292099e+10,5229004.4,1.464605e+09,2.0664342e+10,2.0664342e+10,1.3919185e+11,8.6994903e+09,20414370
