iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,1210000,6.13,4.34,2e+21,0,2.43e+19,9.35e+10,6.82e+12,1.29e+15,1.09,4.28,5.1e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6844232e-310,4.6844232e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,97643562,3.8128451e+15,9.9432676e+14,1.847312e+21,0,2.2795939e+19,5.9841164e+16,4.32e+12,2.43972e+16,1.8262729e+15,4.0858041e+17,2.0469581e+20,0,33793.047,0,33793.047,0,1.35e+21,12.964661,-3.7452933e-08,12.964661,0,0,1.8712053e+08,-1.2469163e+13,7.0040832e+09,-2.2796546e+11,-5.9809134e+08,-18254376,-4.0835687e+09,912718.81,2.0417844e+08,3.9245477e+10,3.9245477e+10,7.9663363e+10,4.9789602e+09,3790840.7
4000,20,0,1.1276112e+08,8.4450623e+15,4.216071e+15,1.7436593e+21,0,2.1792176e+19,1.2371695e+17,4.32e+12,2.73914e+16,3.356034e+15,8.6523511e+17,3.0882122e+20,0,168571.13,0,168571.13,0,1.35e+21,33.773332,-9.4240207e-09,33.773332,0,0,1.7506546e+08,-8.5383866e+12,7.5334224e+09,-2.1792588e+11,-1.2368547e+09,-33553364,-8.6500445e+09,1677668.2,4.3250223e+08,3.8082607e+10,3.8082607e+10,1.1515466e+11,7.1971661e+09,5147536.2
6000,30,0,1.2837854e+08,1.3890658e+16,9.7475864e+15,1.6721581e+21,0,2.1097352e+19,1.8471629e+17,4.32e+12,2.924642e+16,4.6277206e+15,1.3236047e+18,3.8048543e+20,0,448099.52,0,448099.52,0,1.35e+21,63.864215,0,63.864215,0,9.765625e-08,1.6378786e+08,-5.9381147e+12,7.713601e+09,-2.1097644e+11,-1.8468696e+09,-46271438,-1.3233784e+10,2313571.9,6.6168919e+08,3.7441568e+10,3.7441568e+10,1.3606211e+11,8.5038818e+09,6736867.6
8000,40,0,1.4435179e+08,2.0139966e+16,1.7549959e+16,1.622085e+21,0,2.0591963e+19,2.4054246e+17,4.32e+12,3.0364142e+16,5.6733244e+15,1.7660355e+18,4.3055105e+20,0,911811.46,0,911811.46,0,1.35e+21,104.64687,3.6211617e-08,104.64687,0,0,1.5323758e+08,-4.1905226e+12,7.687814e+09,-2.0592182e+11,-2.4051605e+09,-56728533,-1.7658201e+10,2836426.6,8.8291006e+08,3.7098506e+10,3.7098506e+10,1.4780509e+11,9.2378184e+09,8560530.7
10000,50,0,1.605151e+08,2.7179993e+16,2.7516551e+16,1.5865159e+21,0,2.0200856e+19,2.9017513e+17,4.32e+12,3.0995217e+16,6.5213021e+15,2.1826181e+18,4.66028e+20,0,1594284.4,0,1594284.4,0,1.35e+21,157.48841,5.0083116e-08,157.48841,0,0,1.4336773e+08,-2.9981859e+12,7.5414241e+09,-2.0201032e+11,-2.9015193e+09,-65209231,-2.1824173e+10,3260461.6,1.0912086e+09,3.6914504e+10,3.6914504e+10,1.537439e+11,9.6089935e+09,10614851
12000,60,0,1.7670773e+08,3.4994645e+16,3.9503647e+16,1.5609099e+21,0,1.9876629e+19,3.3332614e+17,4.32e+12,3.1298972e+16,7.1969436e+15,2.5682023e+18,4.9151013e+20,0,2525173.2,0,2525173.2,0,1.35e+21,223.7051,1.7918921e-08,223.7051,0,0,1.3413441e+08,-2.1729516e+12,7.3260818e+09,-1.987678e+11,-3.3330618e+09,-71966450,-2.5680177e+10,3598322.5,1.2840089e+09,3.68036e+10,3.68036e+10,1.5599254e+11,9.7495338e+09,12891992
14000,70,0,1.9278592e+08,4.3565032e+16,5.334934e+16,1.5422442e+21,0,1.958945e+19,3.7012142e+17,4.32e+12,3.1378644e+16,7.7227044e+15,2.9205757e+18,5.1005213e+20,0,3729421.9,0,3729421.9,0,1.35e+21,304.55508,0,304.55508,0,9.765625e-08,1.2549658e+08,-1.5939493e+12,7.0734375e+09,-1.9589588e+11,-3.7010456e+09,-77224756,-2.9204079e+10,3861237.8,1.460204e+09,3.6713201e+10,3.6713201e+10,1.5589856e+11,9.7436598e+09,15381088
16000,80,0,2.0862734e+08,5.2869844e+16,6.8885208e+16,1.5284782e+21,0,1.932072e+19,4.0091297e+17,4.32e+12,3.1302453e+16,8.118503e+15,3.239337e+18,5.237134e+20,0,5227605.2,0,5227605.2,0,1.35e+21,401.23297,2.6207033e-08,401.23297,0,0,1.1741582e+08,-1.182389e+12,6.8030758e+09,-1.9320852e+11,-4.00899e+09,-81183346,-3.239186e+10,4059167.3,1.619593e+09,3.6611916e+10,3.6611916e+10,1.5433086e+11,9.6456788e+09,18069197
18000,90,0,2.2413154e+08,6.2885772e+16,8.5943492e+16,1.5182155e+21,0,1.9059075e+19,4.2616707e+17,4.32e+12,3.1116387e+16,8.401989e+15,3.5251911e+18,5.3390055e+20,0,7036322.1,0,7036322.1,0,1.35e+21,514.866,4.66041e-08,514.866,0,0,1.0985622e+08,-8.8619253e+11,6.5271837e+09,-1.9059206e+11,-4.2615574e+09,-84018726,-3.5250562e+10,4200936.3,1.7625281e+09,3.6481899e+10,3.6481899e+10,1.5185526e+11,9.4909536e+09,20942086
