iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,295000,87.3,2.04,1.7e+21,0,3.28e+20,2.67e+14,1.28e+14,3.57e+17,55.3,89.3,5.64e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6647499e-310,4.6647499e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,1.2629264e+09,4.7861652e+16,1.2552053e+16,1.5752106e+21,0,3.0229226e+20,6.8351632e+17,4.32e+12,2.3487271e+17,1.9359269e+15,4.6555004e+18,2.0162022e+20,0,426634.73,0,426634.73,0,1.35e+21,162.74572,6.2904974e-08,162.74572,0,0,1.8712053e+08,-9.9637808e+12,6.7435276e+10,-3.0230447e+12,-6.832133e+09,-19350972,-4.6533843e+10,967548.59,2.3266921e+09,5.1950162e+11,5.1950162e+11,7.8467252e+10,4.9042032e+09,49030911
4000,20,0,1.3866746e+09,1.0134562e+17,4.6435815e+16,1.4943821e+21,0,2.7903161e+20,1.2317161e+18,4.32e+12,2.2395901e+17,3.4552553e+15,8.5779602e+18,3.011626e+20,0,1856736.5,0,1856736.5,0,1.35e+21,405.30847,4.1063515e-08,405.30847,0,0,1.7506546e+08,-6.4542286e+12,6.1599322e+10,-2.7904269e+12,-1.2314697e+10,-34545627,-8.5761493e+10,1727281.3,4.2880747e+09,4.8461669e+11,4.8461669e+11,1.1229907e+11,7.0186921e+09,63301585
6000,30,0,1.4897845e+09,1.5955027e+17,9.8576149e+16,1.442133e+21,0,2.578758e+20,1.6739291e+18,4.32e+12,2.1281952e+17,4.7175044e+15,1.191657e+19,3.7068783e+20,0,4531742.1,0,4531742.1,0,1.35e+21,733.57022,2.5194481e-08,733.57022,0,0,1.6378786e+08,-4.1558463e+12,5.6132959e+10,-2.578859e+12,-1.6737321e+10,-47169321,-1.1915037e+11,2358466,5.9575187e+09,4.5257514e+11,4.5257514e+11,1.3255842e+11,8.2849014e+09,78178803
8000,40,0,1.5745386e+09,2.2167239e+17,1.6618125e+17,1.4087101e+21,0,2.3856282e+20,2.0240686e+18,4.32e+12,2.0178107e+17,5.7545722e+15,1.4726032e+19,4.20146e+20,0,8634234.6,0,8634234.6,0,1.35e+21,1151.8296,-4.6264404e-08,1151.8296,0,0,1.5323758e+08,-2.6321591e+12,5.1090488e+10,-2.3857206e+12,-2.0239143e+10,-57541050,-1.4724751e+11,2877052.5,7.3623753e+09,4.2300713e+11,4.2300713e+11,1.4423295e+11,9.0145595e+09,93375261
10000,50,0,1.6429661e+09,2.8699733e+17,2.4672866e+17,1.38783e+21,0,2.2088439e+20,2.2950036e+18,4.32e+12,1.9103327e+17,6.59483e+15,1.7060625e+19,4.5596456e+20,0,14295598,0,14295598,0,1.35e+21,1662.9761,-4.6198465e-08,1662.9761,0,0,1.4336773e+08,-1.6115783e+12,4.6481788e+10,-2.2089285e+12,-2.294886e+10,-65944547,-1.7059568e+11,3297227.4,8.529784e+09,3.9563201e+11,3.9563201e+11,1.5042372e+11,9.4014827e+09,1.0864921e+08
12000,60,0,1.6968875e+09,3.5489034e+17,3.3795857e+17,1.3753848e+21,0,2.0466961e+20,2.4983476e+18,4.32e+12,1.8068336e+17,7.2634911e+15,1.8972209e+19,4.823615e+20,0,21603644,0,21603644,0,1.35e+21,2268.7002,-3.3222477e-08,2268.7002,0,0,1.3413441e+08,-9.2238351e+11,4.2293466e+10,-2.0467737e+12,-2.498261e+10,-72631958,-1.8971351e+11,3631597.9,9.4856755e+09,3.7022826e+11,3.7022826e+11,1.5308876e+11,9.5680478e+09,1.2379912e+08
14000,70,0,1.7379454e+09,4.2478873e+17,4.3785969e+17,1.3686522e+21,0,1.8977458e+20,2.6444186e+18,4.32e+12,1.7078858e+17,7.7829414e+15,2.0509227e+19,5.0214697e+20,0,30609480,0,30609480,0,1.35e+21,2969.677,0,2969.677,0,9.765625e-08,1.2549658e+08,-4.5434227e+11,3.8500591e+10,-1.8978172e+12,-2.6443583e+10,-77827155,-2.0508545e+11,3891357.8,1.0254272e+10,3.4661484e+11,3.4661484e+11,1.5348209e+11,9.5926304e+09,1.3865894e+08
16000,80,0,1.767625e+09,4.9619486e+17,5.4465156e+17,1.3658047e+21,0,1.7607567e+20,2.7422876e+18,4.32e+12,1.6137539e+17,8.1730362e+15,2.1716281e+19,5.1722048e+20,0,41333606,0,41333606,0,1.35e+21,3765.7286,0,3765.7286,0,9.765625e-08,1.1741582e+08,-1.3567341e+11,3.5073218e+10,-1.7608224e+12,-2.7422494e+10,-81728705,-2.1715753e+11,4086435.2,1.0857877e+10,3.2463937e+11,3.2463937e+11,1.5241725e+11,9.5260784e+09,1.5309386e+08
18000,90,0,1.7872714e+09,5.6866982e+17,6.5676562e+17,1.3656018e+21,0,1.6346497e+20,2.7998686e+18,4.32e+12,1.5245129e+17,8.4513682e+15,2.2634034e+19,5.2888397e+20,0,53771261,0,53771261,0,1.35e+21,4655.9677,-1.6511876e-08,4655.9677,0,0,1.0985622e+08,8.1000582e+10,3.1980005e+10,-1.6347102e+12,-2.7998487e+10,-84512543,-2.2633641e+11,4225627.2,1.131682e+10,3.0417046e+11,3.0417046e+11,1.5042819e+11,9.4017618e+09,1.6699654e+08
20000,100,0,1.7981025e+09,6.4182774e+17,7.7282614e+17,1.3671923e+21,0,1.5184711e+20,2.8240255e+18,4.32e+12,1.4401202e+17,8.6335069e+15,2.3299298e+19,5.3804197e+20,0,67897093,0,67897093,0,1.35e+21,5638.922,-4.0715349e-08,5638.922,0,0,1.0278416e+08,2.2735012e+11,2.9190174e+10,-1.5185268e+12,-2.8240208e+10,-86334375,-2.3299023e+11,4316718.8,1.1649512e+10,2.8509267e+11,2.8509267e+11,1.4786875e+11,9.2417971e+09,1.8028361e+08
22000,110,0,1.8012207e+09,7.1533061e+17,8.9163182e+17,1.3699871e+21,0,1.4113708e+20,2.8206837e+18,4.32e+12,1.3604613e+17,8.7332143e+15,2.3745229e+19,5.4533115e+20,0,83669198,0,83669198,0,1.35e+21,6712.6454,1.888111e-09,6712.6454,0,0,96168198,3.2480009e+11,2.6674541e+10,-1.4114222e+12,-2.8206913e+10,-87331830,-2.3745056e+11,4366591.5,1.1872528e+10,2.6730306e+11,2.6730306e+11,1.4497534e+11,9.0609585e+09,1.9289258e+08
24000,120,0,1.7976225e+09,7.8888361e+17,1.0121385e+18,1.3735751e+21,0,1.3125858e+20,2.7949364e+18,4.32e+12,1.2853776e+17,8.7626386e+15,2.400156e+19,5.5120547e+20,0,1.0103261e+08,0,1.0103261e+08,0,1.35e+21,7874.814,4.685262e-08,7874.814,0,0,89978920,3.8800714e+11,2.4406e+10,-1.3126333e+12,-2.7949541e+10,-87626396,-2.4001474e+11,4381319.8,1.2000737e+10,2.507088e+11,2.507088e+11,1.4190673e+11,8.8691705e+09,2.0477902e+08
26000,130,0,1.7882083e+09,8.6223086e+17,1.1334427e+18,1.3776675e+21,0,1.2214273e+20,2.7511452e+18,4.32e+12,1.2146857e+17,8.7324875e+15,2.4094868e+19,5.5599271e+20,0,1.1992227e+08,0,1.1992227e+08,0,1.35e+21,9122.8103,1.4174475e-07,9122.8103,0,0,84188806,4.2710264e+11,2.2359701e+10,-1.221471e+12,-2.7511709e+10,-87325158,-2.4094858e+11,4366257.9,1.2047429e+10,2.3522548e+11,2.3522548e+11,1.3876987e+11,8.673117e+09,2.1591409e+08
28000,140,0,1.7737902e+09,9.3515158e+17,1.2547674e+18,1.3820607e+21,0,1.137271e+20,2.6930311e+18,4.32e+12,1.1481889e+17,8.6521843e+15,2.4048837e+19,5.5993256e+20,0,1.402656e+08,0,1.402656e+08,0,1.35e+21,10453.797,4.5760316e-08,10453.797,0,0,78772115,4.4915767e+11,2.0513058e+10,-1.1373114e+12,-2.6930632e+10,-86522356,-2.4048892e+11,4326117.8,1.2024446e+10,2.2077582e+11,2.2077582e+11,1.3563669e+11,8.4772933e+09,2.2628227e+08
30000,150,0,1.7550993e+09,1.0074565e+18,1.3754475e+18,1.3866106e+21,0,1.0595498e+20,2.6237569e+18,4.32e+12,1.0856845e+17,8.5300078e+15,2.3884517e+19,5.6320246e+20,0,1.6198467e+08,0,1.6198467e+08,0,1.35e+21,11864.78,0,11864.78,0,9.765625e-08,73704762,4.5915116e+11,1.8845658e+10,-1.0595871e+12,-2.6237938e+10,-85300781,-2.3884626e+11,4265039.1,1.1942313e+10,2.0728876e+11,2.0728876e+11,1.3255524e+11,8.2847025e+09,2.3587936e+08
32000,160,0,1.7327933e+09,1.0789848e+18,1.4949181e+18,1.3912154e+21,0,9.8774673e+19,2.5459996e+18,4.32e+12,1.0269698e+17,8.3732171e+15,2.3620567e+19,5.6593545e+20,0,1.8499799e+08,0,1.8499799e+08,0,1.35e+21,13352.663,0,13352.663,0,9.765625e-08,68964219,4.6061708e+11,1.7339125e+10,-9.8778123e+11,-2.5460402e+10,-83733031,-2.3620721e+11,4186651.5,1.181036e+10,1.9469872e+11,1.9469872e+11,1.2955715e+11,8.0973218e+09,2.447107e+08
34000,170,0,1.7074622e+09,1.1496011e+18,1.6127031e+18,1.3958031e+21,0,9.2138992e+19,2.4620164e+18,4.32e+12,9.7184453e+16,8.1881644e+15,2.3273486e+19,5.6823252e+20,0,2.0922208e+08,0,2.0922208e+08,0,1.35e+21,14914.296,0,14914.296,0,9.765625e-08,64529407,4.5608176e+11,1.597696e+10,-9.2142181e+11,-2.4620596e+10,-81882630,-2.3273678e+11,4094131.5,1.1636839e+10,1.8294498e+11,1.8294498e+11,1.2666268e+11,7.9164178e+09,2.5278964e+08
36000,180,0,1.6796347e+09,1.2191927e+18,1.7284048e+18,1.4003231e+21,0,8.600479e+19,2.3737006e+18,4.32e+12,9.201134e+16,7.9803952e+15,2.2857829e+19,5.7017133e+20,0,2.3457271e+08,0,2.3457271e+08,0,1.35e+21,16546.513,2.6775524e-08,16546.513,0,0,60380610,4.4736243e+11,1.4744377e+10,-8.6007739e+11,-2.3737456e+10,-79805039,-2.2858051e+11,3990252,1.1429026e+10,1.7197125e+11,1.7197125e+11,1.238842e+11,7.7427624e+09,2.6013609e+08
38000,190,0,1.6497834e+09,1.2876675e+18,1.841695e+18,1.4047407e+21,0,8.0332568e+19,2.2826325e+18,4.32e+12,8.7158749e+16,7.7547388e+15,2.2386396e+19,5.7181235e+20,0,2.6096598e+08,0,2.6096598e+08,0,1.35e+21,18246.169,3.803143e-08,18246.169,0,0,56499381,4.3577304e+11,1.3628138e+10,-8.0335295e+11,-2.2826785e+10,-77548553,-2.2386644e+11,3877427.7,1.1193322e+10,1.6172523e+11,1.6172523e+11,1.2122851e+11,7.5767817e+09,2.6677534e+08
40000,200,0,1.6183298e+09,1.3549514e+18,1.9523065e+18,1.4090322e+21,0,7.5086127e+19,2.190123e+18,4.32e+12,8.2608501e+16,7.5153885e+15,2.187042e+19,5.7320328e+20,0,2.8831916e+08,0,2.8831916e+08,0,1.35e+21,20010.166,-2.1704182e-08,20010.166,0,0,52868464,4.2226755e+11,1.2616405e+10,-7.5088649e+11,-2.1901694e+10,-75155110,-2.1870688e+11,3757755.5,1.0935344e+10,1.5215828e+11,1.5215828e+11,1.1869856e+11,7.4186599e+09,2.7273699e+08
42000,210,0,1.5856489e+09,1.4209866e+18,2.0600259e+18,1.413182e+21,0,7.0232262e+19,2.0972514e+18,4.32e+12,7.834318e+16,7.2659741e+15,2.1319725e+19,5.743822e+20,0,3.1655137e+08,0,3.1655137e+08,0,1.35e+21,21835.479,-3.6226993e-08,21835.479,0,0,49471716,4.0754047e+11,1.1698593e+10,-7.0234596e+11,-2.0972978e+10,-72661008,-2.1320007e+11,3633050.4,1.0660004e+10,1.4322513e+11,1.4322513e+11,1.162946e+11,7.2684122e+09,2.7805398e+08
44000,220,0,1.5520735e+09,1.4857297e+18,2.1646868e+18,1.4171805e+21,0,6.5740493e+19,2.0048994e+18,4.32e+12,7.4346156e+16,7.0096263e+15,2.0742875e+19,5.7537992e+20,0,3.4558416e+08,0,3.4558416e+08,0,1.35e+21,23719.173,-1.376975e-08,23719.173,0,0,46294034,3.9209811e+11,1.0865243e+10,-6.5742653e+11,-2.0049454e+10,-70097557,-2.0743168e+11,3504877.9,1.0371584e+10,1.3488359e+11,1.3488359e+11,1.1401499e+11,7.1259368e+09,2.827618e+08
46000,230,0,1.517898e+09,1.5491501e+18,2.2661641e+18,1.4210227e+21,0,6.1582823e+19,1.9137798e+18,4.32e+12,7.0601594e+16,6.7490341e+15,2.0147311e+19,5.7622166e+20,0,3.7534187e+08,0,3.7534187e+08,0,1.35e+21,25658.421,-1.5112164e-08,25658.421,0,0,43321291,3.763094e+11,1.0107898e+10,-6.1584822e+11,-1.913825e+10,-67491650,-2.0147613e+11,3374582.5,1.0073806e+10,1.2709434e+11,1.2709434e+11,1.1185682e+11,6.9910513e+09,2.8689777e+08
48000,240,0,1.4833819e+09,1.6112282e+18,2.3643681e+18,1.4247064e+21,0,5.7733519e+19,1.8244612e+18,4.32e+12,6.7094449e+16,6.4864967e+15,1.9539473e+19,5.7692834e+20,0,4.0575202e+08,0,4.0575202e+08,0,1.35e+21,27650.517,0,27650.517,0,9.765625e-08,40540269,3.604425e+11,9.4190004e+09,-5.7735371e+11,-1.8245054e+10,-64866281,-1.9539779e+11,3243314,9.7698896e+09,1.1982074e+11,1.1982074e+11,1.0981631e+11,6.8635194e+09,2.9050045e+08
50000,250,0,1.4487534e+09,1.6719547e+18,2.4592404e+18,1.4282319e+21,0,5.4168919e+19,1.7373904e+18,4.32e+12,6.3810447e+16,6.2239692e+15,1.8924909e+19,5.7751744e+20,0,4.3674546e+08,0,4.3674546e+08,0,1.35e+21,29692.882,-5.2386895e-09,29692.882,0,0,37938603,3.4469124e+11,8.7917912e+09,-5.4170634e+11,-1.7374333e+10,-62241001,-1.8925217e+11,3112050.1,9.4626084e+09,1.1302858e+11,1.1302858e+11,1.0788912e+11,6.74307e+09,2.9360908e+08
