iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,8.35e+12,7.47,19.8,2.03e+21,0,1.25e+14,6.01e+10,6.39e+15,1.26e+18,2.14,39.4,4.44e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6564158e-310,4.6564158e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,7341147.3,4.1924509e+14,5.1897883e+15,1.8732867e+21,0,4.277639e+17,1.6321061e+17,4.32e+12,7.9395293e+15,7.6022873e+15,1.0925566e+18,2.0067704e+20,0,176471.08,0,176471.08,0,1.35e+21,1.4252531,1.8004733e-08,1.4252531,0,0,1.8712053e+08,-1.2814879e+13,2.278793e+09,-4.274434e+09,-1.6320737e+09,-76017409,-1.0925319e+10,3800870.4,5.4626594e+08,2.0492332e+09,2.0492332e+09,7.8098462e+10,4.8811539e+09,285007.21
4000,20,0,13993947,1.2869615e+15,1.0846738e+16,1.7666105e+21,0,1.2053625e+18,1.7478473e+17,4.32e+12,1.2053395e+16,8.5823747e+15,1.1818546e+18,3.0646499e+20,0,433791.9,0,433791.9,0,1.35e+21,5.1461043,2.2692791e-08,5.1461043,0,0,1.7506546e+08,-8.8027397e+12,3.314702e+09,-1.2049202e+10,-1.7477689e+09,-85819385,-1.1817931e+10,4290969.2,5.9089656e+08,3.4763414e+09,3.4763414e+09,1.1427569e+11,7.1422305e+09,638822.57
6000,30,0,22792332,2.6621475e+15,1.7107009e+16,1.6927606e+21,0,2.1508368e+18,1.9298051e+17,4.32e+12,1.4943611e+16,9.356697e+15,1.3283003e+18,3.791952e+20,0,786531.19,0,786531.19,0,1.35e+21,12.238381,0,12.238381,0,9.765625e-08,1.6378786e+08,-6.1469506e+12,3.9410809e+09,-2.1503425e+10,-1.9297045e+09,-93563567,-1.3282173e+10,4678178.3,6.6410864e+08,5.2543271e+09,5.2543271e+09,1.3560053e+11,8.4750333e+09,1196063.8
8000,40,0,33404343,4.5969754e+15,2.4191965e+16,1.6408045e+21,0,3.1547406e+18,2.1406648e+17,4.32e+12,1.702282e+16,9.9522679e+15,1.5074672e+18,4.2993697e+20,0,1257021.2,0,1257021.2,0,1.35e+21,23.883943,3.6143508e-08,23.883943,0,0,1.5323758e+08,-4.3605103e+12,4.3097969e+09,-3.1542363e+10,-2.1405563e+09,-99520107,-1.5073724e+10,4976005.4,7.5368619e+08,7.1675544e+09,7.1675544e+09,1.4759418e+11,9.2246364e+09,1980986.2
10000,50,0,45493606,7.1331586e+15,3.2223837e+16,1.6036825e+21,0,4.1517597e+18,2.3579759e+17,4.32e+12,1.8549459e+16,1.039304e+16,1.7034913e+18,4.6583315e+20,0,1867146.6,0,1867146.6,0,1.35e+21,41.328896,8.2356465e-08,41.328896,0,0,1.4336773e+08,-3.1402764e+12,4.5131285e+09,-4.15127e+10,-2.3578682e+09,-1.0392854e+08,-1.703391e+10,5196427.2,8.5169548e+08,9.0860913e+09,9.0860913e+09,1.5367956e+11,9.6049724e+09,3008488.5
12000,60,0,58745047,1.0302865e+16,4.1260063e+16,1.5767635e+21,0,5.1038889e+18,2.568371e+17,4.32e+12,1.968881e+16,1.0700227e+16,1.9059633e+18,4.9156429e+20,0,2637574.8,0,2637574.8,0,1.35e+21,65.858141,-1.8065435e-08,65.858141,0,0,1.3413441e+08,-2.2944727e+12,4.6084145e+09,-5.1034281e+10,-2.568269e+09,-1.0700103e+08,-1.9058617e+10,5350051.6,9.5293086e+08,1.0933167e+10,1.0933167e+10,1.560097e+11,9.7506065e+09,4285838.1
14000,70,0,72875672,1.4129641e+16,5.1315342e+16,1.5569639e+21,0,5.9901435e+18,2.7641167e+17,4.32e+12,2.0548907e+16,1.0892596e+16,2.1080138e+18,5.1024236e+20,0,3587359.6,0,3587359.6,0,1.35e+21,98.773295,0,98.773295,0,9.765625e-08,1.2549658e+08,-1.6998959e+12,4.6320915e+09,-5.9897189e+10,-2.7640233e+09,-1.0892526e+08,-2.1079137e+10,5446263,1.0539568e+09,1.2665272e+10,1.2665272e+10,1.5595669e+11,9.7472931e+09,5814258.2
16000,80,0,87637717,1.862936e+16,6.2376072e+16,1.5422014e+21,0,6.800179e+18,2.9410167e+17,4.32e+12,2.1201996e+16,1.098673e+16,2.3051109e+18,5.2396499e+20,0,4733758.2,0,4733758.2,0,1.35e+21,141.37408,-4.6168651e-08,141.37408,0,0,1.1741582e+08,-1.27623e+12,4.6078349e+09,-6.7997938e+10,-2.9409334e+09,-1.0986705e+08,-2.3050142e+10,5493352.7,1.1525071e+09,1.4259809e+10,1.4259809e+10,1.54405e+11,9.6503123e+09,7590295.6
18000,90,0,1.02818e+08,2.3811167e+16,7.4409949e+16,1.5310503e+21,0,7.5302864e+18,3.0971134e+17,4.32e+12,2.1697572e+16,1.0997259e+16,2.4942934e+18,5.3416457e+20,0,6092171.3,0,6092171.3,0,1.35e+21,194.94312,-1.2588089e-08,194.94312,0,0,1.0985622e+08,-9.7038385e+11,4.5513676e+09,-7.5299414e+10,-3.0970407e+09,-1.0997273e+08,-2.4942012e+10,5498636.3,1.2471006e+09,1.5707336e+10,1.5707336e+10,1.5193035e+11,9.495647e+09,9606963
