iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,8.68e+15,98.5,1.01,2.05e+21,0,3.83e+17,1.02e+19,4.71e+15,2.67e+13,1.26,1.65,1.91e+19,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.6533526e-310,4.6533526e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,44412505,1.7935726e+15,5.873232e+14,1.8863353e+21,0,8.573748e+17,9.2610773e+18,4.32e+12,1.4027972e+16,6.0820882e+15,2.1690205e+17,1.8300523e+20,0,19962.848,0,19962.848,0,1.35e+21,6.098445,2.9144235e-08,6.098445,0,0,1.8712053e+08,-1.3375312e+13,4.0268674e+09,-8.5702892e+09,-9.2615203e+10,-60814658,-2.1677263e+09,3040732.9,1.0838632e+08,1.7413245e+10,1.7413245e+10,7.1217639e+10,4.4511024e+09,1724237.9
4000,20,0,54327861,4.1820668e+15,2.3866865e+15,1.7750638e+21,0,1.6872229e+18,8.4227721e+18,4.32e+12,1.7869864e+16,7.2068452e+15,5.0284494e+17,2.9399186e+20,0,95425.65,0,95425.65,0,1.35e+21,16.724436,-3.9182794e-08,16.724437,0,0,1.7506546e+08,-9.1748013e+12,4.9145063e+09,-1.6867543e+10,-8.4231687e+10,-72063402,-5.0269139e+09,3603170.1,2.513457e+08,1.7671272e+10,1.7671272e+10,1.0962321e+11,6.8514504e+09,2480062.5
6000,30,0,65746875,7.2008187e+15,5.7172998e+15,1.698155e+21,0,2.6840095e+18,7.6705691e+18,4.32e+12,2.046098e+16,8.1120698e+15,8.2174688e+17,3.7032902e+20,0,262820.91,0,262820.91,0,1.35e+21,33.106042,-1.4177672e-08,33.106042,0,0,1.6378786e+08,-6.3952102e+12,5.3963361e+09,-2.6834906e+10,-7.6709257e+10,-81116672,-8.2158336e+09,4055833.6,4.1079168e+08,1.8390718e+10,1.8390718e+10,1.3242919e+11,8.2768245e+09,3450171.6
8000,40,0,78415307,1.0877044e+16,1.0684491e+16,1.6441564e+21,0,3.7345045e+18,6.993233e+18,4.32e+12,2.223188e+16,8.8260857e+15,1.1511549e+18,4.2361556e+20,0,555105.05,0,555105.05,0,1.35e+21,56.515807,-4.1767436e-08,56.515807,0,0,1.5323758e+08,-4.5262916e+12,5.628722e+09,-3.7339785e+10,-6.9935546e+10,-88257722,-1.1509901e+10,4412886.1,5.7549507e+08,1.9338631e+10,1.9338631e+10,1.4542361e+11,9.0889759e+09,4650282.8
10000,50,0,92064523,1.523049e+16,1.7304408e+16,1.6056727e+21,0,4.7715371e+18,6.3817584e+18,4.32e+12,2.345162e+16,9.3740307e+15,1.4772553e+18,4.6133627e+20,0,1002587,0,1002587,0,1.35e+21,88.248135,1.4495477e-07,88.248134,0,0,1.4336773e+08,-3.2504378e+12,5.7059154e+09,-4.7710292e+10,-6.382049e+10,-93737944,-1.4770946e+10,4686897.2,7.385473e+08,2.0372378e+10,2.0372378e+10,1.5219573e+11,9.5122328e+09,6088219.5
12000,60,0,1.0643935e+08,2.0274027e+16,2.5538455e+16,1.5778536e+21,0,5.7563887e+18,5.8287028e+18,4.32e+12,2.4291721e+16,9.778192e+15,1.7916503e+18,4.8839605e+20,0,1632462,0,1632462,0,1.35e+21,129.60072,6.7330461e-09,129.60072,0,0,1.3413441e+08,-2.3667251e+12,5.6858452e+09,-5.7559134e+10,-5.8289658e+10,-97780225,-1.7914969e+10,4889011.2,8.9574847e+08,2.1405506e+10,2.1405506e+10,1.5500398e+11,9.687749e+09,7765451.9
14000,70,0,1.2131025e+08,2.6014289e+16,3.5315016e+16,1.55747e+21,0,6.6680319e+18,5.3277698e+18,4.32e+12,2.4863789e+16,1.0058308e+16,2.0893813e+18,5.080562e+20,0,2468693.1,0,2468693.1,0,1.35e+21,181.85846,0,181.85846,0,9.765625e-08,1.2549658e+08,-1.7460771e+12,5.6047926e+09,-6.6675964e+10,-5.3280082e+10,-1.0058196e+08,-2.0892372e+10,5029097.8,1.0446186e+09,2.2386858e+10,2.2386858e+10,1.5528834e+11,9.7055215e+09,9678526.5
16000,80,0,1.3647735e+08,3.2452361e+16,4.6543319e+16,1.5423414e+21,0,7.496461e+18,4.873539e+18,4.32e+12,2.5242008e+16,1.0231838e+16,2.3676968e+18,5.2251523e+20,0,3532075.7,0,3532075.7,0,1.35e+21,246.28001,-3.6794262e-08,246.28001,0,0,1.1741582e+08,-1.3043528e+12,5.4858927e+09,-7.4960683e+10,-4.8737553e+10,-1.0231775e+08,-2.3675627e+10,5115887.4,1.1837814e+09,2.3287605e+10,2.3287605e+10,1.5397768e+11,9.6236047e+09,11820292
18000,90,0,1.5177047e+08,3.9584501e+16,5.9122379e+16,1.5309758e+21,0,8.2385108e+18,4.4612834e+18,4.32e+12,2.5476794e+16,1.0314207e+16,2.6252721e+18,5.3327461e+20,0,4840396.6,0,4840396.6,0,1.35e+21,324.08712,-1.5005412e-08,324.08712,0,0,1.0985622e+08,-9.8593504e+11,5.3441463e+09,-8.2381613e+10,-4.4614798e+10,-1.0314186e+08,-2.6251486e+10,5157093,1.3125743e+09,2.4093079e+10,2.4093079e+10,1.5167715e+11,9.479822e+09,14180915
20000,100,0,1.6704728e+08,4.7402849e+16,7.2946799e+16,1.5223386e+21,0,8.8952081e+18,4.086842e+18,4.32e+12,2.5603212e+16,1.0319023e+16,2.8617096e+18,5.4137243e+20,0,6408638.4,0,6408638.4,0,1.35e+21,416.45637,3.559245e-08,416.45637,0,0,1.0278416e+08,-7.5357075e+11,5.189426e+09,-8.8949006e+10,-4.0870204e+10,-1.0319038e+08,-2.8615967e+10,5159519.1,1.4307983e+09,2.4797586e+10,2.4797586e+10,1.4878421e+11,9.2990134e+09,16748704
22000,110,0,1.8219055e+08,5.5896104e+16,8.7910545e+16,1.5157036e+21,0,9.4700817e+18,3.7465267e+18,4.32e+12,2.5646244e+16,1.0258274e+16,3.0772129e+18,5.4753485e+20,0,8249201.6,0,8249201.6,0,1.35e+21,524.51327,3.3004085e-08,524.51327,0,0,96168198,-5.8199018e+11,5.0283111e+09,-9.469814e+10,-3.7466889e+10,-1.0258319e+08,-3.0771103e+10,5129159.7,1.5385551e+09,2.5401055e+10,2.5401055e+10,1.4556134e+11,9.0975838e+09,19510772
24000,120,0,1.9710531e+08,6.5050158e+16,1.0390939e+17,1.5105553e+21,0,9.9680785e+18,3.4370518e+18,4.32e+12,2.5624126e+16,1.0142503e+16,3.272372e+18,5.5227542e+20,0,10372130,0,10372130,0,1.35e+21,649.32827,-4.7448339e-08,649.32827,0,0,89978920,-4.5384406e+11,4.8652265e+09,-9.9678478e+10,-3.4371993e+10,-1.0142573e+08,-3.2722794e+10,5071286.4,1.6361397e+09,2.5906881e+10,2.5906881e+10,1.4218233e+11,8.8863957e+09,22453565
26000,130,0,2.11716e+08,7.4848674e+16,1.208425e+17,1.5065231e+21,0,1.0394868e+19,3.1554791e+18,4.32e+12,2.5550495e+16,9.980963e+15,3.448021e+18,5.5596114e+20,0,12785332,0,12785332,0,1.35e+21,791.91447,7.0781084e-08,791.91447,0,0,84188806,-3.5708276e+11,4.703162e+09,-1.0394671e+11,-3.1556133e+10,-99810538,-3.4479379e+10,4990526.9,1.723969e+09,2.6320506e+10,2.6320506e+10,1.3876213e+11,8.6726329e+09,25563278
