iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,7.84e+09,7,1.01,1.96e+21,0,2.49e+18,1.36e+17,1.11e+18,3.52e+18,1.48,3.02,1.15e+20,0,0,0,0,0,2.3715151e-322,4.0019317e-322,4.667938e-310,4.667938e-310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,26134135,6.4441472e+15,1.6170102e+16,1.8240799e+21,0,2.9436649e+18,3.0528557e+17,4.32e+12,1.306047e+16,1.0062373e+18,3.2340677e+18,2.5065309e+20,0,549854.85,0,549854.85,0,1.35e+21,21.912938,8.4398806e-08,21.912938,0,0,1.8712053e+08,-1.1113244e+13,3.7491642e+09,-2.9433504e+10,-3.0528209e+09,-1.0062867e+10,-3.2340988e+10,5.0314337e+08,1.6170494e+09,9.5510415e+09,9.5510415e+09,9.7557332e+10,6.0973333e+09,1014612.2
4000,20,0,35119413,1.2927382e+16,3.2255362e+16,1.7315811e+21,0,3.6821179e+18,3.160946e+17,4.32e+12,1.651415e+16,9.1218248e+17,3.2103415e+18,3.4249621e+20,0,1290014.2,0,1290014.2,0,1.35e+21,51.701304,-6.2038552e-09,51.701304,0,0,1.7506546e+08,-7.6315502e+12,4.5416686e+09,-3.6817066e+10,-3.160877e+09,-9.1222723e+09,-3.2103369e+10,4.5611361e+08,1.6051685e+09,1.0712686e+10,1.0712686e+10,1.2771517e+11,7.9821983e+09,1603198.4
6000,30,0,45843554,1.9538812e+16,4.8374172e+16,1.6675688e+21,0,4.5495905e+18,3.3159744e+17,4.32e+12,1.8903786e+16,8.2696584e+17,3.2436044e+18,4.0565404e+20,0,2224164.7,0,2224164.7,0,1.35e+21,89.835887,0,89.835887,0,9.765625e-08,1.6378786e+08,-5.326848e+12,4.9856414e+09,-4.5491419e+10,-3.3158909e+09,-8.2700639e+09,-3.2435776e+10,4.1350319e+08,1.6217888e+09,1.2164297e+10,1.2164297e+10,1.4506441e+11,9.0665254e+09,2405713.2
8000,40,0,58009514,2.6360342e+16,6.4753012e+16,1.6225563e+21,0,5.4531964e+18,3.4871984e+17,4.32e+12,2.0588194e+16,7.4975377e+17,3.3119212e+18,4.4973147e+20,0,3364678.7,0,3364678.7,0,1.35e+21,136.97236,3.9355115e-08,136.97236,0,0,1.5323758e+08,-3.7765484e+12,5.2125616e+09,-5.4527458e+10,-3.4871122e+09,-7.497905e+09,-3.3118809e+10,3.7489525e+08,1.6559404e+09,1.3721065e+10,1.3721065e+10,1.5439078e+11,9.6494235e+09,3440152.9
10000,50,0,71319248,3.3460544e+16,8.1528899e+16,1.5904169e+21,0,6.3381264e+18,3.6565889e+17,4.32e+12,2.1792309e+16,6.7979145e+17,3.4008704e+18,4.8092633e+20,0,4724163.5,0,4724163.5,0,1.35e+21,193.88513,-5.2347104e-09,193.88513,0,0,1.4336773e+08,-2.7176021e+12,5.3021856e+09,-6.3376945e+10,-3.6565066e+09,-6.7982473e+09,-3.4008225e+10,3.3991237e+08,1.7004113e+09,1.5272302e+10,1.5272302e+10,1.5865965e+11,9.9162281e+09,4716336.1
12000,60,0,85495610,4.0895928e+16,9.8779565e+16,1.567132e+21,0,7.1730716e+18,3.813829e+17,4.32e+12,2.2660158e+16,6.1639544e+17,3.5008389e+18,5.0329987e+20,0,6314715.3,0,6314715.3,0,1.35e+21,261.43561,-6.2470917e-11,261.43561,0,0,1.3413441e+08,-1.9835955e+12,5.3039429e+09,-7.1726699e+10,-3.8137545e+09,-6.164256e+09,-3.5007873e+10,3.082128e+08,1.7503937e+09,1.6753229e+10,1.6753229e+10,1.597348e+11,9.9834252e+09,6237467.8
14000,70,0,1.0029135e+08,4.871218e+16,1.1654295e+17,1.5500254e+21,0,7.941315e+18,3.953338e+17,4.32e+12,2.3286025e+16,5.5894692e+17,3.6053509e+18,5.1955227e+20,0,8147508,0,8147508,0,1.35e+21,340.54475,1.4075681e-08,340.54475,0,0,1.2549658e+08,-1.4676178e+12,5.2491228e+09,-7.9409491e+10,-3.9532732e+09,-5.5897425e+09,-3.6052983e+10,2.7948713e+08,1.8026492e+09,1.8127729e+10,1.8127729e+10,1.5880264e+11,9.9251653e+09,8001570.1
16000,80,0,1.1549152e+08,5.6945365e+16,1.3483002e+17,1.53729e+21,0,8.6352123e+18,4.0724656e+17,4.32e+12,2.3733077e+16,5.0688555e+17,3.7100181e+18,5.3150357e+20,0,10232577,0,10232577,0,1.35e+21,432.16981,5.0625317e-09,432.16981,0,0,1.1741582e+08,-1.0999731e+12,5.1579439e+09,-8.6348845e+10,-4.0724113e+09,-5.0691032e+09,-3.7099663e+10,2.5345516e+08,1.8549831e+09,1.9377646e+10,1.9377646e+10,1.5662676e+11,9.7891723e+09,10002711
18000,90,0,1.3091263e+08,6.5623087e+16,1.5363341e+17,1.5276883e+21,0,9.2527328e+18,4.1703791e+17,4.32e+12,2.404468e+16,4.5970395e+17,3.8118666e+18,5.4039657e+20,0,12578717,0,12578717,0,1.35e+21,537.28508,3.4453024e-08,537.28508,0,0,1.0985622e+08,-8.3458938e+11,5.0437293e+09,-9.252443e+10,-4.1703355e+09,-4.597264e+09,-3.8118167e+10,2.298632e+08,1.9059084e+09,2.0496076e+10,2.0496076e+10,1.5370307e+11,9.6064419e+09,12232029
